Date, Close/Last, Volume, Open, High, Low
01/20/2021, $27, 9722, $27.25, $27.39, $27
01/19/2021, $27.22, 4604, $27, $27.22, $27
01/15/2021, $27.025, 6919, $26.88, $27.17, $26.87
01/14/2021, $26.83, 10934, $26.99, $27.1971, $26.8
01/13/2021, $26.95, 8669, $27, $27.0999, $26.8503
01/12/2021, $27.01, 11597, $27.11, $27.1569, $26.89
01/11/2021, $27.11, 8974, $27.15, $27.2, $27.1
01/08/2021, $27.14, 6844, $27.1952, $27.2, $27.1001
01/07/2021, $27.1, 6619, $27.06, $27.19, $27.0201
01/06/2021, $27.1, 15447, $27.23, $27.23, $27
01/05/2021, $27.18, 3937, $27.22, $27.2265, $27.1
01/04/2021, $27.18, 6488, $27.1, $27.244, $27.07
12/31/2020, $26.95, 63292, $27.185, $27.4628, $26.86
12/30/2020, $27.12, 15049, $27.4, $27.4595, $27.03
12/29/2020, $27.25, 10715, $27.44, $27.49, $27.23
12/28/2020, $27.22, 18735, $27.16, $27.71, $27.16
12/24/2020, $27.15, 8744, $27.12, $27.19, $27.04
12/23/2020, $27.03, 14444, $27, $27.2288, $27
12/22/2020, $27.09, 7855, $27.26, $27.3897, $27.06
12/21/2020, $27.24, 2254, $27.48, $27.48, $27.13
12/18/2020, $27.26, 2181, $27.33, $27.33, $27.18
12/17/2020, $27.15, 19329, $27.09, $27.57, $27.01
12/16/2020, $27.205, 4764, $27.02, $27.4521, $27
12/15/2020, $27.1, 4640, $27.12, $27.24, $27
12/14/2020, $27.01, 1053, $26.95, $27.01, $26.95
12/11/2020, $27.12, 4105, $27.1, $27.19, $26.905
12/10/2020, $27.075, 14935, $27.4, $27.43, $26.89
12/09/2020, $27.25, 2144, $27.25, $27.2966, $27.25
12/08/2020, $27.33, 2868, $27.34, $27.34, $27.28
12/07/2020, $27.34, 4646, $27.35, $27.4, $27.25
12/04/2020, $27.35, 4181, $27.39, $27.39, $27.238
12/03/2020, $27.316, 2175, $27.26, $27.316, $27.15
12/02/2020, $27.27, 3843, $27.27, $27.6399, $27.25
12/01/2020, $27.36, 2930, $27.33, $27.4025, $27.2146
11/30/2020, $27.16, 8133, $27.52, $27.5698, $26.65
11/27/2020, $27.5725, 4239, $27.7, $27.71, $27.5258
11/25/2020, $27.63, 6326, $27.689, $27.74, $27.6
11/24/2020, $27.6, 3793, $27.73, $27.737, $27.6
11/23/2020, $27.675, 689, $27.62, $27.675, $27.61
11/20/2020, $27.675, 3711, $27.7, $27.7, $27.55
11/19/2020, $27.73, 3620, $27.66, $27.7685, $27.66
11/18/2020, $27.55, 3461, $27.531, $27.65, $27.497
11/17/2020, $27.62, 4245, $27.66, $27.8, $27.6
11/16/2020, $27.43, 4361, $27.648, $27.68, $27.43
11/13/2020, $27.65, 1606, $27.5962, $27.7, $27.5962
11/12/2020, $27.5292, 13625, $27.62, $27.62, $27.4674
11/11/2020, $27.6, 2237, $27.61, $27.68, $27.6
11/10/2020, $27.66, 11142, $27.44, $27.8, $27.4
11/09/2020, $27.4, 8469, $27.2, $27.48, $27.05
11/06/2020, $27.27, 2106, $27.29, $27.375, $27.27
11/05/2020, $27.35, 998, $27.3365, $27.35, $27.3365
11/04/2020, $27.48, 11119, $27.4364, $27.51, $27.4037
11/03/2020, $27.4, 14430, $26.9, $27.4559, $26.9
11/02/2020, $26.89, 692, $26.94, $27, $26.89
10/30/2020, $26.85, 7064, $26.72, $27, $26.6901
10/29/2020, $26.72, 3660, $26.81, $26.9, $26.71
10/28/2020, $26.78, 4797, $26.86, $26.9, $26.75
10/27/2020, $26.78, 8462, $26.94, $26.972, $26.74
10/26/2020, $26.81, 8515, $27.065, $27.1, $26.81
