Date, Close/Last, Volume, Open, High, Low
01/20/2021, $46.04, 2519846, $46.24, $46.295, $45.58
01/19/2021, $46.38, 2570612, $46.59, $46.78, $46.22
01/15/2021, $46.42, 3477120, $45.72, $46.48, $45.53
01/14/2021, $45.87, 2588099, $45.71, $46.175, $45.12
01/13/2021, $45.43, 3058410, $45.48, $45.76, $44.8526
01/12/2021, $45.49, 3209248, $46, $46.13, $45.08
01/11/2021, $46.03, 1991037, $46.86, $47.065, $45.84
01/08/2021, $46.86, 3143661, $47.31, $47.39, $46.36
01/07/2021, $47.22, 2339845, $47.5, $47.93, $47.12
01/06/2021, $47.91, 3058752, $48.88, $49.28, $47.51
01/05/2021, $48.9, 2479454, $48.13, $48.98, $48.13
01/04/2021, $48.53, 2134068, $48.2, $48.67, $47.86
12/31/2020, $48.35, 869319, $48, $48.4, $47.74
12/30/2020, $48.02, 1106131, $48.37, $48.58, $47.86
12/29/2020, $48.42, 1135574, $48.46, $48.83, $48.33
12/28/2020, $48.43, 993385, $48.55, $48.78, $48.07
12/24/2020, $48.55, 673902, $48, $48.66, $48
12/23/2020, $48.11, 956957, $48, $48.3438, $47.81
12/22/2020, $47.76, 2198289, $48.38, $48.52, $47.54
12/21/2020, $48.32, 3087864, $47.48, $48.39, $46.95
12/18/2020, $47.57, 4015266, $47.77, $47.95, $47.37
12/17/2020, $47.78, 1778064, $47.36, $47.89, $47.08
12/16/2020, $47.11, 1774122, $46.81, $47.37, $46.81
12/15/2020, $46.82, 1665811, $46.82, $47, $46.44
12/14/2020, $46.71, 2239243, $47.33, $47.79, $46.62
12/11/2020, $47.21, 2138783, $47.19, $47.5, $47.01
12/10/2020, $47.31, 2810296, $47.21, $47.58, $46.88
12/09/2020, $47.28, 5747122, $47.88, $48.16, $46.62
12/08/2020, $48.26, 2952191, $48.39, $48.535, $47.59
12/07/2020, $48.31, 2670442, $48.65, $48.7999, $48.13
12/04/2020, $48.5, 1635258, $48.62, $48.87, $48.46
12/03/2020, $48.74, 1793122, $49.01, $49.41, $48.51
12/02/2020, $49.07, 2324321, $50.3, $50.77, $48.46
12/01/2020, $50.25, 1910238, $49.98, $50.33, $49.7
11/30/2020, $50.02, 2449468, $49.02, $50.045, $48.79
11/27/2020, $48.98, 434114, $49.19, $49.41, $48.7
11/25/2020, $48.92, 1466833, $49.68, $49.85, $48.835
11/24/2020, $49.37, 1703882, $49.36, $49.57, $49.055
11/23/2020, $49.11, 1702227, $48.87, $49.43, $48.72
11/20/2020, $48.98, 1423606, $49.42, $49.77, $48.72
11/19/2020, $49.32, 966066, $48.87, $49.345, $48.55
11/18/2020, $49.04, 2543398, $49.49, $49.95, $49.01
11/17/2020, $49.38, 1841490, $49.51, $49.89, $49.12
11/16/2020, $49.9, 2668159, $48.97, $49.97, $48.82
11/13/2020, $49.19, 1507877, $48.66, $49.32, $48.44
