Date, Close/Last, Volume, Open, High, Low
01/20/2021, $29.6, 65317, $29.28, $29.9, $29.2025
01/19/2021, $29.34, 65825, $29.21, $29.48, $28.9685
01/15/2021, $29.04, 65083, $29.61, $29.68, $28.87
01/14/2021, $29.88, 61944, $29.4, $30.245, $29.4
01/13/2021, $29.45, 36943, $29.32, $29.485, $29.1
01/12/2021, $29.4, 69268, $29.07, $29.485, $28.7
01/11/2021, $28.71, 45688, $29, $29.43, $28.425
01/08/2021, $29.24, 74737, $29.6, $29.6, $28.61
01/07/2021, $29.01, 60716, $29.4, $29.4, $28.66
01/06/2021, $28.94, 119198, $27.51, $29.5191, $27.3801
01/05/2021, $27.41, 57981, $27.12, $27.8, $26.86
01/04/2021, $26.87, 72353, $27.04, $27.04, $26.22
12/31/2020, $26.84, 35166, $26.99, $27.03, $26.52
12/30/2020, $26.92, 51836, $27.31, $27.51, $26.86
12/29/2020, $27.34, 53598, $27.75, $27.95, $27.17
12/28/2020, $27.74, 75259, $27.41, $27.78, $27.19
12/24/2020, $27.25, 32255, $27.6, $27.835, $26.92
12/23/2020, $27.44, 58473, $27.38, $27.8962, $27.29
12/22/2020, $27.36, 64356, $27.48, $27.75, $26.9501
12/21/2020, $27.24, 80656, $26.95, $27.26, $26.65
12/18/2020, $27.32, 264938, $27.86, $28.215, $27.22
12/17/2020, $27.71, 84688, $27.77, $27.94, $27.29
12/16/2020, $27.78, 102709, $27.84, $28.31, $27.34
12/15/2020, $27.62, 163142, $27.37, $27.7, $26.74
12/14/2020, $27.2, 139570, $27.32, $27.665, $26.72
12/11/2020, $27.07, 103212, $27.5, $27.98, $27
12/10/2020, $27.64, 94052, $28.74, $28.74, $27.45
12/09/2020, $28.49, 153014, $28.61, $29.37, $28.39
12/08/2020, $28.39, 186417, $27.87, $28.49, $27.59
12/07/2020, $28.08, 105687, $28.14, $28.54, $27.9
12/04/2020, $28.06, 92864, $28.02, $28.34, $27.99
12/03/2020, $27.94, 53666, $28.11, $28.49, $27.85
12/02/2020, $27.99, 68550, $27.75, $28.12, $27.69
12/01/2020, $27.9, 106841, $28.64, $28.76, $27.72
11/30/2020, $28.43, 156733, $28.82, $28.8325, $28.32
11/27/2020, $28.94, 43251, $29.26, $29.33, $28.365
11/25/2020, $29.18, 97699, $29.82, $30.5, $29.08
11/24/2020, $30.02, 87203, $28.95, $30.48, $28.6
11/23/2020, $28.61, 71522, $28.99, $29.24, $28.4
11/20/2020, $28.85, 61448, $29.02, $29.355, $28.02
11/19/2020, $29.26, 47332, $29.15, $29.32, $28.83
