Date, Close/Last, Volume, Open, High, Low
03/24/2021, $5.44, 1624772, $5.43, $5.58, $5.41
03/23/2021, $5.36, 2874748, $5.5, $5.51, $5.28
03/22/2021, $5.59, 3485397, $5.38, $5.63, $5.313
03/19/2021, $5.44, 3066569, $5.28, $5.475, $5.1589
03/18/2021, $5.26, 3775565, $5.51, $5.56, $5.205
03/17/2021, $5.55, 2334186, $5.69, $5.73, $5.52
03/16/2021, $5.61, 2157648, $5.59, $5.735, $5.53
03/15/2021, $5.72, 3860938, $6.02, $6.04, $5.71
03/12/2021, $6.23, 2232261, $6.27, $6.4201, $6.195
03/11/2021, $6.24, 2950116, $6.3, $6.38, $6.14
03/10/2021, $6.23, 4448414, $5.7, $6.285, $5.66
03/09/2021, $5.71, 2140998, $5.77, $5.85, $5.6
03/08/2021, $5.78, 3074329, $6, $6.1, $5.71
03/05/2021, $5.94, 3139443, $6.14, $6.23, $5.64
03/04/2021, $5.97, 4140560, $5.86, $6.17, $5.82
03/03/2021, $5.81, 2245600, $5.94, $6.01, $5.8
03/02/2021, $5.88, 2326126, $5.99, $6.1, $5.815
03/01/2021, $5.96, 2451163, $5.83, $6.02, $5.77
02/26/2021, $5.71, 2349734, $5.81, $5.85, $5.52
02/25/2021, $5.81, 4452667, $6, $6.05, $5.64
02/24/2021, $6.01, 4324142, $5.63, $6.12, $5.57
02/23/2021, $5.58, 3619088, $5.87, $5.92, $5.451
02/22/2021, $5.85, 6343782, $6.31, $6.37, $5.835
02/19/2021, $6.21, 3407536, $6.17, $6.23, $5.94
02/18/2021, $6, 6616030, $6.35, $6.55, $5.945
02/17/2021, $6.15, 6751099, $5.7, $6.22, $5.5
02/16/2021, $5.63, 5941091, $5.62, $5.83, $5.45
02/12/2021, $5.41, 2775871, $5.07, $5.45, $5.07
02/11/2021, $5.03, 3820131, $5.31, $5.345, $4.96
02/10/2021, $5.32, 5227989, $5.03, $5.34, $4.93
02/09/2021, $4.97, 1680489, $5.03, $5.04, $4.91
02/08/2021, $5.06, 3418473, $4.93, $5.1, $4.9062
02/05/2021, $4.85, 2286420, $5, $5, $4.82
02/04/2021, $4.94, 2131008, $4.89, $4.97, $4.8
02/03/2021, $4.88, 2614246, $4.68, $4.92, $4.68
02/02/2021, $4.69, 2479212, $4.88, $4.94, $4.69
02/01/2021, $4.78, 3792571, $4.68, $4.88, $4.645
01/29/2021, $4.55, 2772080, $4.59, $4.77, $4.52
01/28/2021, $4.64, 4120167, $4.65, $4.82, $4.575
01/27/2021, $4.62, 5654666, $4.62, $4.76, $4.37
01/26/2021, $4.7, 2166337, $4.84, $5.015, $4.67
01/25/2021, $4.79, 2098345, $4.73, $4.86, $4.6
01/22/2021, $4.74, 2000803, $4.64, $4.76, $4.51
01/21/2021, $4.73, 2683235, $4.68, $4.73, $4.56
01/20/2021, $4.68, 3886455, $5.07, $5.155, $4.64
01/19/2021, $5.05, 3211422, $5.29, $5.29, $4.99
01/15/2021, $5.27, 2142371, $5.3, $5.345, $5.12
01/14/2021, $5.32, 2518061, $5.28, $5.47, $5.28
01/13/2021, $5.26, 2455823, $5.31, $5.37, $5.1818
01/12/2021, $5.34, 3422664, $5.06, $5.39, $5.05
01/11/2021, $4.98, 2194248, $4.73, $4.995, $4.68
01/08/2021, $4.91, 2338118, $5, $5, $4.81
01/07/2021, $4.96, 2568427, $5.03, $5.125, $4.88
01/06/2021, $5.01, 3316585, $4.9, $5.03, $4.79
01/05/2021, $4.81, 5008150, $4.55, $4.99, $4.55
01/04/2021, $4.53, 2407042, $4.4, $4.565, $4.4
12/31/2020, $4.37, 1800145, $4.43, $4.4499, $4.29
12/30/2020, $4.39, 1581028, $4.29, $4.45, $4.288
12/29/2020, $4.27, 2843502, $4.35, $4.4, $4.24
12/28/2020, $4.35, 5007112, $4.42, $4.47, $4.24
12/24/2020, $4.49, 1661240, $4.7, $4.71, $4.45
12/23/2020, $4.68, 3470363, $4.46, $4.78, $4.4476
12/22/2020, $4.44, 2656061, $4.53, $4.59, $4.41
12/21/2020, $4.52, 4150906, $4.45, $4.565, $4.37
12/18/2020, $4.54, 2559815, $4.55, $4.585, $4.47
12/17/2020, $4.55, 3166641, $4.55, $4.625, $4.48
12/16/2020, $4.53, 2894702, $4.77, $4.78, $4.52
12/15/2020, $4.73, 3792660, $4.64, $4.76, $4.52
12/14/2020, $4.72, 1951614, $4.83, $4.8901, $4.6548
12/11/2020, $4.73, 2267910, $4.89, $4.95, $4.7058
12/10/2020, $4.96, 5663555, $4.59, $4.96, $4.55
12/09/2020, $4.59, 3586320, $4.68, $4.79, $4.52
12/08/2020, $4.63, 3611246, $4.61, $4.77, $4.54
12/07/2020, $4.68, 3272926, $4.75, $4.795, $4.61
12/04/2020, $4.85, 3967374, $4.61, $4.885, $4.6
12/03/2020, $4.55, 4612455, $4.77, $4.7801, $4.505
12/02/2020, $4.77, 1898707, $4.76, $5.03, $4.75
12/01/2020, $4.75, 1796734, $4.96, $5.07, $4.7
11/30/2020, $4.87, 1802746, $5.03, $5.05, $4.87
11/27/2020, $5.06, 519321, $5.07, $5.15, $5.03
11/25/2020, $5.1, 1756542, $5.12, $5.22, $4.99
11/24/2020, $5.12, 4204020, $4.81, $5.15, $4.7702
11/23/2020, $4.68, 3916435, $4.61, $4.76, $4.55
11/20/2020, $4.58, 2770172, $4.67, $4.74, $4.5
11/19/2020, $4.68, 3335299, $4.67, $4.73, $4.59
11/18/2020, $4.74, 2170023, $4.88, $5.03, $4.74
11/17/2020, $4.87, 2458754, $4.68, $4.96, $4.66
11/16/2020, $4.73, 3996010, $5.03, $5.03, $4.655
11/13/2020, $4.92, 2903600, $4.68, $5.075, $4.68
11/12/2020, $4.65, 3379159, $4.78, $4.875, $4.54
11/11/2020, $4.85, 4834384, $4.83, $5.12, $4.78
11/10/2020, $4.71, 4867322, $4.44, $4.735, $4.4
11/09/2020, $4.39, 4739116, $4.76, $4.76, $4.35
11/06/2020, $4.45, 3178160, $4.66, $4.66, $4.43
11/05/2020, $4.56, 10552920, $4.61, $4.77, $4.4
11/04/2020, $5.07, 2558542, $5.17, $5.2797, $4.95
11/03/2020, $5.22, 1755970, $5.41, $5.47, $5.15
11/02/2020, $5.33, 1465255, $5.35, $5.3603, $5.18
10/30/2020, $5.31, 2171585, $5.37, $5.37, $5.13
10/29/2020, $5.38, 2200677, $5.26, $5.3883, $5.09
10/28/2020, $5.32, 2003196, $5.31, $5.44, $5.26
10/27/2020, $5.48, 1963827, $5.68, $5.75, $5.465
10/26/2020, $5.7, 2107716, $5.9, $5.92, $5.66
10/23/2020, $6.02, 1504735, $6.13, $6.2199, $5.875
10/22/2020, $6.13, 3754893, $5.82, $6.28, $5.72
10/21/2020, $5.79, 2897288, $5.63, $5.965, $5.56
10/20/2020, $5.55, 1987970, $5.67, $5.775, $5.545
10/19/2020, $5.61, 2483713, $5.9, $6.1, $5.59
10/16/2020, $5.66, 1281848, $5.65, $5.7501, $5.56
10/15/2020, $5.67, 1596552, $5.47, $5.77, $5.41
10/14/2020, $5.54, 1771847, $5.62, $5.74, $5.47
10/13/2020, $5.66, 1780756, $5.67, $5.775, $5.585
10/12/2020, $5.7, 1915959, $5.61, $5.77, $5.44
10/09/2020, $5.65, 3999090, $5.52, $5.67, $5.41
10/08/2020, $5.36, 2740026, $5.31, $5.37, $5.19
10/07/2020, $5.28, 3590082, $4.9, $5.33, $4.83
10/06/2020, $4.82, 2586965, $4.9, $4.98, $4.755
10/05/2020, $4.77, 2709660, $4.51, $4.82, $4.502
10/02/2020, $4.45, 1679844, $4.26, $4.52, $4.26
10/01/2020, $4.36, 3033687, $4.36, $4.459, $4.3
09/30/2020, $4.38, 2930890, $4.51, $4.535, $4.295
09/29/2020, $4.54, 3691200, $4.66, $4.68, $4.29
09/28/2020, $4.67, 2258106, $4.7, $4.715, $4.5
09/25/2020, $4.64, 2438929, $4.9, $4.975, $4.61
09/24/2020, $4.96, 2935568, $4.83, $5.075, $4.71
09/23/2020, $4.77, 2512464, $4.92, $5, $4.77
09/22/2020, $4.88, 2115568, $5, $5.11, $4.82
09/21/2020, $4.98, 1722566, $5, $5.03, $4.8
09/18/2020, $5.11, 2676595, $4.95, $5.14, $4.92
09/17/2020, $4.92, 2728788, $4.97, $5.1, $4.835
09/16/2020, $5.05, 1889832, $5.03, $5.25, $4.94
09/15/2020, $4.93, 1992926, $5.01, $5.07, $4.86
09/14/2020, $4.98, 2288493, $4.73, $5.02, $4.7
09/11/2020, $4.68, 1862763, $4.73, $4.85, $4.65
09/10/2020, $4.75, 2696176, $5.05, $5.05, $4.75
09/09/2020, $5.06, 2257287, $5, $5.1, $4.9
09/08/2020, $4.93, 2890044, $5.14, $5.17, $4.835
09/04/2020, $5.24, 2994068, $5.2, $5.24, $4.89
09/03/2020, $5.19, 2990919, $5.24, $5.33, $5.11
09/02/2020, $5.25, 2947765, $5.42, $5.44, $5.15
09/01/2020, $5.52, 1587362, $5.76, $5.8, $5.495
08/31/2020, $5.76, 1842958, $6.07, $6.07, $5.685
08/28/2020, $6.13, 1410545, $6.11, $6.19, $5.955
08/27/2020, $6.09, 2129530, $5.97, $6.185, $5.925
08/26/2020, $5.87, 2144472, $6.21, $6.21, $5.83
08/25/2020, $6.13, 1863658, $6.12, $6.25, $5.92
08/24/2020, $6.03, 2146659, $5.87, $6.12, $5.76
08/21/2020, $5.84, 2816278, $5.72, $5.98, $5.64
08/20/2020, $5.76, 6299986, $5.75, $6.06, $5.675
08/19/2020, $6.2, 1533978, $6.25, $6.31, $6.05
08/18/2020, $6.27, 2565170, $6.38, $6.64, $6.22
08/17/2020, $6.38, 2970041, $6.5, $6.5612, $6.11
08/14/2020, $6.47, 5584986, $5.9, $6.84, $5.9
08/13/2020, $6.02, 1217922, $6.11, $6.18, $5.91
08/12/2020, $6.17, 1688809, $6.03, $6.24, $5.94
08/11/2020, $5.93, 1001793, $6.33, $6.41, $5.91
08/10/2020, $6.22, 2943522, $6.15, $6.59, $6.065
08/07/2020, $6.11, 1215504, $5.8, $6.13, $5.78
08/06/2020, $5.9, 1675591, $5.9, $6.0174, $5.58
08/05/2020, $6.03, 1846727, $6.27, $6.29, $5.91
08/04/2020, $6.15, 2559203, $6, $6.29, $5.8599
08/03/2020, $5.99, 3086109, $5.44, $6.17, $5.44
07/31/2020, $5.36, 1011808, $5.26, $5.38, $5.125
07/30/2020, $5.26, 1277890, $5.28, $5.36, $5.12
07/29/2020, $5.44, 1150347, $5.23, $5.44, $5.11
07/28/2020, $5.23, 1719114, $5.34, $5.47, $5.23
07/27/2020, $5.34, 1134771, $5.6, $5.615, $5.19
07/24/2020, $5.63, 1541520, $5.54, $5.73, $5.46
07/23/2020, $5.54, 3071334, $5.36, $5.6, $5.18
07/22/2020, $5.18, 1829987, $5.16, $5.36, $4.8931
07/21/2020, $5.1, 2892883, $4.82, $5.325, $4.81
07/20/2020, $4.65, 927518, $4.75, $4.8335, $4.65
07/17/2020, $4.78, 1010513, $4.8, $4.85, $4.66
07/16/2020, $4.81, 1245432, $4.62, $4.93, $4.6009
07/15/2020, $4.66, 1258003, $4.5, $4.71, $4.47
07/14/2020, $4.44, 1022963, $4.35, $4.59, $4.35
07/13/2020, $4.41, 1596965, $4.66, $4.87, $4.4
07/10/2020, $4.64, 1266866, $4.6, $4.69, $4.56
07/09/2020, $4.63, 1434342, $4.76, $4.78, $4.52
07/08/2020, $4.76, 1012976, $4.75, $4.9, $4.66
07/07/2020, $4.78, 2160504, $4.75, $4.96, $4.6501
07/06/2020, $4.83, 2539089, $4.62, $4.97, $4.56
07/02/2020, $4.49, 1125529, $4.4, $4.55, $4.27
07/01/2020, $4.31, 1157907, $4.35, $4.42, $4.24
06/30/2020, $4.38, 1610087, $4.31, $4.4299, $4.205
06/29/2020, $4.4, 1483276, $4.16, $4.495, $4.13
06/26/2020, $4.1, 3238442, $4.4, $4.43, $4.08
06/25/2020, $4.44, 1142202, $4.31, $4.56, $4.31
06/24/2020, $4.43, 1604344, $4.52, $4.5801, $4.4
06/23/2020, $4.57, 1318491, $4.53, $4.705, $4.49
06/22/2020, $4.55, 2224993, $4.72, $4.77, $4.425
06/19/2020, $4.68, 1448339, $4.85, $4.9371, $4.613
06/18/2020, $4.78, 1510079, $4.82, $4.96, $4.71
06/17/2020, $4.87, 2217599, $4.99, $5.105, $4.85
06/16/2020, $4.9, 1740597, $5.12, $5.12, $4.67
06/15/2020, $4.9, 2265268, $4.7, $4.92, $4.54
06/12/2020, $4.85, 1671048, $5.11, $5.1728, $4.84
06/11/2020, $4.88, 2297211, $4.87, $5.27, $4.82
06/10/2020, $5.41, 1581281, $5.9, $5.905, $5.32
06/09/2020, $5.93, 1337728, $5.96, $6.01, $5.62
06/08/2020, $6.1, 2810722, $5.93, $6.13, $5.61
06/05/2020, $5.61, 3393688, $5.5, $5.63, $5.33
06/04/2020, $5.34, 1237181, $5.33, $5.44, $5.29
06/03/2020, $5.38, 1185645, $5.4, $5.41, $5.31
06/02/2020, $5.36, 1232302, $5.31, $5.41, $5.3
06/01/2020, $5.31, 1241143, $5.41, $5.43, $5.26
