Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.27, 26191, $11.6, $11.74, $11.065
01/19/2021, $11.53, 29726, $11.4, $11.67, $10.8625
01/15/2021, $11.24, 12375, $11.15, $11.34, $10.9722
01/14/2021, $11.23, 17083, $11.11, $11.298, $11.04
01/13/2021, $11.05, 14028, $10.97, $11.16, $10.8
01/12/2021, $10.91, 11611, $10.7, $10.91, $10.68
01/11/2021, $10.61, 19189, $10.9, $10.9, $10.6
01/08/2021, $10.93, 14289, $11.22, $11.37, $10.88
01/07/2021, $11.15, 35039, $10.925, $11.43, $10.79
01/06/2021, $11.16, 32862, $11.16, $11.48, $11.12
01/05/2021, $11.11, 21807, $10.93, $11.31, $10.91
01/04/2021, $10.8, 58157, $10.99, $10.99, $10.0501
12/31/2020, $10.79, 93744, $11.02, $11.06, $10.79
12/30/2020, $10.93, 25635, $11.12, $11.17, $10.7982
12/29/2020, $10.95, 54914, $11.04, $11.26, $10.76
12/28/2020, $11.18, 24574, $11.42, $11.49, $11
12/24/2020, $11.18, 12494, $11.18, $11.39, $11.083
12/23/2020, $11.04, 42504, $11.11, $11.23, $10.89
12/22/2020, $11.03, 17301, $11.1475, $11.4472, $10.9071
12/21/2020, $11.13, 55043, $11.1, $11.4612, $10.9
12/18/2020, $11.41, 198120, $11.12, $11.5, $10.85
12/17/2020, $11, 33545, $11.12, $11.31, $10.81
12/16/2020, $11.18, 122282, $11.21, $11.5311, $10.96
12/15/2020, $11.4, 118609, $11.69, $11.8572, $10.4
12/14/2020, $11.55, 92148, $11.76, $11.94, $11.18
12/11/2020, $11.28, 49897, $11.17, $11.51, $11.06
12/10/2020, $11.4, 29745, $11.27, $11.71, $11.27
12/09/2020, $11.12, 43598, $11.99, $11.99, $11.12
12/08/2020, $11.96, 35947, $11.21, $11.99, $10.98
12/07/2020, $11.17, 18411, $10.72, $11.32, $10.51
12/04/2020, $10.67, 15608, $10.78, $10.95, $10.53
12/03/2020, $10.68, 8597, $10.87, $11.209, $10.63
12/02/2020, $10.9, 19056, $11.29, $11.3414, $10.69
12/01/2020, $11.24, 18833, $11.36, $11.98, $11.189
11/30/2020, $11.37, 12035, $11.55, $11.55, $11.1626
11/27/2020, $11.37, 5997, $11.37, $11.7631, $11.25
11/25/2020, $11.41, 17642, $11.58, $11.9349, $11.0494
11/24/2020, $11.73, 31076, $12.31, $12.44, $11.33
11/23/2020, $12.44, 48737, $13.44, $13.44, $12.31
11/20/2020, $13.27, 35536, $12.37, $13.45, $11.9917
11/19/2020, $12.59, 21028, $12.14, $12.8899, $12.14
11/18/2020, $12.43, 40644, $12.37, $13.04, $11.95
11/17/2020, $12.37, 80507, $11.85, $12.97, $11.17
11/16/2020, $12.23, 60441, $10.87, $12.23, $10.79
11/13/2020, $10.64, 20107, $9.59, $10.86, $9.59
11/12/2020, $9.4, 10860, $9.86, $10.095, $9.36
11/11/2020, $9.99, 19035, $10, $10.33, $9.89
11/10/2020, $9.8, 25198, $9.56, $10.15, $9.56
11/09/2020, $9.4, 21249, $9.38, $9.89, $9.27
11/06/2020, $8.88, 15854, $9.24, $9.32, $8.86
11/05/2020, $9.28, 17496, $9.29, $9.39, $9.01
11/04/2020, $9.26, 8396, $8.9, $9.26, $8.83
11/03/2020, $8.73, 17601, $8.58, $8.73, $8.51
11/02/2020, $8.39, 21368, $8.706, $8.753, $8.3
10/30/2020, $8.78, 26473, $8.77, $8.89, $8.7
10/29/2020, $8.83, 9107, $8.7, $8.87, $8.7
10/28/2020, $8.72, 20709, $8.88, $8.9226, $8.72
10/27/2020, $8.96, 79443, $9.09, $9.21, $8.93
10/26/2020, $8.71, 43718, $9.03, $9.14, $8.6869
10/23/2020, $8.9, 17061, $9.19, $9.3, $8.9
10/22/2020, $9.18, 16936, $9.1, $9.29, $9.1
10/21/2020, $9.1, 17022, $9.18, $9.235, $9.03
10/20/2020, $9.41, 19849, $9.1, $9.4399, $9.0001
10/19/2020, $9.24, 36017, $9.01, $9.4999, $8.93
10/16/2020, $9.01, 13199, $9.1, $9.14, $8.9
10/15/2020, $9, 6126, $9.035, $9.11, $8.91
10/14/2020, $9.2, 13877, $9.1, $9.23, $8.88
10/13/2020, $9.25, 10276, $9.18, $9.37, $9.01
10/12/2020, $9.35, 6730, $9.24, $9.37, $9.13
10/09/2020, $9.31, 5144, $9.47, $9.47, $8.9853
10/08/2020, $9.46, 13780, $9.48, $9.62, $9.2601
10/07/2020, $9.36, 15527, $9.49, $9.49, $9.18
10/06/2020, $9.31, 15585, $8.96, $9.47, $8.96
10/05/2020, $9.03, 23489, $8.6, $9.11, $8.09
10/02/2020, $8.8, 6524, $8.95, $8.95, $8.7409
10/01/2020, $8.99, 11076, $9.2, $9.2, $8.99
09/30/2020, $9.25, 11017, $9.23, $9.35, $9.195
09/29/2020, $9.26, 9921, $9.25, $9.3, $9.23
09/28/2020, $9.2, 15806, $9.35, $9.49, $9.14
09/25/2020, $9.35, 14410, $9.15, $9.56, $9.15
09/24/2020, $9.07, 20908, $8.88, $9.17, $8.78
09/23/2020, $8.9, 38319, $8.89, $8.98, $8.87
09/22/2020, $8.88, 30429, $8.985, $8.9899, $8.6
09/21/2020, $8.5, 38225, $9.15, $9.19, $8.19
09/18/2020, $9.11, 40904, $8.71, $9.11, $8.42
09/17/2020, $8.61, 39638, $8.14, $8.6881, $8.1
09/16/2020, $8.33, 27498, $8.28, $8.48, $7.9053
09/15/2020, $8.28, 99424, $8.05, $8.54, $8.04
09/14/2020, $7.58, 63937, $7.6, $7.68, $7.39
09/11/2020, $7.32, 20967, $7.19, $7.57, $7.19
09/10/2020, $7.05, 14905, $7.41, $7.5, $7.05
09/09/2020, $7.43, 30870, $7.26, $7.68, $7.26
09/08/2020, $7.27, 18970, $7.9, $7.9, $7.26
09/04/2020, $8.02, 16380, $8.035, $8.12, $7.85
09/03/2020, $8.04, 30041, $8.23, $8.29, $7.9215
09/02/2020, $8.36, 16888, $8.21, $8.58, $8.13
09/01/2020, $8.44, 19741, $8.19, $8.44, $8.08
08/31/2020, $8.28, 15314, $8.31, $8.53, $8.125
08/28/2020, $8.42, 29754, $8.57, $8.65, $8.2513
08/27/2020, $8.46, 12047, $8.67, $8.71, $8.4
08/26/2020, $8.71, 13849, $8.47, $8.86, $8.47
08/25/2020, $8.55, 26108, $8.36, $8.63, $8.2
08/24/2020, $8.53, 6990, $8.28, $8.56, $8.175
08/21/2020, $8.28, 18069, $8.88, $8.88, $8.08
08/20/2020, $8.98, 6996, $9.1, $9.1, $8.8637
08/19/2020, $9.09, 8299, $9.2, $9.22, $9.01
08/18/2020, $9.15, 10565, $9.88, $9.88, $9.15
08/17/2020, $9.78, 9424, $9.94, $9.94, $9.61
08/14/2020, $9.95, 17243, $9.46, $9.97, $9.31
08/13/2020, $9.44, 10593, $9.45, $9.46, $9.37
08/12/2020, $9.41, 14095, $9.29, $9.43, $9.15
08/11/2020, $9.16, 28950, $9.47, $9.52, $9.105
08/10/2020, $9.41, 31442, $9.04, $9.63, $8.98
08/07/2020, $8.96, 14391, $8.785, $9.19, $8.785
08/06/2020, $8.84, 19347, $8.74, $8.84, $8.61
08/05/2020, $8.78, 30764, $8.75, $8.82, $8.4
08/04/2020, $8.7, 14179, $8.6, $8.7, $8.55
08/03/2020, $8.51, 42235, $8.59, $8.63, $8.2639
07/31/2020, $8.74, 36566, $9.14, $9.14, $8.7
07/30/2020, $9.13, 44474, $8.97, $9.13, $8.72
07/29/2020, $9.05, 38033, $8.48, $9.1565, $8.48
