Date, Close/Last, Volume, Open, High, Low
01/20/2021, $38.65, 61470, $39.4, $39.72, $38.32
01/19/2021, $39.46, 116627, $39.61, $39.8, $38.8428
01/15/2021, $39.07, 194682, $38.39, $39.2844, $38.2
01/14/2021, $38.93, 89030, $39.08, $39.27, $38.605
01/13/2021, $38.64, 75860, $39.5, $39.5, $38.28
01/12/2021, $39.61, 79754, $39.03, $39.9, $39
01/11/2021, $39.04, 39745, $38.79, $39.22, $38.41
01/08/2021, $39.22, 48658, $39.55, $39.75, $38.13
01/07/2021, $39.62, 35977, $40.18, $40.18, $39.16
01/06/2021, $39.58, 104225, $38, $40.44, $38
01/05/2021, $37.16, 46619, $36.82, $37.52, $36.485
01/04/2021, $36.67, 60689, $37.05, $37.9777, $36.341
12/31/2020, $37.05, 24626, $36.74, $37.16, $36.47
12/30/2020, $36.8, 40719, $36.63, $37.3483, $36.53
12/29/2020, $36.67, 28880, $37.55, $37.55, $36.19
12/28/2020, $37.58, 43456, $37.27, $37.88, $37.2
12/24/2020, $37.07, 20314, $36.85, $37.07, $36.5
12/23/2020, $36.98, 42548, $35.86, $36.98, $35.8
12/22/2020, $35.82, 85667, $35.82, $36.39, $35.61
12/21/2020, $35.9, 56788, $36.8, $37.09, $35.85
12/18/2020, $37, 222109, $37.36, $37.43, $36.5
12/17/2020, $37.41, 45467, $37.66, $37.87, $36.76
12/16/2020, $37.44, 41655, $37.56, $37.85, $37.2053
12/15/2020, $37.44, 46002, $37.21, $37.6, $36.62
12/14/2020, $36.86, 40981, $37.26, $37.6879, $36.62
12/11/2020, $37.38, 55714, $37.03, $37.82, $36.84
12/10/2020, $37.24, 50361, $37, $37.32, $36.63
12/09/2020, $37.06, 64311, $38.49, $38.5, $36.86
12/08/2020, $35.82, 57463, $35.86, $36, $35.39
12/07/2020, $35.63, 41834, $34.95, $35.835, $34.95
12/04/2020, $35.73, 24113, $35.18, $35.755, $35.028
12/03/2020, $34.95, 70506, $35.2, $35.2, $34.71
12/02/2020, $35.07, 30626, $34.48, $35.07, $34.355
12/01/2020, $34.56, 55778, $34.44, $35.4, $34.32
11/30/2020, $33.85, 62138, $34.8, $34.8496, $33.65
11/27/2020, $34.67, 19011, $35.44, $35.44, $34.1648
11/25/2020, $35.5, 33240, $34.96, $35.99, $34.96
11/24/2020, $36.19, 63152, $35.47, $36.4, $35.38
11/23/2020, $34.54, 31202, $34.61, $34.92, $34.2927
11/20/2020, $34.27, 46352, $34.03, $34.275, $33.36
11/19/2020, $34.63, 49402, $34.73, $34.96, $33.35
11/18/2020, $34.72, 39502, $35.79, $35.98, $34.65
11/17/2020, $35.44, 40111, $35.14, $35.84, $34.43
11/16/2020, $35.61, 61511, $35.19, $35.96, $34.7301
11/13/2020, $34.36, 39071, $33.71, $34.47, $33.54
11/12/2020, $33.21, 24282, $33.52, $34.0799, $33
11/11/2020, $34.09, 34098, $35.46, $35.71, $33.67
11/10/2020, $35.26, 50863, $34.31, $35.45, $33.5
11/09/2020, $33.86, 120444, $32.52, $34.63, $32.2897
11/06/2020, $30.27, 38987, $31.72, $31.72, $30.21
11/05/2020, $31.4, 25685, $30.53, $31.5, $30.53
11/04/2020, $30.48, 36503, $32.34, $32.34, $30.35
11/03/2020, $32.9, 79604, $32.83, $33, $32.32
11/02/2020, $32.17, 29668, $32.24, $32.38, $31.7068
10/30/2020, $31.82, 49204, $31.29, $32, $31.0966
10/29/2020, $31.39, 43067, $30.86, $31.59, $30.74
10/28/2020, $31.04, 49492, $30.67, $31.385, $30.67
10/27/2020, $31.33, 36098, $32.21, $32.21, $31.28
10/26/2020, $32.36, 35866, $32.11, $32.47, $31.86
10/23/2020, $32.68, 54308, $33, $33.03, $32.06
10/22/2020, $32.95, 69941, $31.73, $33.1, $31.73
10/21/2020, $31.65, 46237, $31.2, $31.81, $31.2
10/20/2020, $31, 44911, $30.86, $31.31, $30.7836
10/19/2020, $30.57, 33548, $31.13, $31.4999, $30.49
10/16/2020, $30.9, 39186, $30.89, $31.22, $30.62
