Date, Close/Last, Volume, Open, High, Low
01/20/2021, $2.08, 162350, $2.19, $2.24, $2.03
01/19/2021, $2.09, 252839, $2.03, $2.16, $1.94
01/15/2021, $1.9802, 354635, $2, $2.09, $1.86
01/14/2021, $2.02, 206450, $1.97, $2.04, $1.87
01/13/2021, $1.94, 227951, $2.01, $2.04, $1.8638
01/12/2021, $1.94, 270394, $2.03, $2.06, $1.92
01/11/2021, $2.11, 1178878, $1.61, $2.19, $1.61
01/08/2021, $1.8246, 219814, $1.67, $1.85, $1.62
01/07/2021, $1.67, 116216, $1.6, $1.72, $1.6
01/06/2021, $1.59, 172089, $1.54, $1.67, $1.53
01/05/2021, $1.54, 76078, $1.45, $1.55, $1.45
01/04/2021, $1.44, 66181, $1.47, $1.4799, $1.42
12/31/2020, $1.45, 182821, $1.48, $1.56, $1.43
12/30/2020, $1.48, 237285, $1.52, $1.59, $1.48
12/29/2020, $1.52, 207323, $1.61, $1.68, $1.4901
12/28/2020, $1.57, 202809, $1.62, $1.68, $1.53
12/24/2020, $1.58, 198730, $1.61, $1.61, $1.55
12/23/2020, $1.59, 207443, $1.58, $1.63, $1.52
12/22/2020, $1.53, 351600, $1.55, $1.59, $1.5
12/21/2020, $1.55, 321822, $1.58, $1.61, $1.5201
12/18/2020, $1.55, 2697465, $1.39, $1.72, $1.32
12/17/2020, $1.42, 1271278, $1.34, $1.54, $1.34
12/16/2020, $1.37, 200878, $1.4, $1.4, $1.3
12/15/2020, $1.38, 343527, $1.46, $1.47, $1.38
12/14/2020, $1.45, 1938527, $1.4, $1.64, $1.37
12/11/2020, $1.39, 366031, $1.45, $1.46, $1.35
12/10/2020, $1.48, 2614563, $1.5, $1.7, $1.44
12/09/2020, $1.48, 732463, $1.42, $1.54, $1.39
12/08/2020, $1.449, 304485, $1.46, $1.5026, $1.38
12/07/2020, $1.47, 189577, $1.45, $1.55, $1.45
12/04/2020, $1.4704, 263377, $1.41, $1.53, $1.41
12/03/2020, $1.425, 28840, $1.41, $1.45, $1.407
12/02/2020, $1.43, 75643, $1.43, $1.4436, $1.36
12/01/2020, $1.42, 49891, $1.74, $1.74, $1.38
11/30/2020, $1.5, 85910, $1.56, $1.57, $1.46
11/27/2020, $1.55, 263254, $1.5, $1.56, $1.4725
11/25/2020, $1.47, 22812, $1.5, $1.5, $1.46
11/24/2020, $1.45, 60737, $1.39, $1.49, $1.3761
11/23/2020, $1.37, 113343, $1.33, $1.45, $1.33
11/20/2020, $1.39, 37888, $1.41, $1.41, $1.365
11/19/2020, $1.41, 102717, $1.35, $1.56, $1.32
11/18/2020, $1.38, 107693, $1.55, $1.55, $1.31
