Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.58, 1699544, $16.59, $16.86, $14.53
03/23/2021, $16.47, 1089874, $16.9, $17.06, $16.2
03/22/2021, $17.07, 706520, $16.63, $17.29, $16.5
03/19/2021, $16.1, 1205923, $16.73, $16.83, $15.42
03/18/2021, $16.6, 539383, $16.7, $17.0994, $16.13
03/17/2021, $16.61, 662029, $16.3, $16.9, $15.66
03/16/2021, $16.84, 552058, $17.55, $17.945, $16.6089
03/15/2021, $17.37, 429784, $17.13, $17.66, $16.8
03/12/2021, $16.99, 624793, $16.75, $17.49, $16.403
03/11/2021, $17.42, 616437, $17.36, $17.4607, $16.61
03/10/2021, $16.68, 772564, $17.25, $17.5613, $16.4158
03/09/2021, $16.44, 1113069, $15.82, $16.65, $15.1784
03/08/2021, $14.72, 955337, $15.21, $15.36, $14.5301
03/05/2021, $14.6, 1321912, $15.5, $15.53, $13.27
03/04/2021, $15.22, 1641545, $16.69, $17.17, $14.47
03/03/2021, $16.74, 1306845, $19.32, $19.495, $16.7
03/02/2021, $18.63, 601362, $19.19, $19.59, $18.55
03/01/2021, $18.86, 713045, $18.14, $18.94, $18.04
02/26/2021, $17.37, 1232745, $17.22, $17.84, $16.1
02/25/2021, $17.24, 1078199, $18.334, $18.96, $16.72
02/24/2021, $18.5, 1378015, $18.5, $19.18, $18
02/23/2021, $18.96, 2657757, $18.8, $20.31, $16.27
02/22/2021, $20.71, 2184205, $22.71, $22.71, $20.5
02/19/2021, $22.9, 1893708, $22.95, $23.39, $21.85
02/18/2021, $22.7, 2690969, $21.25, $24, $21
02/17/2021, $22.78, 3650697, $20.62, $22.99, $19.8201
02/16/2021, $19.67, 1823597, $19.81, $20.14, $18.91
02/12/2021, $18.69, 1051078, $18.764, $19.75, $18.29
02/11/2021, $19.54, 3650042, $18.9, $21.17, $18.4
02/10/2021, $17.48, 1399534, $18.3, $18.73, $17.29
02/09/2021, $17.79, 1341449, $18.41, $18.99, $17.52
02/08/2021, $17.93, 1697635, $19.5, $19.89, $17.8
02/05/2021, $19.03, 2771324, $17.21, $19.2, $16.81
02/04/2021, $16.93, 5648219, $15.23, $17.68, $14.71
02/03/2021, $15.8, 3132869, $16.7, $16.8342, $15.31
02/02/2021, $16.5, 2049834, $17.735, $17.8, $16.2
02/01/2021, $17.81, 598519, $17.8, $17.96, $17.28
01/29/2021, $17.41, 590045, $17.18, $17.8, $16.96
01/28/2021, $17.27, 695757, $17.36, $17.6298, $16.7
01/27/2021, $17.01, 1105392, $16.685, $17.88, $16.08
01/26/2021, $17.39, 796403, $17.92, $18.36, $17.04
01/25/2021, $17.87, 1400851, $19.677, $19.78, $17.66
01/22/2021, $18.81, 686913, $18.84, $18.9404, $18.16
01/21/2021, $18.555, 1804937, $19.85, $19.8734, $18.19
01/20/2021, $20.3, 1272549, $20.17, $20.72, $19.57
01/19/2021, $19.91, 2685790, $19.24, $20.01, $18.2879
01/15/2021, $18, 1446149, $18.26, $18.28, $17.17
01/14/2021, $16.85, 1119231, $17.1, $17.29, $16.53
01/13/2021, $16.52, 918450, $17.5, $17.69, $16.33
