Date, Close/Last, Volume, Open, High, Low
01/20/2021, $8.61, 141610, $8.63, $8.87, $8.48
01/19/2021, $8.59, 154835, $8.89, $8.89, $8.57
01/15/2021, $8.73, 253611, $8.78, $9.01, $8.39
01/14/2021, $8.88, 258296, $8.7, $9.005, $8.65
01/13/2021, $8.62, 371411, $8.9, $8.91, $8.27
01/12/2021, $8.89, 237904, $9, $9.22, $8.8701
01/11/2021, $9, 261476, $8.82, $9.19, $8.75
01/08/2021, $8.94, 358427, $9.41, $9.475, $8.84
01/07/2021, $9.41, 614382, $9.68, $9.86, $9.35
01/06/2021, $9.54, 666727, $9.59, $9.77, $9.33
01/05/2021, $9.38, 343625, $8.58, $9.54, $8.58
01/04/2021, $8.54, 249954, $8.91, $9.27, $8.42
12/31/2020, $8.65, 235242, $8.6, $8.9, $8.6
12/30/2020, $8.52, 174574, $8.36, $8.58, $8.35
12/29/2020, $8.35, 350010, $9.22, $9.245, $8.2447
12/28/2020, $9.25, 613526, $8.55, $9.73, $8.55
12/24/2020, $8.52, 286647, $8.55, $8.63, $8.41
12/23/2020, $8.46, 353216, $8.62, $8.67, $8.3677
12/22/2020, $8.5, 582222, $8.82, $8.89, $8.22
12/21/2020, $8.77, 302992, $8.85, $9.025, $8.69
12/18/2020, $8.87, 288235, $9.1, $9.13, $8.63
12/17/2020, $9.07, 233449, $9.3, $9.47, $9.0202
12/16/2020, $9.21, 267028, $9.75, $9.78, $9.15
12/15/2020, $9.56, 283105, $9.55, $9.74, $9.38
12/14/2020, $9.4, 333537, $9.49, $9.71, $9.35
12/11/2020, $9.42, 571704, $9.66, $9.73, $9.33
12/10/2020, $9.34, 470858, $8.73, $9.44, $8.48
12/09/2020, $8.83, 544035, $8.47, $9.3444, $8.47
12/08/2020, $8.49, 395985, $8.31, $8.8, $8.25
12/07/2020, $8.22, 333854, $7.8, $8.28, $7.5995
12/04/2020, $7.76, 392084, $7.27, $7.87, $7.15
12/03/2020, $7.19, 255453, $7.33, $7.39, $7.14
12/02/2020, $7.33, 175812, $7.18, $7.36, $7.06
12/01/2020, $7.18, 199881, $7.24, $7.34, $7.11
11/30/2020, $7.11, 280059, $7.27, $7.35, $7.05
11/27/2020, $7.29, 242239, $7.36, $7.48, $7.23
11/25/2020, $7.2, 166474, $7.21, $7.37, $7.06
11/24/2020, $7.3, 251158, $7.34, $7.39, $7.2001
11/23/2020, $7.2, 267660, $7.01, $7.39, $6.92
11/20/2020, $6.97, 483474, $7.15, $7.18, $6.31
11/19/2020, $7.17, 251214, $7.44, $7.67, $7.1
11/18/2020, $7.44, 303452, $7.475, $7.638, $7.4
11/17/2020, $7.37, 201038, $7.28, $7.46, $7.28
11/16/2020, $7.42, 293240, $7.44, $7.58, $7.39
11/13/2020, $7.32, 407042, $7.15, $7.44, $7.09
11/12/2020, $7.13, 333907, $7.01, $7.2999, $6.94
11/11/2020, $7.03, 260572, $7.09, $7.296, $6.7529
11/10/2020, $7.03, 459253, $7.48, $7.48, $6.98
11/09/2020, $6.99, 444765, $6.97, $7.18, $6.83
11/06/2020, $6.7, 166716, $6.61, $6.73, $6.29
11/05/2020, $6.64, 417350, $6.24, $6.9, $6.16
11/04/2020, $6.05, 180149, $6.3, $6.3, $5.86
11/03/2020, $6.29, 161451, $5.97, $6.35, $5.88
11/02/2020, $5.86, 125463, $5.9, $6.008, $5.7
10/30/2020, $5.85, 714163, $5.66, $6.14, $5.66
10/29/2020, $5.72, 184562, $5.4, $5.775, $5.185
10/28/2020, $5.39, 181258, $5.18, $5.48, $5.1
10/27/2020, $5.35, 193668, $5.53, $5.6299, $5.22
10/26/2020, $5.52, 194124, $5.88, $5.88, $5.44
10/23/2020, $5.98, 118980, $5.97, $6.05, $5.77
10/22/2020, $5.91, 107919, $5.91, $6.07, $5.74
10/21/2020, $5.91, 100024, $6.1, $6.18, $5.91
10/20/2020, $6.08, 174781, $6.15, $6.1937, $5.99
10/19/2020, $6.1, 162916, $5.79, $6.17, $5.77
10/16/2020, $5.76, 181623, $6.2, $6.365, $5.76
10/15/2020, $6.22, 143027, $6.34, $6.47, $6.01
10/14/2020, $6.43, 108521, $6.7, $6.87, $6.37
10/13/2020, $6.69, 336638, $6.57, $6.79, $6.57
10/12/2020, $6.5, 249569, $6.25, $6.52, $6.165
10/09/2020, $6.25, 171810, $6.66, $6.66, $6.23
10/08/2020, $6.59, 157729, $6.64, $6.75, $6.5
10/07/2020, $6.6, 166683, $6.61, $6.755, $6.49
10/06/2020, $6.54, 306938, $6.6, $6.65, $6.2752
10/05/2020, $6.48, 390834, $6.73, $6.9, $6.4
10/02/2020, $6.54, 442544, $6.32, $6.6, $6.01
10/01/2020, $6.57, 520672, $6.54, $6.67, $6.19
09/30/2020, $6.53, 608728, $6.07, $6.56, $5.985
09/29/2020, $6.02, 386563, $5.98, $6.09, $5.76
09/28/2020, $6.08, 741692, $5.24, $6.11, $5.1
09/25/2020, $5.12, 520170, $5.32, $5.46, $5.035
09/24/2020, $5.29, 268337, $4.95, $5.33, $4.8177
09/23/2020, $4.99, 252447, $5.02, $5.4699, $4.9575
09/22/2020, $5.01, 437231, $5.23, $5.58, $4.95
09/21/2020, $5.2, 431733, $5.54, $5.55, $5.14
09/18/2020, $5.73, 397635, $5.62, $5.88, $5.6
09/17/2020, $5.62, 266164, $5.64, $5.86, $5.34
09/16/2020, $5.67, 645417, $5.78, $5.92, $5.61
09/15/2020, $5.78, 761643, $5.35, $5.98, $5.29
09/14/2020, $5.31, 970192, $5.15, $5.3797, $4.82
09/11/2020, $5.09, 601354, $4.75, $5.21, $4.74
09/10/2020, $4.77, 575593, $4.75, $5.07, $4.7185
09/09/2020, $4.75, 140056, $4.61, $4.765, $4.52
09/08/2020, $4.57, 252882, $4.52, $4.73, $4.4202
09/04/2020, $4.7, 298038, $4.65, $4.89, $4.58
09/03/2020, $4.59, 167119, $4.59, $4.625, $4.41
09/02/2020, $4.62, 142796, $4.53, $4.62, $4.4
09/01/2020, $4.49, 533482, $4.51, $4.5401, $4.26
08/31/2020, $4.51, 522289, $4.78, $5.01, $4.46
08/28/2020, $4.63, 233338, $4.22, $4.64, $4.17
