Date, Close/Last, Volume, Open, High, Low
01/20/2021, $23.55, 3051, $23.1784, $23.55, $23.0305
01/19/2021, $22.7, 3810, $23.39, $23.39, $22.5
01/15/2021, $22.95, 855, $23.15, $23.15, $22.95
01/14/2021, $22.94, N/A, $22.94, $22.94, $22.94
01/13/2021, $22.94, N/A, $22.94, $22.94, $22.94
01/12/2021, $22.94, 1420, $22.62, $22.94, $22.62
01/11/2021, $22.94, N/A, $22.94, $22.94, $22.94
01/08/2021, $22.94, 1205, $22.75, $22.94, $22.5
01/07/2021, $23.175, 793, $23.01, $23.175, $23.01
01/06/2021, $22.75, 115, $22.75, $22.75, $22.75
01/05/2021, $22.36, 1015, $23, $23.0001, $22.36
01/04/2021, $22.86, N/A, $22.86, $22.86, $22.86
12/31/2020, $22.86, 259, $22.86, $22.86, $22.86
12/30/2020, $23.556, 556, $22.88, $23.556, $22.88
12/29/2020, $23.6499, 283, $23.6499, $23.6499, $23.6499
12/28/2020, $23.6234, N/A, $23.6234, $23.6234, $23.6234
12/24/2020, $23.6234, N/A, $23.6234, $23.6234, $23.6234
12/23/2020, $23.6234, N/A, $23.6234, $23.6234, $23.6234
12/22/2020, $23.6234, 841, $22.8312, $23.6234, $22.8312
12/21/2020, $23.5, 322, $23.5, $23.5, $23.5
12/18/2020, $23.61, 1143, $24, $24.3065, $23.61
12/17/2020, $23.8074, 632, $23.95, $23.99, $23.8074
12/16/2020, $23.5, 648, $23.5, $23.5, $23.5
12/15/2020, $24, 558, $23.88, $24, $23.88
12/14/2020, $23.276, 1502, $23.71, $23.75, $23
12/11/2020, $23.3749, 237, $23.3749, $23.3749, $23.3749
12/10/2020, $22.6, 2707, $22.0263, $22.8339, $22
12/09/2020, $22.562, N/A, $22.562, $22.562, $22.562
12/08/2020, $22.562, 402, $22.51, $22.562, $22.51
12/07/2020, $22.515, 4943, $24.3, $24.81, $22.515
12/04/2020, $22.2987, 1427, $22.175, $22.3355, $21.8
12/03/2020, $21.9, 1429, $21.8365, $22, $21.8365
12/02/2020, $21.6, 1662, $21.2842, $21.6, $21.2842
12/01/2020, $21, 193, $21, $21, $21
11/30/2020, $21.2435, N/A, $21.2435, $21.2435, $21.2435
11/27/2020, $21.2435, 3176, $21.39, $21.44, $20.87
11/25/2020, $20.7101, 5314, $21.7041, $21.7041, $20.7101
11/24/2020, $21.41, 1326, $22, $22, $21.3296
11/23/2020, $21.1701, 537, $21.4165, $21.4165, $21.1701
11/20/2020, $21.681, 162, $21.681, $21.681, $21.681
11/19/2020, $22, 132, $22, $22, $22
11/18/2020, $21.5048, N/A, $21.5048, $21.5048, $21.5048
11/17/2020, $21.5048, 333, $21.5048, $21.5048, $21.5048
11/16/2020, $21.71, 357, $21.71, $21.71, $21.71
11/13/2020, $20.9642, 915, $21.22, $21.22, $20.9642
11/12/2020, $21.47, 308, $21.2013, $21.47, $21.2013
11/11/2020, $20.5, 543, $20.5, $20.5, $20.5
11/10/2020, $20.4, 1881, $20.02, $21.4157, $20.02
11/09/2020, $20.84, 1500, $20.5, $21.18, $20.325
11/06/2020, $21.425, N/A, $21.425, $21.425, $21.425
11/05/2020, $21.425, 1020, $20.9, $21.5, $20.9
11/04/2020, $21.45, 1458, $21.4, $21.45, $21
11/03/2020, $21.4735, 1101, $20.77, $21.9491, $20.77
11/02/2020, $21, 2137, $21, $21, $20.97
10/30/2020, $20.98, N/A, $20.98, $20.98, $20.98
10/29/2020, $20.98, 673, $20.659, $20.98, $20.659
10/28/2020, $20.9999, N/A, $20.9999, $20.9999, $20.9999
10/27/2020, $20.9999, N/A, $20.9999, $20.9999, $20.9999
10/26/2020, $20.9999, N/A, $20.9999, $20.9999, $20.9999
10/23/2020, $20.9999, 889, $20.6256, $20.9999, $20.6256
10/22/2020, $21.06, N/A, $21.06, $21.06, $21.06
10/21/2020, $21.06, N/A, $21.06, $21.06, $21.06
10/20/2020, $21.06, 465, $21.5474, $21.5474, $21.06
10/19/2020, $20.9, 2114, $21.3493, $21.8, $20.9
10/16/2020, $21.3647, 430, $21.4796, $21.4796, $21.3647
10/15/2020, $20.74, N/A, $20.74, $20.74, $20.74
10/14/2020, $20.74, 327, $20.74, $20.74, $20.74
10/13/2020, $20.76, 2765, $21.5753, $21.5753, $19.8
10/12/2020, $20.5, 2529, $21.4783, $21.4783, $20.5
10/09/2020, $20.7, 112, $20.7, $20.7, $20.7
10/08/2020, $20.51, 815, $21.01, $21.01, $20.28
10/07/2020, $21, 2183, $21.2002, $22.45, $21
10/06/2020, $21.0001, 593, $21, $21.5931, $21
10/05/2020, $21, 1101, $20.55, $21, $20.52
10/02/2020, $21.6, N/A, $21.6, $21.6, $21.6
10/01/2020, $21.6, N/A, $21.6, $21.6, $21.6
09/30/2020, $21.6, 995, $21.552, $21.6, $20.4
09/29/2020, $20.54, 218, $20.54, $20.54, $20.54
09/28/2020, $21.1917, 955, $22, $22, $21.1917
09/25/2020, $21.94, 867, $21.94, $21.94, $21.94
09/24/2020, $20.6, 338, $20.6, $20.6, $20.6
09/23/2020, $20.1, N/A, $20.1, $20.1, $20.1
09/22/2020, $20.1, 429, $20.03, $20.1, $20.03
09/21/2020, $20.2303, 1511, $21.26, $21.26, $20.13
09/18/2020, $21.35, 299, $21.35, $21.35, $21.35
09/17/2020, $20.33, N/A, $20.33, $20.33, $20.33
09/16/2020, $20.33, N/A, $20.33, $20.33, $20.33
09/15/2020, $20.33, 1026, $20.75, $20.75, $20.33
09/14/2020, $20.75, 1677, $20.1, $20.75, $20.1
09/11/2020, $20.26, 1409, $20.97, $20.97, $20.26
09/10/2020, $20.97, N/A, $20.97, $20.97, $20.97
09/09/2020, $20.97, 296, $21.68, $21.68, $20.97
09/08/2020, $20.725, 318, $20.725, $20.725, $20.725
09/04/2020, $20, 226, $19.96, $20, $19.96
09/03/2020, $19.9, 383, $20.505, $20.505, $19.9
09/02/2020, $20.03, 313, $20.06, $20.06, $20.03
09/01/2020, $20.59, 1433, $20.7, $20.7, $20.367
08/31/2020, $20.52, 1453, $20.78, $20.78, $20.5
08/28/2020, $20.53, 1972, $20.2, $20.85, $20.2
08/27/2020, $21.1872, 1307, $21, $21.1872, $21
08/26/2020, $21.15, 1200, $20.8, $21.5, $20.8
08/25/2020, $20.9, 3168, $20.5, $21, $20.5
08/24/2020, $20.4, 1112, $20.3, $20.7, $20.3
08/21/2020, $19.9, 7117, $20.5261, $20.5261, $19.53
08/20/2020, $20.99, 1215, $20.53, $20.99, $20.51
08/19/2020, $20.99, 5920, $21.03, $21.03, $19.5
08/18/2020, $21.6, N/A, $21.6, $21.6, $21.6
08/17/2020, $21.6, 1275, $20.75, $21.6, $20.75
08/14/2020, $20.51, 159, $20.51, $20.51, $20.51
08/13/2020, $20.37, N/A, $20.37, $20.37, $20.37
08/12/2020, $20.37, 132, $20.37, $20.37, $20.37
08/11/2020, $20, 4815, $20.78, $20.8838, $19.5001
08/10/2020, $21, N/A, $21, $21, $21
08/07/2020, $21, 4005, $21, $21.105, $20.5
08/06/2020, $20.75, 153, $20.75, $20.75, $20.75
08/05/2020, $20.5, 270, $20.5, $20.5, $20.5
08/04/2020, $20.91, N/A, $20.91, $20.91, $20.91
08/03/2020, $20.91, N/A, $20.91, $20.91, $20.91
07/31/2020, $20.91, N/A, $20.91, $20.91, $20.91
07/30/2020, $20.91, 1046, $20.91, $20.91, $20.91
07/29/2020, $20.9999, N/A, $20.9999, $20.9999, $20.9999
07/28/2020, $20.9999, N/A, $20.9999, $20.9999, $20.9999
07/27/2020, $20.9999, 527, $20.65, $21.58, $20.65
07/24/2020, $20.6, 387, $21.55, $21.55, $20.6
07/23/2020, $20.7906, 751, $21.35, $21.35, $20.3301
07/22/2020, $21.51, 1384, $20.35, $21.5499, $20.35
07/21/2020, $20.75, 442, $21, $21.59, $20.75
07/20/2020, $20.61, 545, $20.53, $20.61, $20.53
07/17/2020, $20.85, 1563, $20.83, $21.225, $20.83
07/16/2020, $20.49, 1423, $20.49, $20.49, $20.4898
07/15/2020, $20.5, N/A, $20.5, $20.5, $20.5
07/14/2020, $20.5, 2716, $20.62, $21.1505, $20.5
07/13/2020, $21.89, N/A, $21.89, $21.89, $21.89
07/10/2020, $21.89, 340, $21, $21.89, $21
07/09/2020, $21, 936, $21.1432, $21.1432, $20.5
07/08/2020, $20.51, 298, $21.8481, $21.8481, $20.51
07/07/2020, $21.13, 1191, $20.68, $21.13, $20.63
07/06/2020, $21.61, 862, $21.324, $21.61, $20.7
07/02/2020, $20.8, N/A, $20.8, $20.8, $20.8
07/01/2020, $20.8, N/A, $20.8, $20.8, $20.8
06/30/2020, $20.8, N/A, $20.8, $20.8, $20.8
06/29/2020, $20.8, N/A, $20.8, $20.8, $20.8
06/26/2020, $20.8, 115, $20.8, $20.8, $20.8
06/25/2020, $20.8, 577, $21.5, $21.5, $20.8
06/24/2020, $20, 3794, $20, $20.5, $19.5
06/23/2020, $20.1901, N/A, $20.1901, $20.1901, $20.1901
06/22/2020, $20.1901, 247, $20.1901, $20.1901, $20.1901
06/19/2020, $20.46, 1426, $22.46, $22.46, $20.46
06/18/2020, $21, N/A, $21, $21, $21
06/17/2020, $21, N/A, $21, $21, $21
06/16/2020, $21, 320, $21.12, $21.12, $21
06/15/2020, $21.9122, N/A, $21.9122, $21.9122, $21.9122
06/12/2020, $21.9122, N/A, $21.9122, $21.9122, $21.9122
06/11/2020, $21.9122, N/A, $21.9122, $21.9122, $21.9122
