Date, Close/Last, Volume, Open, High, Low
01/20/2021, $162.73, 346162, $164.5, $167.2285, $162.6
01/19/2021, $164.07, 539624, $161.7, $166.08, $157.68
01/15/2021, $160, 606752, $159.97, $162.85, $156.125
01/14/2021, $158.2, 264023, $157.09, $160.485, $156.825
01/13/2021, $157.48, 461005, $162.5, $162.54, $156.11
01/12/2021, $162.33, 922203, $159.6, $164.23, $157.01
01/11/2021, $154.18, 459736, $151.19, $156.21, $148.165
01/08/2021, $152.58, 550851, $153.78, $154.96, $150.77
01/07/2021, $150.33, 694005, $146.99, $151.25, $146.0946
01/06/2021, $144.83, 904982, $148.27, $148.9592, $142.78
01/05/2021, $152.65, 458435, $154.1, $155.22, $150.63
01/04/2021, $154.69, 780636, $161.86, $162.42, $151.49
12/31/2020, $161.59, 227071, $161.79, $162.43, $159.68
12/30/2020, $161, 695084, $160.4, $164.6999, $160.4
12/29/2020, $159.65, 616654, $165.58, $167.34, $157.77
12/28/2020, $163.96, 483352, $161.96, $165, $160.74
12/24/2020, $161.17, 235150, $161.2, $163.65, $159.01
12/23/2020, $161.43, 1275117, $163.17, $166.05, $157.34
12/22/2020, $162.84, 2122513, $149.67, $163.1785, $149
12/21/2020, $146.59, 1529008, $140.76, $151, $140.2537
12/18/2020, $145.08, 2729416, $125.84, $145.88, $125.3
12/17/2020, $124.71, 818469, $119.89, $125.39, $119.89
12/16/2020, $119.28, 644515, $116.09, $120.87, $115.63
12/15/2020, $115.68, 368232, $113, $115.79, $112.276
12/14/2020, $112.76, 326211, $110.74, $113.74, $110.07
12/11/2020, $110.45, 291310, $107.81, $110.65, $106.83
12/10/2020, $107.63, 605812, $108.33, $109.7, $105.5
12/09/2020, $109.23, 467732, $113.23, $113.23, $108.445
12/08/2020, $113.34, 379084, $111.73, $113.84, $111
12/07/2020, $111.88, 452712, $114, $114.5, $111.87
12/04/2020, $113.9, 368326, $114.5, $115.59, $113.6
12/03/2020, $114.49, 410932, $112.91, $116.71, $112.91
12/02/2020, $112.71, 301084, $112.72, $112.81, $110.66
12/01/2020, $112.97, 399602, $114.54, $115.5, $112.21
11/30/2020, $114.87, 614679, $113.2, $115.53, $113.04
11/27/2020, $113.2, 159418, $112.75, $114.357, $112.04
11/25/2020, $111.59, 308280, $109.54, $112.39, $108.98
11/24/2020, $109.95, 292760, $111.99, $112.4, $109.43
11/23/2020, $111.38, 438413, $109.52, $111.45, $108.53
11/20/2020, $109.49, 306321, $107.82, $110.18, $107
11/19/2020, $108.31, 239125, $106.98, $108.7, $105.29
11/18/2020, $106.42, 374648, $105.01, $107.44, $104.73
11/17/2020, $105.62, 367238, $106.09, $106.25, $104.26
11/16/2020, $106.32, 458161, $105.7, $106.995, $103.43
11/13/2020, $105.96, 328843, $104.14, $107.61, $103.75
11/12/2020, $103.71, 372246, $102.83, $104.7999, $102.15
11/11/2020, $103.75, 750766, $96.26, $104.33, $96.26
11/10/2020, $95.65, 1664705, $99.5, $105, $95.12
11/09/2020, $105.54, 621308, $108.28, $109.61, $104.47
11/06/2020, $107.63, 279487, $108.82, $109.785, $106.2
11/05/2020, $108.49, 388060, $108.71, $110, $106.65
11/04/2020, $106.87, 626829, $102.71, $107.89, $102.71
11/03/2020, $101.62, 253301, $100.47, $102.4, $99.98
11/02/2020, $99.71, 243201, $100, $101.76, $98.5
10/30/2020, $99.15, 330949, $100.34, $102.51, $98.24
10/29/2020, $102.57, 170406, $103.83, $103.83, $101.86
10/28/2020, $102.83, 370380, $102.42, $103.9946, $99.83
10/27/2020, $104.89, 180830, $106.3, $107.79, $104.82
10/26/2020, $106.4, 320889, $107.74, $108.36, $104
10/23/2020, $108.44, 190745, $109.67, $109.96, $107.34
10/22/2020, $109.67, 189992, $110, $111.48, $108.0128
10/21/2020, $109.46, 229015, $111.33, $112.55, $109.035
10/20/2020, $111.33, 224096, $112.88, $113.3488, $111.29
10/19/2020, $112.04, 253237, $113.29, $115.19, $111.7701
10/16/2020, $113.01, 346875, $111.78, $113.28, $110.92
10/15/2020, $111.54, 347310, $111.38, $111.86, $109.8
10/14/2020, $112.53, 260691, $113.11, $113.81, $111.56
10/13/2020, $113.13, 375633, $115.8, $115.8, $113.06
10/12/2020, $115.24, 298572, $114.79, $116.435, $114.2
10/09/2020, $114, 215263, $112.99, $114.675, $112.6
10/08/2020, $112.65, 273554, $113.5, $114.37, $111.51
10/07/2020, $112.55, 254913, $111.04, $112.74, $110.7824
10/06/2020, $110.7, 411042, $109.63, $113.46, $108.99
10/05/2020, $109.13, 459771, $107.84, $109.5, $107.46
10/02/2020, $107.39, 435878, $105.91, $109.14, $105.22
10/01/2020, $108.07, 572382, $104.78, $108.57, $104.37
09/30/2020, $103.42, 475450, $101.72, $103.86, $101.54
09/29/2020, $102.14, 418326, $100, $102.38, $98.23
09/28/2020, $100.35, 355916, $100.14, $102.17, $98.89
09/25/2020, $99.39, 228775, $98.15, $99.67, $97.18
09/24/2020, $98.13, 282411, $98.81, $98.99, $96.38
09/23/2020, $99.25, 272827, $100.84, $102.14, $99.01
09/22/2020, $101.14, 428370, $100.62, $101.4, $98.33
09/21/2020, $99.43, 227813, $96.39, $99.51, $95.66
09/18/2020, $97.7, 731647, $98.06, $99.09, $96.95
09/17/2020, $97.675, 626015, $99.15, $99.17, $96.695
09/16/2020, $101.17, 347150, $103.49, $104.345, $100.7
09/15/2020, $103.29, 852828, $101.51, $105.87, $101.41
09/14/2020, $98.02, 331777, $98.72, $99.45, $96.81
09/11/2020, $97.95, 493439, $99.05, $100.17, $96.08
09/10/2020, $98.29, 619475, $99.84, $101.16, $97.46
09/09/2020, $99.46, 407804, $102.18, $102.18, $99.31
09/08/2020, $100.56, 488035, $100.25, $102.35, $99.01
09/04/2020, $101.98, 836695, $105.89, $106.615, $97.17
09/03/2020, $106.65, 576900, $110.5, $110.975, $105.78
09/02/2020, $112.56, 353675, $114.21, $114.41, $111.75
09/01/2020, $113.16, 405995, $110.78, $113.26, $110.56
08/31/2020, $110.5, 347158, $112.01, $112.49, $110.41
08/28/2020, $112.01, 269302, $112.02, $112.76, $111.24
08/27/2020, $111.64, 393502, $113.95, $113.95, $111.2
08/26/2020, $113.03, 451837, $109.95, $114.32, $109.95
08/25/2020, $108.92, 213418, $107, $109.63, $106.92
08/24/2020, $107.38, 303850, $108.06, $108.21, $105.78
08/21/2020, $107.27, 346716, $109.08, $109.09, $105.45
08/20/2020, $109.44, 256767, $107.64, $109.775, $107.18
08/19/2020, $107.86, 325099, $108.84, $110.09, $107.6
08/18/2020, $108.57, 395709, $106.27, $109.07, $106.21
08/17/2020, $106.19, 350578, $109, $109.39, $105.63
08/14/2020, $108.94, 280725, $110.67, $110.82, $108.32
08/13/2020, $110.78, 379633, $109.2, $111.74, $109.2
08/12/2020, $109, 358973, $107.86, $110, $107.86
08/11/2020, $107.17, 388839, $107.26, $108.44, $104.76
08/10/2020, $107.38, 484548, $110.84, $111.215, $106.1
08/07/2020, $110.59, 434517, $112.59, $113.71, $110
08/06/2020, $113.49, 606961, $115.27, $115.42, $112.71
08/05/2020, $115.06, 797971, $112.39, $116.54, $112.27
08/04/2020, $112.15, 1318133, $115.68, $117.7, $110.56
08/03/2020, $119.87, 713606, $118.75, $120.75, $118.31
07/31/2020, $117.84, 413440, $118.8, $118.8, $115.3601
07/30/2020, $118.48, 387546, $113.99, $119.35, $112.98
07/29/2020, $115.88, 373292, $112.5, $116.52, $112.5
07/28/2020, $112.68, 425825, $113.66, $114.43, $112.12
07/27/2020, $114.43, 391974, $114.86, $114.99, $113
07/24/2020, $113.52, 336837, $114.93, $116.12, $112.53
07/23/2020, $116.85, 368921, $117.73, $120.25, $115.5601
07/22/2020, $117.16, 514868, $117, $120.5, $115.83
07/21/2020, $116.89, 837769, $117.6, $118.9, $115.06
07/20/2020, $117.53, 687415, $110.98, $118.36, $110.28
07/17/2020, $109.08, 419785, $108.93, $110, $107.69
07/16/2020, $108.9, 610426, $107.28, $109.01, $105.67
07/15/2020, $108, 576592, $107.94, $109, $106.64
07/14/2020, $107.54, 306562, $104.52, $107.69, $102.31
07/13/2020, $104.51, 456387, $109.75, $111.11, $104.38
07/10/2020, $109, 401220, $109.75, $110.59, $107.52
07/09/2020, $109.75, 488763, $107.66, $110, $105.58
07/08/2020, $107.26, 429694, $107.42, $108.84, $105.33
07/07/2020, $107.34, 694259, $106.92, $109.36, $106.12
07/06/2020, $106.92, 581772, $105.06, $107.67, $104.88
07/02/2020, $102.97, 592278, $103, $104, $101.67
07/01/2020, $102.89, 459109, $99.26, $103.09, $98.57
06/30/2020, $99.27, 525753, $94.21, $99.4, $94.01
06/29/2020, $94.66, 627526, $95.14, $96.1, $92.61
06/26/2020, $95.15, 354478, $96.97, $97.47, $94.51
06/25/2020, $97.27, 323327, $96.75, $97.73, $95.55
06/24/2020, $96.75, 387419, $100.73, $100.79, $96.185
06/23/2020, $100.97, 476089, $101.71, $103.18, $100.125
06/22/2020, $101.27, 488777, $100.65, $101.6099, $98.88
06/19/2020, $101.3, 779414, $102.36, $102.85, $99.12
06/18/2020, $101.75, 249516, $101.67, $102.75, $100.77
06/17/2020, $102.32, 336878, $102.1, $103.63, $101.72
06/16/2020, $101.1, 356527, $101.54, $102.57, $99.61
06/15/2020, $99.36, 551063, $96.14, $99.81, $95.69
