Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.95, 36841, $10.908, $11.15, $10.85
01/19/2021, $11.1, 4283, $11.19, $11.19, $11.1
01/15/2021, $11.09, 1455, $11.09, $11.1, $11.0146
01/14/2021, $11.2, 1703, $11.12, $11.2, $11.12
01/13/2021, $11.18, 6133, $11.08, $11.18, $11.04
01/12/2021, $10.97, 5061, $11, $11.1, $10.97
01/11/2021, $10.9355, 6537, $10.95, $10.95, $10.7101
01/08/2021, $10.88, 20093, $10.95, $11.04, $10.75
01/07/2021, $11, 17882, $11.07, $11.1, $10.8
01/06/2021, $10.96, 21725, $10.88, $11.1, $10.88
01/05/2021, $10.42, 12228, $11.05, $11.19, $10.42
01/04/2021, $10.96, 9392, $10.87, $10.99, $10.82
12/31/2020, $10.89, 6335, $10.974, $10.98, $10.85
12/30/2020, $10.89, 7301, $10.84, $10.895, $10.77
12/29/2020, $10.89, 11504, $11.0127, $11.0127, $10.75
12/28/2020, $11, 15541, $10.96, $11.255, $10.92
12/24/2020, $10.98, 2011, $10.99, $10.99, $10.85
12/23/2020, $10.82, 12086, $11.12, $11.325, $10.82
12/22/2020, $11.07, 83325, $11.23, $11.39, $10.91
12/21/2020, $11.1, 139859, $10.81, $11.12, $10.505
12/18/2020, $10.84, 75822, $10.9, $10.99, $10.59
12/17/2020, $10.92, 47162, $10.45, $10.96, $10.36
12/16/2020, $10.61, 48956, $10.29, $10.65, $10.2004
12/15/2020, $10.33, 18297, $10.13, $10.33, $10.021
12/14/2020, $10.02, 13883, $10, $10.26, $10
12/11/2020, $10.01, 7677, $10.2, $10.24, $10.01
12/10/2020, $10.25, 5648, $10.04, $10.25, $10.04
12/09/2020, $10.19, 11377, $10.12, $10.2, $9.99
12/08/2020, $10.01, 17684, $10.11, $10.12, $9.91
12/07/2020, $10.18, 135366, $9.9125, $10.2, $9.9125
12/04/2020, $9.8565, 19355, $9.66, $9.951, $9.5
12/03/2020, $9.65, 25804, $9.55, $9.65, $9.5283
12/02/2020, $9.55, 30150, $9.35, $9.56, $9.2835
12/01/2020, $9.36, 48273, $9, $9.36, $9
11/30/2020, $9, 10951, $9, $9, $8.85
11/27/2020, $9.04, 4804, $9.05, $9.05, $8.8801
11/25/2020, $9.06, N/A, $9.06, $9.06, $9.06
11/24/2020, $9.06, 4216, $9.012, $9.09, $9
11/23/2020, $8.99, 7626, $8.798, $9.11, $8.798
11/20/2020, $8.96, 1413, $8.932, $8.96, $8.71
11/19/2020, $8.84, 2511, $8.83, $8.9532, $8.8
11/18/2020, $8.97, 8827, $8.71, $8.97, $8.675
11/17/2020, $8.675, 918, $8.5, $8.675, $8.5
11/16/2020, $8.57, 5050, $8.5, $8.7998, $8.48
