Date, Close/Last, Volume, Open, High, Low
01/20/2021, $33.27, 144599, $33.23, $33.2999, $33.23
01/19/2021, $33.2, 34303, $33.13, $33.215, $33.1023
01/15/2021, $33.1, 8542, $33.17, $33.17, $33.0811
01/14/2021, $33.2101, 4618, $33.2392, $33.27, $33.2101
01/13/2021, $33.2464, 9672, $33.25, $33.27, $33.1911
01/12/2021, $33.1908, 24839, $33.204, $33.204, $33.14
01/11/2021, $33.1526, 34678, $33.05, $33.2206, $33.05
01/08/2021, $33.2659, 3106, $33.24, $33.29, $33.22
01/07/2021, $33.2, 32059, $33.11, $33.275, $33.11
01/06/2021, $33.05, 29555, $33.06, $33.29, $33.05
01/05/2021, $33.072, 223985, $32.97, $33.17, $32.97
01/04/2021, $32.93, 360688, $33.01, $33.12, $32.8752
12/31/2020, $33.12, 5859, $33.09, $33.151, $33.0501
12/30/2020, $33.04, 13869, $33.2, $33.2, $33.03
12/29/2020, $33.0798, 47835, $33.13, $33.15, $33.0699
12/28/2020, $33.08, 2586, $33.07, $33.12, $33.07
12/24/2020, $32.97, 938, $32.83, $33.03, $32.83
12/23/2020, $32.93, 13797, $32.84, $33.0999, $32.84
12/22/2020, $32.9, 40370, $32.96, $33.02, $32.9
12/21/2020, $32.9, 17589, $32.966, $33.04, $32.815
12/18/2020, $33, 11164, $33.1096, $33.1096, $32.94
12/17/2020, $33, 11101, $33.06, $33.1198, $32.98
12/16/2020, $32.95, 12539, $32.94, $33.01, $32.94
12/15/2020, $32.93, 11676, $32.936, $32.975, $32.84
12/14/2020, $32.8, 7555, $33.07, $33.07, $32.8
12/11/2020, $32.8878, 44539, $32.8298, $32.9099, $32.79
12/10/2020, $32.87, 4980, $32.903, $33.03, $32.85
12/09/2020, $32.91, 73586, $33.0788, $33.0788, $32.9
12/08/2020, $32.97, 23988, $32.98, $33.0364, $32.95
12/07/2020, $32.93, 7319, $33, $33, $32.91
12/04/2020, $32.95, 48008, $32.77, $33.001, $32.77
12/03/2020, $32.87, 8871, $32.86, $33.0099, $32.86
12/02/2020, $32.89, 7388, $32.82, $33.02, $32.82
12/01/2020, $32.89, 23438, $32.945, $32.965, $32.8701
11/30/2020, $32.7976, 3559, $32.78, $32.88, $32.74
11/27/2020, $32.81, 4596, $32.89, $32.94, $32.81
11/25/2020, $32.78, 57368, $32.76, $32.9199, $32.75
11/24/2020, $32.8, 90425, $32.6, $32.8, $32.6
11/23/2020, $32.63, 3434, $32.6001, $32.7134, $32.6001
11/20/2020, $32.55, 21090, $32.65, $32.7262, $32.55
11/19/2020, $32.66, 19108, $32.57, $32.7099, $32.57
11/18/2020, $32.61, 9705, $32.96, $32.96, $32.61
11/17/2020, $32.75, 12239, $32.75, $32.85, $32.67
11/16/2020, $32.8084, 285185, $32.52, $32.835, $32.52
11/13/2020, $32.68, 27313, $32.5901, $32.71, $32.5901
11/12/2020, $32.6, 6588, $32.54, $32.64, $32.48
11/11/2020, $32.63, 27342, $32.57, $32.695, $32.535
11/10/2020, $32.52, 40424, $32.29, $32.5501, $32.29
11/09/2020, $32.54, 27207, $32.43, $32.775, $32.37
11/06/2020, $32.37, 12511, $32.375, $32.453, $32.27
11/05/2020, $32.4148, 1853, $32.59, $32.59, $32.37
11/04/2020, $32.12, 2216, $32.295, $32.2962, $32.12
11/03/2020, $31.92, 5588, $31.765, $31.955, $31.765
11/02/2020, $31.6, 6983, $31.67, $31.6725, $31.56
10/30/2020, $31.44, 65890, $31.61, $31.61, $31.3301
10/29/2020, $31.683, 59995, $31.54, $31.8, $31.44
10/28/2020, $31.53, 18470, $31.63, $31.739, $31.53
10/27/2020, $31.92, 2019, $31.985, $31.985, $31.91
10/26/2020, $31.95, 20424, $32.14, $32.14, $31.841
10/23/2020, $32.2, 17247, $32.215, $32.2599, $32.1401
10/22/2020, $32.16, 7606, $32.18, $32.24, $32.065
10/21/2020, $32.08, 72593, $32.3, $32.3, $32.08
10/20/2020, $32.08, 17007, $32.31, $32.31, $32.071
10/19/2020, $32.02, 12445, $32.325, $32.325, $32.02
10/16/2020, $32.23, 8246, $32.398, $32.398, $32.23
10/15/2020, $32.23, 20296, $32.18, $32.27, $32.1401
10/14/2020, $32.23, 20484, $32.44, $32.44, $32.22
10/13/2020, $32.31, 83169, $32.37, $32.382, $32.2807
10/12/2020, $32.36, 27976, $32.16, $32.44, $32.16
10/09/2020, $32.225, 52788, $32.18, $32.27, $32.13
10/08/2020, $32.13, 7380, $32.09, $32.13, $32.0101
10/07/2020, $31.9908, 15185, $31.97, $32.03, $31.8701
10/06/2020, $31.7699, 45932, $31.86, $32.03, $31.7137
10/05/2020, $31.98, 18285, $31.815, $31.98, $31.815
10/02/2020, $31.77, 7086, $31.69, $31.82, $31.69
10/01/2020, $31.8229, 444270, $31.875, $31.89, $31.77
09/30/2020, $31.8271, 43790, $31.9, $31.93, $31.7186
09/29/2020, $31.74, 24200, $31.686, $31.77, $31.68
09/28/2020, $31.75, 34164, $31.96, $31.96, $31.6801
09/25/2020, $31.59, 10714, $31.34, $31.6, $31.34
09/24/2020, $31.35, 173990, $31.41, $31.46, $31.2601
09/23/2020, $31.3228, 23245, $31.6001, $31.6001, $31.3
09/22/2020, $31.6002, 44171, $31.65, $31.65, $31.4401
09/21/2020, $31.4556, 110105, $31.02, $31.6499, $31.02
09/18/2020, $31.6107, 13372, $31.73, $31.7391, $31.5352
09/17/2020, $31.7166, 401574, $31.735, $31.81, $31.59
09/16/2020, $31.8101, 170913, $31.93, $32.0099, $31.8101
09/15/2020, $31.8943, 27225, $31.95, $31.99, $31.8415
09/14/2020, $31.89, 18710, $31.64, $31.9287, $31.64
09/11/2020, $31.73, 9927, $31.735, $31.78, $31.5636
09/10/2020, $31.661, 61906, $31.83, $31.97, $31.6504
09/09/2020, $31.9, 59236, $31.87, $31.9498, $31.79
09/08/2020, $31.67, 79382, $31.75, $31.75, $31.5595
09/04/2020, $32.005, 95282, $32.04, $32.04, $31.5001
09/03/2020, $31.8775, 51261, $32.35, $32.35, $31.81
09/02/2020, $32.29, 41885, $32.2499, $32.35, $32.2475
09/01/2020, $32.2136, 42511, $32.2, $32.2393, $32.13
08/31/2020, $32.1881, 16894, $32.29, $32.29, $32.1801
08/28/2020, $32.2319, 97251, $32.34, $32.34, $32.1208
08/27/2020, $32.13, 86349, $32.22, $32.28, $32.1096
08/26/2020, $32.22, 353691, $32.23, $32.24, $32.0801
08/25/2020, $32.12, 122858, $32.14, $32.19, $32.0488
08/24/2020, $32.005, 137309, $31.89, $32.08, $31.89
08/21/2020, $31.82, 75337, $31.95, $31.95, $31.815
08/20/2020, $31.855, 133897, $31.78, $31.9057, $31.78
08/19/2020, $31.82, 297524, $31.78, $31.9783, $31.78
08/18/2020, $31.82, 299695, $31.81, $31.989, $31.8
08/17/2020, $31.81, 41266, $31.78, $31.85, $31.78
08/14/2020, $31.78, 10470, $31.76, $31.85, $31.76
08/13/2020, $31.76, 26193, $31.95, $31.95, $31.74
08/12/2020, $31.75, 16547, $31.68, $31.85, $31.68
08/11/2020, $31.63, 324059, $31.7, $31.82, $31.63
08/10/2020, $31.7651, 52638, $31.7665, $31.7994, $31.66
08/07/2020, $31.64, 10144, $31.684, $31.72, $31.6
08/06/2020, $31.76, 8661, $31.52, $31.76, $31.52
08/05/2020, $31.57, 22152, $31.555, $31.59, $31.5201
08/04/2020, $31.56, 157384, $31.38, $31.56, $31.38
08/03/2020, $31.53, 17226, $31.4546, $31.53, $31.3975
07/31/2020, $31.4, 524443, $31.24, $31.4, $31.09
07/30/2020, $31.16, 681170, $31.07, $31.2744, $31.07
07/29/2020, $31.25, 28640, $31.2117, $31.2909, $31.15
07/28/2020, $31.1272, 25605, $31.1001, $31.22, $31.1
07/27/2020, $31.13, 11532, $31.1407, $31.1799, $31.02
07/24/2020, $31.0343, 412418, $30.95, $31.0554, $30.95
07/23/2020, $31.09, 76743, $31.46, $31.46, $31.09
07/22/2020, $31.29, 264455, $31.172, $31.29, $31.14
07/21/2020, $31.3, 32405, $31.37, $31.37, $31.171
07/20/2020, $31.29, 4929, $30.92, $31.29, $30.92
07/17/2020, $31.13, 48156, $31.11, $31.16, $30.99
07/16/2020, $30.9871, 7971, $30.83, $31.04, $30.83
07/15/2020, $31.1, 22129, $31.044, $31.1, $30.93
07/14/2020, $30.85, 14799, $30.662, $30.939, $30.66
07/13/2020, $30.65, 14754, $30.87, $31.08, $30.65
07/10/2020, $30.95, 150816, $30.62, $30.95, $30.62
07/09/2020, $30.79, 18718, $30.63, $30.815, $30.45
07/08/2020, $30.7761, 301641, $30.69, $30.83, $30.62
07/07/2020, $30.59, 60502, $30.743, $30.91, $30.59
07/06/2020, $30.75, 18960, $30.67, $30.93, $30.67
07/02/2020, $30.5807, 9768, $30.55, $30.73, $30.53
07/01/2020, $30.5152, 126166, $30.5675, $30.58, $30.4101
06/30/2020, $30.4582, 10034, $30.26, $30.4582, $30.24
06/29/2020, $30.3, 548470, $30.07, $30.3, $30.07
06/26/2020, $30, 8373, $30.19, $30.2, $30
06/25/2020, $30.32, 2890, $30.075, $30.32, $30.07
06/24/2020, $30.19, 13818, $30.5, $30.5, $30.1193
06/23/2020, $30.6699, 30359, $30.86, $30.86, $30.551
06/22/2020, $30.5013, 8405, $30.365, $30.5362, $30.365
06/19/2020, $30.36, 15585, $30.53, $30.5825, $30.3105
06/18/2020, $30.49, 32351, $30.35, $30.503, $30.32
06/17/2020, $30.5254, 23276, $30.51, $30.58, $30.4401
06/16/2020, $30.459, 8810, $30.92, $30.92, $30.422
06/15/2020, $30.19, 92489, $29.72, $30.32, $29.72
06/12/2020, $30.1707, 35330, $30.21, $30.275, $30
06/11/2020, $30.01, 78417, $30.67, $30.67, $29.96
06/10/2020, $30.8071, 53107, $30.98, $31, $30.78
06/09/2020, $30.8477, 28612, $30.74, $30.95, $30.74
06/08/2020, $31.006, 108770, $31.17, $31.17, $30.85
06/05/2020, $30.8899, 238568, $30.6802, $30.94, $30.6802
06/04/2020, $30.4741, 670270, $30.47, $30.6319, $30.391
06/03/2020, $30.6, 82410, $30.65, $30.68, $30.39
06/02/2020, $30.36, 231827, $30.22, $30.4, $30.2
06/01/2020, $30.35, 176205, $30.48, $30.48, $30.215
05/29/2020, $30.31, 11043, $30.16, $30.31, $29.9601
05/28/2020, $30.1541, 75059, $30.4, $30.4, $30.1541
05/27/2020, $30.1639, 129964, $30.14, $30.17, $29.8434
05/26/2020, $29.9536, 26662, $29.98, $30.13, $29.9317
05/22/2020, $29.7813, 14250, $29.71, $29.82, $29.64
05/21/2020, $29.69, 150401, $29.89, $29.92, $29.62
05/20/2020, $29.865, 26079, $29.96, $29.96, $29.7906
05/19/2020, $29.68, 127085, $29.92, $29.92, $29.5501
05/18/2020, $29.84, 21594, $30.03, $30.03, $29.68
05/15/2020, $29.3355, 9657, $29.27, $29.38, $29.19
05/14/2020, $29.2805, 198315, $29.4, $29.4, $28.97
05/13/2020, $29.22, 84791, $29.35, $29.44, $29.1
05/12/2020, $29.445, 27621, $29.51, $29.7186, $29.43
05/11/2020, $29.649, 46104, $29.67, $29.79, $29.5676
05/08/2020, $29.6752, 50580, $29.87, $29.87, $29.58
05/07/2020, $29.52, 58040, $29.79, $29.79, $29.4272
05/06/2020, $29.38, 80907, $29.71, $29.71, $29.3677
05/05/2020, $29.4461, 19622, $29.78, $29.78, $29.41
05/04/2020, $29.3325, 47895, $29.28, $29.3384, $29.12
05/01/2020, $29.19, 170122, $29.02, $29.4, $29.02
04/30/2020, $29.6156, 28915, $29.9, $29.9, $29.55
04/29/2020, $29.7261, 99852, $29.73, $29.8, $29.53
04/28/2020, $29.4393, 153645, $29.4922, $29.6499, $29.4
04/27/2020, $29.4622, 63040, $29.46, $29.59, $29.35
04/24/2020, $29.2841, 99563, $29.52, $29.52, $29.08
04/23/2020, $29.1252, 46668, $29.03, $29.3589, $29.03
04/22/2020, $29.21, 67562, $29.4, $29.4, $29
04/21/2020, $28.86, 55396, $29.06, $29.06, $28.758
04/20/2020, $29.2248, 74456, $29.72, $29.72, $29.2
04/17/2020, $29.456, 17475, $29.73, $29.73, $29.2633
04/16/2020, $29.13, 42341, $29.29, $29.29, $28.81
04/15/2020, $29.07, 31142, $29.11, $29.15, $28.9382
04/14/2020, $29.2899, 30225, $29.27, $29.36, $29.1423
04/13/2020, $28.9114, 191158, $29.06, $29.06, $28.7
04/09/2020, $28.95, 69407, $29.0067, $29.2081, $28.9039
04/08/2020, $28.8525, 49098, $28.72, $28.89, $28.4375
04/07/2020, $28.4, 312248, $28.725, $28.94, $28.4
04/06/2020, $28.51, 322950, $28.42, $28.53, $28.17
04/03/2020, $27.8, 61250, $28.03, $28.03, $27.58
04/02/2020, $27.93, 197170, $27.75, $27.95, $27.401
04/01/2020, $27.67, 596463, $27.96, $27.96, $27.44
03/31/2020, $27.9, 231790, $28.37, $28.37, $27.8721
03/30/2020, $28.26, 1088140, $28.06, $28.26, $27.86
03/27/2020, $28, 402626, $27.55, $28.14, $27.55
03/26/2020, $28.3595, 272716, $27.79, $28.41, $27.6841
03/25/2020, $27.56, 804141, $27.32, $28.03, $27.27
03/24/2020, $27.88, 535262, $27.98, $27.98, $27.125
03/23/2020, $26.68, 935790, $27.27, $27.27, $26.3401
03/20/2020, $26.74, 88418, $27.14, $27.3, $26.52
03/19/2020, $27.06, 412669, $26.68, $27.1399, $26.4789
03/18/2020, $26.71, 410274, $26.96, $27.08, $25.9525
03/17/2020, $27.56, 144370, $26.83, $27.758, $26.83
03/16/2020, $27.02, 70588, $27.71, $27.93, $27.01
03/13/2020, $28.87, 403065, $28.28, $28.87, $27.5301
03/12/2020, $27.6144, 1011036, $28.14, $30.42, $27.5745
03/11/2020, $28.8834, 177620, $29.026, $29.14, $28.652
03/10/2020, $29.4314, 13211, $29.25, $29.4314, $29.004
03/09/2020, $28.93, 10414, $29.25, $29.26, $28.8991
03/06/2020, $30.0353, N/A, $30.0353, $30.0353, $30.0353
03/05/2020, $30.0353, 1903, $30.001, $30.0353, $29.96
03/04/2020, $30.3611, 1860, $30.0899, $30.3611, $30.0899
03/03/2020, $29.9381, 206560, $30, $30.03, $29.9381
03/02/2020, $30.2813, 4265, $29.68, $30.2813, $29.68
02/28/2020, $29.6519, 21393, $29.07, $29.6519, $29.05
02/27/2020, $29.8172, 15660, $30.007, $30.007, $29.8172
02/26/2020, $30.2853, 10100, $30.37, $30.42, $30.2853
02/25/2020, $30.2688, 16500, $30.56, $30.56, $30.2688
02/24/2020, $31.0599, N/A, $31.0599, $31.0599, $31.0599
02/21/2020, $31.0599, N/A, $31.0599, $31.0599, $31.0599
02/20/2020, $31.0599, N/A, $31.0599, $31.0599, $31.0599
02/19/2020, $31.0599, 2, $31.0599, $31.0599, $31.0599
02/18/2020, $31.045, N/A, $31.045, $31.045, $31.045
02/14/2020, $31.045, 1, $31.045, $31.045, $31.045
02/13/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/12/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/11/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/10/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/07/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/06/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/05/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/04/2020, $30.7109, N/A, $30.7109, $30.7109, $30.7109
02/03/2020, $30.7109, 100, $30.76, $30.76, $30.7109
01/31/2020, $30.6592, 4300, $30.72, $30.72, $30.6592
01/30/2020, $30.8304, 100, $30.74, $30.8304, $30.74
01/29/2020, $30.8077, 100, $30.83, $30.83, $30.8077
01/28/2020, $30.8148, 13, $30.8148, $30.8148, $30.8148
01/27/2020, $30.84, N/A, $30.84, $30.84, $30.84
01/24/2020, $30.84, 100, $30.86, $30.86, $30.84
01/23/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/22/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/21/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/17/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/16/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/15/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/14/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/13/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/10/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/09/2020, $30.7666, N/A, $30.7666, $30.7666, $30.7666
01/08/2020, $30.7666, 1, $30.7666, $30.7666, $30.7666
01/07/2020, $30.7724, N/A, $30.7724, $30.7724, $30.7724
01/06/2020, $30.7724, N/A, $30.7724, $30.7724, $30.7724
01/03/2020, $30.7724, N/A, $30.7724, $30.7724, $30.7724
01/02/2020, $30.7724, 1, $30.7724, $30.7724, $30.7724
12/31/2019, $30.6632, 1, $30.6632, $30.6632, $30.6632
12/30/2019, $30.675, N/A, $30.675, $30.675, $30.675
12/27/2019, $30.675, N/A, $30.675, $30.675, $30.675
12/26/2019, $30.675, N/A, $30.675, $30.675, $30.675
12/24/2019, $30.675, N/A, $30.675, $30.675, $30.675
12/23/2019, $30.675, 50, $30.675, $30.675, $30.675
12/20/2019, $30.595, N/A, $30.595, $30.595, $30.595
12/19/2019, $30.595, N/A, $30.595, $30.595, $30.595
12/18/2019, $30.595, N/A, $30.595, $30.595, $30.595
12/17/2019, $30.595, 50, $30.595, $30.595, $30.595
12/16/2019, $30.3759, N/A, $30.3759, $30.3759, $30.3759
12/13/2019, $30.3759, N/A, $30.3759, $30.3759, $30.3759
12/12/2019, $30.3759, N/A, $30.3759, $30.3759, $30.3759
12/11/2019, $30.3759, N/A, $30.3759, $30.3759, $30.3759
12/10/2019, $30.3759, 200, $30.4499, $30.4499, $30.3759
12/09/2019, $30.26, N/A, $30.26, $30.26, $30.26
12/06/2019, $30.26, N/A, $30.26, $30.26, $30.26
12/05/2019, $30.26, N/A, $30.26, $30.26, $30.26
12/04/2019, $30.26, N/A, $30.26, $30.26, $30.26
12/03/2019, $30.26, 2100, $30.2599, $30.26, $30.2599
12/02/2019, $30.4534, N/A, $30.4534, $30.4534, $30.4534
11/29/2019, $30.4534, N/A, $30.4534, $30.4534, $30.4534
11/27/2019, $30.4534, 819, $30.4604, $30.4604, $30.4534
11/26/2019, $30.2756, N/A, $30.2756, $30.2756, $30.2756
11/25/2019, $30.2756, N/A, $30.2756, $30.2756, $30.2756
11/22/2019, $30.2756, N/A, $30.2756, $30.2756, $30.2756
11/21/2019, $30.2756, 254, $30.3, $30.3, $30.2756
11/20/2019, $30.33, 198, $30.33, $30.33, $30.33
11/19/2019, $30.3433, N/A, $30.3433, $30.3433, $30.3433
11/18/2019, $30.3433, 1100, $30.354, $30.39, $30.3433
11/15/2019, $30.3298, 354, $30.37, $30.37, $30.3298
11/14/2019, $30.22, N/A, $30.22, $30.22, $30.22
11/13/2019, $30.22, 2, $30.22, $30.22, $30.22
11/12/2019, $30.1914, N/A, $30.1914, $30.1914, $30.1914
11/11/2019, $30.1914, N/A, $30.1914, $30.1914, $30.1914
11/08/2019, $30.1914, 350, $30.1728, $30.1914, $30.1727
11/07/2019, $30.1621, 200, $30.17, $30.26, $30.1621
