Date, Close/Last, Volume, Open, High, Low
01/20/2021, $59.33, 512620, $59.32, $59.82, $59.01
01/19/2021, $59.16, 505190, $60, $60.44, $59.14
01/15/2021, $59.49, 467324, $59.38, $59.68, $58.37
01/14/2021, $59.89, 374984, $59.6, $60.61, $59.41
01/13/2021, $59.32, 428147, $59.35, $59.65, $58.69
01/12/2021, $59.6, 301427, $59.5, $60.12, $59.25
01/11/2021, $59.29, 305542, $58.46, $59.48, $58.46
01/08/2021, $59.31, 340042, $59.52, $59.78, $58.3
01/07/2021, $59.31, 299913, $58.57, $59.39, $58.0901
01/06/2021, $58.43, 567369, $56.61, $58.58, $56.61
01/05/2021, $55.93, 671560, $55.04, $56.435, $54.89
01/04/2021, $54.92, 738122, $56.29, $56.42, $54.76
12/31/2020, $55.88, 372638, $56.08, $56.2821, $55.59
12/30/2020, $56.17, 376900, $56.17, $56.87, $55.86
12/29/2020, $55.97, 452648, $56.92, $56.92, $55.49
12/28/2020, $56.65, 429600, $56.9, $57.22, $56.21
12/24/2020, $56.57, 124664, $57.21, $57.24, $56.26
12/23/2020, $56.95, 219054, $56.63, $57.35, $56.53
12/22/2020, $56.42, 325475, $56.55, $56.78, $56.24
12/21/2020, $56.61, 359028, $55.75, $56.85, $55.21
12/18/2020, $56.38, 1332840, $57.16, $57.5, $55.95
12/17/2020, $56.87, 569810, $56.84, $57.65, $56.58
12/16/2020, $56.67, 514938, $56.75, $56.97, $55.95
12/15/2020, $56.31, 492042, $55.44, $56.41, $55.22
12/14/2020, $54.63, 317439, $55.53, $55.96, $54.55
12/11/2020, $55.39, 431660, $54.57, $55.62, $54.56
12/10/2020, $54.64, 519973, $55.34, $55.5, $54.31
12/09/2020, $55.35, 430577, $55, $55.46, $54.67
12/08/2020, $54.73, 450752, $54.3, $55, $54.3
12/07/2020, $54.54, 331008, $54.56, $54.8826, $53.91
12/04/2020, $54.74, 423370, $53.98, $54.84, $53.925
12/03/2020, $53.58, 524238, $53.41, $54.9, $52.5
12/02/2020, $53.14, 327448, $53.16, $53.55, $52.95
12/01/2020, $53.36, 448238, $53.99, $54.39, $53.33
11/30/2020, $53.24, 454362, $54.33, $54.67, $53.06
11/27/2020, $54.61, 198755, $54.65, $54.82, $54.17
11/25/2020, $54.21, 1856617, $55, $55, $53.445
11/24/2020, $54.86, 802702, $54.65, $55.21, $53.84
11/23/2020, $54.24, 626901, $54.47, $54.75, $54.01
11/20/2020, $54.25, 338416, $53.99, $54.4, $53.5391
11/19/2020, $54.1, 251588, $53.58, $54.25, $53.02
11/18/2020, $53.7, 226450, $54.4, $54.75, $53.65
11/17/2020, $54.12, 323000, $53.97, $54.51, $53.18
11/16/2020, $54.43, 453320, $54, $54.67, $53.82
11/13/2020, $53.47, 409649, $53.24, $53.87, $52.94
11/12/2020, $52.99, 511679, $52.97, $53.43, $52.365
11/11/2020, $53.13, 335343, $53.2, $53.23, $52.43
11/10/2020, $52.94, 472454, $52.14, $53.37, $51.99
11/09/2020, $51.95, 489416, $53.52, $54.05, $51.76
11/06/2020, $50.77, 364690, $51.5, $51.9, $50.71
11/05/2020, $51.34, 660011, $48.64, $52.16, $48.605
11/04/2020, $47.9, 463239, $49.35, $49.35, $47.87
11/03/2020, $49.44, 765972, $49.05, $49.645, $48.46
11/02/2020, $48.2, 624184, $48.24, $48.49, $47.74
10/30/2020, $47.5, 656475, $47.49, $48.01, $46.98
10/29/2020, $47.73, 734625, $46.85, $48.09, $46.84
10/28/2020, $47.22, 1925549, $48.71, $49.55, $47.16
10/27/2020, $49.85, 598958, $50.14, $51.19, $49.72
10/26/2020, $50.1, 312008, $50.98, $51.56, $49.75
10/23/2020, $51.79, 319415, $52.18, $52.35, $51.415
10/22/2020, $51.74, 465866, $51.79, $52.2299, $51.56
10/21/2020, $51.55, 372081, $51.41, $52.09, $51.26
10/20/2020, $51.36, 487158, $51.16, $52.19, $50.9859
10/19/2020, $50.8, 609603, $51.11, $51.425, $50.44
10/16/2020, $50.97, 303880, $51.14, $51.53, $50.92
10/15/2020, $51.11, 175835, $50.08, $51.23, $49.8997
10/14/2020, $50.74, 264399, $50.95, $51.61, $50.72
10/13/2020, $50.69, 251786, $50.95, $51.38, $50.6
10/12/2020, $51.42, 334414, $51.49, $51.71, $51.0194
10/09/2020, $51.01, 815739, $51.09, $51.4, $50.7
10/08/2020, $50.82, 403526, $51.04, $51.1, $50.24
10/07/2020, $50.59, 313655, $50.47, $50.98, $50.19
10/06/2020, $50.03, 517914, $50.35, $51.2545, $50.01
10/05/2020, $50.46, 590155, $48.62, $50.62, $48.62
10/02/2020, $47.93, 407987, $47.35, $48.57, $47.157
10/01/2020, $46.93, 450052, $46.71, $47.48, $46.71
09/30/2020, $46.42, 397095, $46.6, $47.23, $46.12
09/29/2020, $46.38, 239374, $46.74, $47.18, $46.3448
09/28/2020, $46.68, 297188, $46.59, $47.15, $46.555
09/25/2020, $45.96, 235412, $46.01, $46.26, $45.67
09/24/2020, $46.06, 311380, $45.72, $46.465, $45.21
09/23/2020, $45.83, 304010, $46.53, $47.17, $45.8
09/22/2020, $46.66, 784245, $46.59, $46.87, $46.06
09/21/2020, $46.55, 569684, $47.72, $47.77, $45.95
09/18/2020, $48.7, 1439836, $49.04, $49.33, $48.51
09/17/2020, $48.75, 587303, $48.04, $49.27, $47.81
09/16/2020, $48.57, 732001, $48.52, $48.79, $48.15
09/15/2020, $48.22, 398094, $48.5, $48.84, $48.13
09/14/2020, $48.27, 448521, $48.69, $48.81, $48.15
09/11/2020, $48.3, 458144, $48.03, $48.595, $47.88
09/10/2020, $47.75, 760238, $47.65, $48.215, $47.51
09/09/2020, $47.53, 459901, $46.55, $47.71, $46.41
09/08/2020, $46.23, 591807, $47.05, $47.23, $45.8
09/04/2020, $47.53, 424578, $48.2, $48.36, $47.45
09/03/2020, $47.33, 677802, $45.2, $48.37, $45.2
09/02/2020, $51.56, 396619, $51, $51.72, $50.81
09/01/2020, $50.88, 351555, $50.23, $50.9868, $49.85
08/31/2020, $50.36, 434805, $50.97, $51.12, $50.36
08/28/2020, $51.1, 224004, $51.05, $51.14, $50.5
08/27/2020, $50.85, 330900, $51.48, $51.48, $50.85
08/26/2020, $51.18, 357406, $50.79, $51.44, $50.49
08/25/2020, $50.75, 287449, $51.06, $51.09, $50.35
08/24/2020, $50.85, 224857, $50.65, $50.91, $50.41
08/21/2020, $50.28, 439293, $50.1, $50.505, $49.84
08/20/2020, $50.15, 662433, $50.23, $50.36, $49.68
08/19/2020, $50.59, 299733, $50.98, $51.19, $50.56
08/18/2020, $50.86, 178657, $51.45, $51.51, $50.81
08/17/2020, $51.53, 255151, $52.05, $52.13, $51.42
08/14/2020, $51.98, 260214, $51.65, $52.26, $51.64
08/13/2020, $52.38, 292384, $52.2, $52.75, $51.99
08/12/2020, $52.58, 233041, $52.74, $52.74, $52.19
08/11/2020, $52.15, 493224, $52, $52.6, $52
08/10/2020, $51.77, 273875, $51.45, $51.92, $51.39
08/07/2020, $51.25, 346222, $50.81, $51.255, $50.39
08/06/2020, $50.86, 487921, $50.76, $51.165, $50.48
08/05/2020, $50.65, 487445, $50, $50.69, $49.86
08/04/2020, $49.68, 483405, $49.6, $49.99, $49.13
08/03/2020, $49.38, 457601, $48.64, $49.42, $48.38
07/31/2020, $48.34, 863539, $48.07, $48.37, $47.61
07/30/2020, $48.34, 502510, $48.52, $48.63, $47.73
07/29/2020, $49.13, 281581, $48.63, $49.45, $48.63
07/28/2020, $48.61, 468924, $48.9, $49.165, $48.49
07/27/2020, $48.85, 391427, $48.18, $48.91, $48.16
07/24/2020, $48.32, 217190, $48.77, $48.8753, $48.19
07/23/2020, $48.82, 360020, $48.17, $49.1, $48.17
07/22/2020, $48.21, 427793, $47.57, $48.29, $47.5382
07/21/2020, $47.85, 275630, $48.26, $48.51, $47.77
07/20/2020, $47.83, 415102, $47.88, $48.04, $47.605
07/17/2020, $48.09, 330105, $48.03, $48.21, $47.655
07/16/2020, $47.77, 375586, $47.52, $48.18, $47.26
07/15/2020, $47.74, 516686, $47.61, $47.92, $47
07/14/2020, $46.88, 409175, $45.5, $46.95, $45.36
07/13/2020, $45.5, 302346, $45.6, $46.11, $45.22
07/10/2020, $45.22, 227417, $45.02, $45.39, $44.88
07/09/2020, $45.12, 261806, $45.43, $45.83, $44.96
07/08/2020, $45.51, 328674, $45.88, $46.23, $45.1
07/07/2020, $46.01, 342286, $46.35, $46.64, $45.97
07/06/2020, $46.78, 333804, $47.13, $47.2, $46.47
07/02/2020, $46.23, 314179, $46.09, $46.73, $45.83
07/01/2020, $45.36, 455027, $46.64, $46.8, $45.3
06/30/2020, $46.52, 734353, $45.8, $46.855, $45.79
06/29/2020, $45.87, 552904, $45.89, $46.105, $45.34
06/26/2020, $45.47, 2962429, $44.44, $45.52, $44.13
06/25/2020, $44.16, 629165, $42.93, $44.2, $42.585
06/24/2020, $43.08, 470996, $44.52, $44.585, $43.05
06/23/2020, $44.96, 695520, $46.18, $46.18, $44.87
06/22/2020, $45.52, 839738, $44.65, $45.92, $43.94
06/19/2020, $44.93, 832237, $45.27, $45.66, $44.35
06/18/2020, $44.95, 512492, $45.24, $45.81, $44.75
06/17/2020, $45.78, 562085, $46.53, $46.53, $45.61
06/16/2020, $46.29, 489626, $47.5, $47.5, $45.54
06/15/2020, $45.56, 661378, $44.08, $46.05, $43.91
06/12/2020, $45.43, 532290, $47.52, $47.52, $44.48
06/11/2020, $46.19, 682904, $47.62, $47.89, $46.1
06/10/2020, $49.32, 737255, $49.77, $49.98, $49.13
06/09/2020, $49.97, 462468, $50.23, $50.495, $49.73
06/08/2020, $51.09, 440015, $51.62, $52.23, $50.95
06/05/2020, $51.42, 627409, $51.01, $51.79, $50.17
06/04/2020, $49.98, 696500, $49.26, $50.41, $49.255
06/03/2020, $49.66, 659887, $49.97, $50.05, $49.02
06/02/2020, $49.04, 661458, $49, $50.265, $47.61
06/01/2020, $47.96, 575186, $47.58, $48.61, $47.16
05/29/2020, $47.45, 700642, $47.14, $47.75, $46.79
05/28/2020, $47.52, 643331, $48.91, $48.99, $47.29
05/27/2020, $48.66, 531973, $48.59, $48.77, $47.89
05/26/2020, $47.46, 696409, $46.86, $47.94, $46.43
05/22/2020, $45.12, 323384, $45.2, $45.5, $44.36
05/21/2020, $45.15, 471283, $45.08, $45.76, $45.02
05/20/2020, $45.28, 366073, $45.25, $46.03, $44.39
05/19/2020, $44.49, 330453, $45.17, $45.84, $44.48
05/18/2020, $45.4, 394969, $43.91, $45.71, $43.91
05/15/2020, $42.13, 1388078, $41.9, $42.83, $41.49
05/14/2020, $42.21, 614665, $41.09, $42.25, $39.84
05/13/2020, $41.89, 499314, $43.03, $43.28, $41.495
05/12/2020, $43.46, 318342, $45.34, $45.7, $43.4
05/11/2020, $45.25, 710531, $43.97, $45.765, $43.78
05/08/2020, $44.65, 565134, $44.03, $44.74, $43.8584
05/07/2020, $43.29, 333825, $43.79, $44.32, $43.145
05/06/2020, $43.18, 379991, $43.41, $43.66, $42.74
05/05/2020, $43.21, 389891, $43.08, $43.91, $43.08
05/04/2020, $42.65, 414321, $42.1, $42.73, $41.61
05/01/2020, $42.59, 391589, $43.13, $43.2473, $42.19
04/30/2020, $43.83, 784825, $44.34, $44.69, $43.635
04/29/2020, $45.09, 467127, $45.61, $46.045, $44.69
04/28/2020, $44.61, 435762, $44.7, $45.12, $44.45
04/27/2020, $43.74, 366614, $42.64, $43.915, $42.23
04/24/2020, $42.18, 255736, $41.75, $42.4, $41.155
04/23/2020, $41.4, 299990, $41.01, $42.42, $40.8667
04/22/2020, $40.8, 424915, $41, $41.46, $40.4
04/21/2020, $40.1, 612790, $40.77, $41.32, $39.86
04/20/2020, $42.03, 596076, $41.47, $42.765, $41.175
