Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.02, 2335, $11.56, $11.6, $11.02
03/23/2021, $11.65, 1394, $12.04, $12.05, $11.65
03/22/2021, $12.5, 5730, $13, $13.26, $12.11
03/19/2021, $12.06, 2106, $12.77, $12.77, $11.96
03/18/2021, $11.99, 6149, $12.15, $13.09, $11.99
03/17/2021, $12.4, 3335, $12.5, $12.54, $12.28
03/16/2021, $12.86, 6909, $13.62, $13.62, $12.75
03/15/2021, $13.44, 6126, $13.15, $14.1499, $13.0901
03/12/2021, $13.58, 9594, $13.28, $13.58, $13.1
03/11/2021, $13.04, 3717, $13.41, $13.41, $12.871
03/10/2021, $12.18, 10381, $12.95, $13.4299, $12.13
03/09/2021, $12.57, 4473, $12.25, $12.57, $12.05
03/08/2021, $11.77, 5936, $12.29, $12.43, $11.6
03/05/2021, $12.26, 18645, $12.1, $12.73, $11.28
03/04/2021, $12.01, 16009, $12.79, $13.34, $11.21
03/03/2021, $12.66, 10179, $14.93, $14.93, $12.66
03/02/2021, $13.72, 7101, $14.71, $14.83, $13.71
03/01/2021, $14.5, 16370, $13.39, $14.79, $13.39
02/26/2021, $13.02, 22394, $13.21, $13.82, $12.51
02/25/2021, $13.03, 35826, $13.43, $14.25, $13.03
02/24/2021, $13.78, 18324, $14.8999, $14.8999, $13.76
02/23/2021, $14.35, 93448, $15.49, $15.49, $12
02/22/2021, $16.01, 23111, $16.87, $16.87, $15.83
02/19/2021, $16.75, 41213, $16.99, $17.8, $16.71
02/18/2021, $16.64, 82510, $17.04, $17.46, $16.44
02/17/2021, $17.045, 101832, $17.77, $18.57, $16.61
02/16/2021, $17.76, 92652, $17.76, $18.2, $17.7
02/12/2021, $17.58, 84914, $17.42, $17.99, $17.25
02/11/2021, $17.25, 202408, $18.66, $18.9, $17.07
02/10/2021, $18.02, 739237, $18.63, $19, $17.3679
02/09/2021, $18.32, 887239, $20.71, $21, $18.32
02/08/2021, $20.29, 343242, $20.5, $22.81, $19.8
02/05/2021, $18.41, 411082, $18.26, $19.62, $18.1
02/04/2021, $15.14, 379565, $15.5, $16, $15
02/03/2021, $15.15, 207304, $15.28, $15.8297, $14.96
02/02/2021, $14.79, 36973, $14.59, $15.3, $14.46
02/01/2021, $14.46, 13046, $14.9891, $14.9891, $14.05
01/29/2021, $13.71, 31274, $13.64, $14.05, $13.56
01/28/2021, $13.43, 119910, $13.91, $14.22, $13.19
01/27/2021, $13.57, 76446, $15, $15, $13.57
01/26/2021, $15.47, 13519, $15.9182, $15.9182, $15.425
01/25/2021, $15.54, 62192, $15.88, $17.8799, $15.11
01/22/2021, $15.2, 84722, $13.68, $15.8063, $13.68
01/21/2021, $13.52, 36026, $13.49, $13.75, $13.4891
01/20/2021, $13.49, 19455, $14.08, $14.23, $13.48
01/19/2021, $13.5, 91299, $13.1, $14.13, $12.7732
01/15/2021, $13.08, 31262, $13.93, $14.17, $12.87
01/14/2021, $13.38, 177010, $13.05, $14.31, $12.99
01/13/2021, $13.05, 459169, $13.36, $13.48, $12.67
01/12/2021, $12.66, 86359, $11.75, $13.1964, $11.75
01/11/2021, $11.73, 108005, $11.5, $11.73, $11.5
01/08/2021, $11.63, 68059, $11.49, $11.7, $11.49
01/07/2021, $11.38, 6083, $11.18, $11.4, $11.18
01/06/2021, $11.17, 52485, $11.39, $11.4, $11.17
01/05/2021, $11.16, 126659, $11.41, $11.41, $11.01
01/04/2021, $11.4, 61758, $11.392, $11.5, $11.35
12/31/2020, $11.49, 64544, $11.394, $11.75, $11.35
12/30/2020, $11.4, 76933, $11.42, $11.72, $11.35
12/29/2020, $11.5, 43431, $11.43, $11.645, $11.37
12/28/2020, $11.53, 231459, $11.26, $12.28, $11.26
12/24/2020, $11.25, 296801, $11.39, $11.39, $11.25
12/23/2020, $11.26, 71451, $11.15, $11.3, $11.15
12/22/2020, $11.14, 830585, $11.04, $11.522, $11.04
12/21/2020, $11.03, 385956, $10.99, $11.24, $10.7383
12/18/2020, $10.98, 49437, $10.82, $10.99, $10.79
12/17/2020, $10.9, 200196, $10.85, $11.64, $10.53
12/16/2020, $10.89, 119689, $10.6167, $10.9, $10.6167
12/15/2020, $10.55, 102318, $10.7, $10.75, $10.4656
12/14/2020, $10.7219, 83877, $10.46, $10.75, $10.46
12/11/2020, $10.5, 374946, $10.4, $10.75, $10.4
12/10/2020, $10.33, 136829, $10.4, $10.45, $10.3
12/09/2020, $10.35, 197240, $10.53, $10.55, $10.3
12/08/2020, $10.35, 71197, $10.4, $10.4749, $10.31
12/07/2020, $10.397, 315096, $10.439, $10.6, $10.3
12/04/2020, $10.4, 171338, $10.28, $10.925, $10.23
12/03/2020, $10.255, 31470, $10.22, $10.3, $10.22
12/02/2020, $10.23, 23840, $10.2, $10.25, $10.2
12/01/2020, $10.24, 16871, $10.25, $10.25, $10.23
11/30/2020, $10.17, 39246, $10.09, $10.25, $10.075
11/27/2020, $10.05, 41043, $10.03, $10.05, $9.99
11/25/2020, $9.99, 2659, $10, $10, $9.99
11/24/2020, $10, 8684, $10, $10, $9.992
11/23/2020, $9.965, 15503, $9.96, $10, $9.96
11/20/2020, $10, 2375, $10, $10, $10
11/19/2020, $9.99, 5160, $9.99, $9.99, $9.99
11/18/2020, $9.9989, 9336, $10, $10, $9.955
11/17/2020, $9.9, 1531, $9.9, $9.9, $9.9
11/16/2020, $10, 20702, $9.93, $10, $9.93
11/13/2020, $9.915, 958, $9.95, $9.95, $9.915
11/12/2020, $9.94, 15657, $9.94, $9.94, $9.91
11/11/2020, $9.91, 4606, $9.92, $9.9397, $9.91
11/10/2020, $9.92, 9706, $9.9346, $9.9599, $9.91
11/09/2020, $10, 482, $10, $10, $10
11/06/2020, $9.984, 45100, $9.95, $9.984, $9.95
11/05/2020, $9.97, 5120, $9.93, $9.97, $9.93
11/04/2020, $9.95, 28646, $9.94, $9.95, $9.92
11/03/2020, $9.94, 49317, $9.92, $9.95, $9.92
11/02/2020, $9.94, 64219, $9.929, $9.9438, $9.92
10/30/2020, $9.93, 32724, $9.92, $9.93, $9.91
10/29/2020, $9.93, 16604, $9.92, $9.9339, $9.92
10/28/2020, $9.93, 48962, $9.9045, $9.932, $9.8904
10/27/2020, $9.91, 19062, $9.93, $9.938, $9.9078
10/26/2020, $9.91, 43679, $9.945, $9.945, $9.9
10/23/2020, $9.92, 65863, $9.91, $9.93, $9.9
10/22/2020, $9.91, 96128, $9.893, $9.92, $9.893
10/21/2020, $9.9, 326686, $9.87, $9.93, $9.87
10/20/2020, $9.88, 5018409, $9.89, $9.95, $9.87
