Date, Close/Last, Volume, Open, High, Low
03/24/2021, $30.9152, 9592, $31.05, $31.08, $30.9152
03/23/2021, $30.9453, 1112, $31.04, $31.04, $30.9453
03/22/2021, $30.975, 15377, $30.945, $31.08, $30.945
03/19/2021, $30.8969, 540, $30.89, $30.8969, $30.89
03/18/2021, $30.9152, 1205, $30.926, $30.96, $30.9152
03/17/2021, $31.0272, 2182, $30.98, $31.0272, $30.9517
03/16/2021, $30.9832, 440, $30.9832, $30.9832, $30.9832
03/15/2021, $30.9711, 2702, $30.9001, $30.9893, $30.9001
03/12/2021, $30.9328, 963, $30.8701, $30.9328, $30.8701
03/11/2021, $30.9204, 1769, $30.98, $30.99, $30.9001
03/10/2021, $30.8316, 3794, $30.83, $30.855, $30.8
03/09/2021, $30.7675, 2674, $30.795, $30.795, $30.75
03/08/2021, $30.6164, 4040, $30.68, $30.7401, $30.6164
03/05/2021, $30.6572, 14391, $30.5099, $30.67, $30.3907
03/04/2021, $30.4294, 22770, $30.6428, $30.6428, $30.34
03/03/2021, $30.601, 1438, $30.68, $30.7, $30.601
03/02/2021, $30.7261, 1523, $30.7705, $30.791, $30.72
03/01/2021, $30.813, 5568, $30.7101, $30.85, $30.7101
02/26/2021, $30.5737, 9958, $30.38, $30.65, $30.38
02/25/2021, $30.61, 33934, $30.81, $30.84, $30.54
02/24/2021, $30.8298, 10168, $30.74, $30.83, $30.718
02/23/2021, $30.7071, 14536, $30.6299, $30.73, $30.59
02/22/2021, $30.6722, 23312, $30.65, $30.76, $30.64
02/19/2021, $30.73, 3044, $30.78, $30.8, $30.73
02/18/2021, $30.76, 30314, $30.72, $30.78, $30.675
02/17/2021, $30.7934, 2502, $30.745, $30.7934, $30.745
02/16/2021, $30.79, 3419, $30.843, $30.85, $30.78
02/12/2021, $30.81, 1475, $30.8, $30.82, $30.79
02/11/2021, $30.76, 7512, $30.83, $30.83, $30.7
02/10/2021, $30.7723, 7504, $30.8, $30.8, $30.72
02/09/2021, $30.75, 863512, $30.8, $30.81, $30.75
02/08/2021, $30.8, 6564, $30.78, $30.8286, $30.775
02/05/2021, $30.7591, 2320, $30.755, $30.77, $30.755
02/04/2021, $30.7086, 5946, $30.67, $30.72, $30.67
02/03/2021, $30.58, 5066, $30.62, $30.6446, $30.58
02/02/2021, $30.55, 3917, $30.57, $30.62, $30.55
02/01/2021, $30.37, 3571, $30.32, $30.455, $30.285
01/29/2021, $30.235, 11203, $30.39, $30.39, $30.17
01/28/2021, $30.4799, 8784, $30.465, $30.525, $30.37
01/27/2021, $30.333, 44639, $30.5, $30.5, $30.28
01/26/2021, $30.6541, 77541, $30.72, $30.72, $30.64
01/25/2021, $30.71, 339427, $30.71, $30.74, $30.58
01/22/2021, $30.7123, 46583, $30.685, $30.72, $30.65
01/21/2021, $30.7238, 17400, $30.718, $30.76, $30.67
01/20/2021, $30.7499, 213225, $30.67, $30.769, $30.67
01/19/2021, $30.5799, 25739, $30.55, $30.6, $30.5081
01/15/2021, $30.4858, 19403, $30.539, $30.55, $30.4858
01/14/2021, $30.57, 19645, $30.64, $30.65, $30.57
01/13/2021, $30.6187, 31093, $30.62, $30.68, $30.5951
01/12/2021, $30.5999, 849350, $30.585, $30.63, $30.559
01/11/2021, $30.57, 77400, $30.64, $30.68, $30.55
01/08/2021, $30.683, 21648, $30.93, $30.93, $30.54
01/07/2021, $30.6338, 23974, $30.56, $30.68, $30.551
01/06/2021, $30.4696, 37549, $30.36, $30.6, $30.35
01/05/2021, $30.3874, 64353, $30.36, $30.45, $30.3
01/04/2021, $30.3203, 500744, $30.375, $30.375, $30.2
12/31/2020, $30.4884, 26640, $30.395, $30.5, $30.39
12/30/2020, $30.4121, 15688, $30.46, $30.46, $30.37
12/29/2020, $30.43, 116281, $30.46, $30.47, $30.4
12/28/2020, $30.442, 55367, $30.43, $30.5, $30.42
12/24/2020, $30.3113, 3296, $30.32, $30.32, $30.31
12/23/2020, $30.31, 26384, $30.51, $30.51, $30.3051
12/22/2020, $30.23, 167260, $30.2799, $30.3, $30.2199
12/21/2020, $30.26, 288318, $30.2, $30.3, $30
