Date, Close/Last, Volume, Open, High, Low
03/24/2021, $20.78, 820541, $21.02, $21.455, $20.74
03/23/2021, $21, 900659, $21.12, $21.34, $20.895
03/22/2021, $21.1, 558978, $21.25, $21.4361, $20.94
03/19/2021, $21.25, 1186655, $21.53, $21.55, $21.25
03/18/2021, $21.5, 388390, $21.59, $21.641, $21.43
03/17/2021, $21.61, 354870, $21.73, $21.771, $21.42
03/16/2021, $21.76, 548996, $21.63, $21.89, $21.61
03/15/2021, $21.75, 696825, $21.9, $21.93, $21.52
03/12/2021, $21.91, 828508, $21.43, $21.91, $21.43
03/11/2021, $21.46, 571495, $21.34, $21.575, $21.33
03/10/2021, $21.3, 1043702, $21.16, $21.37, $20.85
03/09/2021, $21.21, 547506, $21.43, $21.55, $21.17
03/08/2021, $21.25, 549723, $21.05, $21.49, $21
03/05/2021, $21, 606916, $21.29, $21.37, $20.79
03/04/2021, $21.2, 593883, $21.39, $21.53, $21.1
03/03/2021, $21.49, 589293, $21.55, $21.66, $21.42
03/02/2021, $21.53, 572997, $21.63, $21.72, $21.36
03/01/2021, $21.69, 873064, $22.12, $22.276, $21.63
02/26/2021, $21.98, 911790, $22.4, $22.54, $21.97
02/25/2021, $22.53, 726551, $22.59, $23.07, $22.38
02/24/2021, $22.78, 648705, $22.31, $22.97, $22.24
02/23/2021, $22.27, 462192, $22, $22.38, $21.9
02/22/2021, $21.84, 1420395, $21.76, $21.91, $21.49
02/19/2021, $21.74, 699927, $21.63, $21.92, $21.58
02/18/2021, $21.61, 537706, $21.85, $22.05, $21.6
02/17/2021, $21.87, 700150, $21.98, $22.07, $21.77
02/16/2021, $22.08, 573898, $22.72, $22.73, $22.01
02/12/2021, $22.73, 378608, $22.78, $22.93, $22.61
02/11/2021, $22.79, 1205562, $22.78, $22.86, $22.33
02/10/2021, $22.68, 515978, $22.73, $22.97, $22.525
02/09/2021, $22.62, 395666, $22.73, $22.85, $22.56
02/08/2021, $22.74, 532213, $22.93, $22.93, $22.65
02/05/2021, $22.75, 478800, $22.88, $22.925, $22.59
02/04/2021, $22.7, 315887, $22.33, $22.831, $22.14
02/03/2021, $22.27, 526997, $22.22, $22.47, $21.73
02/02/2021, $22.3, 402475, $22.33, $22.45, $21.89
02/01/2021, $22.31, 376535, $22, $22.41, $21.72
01/29/2021, $21.95, 607577, $22.42, $22.54, $21.925
01/28/2021, $22.51, 452006, $22.85, $22.97, $22.46
01/27/2021, $22.79, 456711, $23.48, $23.645, $22.77
01/26/2021, $23.55, 335324, $23.39, $23.5899, $23.216
01/25/2021, $23.21, 452454, $22.78, $23.36, $22.67
01/22/2021, $22.9, 584041, $22.99, $23.11, $22.7
01/21/2021, $23.13, 351303, $23.06, $23.27, $22.585
01/20/2021, $23.13, 464813, $22.92, $23.22, $22.845
01/19/2021, $23.03, 689169, $22.97, $23.24, $22.8201
01/15/2021, $22.74, 568148, $22.37, $22.81, $22.3
01/14/2021, $22.42, 550086, $22.37, $22.67, $22.24
01/13/2021, $22.31, 836018, $21.92, $22.35, $21.92
01/12/2021, $22.15, 514864, $22.38, $22.38, $22.06
01/11/2021, $22.04, 439178, $21.9, $22.062, $21.6
01/08/2021, $22.08, 698204, $21.99, $22.32, $21.89
01/07/2021, $22, 1096635, $22.52, $22.52, $21.485
01/06/2021, $22.65, 667779, $22.33, $22.84, $22.2
01/05/2021, $22.23, 403979, $22.52, $22.69, $22.21
01/04/2021, $22.52, 578124, $22.77, $22.77, $22.3
12/31/2020, $22.65, 227238, $22.44, $22.7, $22.28
12/30/2020, $22.48, 230711, $22.43, $22.68, $22.415
12/29/2020, $22.43, 295119, $22.56, $22.77, $22.32
12/28/2020, $22.56, 479846, $22.3, $22.65, $22.22
12/24/2020, $22.19, 389814, $22.19, $22.3, $22.04
12/23/2020, $22.17, 428039, $22.62, $22.81, $22.02
