Date, Close/Last, Volume, Open, High, Low
03/24/2021, $0.912, 4239427, $1.02, $1.0275, $0.9
03/23/2021, $1.05, 2920839, $1.04, $1.06, $1.01
03/22/2021, $1.07, 2661369, $1.05, $1.07, $1.03
03/19/2021, $1.02, 4297882, $1.06, $1.1, $1.01
03/18/2021, $1.07, 5176816, $1.08, $1.12, $1.04
03/17/2021, $1.08, 3477609, $0.987, $1.08, $0.972
03/16/2021, $1.02, 2861048, $1.06, $1.06, $0.972
03/15/2021, $1.06, 3894901, $1.04, $1.08, $1.01
03/12/2021, $1.01, 2448520, $0.99, $1.03, $0.9624
03/11/2021, $1.02, 3573878, $0.978, $1.05, $0.9611
03/10/2021, $0.9502, 3637815, $0.997, $1.045, $0.9203
03/09/2021, $0.949, 4144822, $0.9021, $0.9779, $0.89
03/08/2021, $0.8612, 3133445, $0.92, $0.9446, $0.8602
03/05/2021, $0.895, 5559000, $0.8849, $0.9169, $0.78
03/04/2021, $0.8962, 9694077, $0.9912, $0.998, $0.86
03/03/2021, $1.02, 6177986, $1.04, $1.065, $1
03/02/2021, $1.06, 5633962, $1.08, $1.0989, $1.05
03/01/2021, $1.11, 6246271, $1.18, $1.18, $1.08
02/26/2021, $1.15, 10198680, $1.06, $1.178, $1
02/25/2021, $1.03, 11042000, $1.13, $1.15, $1.02
02/24/2021, $1.16, 7387276, $1.17, $1.23, $1.13
02/23/2021, $1.12, 11058390, $1.13, $1.1819, $0.9601
02/22/2021, $1.24, 9639241, $1.29, $1.36, $1.23
02/19/2021, $1.32, 12684860, $1.41, $1.45, $1.3
02/18/2021, $1.44, 12867790, $1.49, $1.6, $1.38
02/17/2021, $1.49, 32637960, $1.75, $1.85, $1.46
02/16/2021, $1.7, 108041900, $1.49, $1.78, $1.47
02/12/2021, $1.24, 74609320, $1.09, $1.35, $1.09
02/11/2021, $1.34, 4582824, $1.45, $1.45, $1.31
02/10/2021, $1.4, 3189821, $1.54, $1.54, $1.28
02/09/2021, $1.49, 5279206, $1.519, $1.54, $1.35
02/08/2021, $1.49, 10565700, $1.32, $1.52, $1.27
02/05/2021, $1.29, 8611873, $1.26, $1.3884, $1.2
02/04/2021, $1.23, 3954126, $1.148, $1.29, $1.13
02/03/2021, $1.12, 2253956, $1.09, $1.15, $1.07
02/02/2021, $1.09, 2243958, $1.12, $1.13, $1.02
02/01/2021, $1.09, 1844914, $1.18, $1.18, $1.02
01/29/2021, $1.14, 1297622, $1.11, $1.19, $1.11
01/28/2021, $1.16, 1876388, $1.17, $1.19, $1.08
01/27/2021, $1.2, 2237722, $1.22, $1.2691, $1.15
01/26/2021, $1.27, 2142431, $1.349, $1.35, $1.22
01/25/2021, $1.3, 4784025, $1.31, $1.38, $1.241
01/22/2021, $1.23, 4100822, $1.16, $1.25, $1.13
01/21/2021, $1.16, 5030771, $1.1491, $1.2469, $1.06
01/20/2021, $1.07, 4682564, $1.04, $1.25, $1.04
01/19/2021, $1.04, 3630280, $1.09, $1.09, $1.01
01/15/2021, $1.13, 2037723, $1.14, $1.17, $1.11
01/14/2021, $1.17, 2590737, $1.25, $1.25, $1.14
01/13/2021, $1.25, 4270966, $1.22, $1.3, $1.14
01/12/2021, $1.11, 8858433, $1.29, $1.45, $1.05
01/11/2021, $1.3, 18235000, $0.99, $1.35, $0.9489
01/08/2021, $0.97, 1997741, $0.94, $0.98, $0.8725
01/07/2021, $0.9357, 1174445, $0.9568, $0.985, $0.92
01/06/2021, $0.9401, 2677513, $1.04, $1.04, $0.911
01/05/2021, $1.04, 7955499, $0.879, $1.12, $0.8601
01/04/2021, $0.8441, 1245634, $0.83, $0.87, $0.8031
12/31/2020, $0.795, 1085980, $0.839, $0.849, $0.7911
