Date, Close/Last, Volume, Open, High, Low
03/24/2021, $140.09, 2166117, $139.19, $141.09, $138.11
03/23/2021, $140, 1629053, $137.13, $140.2, $136.58
03/22/2021, $136.55, 1422488, $133.84, $136.805, $133.51
03/19/2021, $133.51, 2355014, $134.16, $137.59, $133.4
03/18/2021, $134.16, 1174286, $133.68, $135.06, $132.26
03/17/2021, $134.68, 1782893, $135.25, $135.73, $134.03
03/16/2021, $135.68, 1737322, $135.5, $136.41, $135.11
03/15/2021, $135.07, 2388739, $134.58, $135.65, $134.09
03/12/2021, $134.19, 2864003, $131.6, $134.32, $130.22
03/11/2021, $134.85, 1648901, $135.65, $137.23, $134.39
03/10/2021, $135.35, 1811939, $135.62, $136.78, $134.28
03/09/2021, $135.08, 1728902, $133.54, $137.45, $133.25
03/08/2021, $132.18, 2053601, $131.97, $135, $130.03
03/05/2021, $132, 2783261, $129, $132.59, $126.33
03/04/2021, $129, 2959670, $126.15, $131.04, $124.65
03/03/2021, $125.66, 2075831, $130.5, $131, $125.12
03/02/2021, $131.12, 1761883, $132.88, $133.81, $129.8757
03/01/2021, $132.96, 1930987, $135.59, $137.02, $132.3023
02/26/2021, $134.73, 2722138, $134.93, $138, $134.51
02/25/2021, $134.37, 1386625, $135, $137.21, $133.17
02/24/2021, $135.15, 1243647, $136.73, $137.64, $134.7
02/23/2021, $137.3, 1776871, $138.36, $138.85, $135.84
02/22/2021, $137.6, 1647264, $135.55, $138.06, $134.5
02/19/2021, $136.45, 1446625, $138.06, $139.46, $136.41
02/18/2021, $137.94, 1011927, $137.66, $139, $137.125
02/17/2021, $138.28, 1203139, $136.92, $138.66, $136.725
02/16/2021, $137.2, 2529652, $140.83, $140.86, $135.8
02/12/2021, $140.06, 1957444, $144, $145, $138.35
02/11/2021, $144.82, 1521714, $147.19, $148.75, $143.94
02/10/2021, $147.53, 801918, $149.5, $149.96, $146.06
02/09/2021, $148.24, 1220829, $146.37, $148.35, $145.81
02/08/2021, $146.37, 1025436, $145.02, $146.66, $144.21
02/05/2021, $145.56, 1478582, $145.05, $147, $144.65
02/04/2021, $145.05, 2725384, $147.14, $147.34, $142.86
02/03/2021, $147.32, 1283005, $148.36, $148.36, $145.99
02/02/2021, $148.61, 1231092, $149, $150.425, $147.9005
02/01/2021, $148.21, 1954349, $144.4, $148.25, $143.39
01/29/2021, $143.95, 3433630, $143.83, $147.38, $141.855
01/28/2021, $144.87, 3027605, $147.12, $149.09, $144.7
01/27/2021, $149.17, 2866211, $145.36, $149.69, $144
01/26/2021, $145.85, 1167144, $142.29, $146, $141.86
01/25/2021, $142.63, 1651785, $141.04, $143.745, $140.61
01/22/2021, $140.46, 1109732, $140.67, $142.04, $140.1501
01/21/2021, $141.22, 1459485, $140.01, $141.54, $139.14
01/20/2021, $140.72, 1813956, $137.99, $141.42, $137.1401
01/19/2021, $137.99, 1622123, $139.2, $139.26, $137.08
01/15/2021, $136.48, 1762563, $133.1, $136.65, $132.7
01/14/2021, $133.45, 1442267, $132.94, $134.21, $131.63
01/13/2021, $133.15, 1272823, $131.75, $133.6, $131.75
01/12/2021, $131.51, 1748751, $130.99, $131.92, $130.05
01/11/2021, $131.27, 1917567, $133.18, $133.37, $129.57
01/08/2021, $133.6, 2341601, $133.51, $134.9, $132.01
01/07/2021, $133.61, 2187077, $131.9, $134.16, $131.6
01/06/2021, $132.11, 1823771, $132.13, $132.82, $130.0596
01/05/2021, $132.96, 1614125, $135.43, $136.28, $132.88
01/04/2021, $135.29, 1858116, $139.99, $139.99, $135.09
12/31/2020, $139.51, 1019020, $138.19, $139.72, $137
12/30/2020, $138.35, 1032837, $138.21, $139.78, $137.72
12/29/2020, $138, 1009193, $139, $139.57, $137.72
12/28/2020, $138.61, 1140633, $137.72, $138.88, $137.37
12/24/2020, $137.43, 460148, $136.88, $138.17, $136.53
12/23/2020, $136.79, 1959285, $139.23, $139.96, $136.79
12/22/2020, $138.54, 2023364, $134.34, $138.6, $134.19
12/21/2020, $134.65, 2065667, $131.98, $134.74, $131.28
12/18/2020, $134.02, 5403632, $134.07, $134.95, $132.19
12/17/2020, $133.93, 2303014, $130.2, $134.91, $130.2
12/16/2020, $129.58, 1494606, $129.24, $130.78, $128.04
12/15/2020, $128.8, 2529327, $128.27, $129.2, $126.79
12/14/2020, $128.09, 1847602, $129.16, $131.06, $128
12/11/2020, $130.27, 1767066, $129.22, $130.88, $128
12/10/2020, $129.66, 2774946, $130, $131.17, $128.68
12/09/2020, $129.75, 2580198, $133.45, $133.61, $129.72
12/08/2020, $133.37, 1928032, $135.37, $136.39, $133.08
12/07/2020, $135.23, 1556947, $135.23, $137.56, $134.79
12/04/2020, $135.47, 1805768, $133.77, $135.8, $132.71
12/03/2020, $133.65, 1672899, $133.65, $135.35, $133.02
12/02/2020, $132.16, 1680052, $134.75, $135.22, $132.08
12/01/2020, $135.13, 2106155, $135.84, $137.75, $134.79
11/30/2020, $134.75, 2116506, $137, $137.07, $134.27
11/27/2020, $136.73, 487064, $136.28, $136.82, $135.21
11/25/2020, $135.75, 3046773, $133.95, $135.94, $132.7117
11/24/2020, $132.6, 4000442, $139.75, $140.435, $131.91
