Date, Close/Last, Volume, Open, High, Low
03/24/2021, $33.8049, 2901, $33.96, $33.9699, $33.8049
03/23/2021, $33.8328, 3542, $33.93, $33.9599, $33.8328
03/22/2021, $33.9013, 6092, $33.73, $33.96, $33.73
03/19/2021, $33.8002, 1187, $33.848, $33.848, $33.7599
03/18/2021, $33.7795, 566, $33.8221, $33.8221, $33.7795
03/17/2021, $33.902, 1754, $33.7774, $33.902, $33.7774
03/16/2021, $33.8587, 1638, $33.94, $33.94, $33.82
03/15/2021, $33.8641, 8191, $33.83, $33.88, $33.77
03/12/2021, $33.7902, 7244, $33.8, $33.84, $33.7001
03/11/2021, $33.77, 12694, $33.81, $33.86, $33.7301
03/10/2021, $33.6608, 20391, $33.64, $33.7, $33.64
03/09/2021, $33.6156, 2999, $33.65, $33.71, $33.6156
03/08/2021, $33.5284, 15421, $33.5893, $33.7, $33.5213
03/05/2021, $33.5489, 5286, $33.34, $33.5685, $33.2412
03/04/2021, $33.3077, 6615, $33.47, $33.47, $33.23
03/03/2021, $33.4675, 16058, $33.51, $33.6167, $33.4675
03/02/2021, $33.5941, 4097, $33.6, $33.7, $33.5941
03/01/2021, $33.6, 20566, $33.48, $33.65, $33.48
02/26/2021, $33.4422, 2600, $33.39, $33.4422, $33.34
02/25/2021, $33.386, 10712, $33.58, $33.6898, $33.38
02/24/2021, $33.6942, 8959, $33.535, $33.7, $33.535
02/23/2021, $33.5856, 1557, $33.47, $33.6, $33.47
02/22/2021, $33.5411, 5842, $33.7, $33.7, $33.475
02/19/2021, $33.5889, 5932, $33.63, $33.63, $33.56
02/18/2021, $33.5704, 5996, $33.55, $33.588, $33.51
02/17/2021, $33.59, 5700, $33.49, $33.61, $33.49
02/16/2021, $33.6351, 5608, $33.705, $33.74, $33.5928
02/12/2021, $33.6612, 3749, $33.64, $33.671, $33.64
02/11/2021, $33.5781, 14425, $33.56, $33.605, $33.54
02/10/2021, $33.5868, 21546, $33.76, $33.76, $33.53
