Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.68, 226190, $10.74, $10.74, $10.66
01/19/2021, $10.67, 298065, $10.7, $10.74, $10.63
01/15/2021, $10.6, 201743, $10.55, $10.62, $10.5201
01/14/2021, $10.56, 430305, $10.48, $10.56, $10.455
01/13/2021, $10.49, 270349, $10.45, $10.5, $10.43
01/12/2021, $10.44, 147484, $10.45, $10.45, $10.41
01/11/2021, $10.41, 166786, $10.39, $10.455, $10.34
01/08/2021, $10.39, 86168, $10.4, $10.43, $10.38
01/07/2021, $10.37, 182790, $10.35, $10.4, $10.34
01/06/2021, $10.37, 151258, $10.38, $10.4, $10.31
01/05/2021, $10.39, 166552, $10.37, $10.41, $10.32
01/04/2021, $10.37, 187715, $10.42, $10.42, $10.31
12/31/2020, $10.45, 412533, $10.29, $10.45, $10.26
12/30/2020, $10.27, 685591, $10.19, $10.29, $10.19
12/29/2020, $10.24, 211518, $10.23, $10.29, $10.21
12/28/2020, $10.21, 185963, $10.18, $10.27, $10.18
12/24/2020, $10.21, 68411, $10.21, $10.25, $10.19
12/23/2020, $10.19, 137875, $10.2, $10.24, $10.16
12/22/2020, $10.17, 133439, $10.13, $10.23, $10.13
12/21/2020, $10.15, 315103, $10.13, $10.1999, $10.069
12/18/2020, $10.14, 141797, $10.18, $10.18, $10.11
12/17/2020, $10.17, 218644, $10.15, $10.18, $10.14
12/16/2020, $10.14, 207801, $10.24, $10.24, $10.133
12/15/2020, $10.22, 185008, $10.2, $10.27, $10.18
12/14/2020, $10.18, 190916, $10.25, $10.3, $10.16
12/11/2020, $10.28, 98527, $10.31, $10.33, $10.28
12/10/2020, $10.31, 101706, $10.26, $10.36, $10.25
12/09/2020, $10.33, 166256, $10.38, $10.41, $10.22
12/08/2020, $10.33, 124149, $10.29, $10.36, $10.2707
12/07/2020, $10.28, 416403, $10.4, $10.4099, $10.2
12/04/2020, $10.45, 102943, $10.45, $10.48, $10.44
12/03/2020, $10.45, 113984, $10.43, $10.46, $10.42
12/02/2020, $10.44, 196577, $10.39, $10.47, $10.39
12/01/2020, $10.43, 200296, $10.35, $10.47, $10.3229
11/30/2020, $10.34, 119218, $10.33, $10.34, $10.23
11/27/2020, $10.29, 81346, $10.31, $10.35, $10.27
11/25/2020, $10.26, 91271, $10.25, $10.33, $10.25
11/24/2020, $10.25, 147456, $10.12, $10.285, $10.06
11/23/2020, $10.09, 132453, $10.02, $10.1, $10.0011
11/20/2020, $10, 71048, $10.03, $10.06, $9.99
11/19/2020, $10, 82263, $10.05, $10.09, $10
11/18/2020, $10.05, 125428, $10.06, $10.08, $10.02
11/17/2020, $10.04, 117194, $10.02, $10.05, $10.01
11/16/2020, $10.04, 92069, $10.01, $10.07, $10.01
11/13/2020, $9.97, 51907, $9.97, $10.01, $9.95
11/12/2020, $10.01, 119461, $10.03, $10.04, $9.98
11/11/2020, $10.03, 134380, $9.98, $10.05, $9.97
11/10/2020, $9.97, 82484, $9.92, $9.98, $9.905
11/09/2020, $9.93, 152572, $9.9, $9.975, $9.889
11/06/2020, $9.76, 102434, $9.81, $9.84, $9.76
11/05/2020, $9.81, 151059, $9.75, $9.84, $9.745
11/04/2020, $9.72, 121516, $9.63, $9.73, $9.6201
11/03/2020, $9.58, 161652, $9.57, $9.62, $9.57
11/02/2020, $9.55, 487205, $9.53, $9.61, $9.53
10/30/2020, $9.53, 179870, $9.61, $9.63, $9.5
10/29/2020, $9.56, 219355, $9.56, $9.5921, $9.55
10/28/2020, $9.56, 212060, $9.66, $9.69, $9.19
10/27/2020, $9.71, 119337, $9.68, $9.74, $9.68
10/26/2020, $9.68, 125122, $9.75, $9.78, $9.65
10/23/2020, $9.79, 201609, $9.86, $9.89, $9.76
10/22/2020, $9.89, 101749, $9.85, $9.89, $9.8
10/21/2020, $9.88, 77860, $9.84, $9.9, $9.8105
10/20/2020, $9.86, 104888, $9.8, $9.86, $9.7828
10/19/2020, $9.75, 222544, $9.84, $9.8599, $9.71
10/16/2020, $9.84, 137355, $9.94, $9.95, $9.82
10/15/2020, $9.94, 77888, $9.95, $9.97, $9.93
10/14/2020, $10, 73289, $10.02, $10.03, $9.98
10/13/2020, $10.05, 64215, $10.07, $10.095, $10.05
10/12/2020, $10.09, 74387, $10.11, $10.11, $10.062
10/09/2020, $10.08, 138106, $10.12, $10.12, $10.04
10/08/2020, $10.06, 232108, $10.09, $10.13, $10.03
10/07/2020, $10.05, 166994, $10.13, $10.17, $10.04
10/06/2020, $10.1, 80302, $10.09, $10.15, $10.07
10/05/2020, $10.12, 115593, $10.05, $10.12, $9.99
10/02/2020, $10.05, 180732, $9.93, $10.05, $9.9
10/01/2020, $9.93, 242237, $9.94, $10.015, $9.91
09/30/2020, $9.94, 219035, $10.05, $10.05, $9.94
09/29/2020, $10, 288910, $10.03, $10.05, $9.99
09/28/2020, $10, 186004, $9.94, $10.07, $9.94
09/25/2020, $9.93, 193504, $9.93, $9.96, $9.82
09/24/2020, $9.98, 108340, $9.95, $10.01, $9.93
09/23/2020, $9.98, 194540, $10.1, $10.13, $9.95
09/22/2020, $10.09, 195701, $10.11, $10.18, $10.06
09/21/2020, $10.12, 109968, $10.07, $10.13, $10.06
09/18/2020, $10.2, 55579, $10.22, $10.23, $10.17
09/17/2020, $10.2, 369616, $10.12, $10.21, $10.0806
09/16/2020, $10.15, 99002, $10.04, $10.1596, $10.04
09/15/2020, $10.05, 124356, $10.05, $10.06, $10.01
09/14/2020, $10.04, 95434, $10.01, $10.04, $9.99
09/11/2020, $10.06, 52552, $10.07, $10.07, $10.03
09/10/2020, $10.03, 162274, $10.02, $10.1, $10
09/09/2020, $10.06, 124558, $9.96, $10.06, $9.91
09/08/2020, $9.9, 309994, $9.91, $9.91, $9.8
09/04/2020, $10.06, 94055, $10.04, $10.09, $10
09/03/2020, $10.03, 104907, $10.09, $10.18, $9.97
09/02/2020, $10.17, 210377, $10.05, $10.21, $10.03
09/01/2020, $10.07, 98005, $10, $10.07, $9.9501
08/31/2020, $10, 167183, $10.02, $10.02, $9.94
08/28/2020, $9.99, 123767, $10.02, $10.04, $9.9548
08/27/2020, $9.97, 186059, $9.96, $10.06, $9.92
08/26/2020, $9.92, 94371, $9.92, $9.96, $9.91
08/25/2020, $9.92, 195622, $9.94, $9.96, $9.86
08/24/2020, $9.94, 198770, $10, $10, $9.91
08/21/2020, $9.98, 74888, $10.03, $10.06, $9.96
08/20/2020, $10.04, 229438, $9.96, $10.05, $9.93
08/19/2020, $9.99, 145890, $10.05, $10.06, $9.99
08/18/2020, $10.02, 95621, $10.08, $10.14, $10.01
08/17/2020, $10.09, 113624, $10.05, $10.09, $10.05
08/14/2020, $10.05, 70196, $10.08, $10.09, $10.0202
08/13/2020, $10.06, 150934, $10.06, $10.15, $10.06
08/12/2020, $10.14, 115899, $10.09, $10.16, $10.0815
08/11/2020, $10.07, 166076, $10.11, $10.13, $9.95
08/10/2020, $10.09, 107548, $10.04, $10.1, $10.0344
08/07/2020, $10.01, 102421, $10.01, $10.07, $10.01
08/06/2020, $10.04, 116017, $9.99, $10.07, $9.99
08/05/2020, $9.99, 93319, $9.98, $10, $9.965
