Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.31, 167897, $25.4, $25.49, $25.16
01/19/2021, $25.35, 40204, $25.33, $25.3899, $25.26
01/15/2021, $25.19, 66341, $25.16, $25.38, $25.07
01/14/2021, $25.14, 87805, $25.22, $25.34, $25.01
01/13/2021, $25.07, 94847, $25.05, $25.33, $25.04
01/12/2021, $24.95, 121703, $25.58, $25.58, $24.73
01/11/2021, $25.45, 32033, $25.56, $25.6599, $25.4
01/08/2021, $25.62, 64241, $25.71, $25.97, $25.5401
01/07/2021, $25.68, 153711, $25.96, $25.99, $25.4
01/06/2021, $25.695, 33933, $26.47, $26.47, $25.24
01/05/2021, $26.44, 36981, $26.74, $26.74, $26.29
01/04/2021, $26.6, 44509, $27.14, $27.14, $26.6
12/31/2020, $27.14, 38802, $27.08, $27.14, $26.87
12/30/2020, $27, 14582, $26.99, $27.03, $26.82
12/29/2020, $27.2, 12956, $27.25, $27.25, $27.11
12/28/2020, $27.2, 30399, $27.25, $27.25, $27.01
12/24/2020, $27.14, 20229, $27.14, $27.15, $27.0465
12/23/2020, $27.14, 16068, $27.29, $27.29, $26.9747
12/22/2020, $27.1698, 8546, $27.18, $27.3099, $27.0388
12/21/2020, $27.18, 27906, $26.96, $27.18, $26.8
12/18/2020, $26.99, 4835, $27.03, $27.03, $26.829
12/17/2020, $27.03, 10548, $26.99, $27.05, $26.95
12/16/2020, $26.87, 11832, $26.86, $26.88, $26.7496
12/15/2020, $26.83, 39474, $26.83, $26.86, $26.52
12/14/2020, $26.63, 28901, $26.66, $26.66, $26.556
12/11/2020, $26.51, 82958, $26.92, $26.92, $26.5
12/10/2020, $26.92, 63774, $27.02, $27.09, $26.7827
12/09/2020, $27.02, 87273, $26.67, $27.09, $26.65
12/08/2020, $26.7, 136155, $26.21, $26.71, $26.2
12/07/2020, $26.22, 18866, $26.18, $26.22, $26.15
12/04/2020, $26.16, 16192, $26.08, $26.19, $26.08
12/03/2020, $26.05, 44446, $26.17, $26.31, $25.99
12/02/2020, $26.17, 18076, $25.96, $26.17, $25.895
12/01/2020, $25.96, 31180, $25.85, $25.99, $25.85
11/30/2020, $25.83, 27728, $25.77, $25.865, $25.67
11/27/2020, $25.73, 11750, $25.7, $25.79, $25.6501
11/25/2020, $25.6, 104785, $25.95, $25.95, $25.56
11/24/2020, $25.86, 24682, $26.08, $26.08, $25.8377
11/23/2020, $26, 81356, $26.2, $26.29, $25.92
11/20/2020, $26.11, 12678, $26.14, $26.15, $26.04
11/19/2020, $26.02, 29669, $26.25, $26.25, $25.94
11/18/2020, $26.17, 22336, $26.25, $26.4, $26.15
11/17/2020, $26.3, 20164, $25.99, $26.3, $25.94
11/16/2020, $25.97, 40326, $25.79, $25.99, $25.75
11/13/2020, $25.72, 49914, $25.79, $25.8, $25.63
11/12/2020, $25.7, 36189, $25.82, $25.9001, $25.658
11/11/2020, $25.82, 31752, $25.72, $25.8385, $25.7
11/10/2020, $25.68, 73446, $25.75, $25.7779, $25.62
11/09/2020, $25.74, 62043, $25.89, $25.89, $25.6
11/06/2020, $25.65, 83565, $25.86, $25.86, $25.65
11/05/2020, $25.78, 68377, $25.78, $25.84, $25.68
11/04/2020, $25.6, 70150, $25.66, $25.73, $25.58
11/03/2020, $25.55, 54955, $25.55, $25.55, $25.4
11/02/2020, $25.52, 191214, $25.63, $25.63, $25.47
10/30/2020, $25.55, 1053686, $25.46, $25.65, $25.4
10/29/2020, $25.56, 186231, $25.74, $25.74, $25.46
10/28/2020, $25.68, 143106, $25.71, $25.75, $25.45
10/27/2020, $25.83, 267244, $25.8, $25.92, $25.78
10/26/2020, $25.83, 124060, $25.9, $25.96, $25.695
10/23/2020, $25.95, 61226, $25.93, $26, $25.88
10/22/2020, $25.93, 72887, $25.86, $25.94, $25.77
10/21/2020, $25.85, 47272, $25.91, $25.925, $25.76
10/20/2020, $25.9, 63291, $25.83, $25.9, $25.7806
10/19/2020, $25.8, 55205, $25.85, $25.8528, $25.68
10/16/2020, $25.85, 84479, $25.6864, $25.898, $25.6864
10/15/2020, $25.66, 71324, $25.5, $25.66, $25.5
10/14/2020, $25.6, 50659, $25.63, $25.7, $25.54
10/13/2020, $25.61, 52492, $25.66, $25.7, $25.56
10/12/2020, $25.64, 105494, $25.61, $25.73, $25.5996
10/09/2020, $25.55, 283969, $25.48, $25.58, $25.46
10/08/2020, $25.46, 668673, $25.65, $25.72, $25.4
10/07/2020, $25.6, 206553, $25.36, $25.64, $25.26
10/06/2020, $25.0483, N/A, $25.0483, $25.0483, $25.0483
10/05/2020, $25.0483, N/A, $25.0483, $25.0483, $25.0483
10/02/2020, $25, N/A, $25, $25, $25
10/01/2020, $25.05, N/A, $25.05, $25.05, $25.05
09/30/2020, $25.005, N/A, $25.005, $25.005, $25.005
09/29/2020, $24.97, N/A, $24.97, $24.97, $24.97
09/28/2020, $24.94, N/A, $24.94, $24.94, $24.94
09/25/2020, $24.77, N/A, $24.77, $24.77, $24.77
09/24/2020, $24.7, N/A, $24.7, $24.7, $24.7
09/23/2020, $25.02, N/A, $25.02, $25.02, $25.02
