Date, Close/Last, Volume, Open, High, Low
01/20/2021, $1.3803, 408317, $1.39, $1.4682, $1.36
01/19/2021, $1.38, 93985, $1.4, $1.45, $1.38
01/15/2021, $1.35, 291606, $1.55, $1.56, $1.35
01/14/2021, $1.51, 201344, $1.71, $1.735, $1.51
01/13/2021, $1.71, 768349, $1.5, $1.84, $1.4801
01/12/2021, $1.49, 159966, $1.51, $1.54, $1.45
01/11/2021, $1.52, 141922, $1.52, $1.53, $1.45
01/08/2021, $1.53, 348807, $1.62, $1.62, $1.45
01/07/2021, $1.48, 525403, $1.43, $1.6299, $1.43
01/06/2021, $1.38, 168566, $1.33, $1.4432, $1.33
01/05/2021, $1.36, 74507, $1.31, $1.37, $1.31
01/04/2021, $1.33, 113722, $1.32, $1.35, $1.27
12/31/2020, $1.33, 55365, $1.35, $1.38, $1.33
12/30/2020, $1.3563, 85020, $1.33, $1.45, $1.3222
12/29/2020, $1.37, 146063, $1.48, $1.48, $1.33
12/28/2020, $1.48, 820030, $1.37, $1.53, $1.34
12/24/2020, $1.31, 52870, $1.4, $1.41, $1.3
12/23/2020, $1.38, 98194, $1.31, $1.4, $1.31
12/22/2020, $1.32, 114344, $1.31, $1.36, $1.31
12/21/2020, $1.3, 69998, $1.36, $1.37, $1.295
12/18/2020, $1.31, 78681, $1.33, $1.38, $1.31
12/17/2020, $1.31, 251918, $1.4, $1.45, $1.2903
12/16/2020, $1.36, 387830, $1.33, $1.45, $1.2801
12/15/2020, $1.27, 138176, $1.35, $1.36, $1.27
12/14/2020, $1.34, 257460, $1.46, $1.46, $1.3301
12/11/2020, $1.46, 60364, $1.43, $1.56, $1.43
12/10/2020, $1.43, 196396, $1.57, $1.57, $1.43
12/09/2020, $1.51, 154622, $1.57, $1.64, $1.51
12/08/2020, $1.54, 162143, $1.51, $1.6, $1.49
12/07/2020, $1.53, 90656, $1.52, $1.57, $1.45
12/04/2020, $1.57, 274428, $1.44, $1.61, $1.44
12/03/2020, $1.43, 302048, $1.5, $1.5599, $1.3959
12/02/2020, $1.52, 324961, $1.55, $1.6065, $1.42
12/01/2020, $1.54, 932055, $1.5, $1.755, $1.375
11/30/2020, $1.37, 624778, $1.45, $1.45, $1.35
11/27/2020, $1.45, 210336, $1.53, $1.63, $1.4
11/25/2020, $1.55, 1282614, $1.26, $1.77, $1.26
11/24/2020, $1.3, 159431, $1.35, $1.35, $1.27
11/23/2020, $1.31, 393135, $1.17, $1.38, $1.17
11/20/2020, $1.17, 113381, $1.15, $1.2, $1.13
