Date, Close/Last, Volume, Open, High, Low
03/24/2021, $24, 16049, $24.25, $25.155, $24
03/23/2021, $24.01, 33942, $25.11, $25.3268, $23.62
03/22/2021, $24.82, 31149, $25.5, $25.5, $24.54
03/19/2021, $25.32, 53839, $25.22, $25.32, $24.53
03/18/2021, $25.13, 25374, $24.83, $25.23, $24.64
03/17/2021, $24.61, 20417, $24.83, $24.85, $24.37
03/16/2021, $25.16, 27106, $25.8, $25.8, $24.61
03/15/2021, $25.88, 36528, $24.78, $26.13, $24.67
03/12/2021, $25.1, 23125, $24.36, $25.11, $23.22
03/11/2021, $24.72, 23171, $24.74, $24.74, $24.22
03/10/2021, $24.6, 27125, $24.5, $24.975, $24.3201
03/09/2021, $24.6, 28921, $24.63, $24.82, $24.26
03/08/2021, $24.73, 38867, $25.2, $25.26, $24.61
03/05/2021, $25.27, 49160, $24.08, $25.425, $23.785
03/04/2021, $24, 43727, $24.52, $25.89, $23.86
03/03/2021, $24.6, 79441, $23.04, $24.95, $23.04
03/02/2021, $23.12, 21970, $22.99, $23.41, $22.725
03/01/2021, $22.93, 39991, $22.23, $22.99, $21.95
02/26/2021, $21.77, 156844, $21.73, $22.4999, $21.43
02/25/2021, $21.6, 52312, $21.2, $21.74, $21.2
02/24/2021, $21.29, 34793, $21.15, $21.43, $21.02
02/23/2021, $20.98, 17312, $21.1, $21.2514, $20.74
02/22/2021, $21.02, 18163, $20.94, $21.11, $20.91
02/19/2021, $20.95, 9681, $20.68, $20.96, $20.68
02/18/2021, $20.63, 14523, $20.96, $21.08, $20.55
02/17/2021, $21.07, 17268, $21.37, $21.37, $21.05
02/16/2021, $21.23, 23978, $21.3, $21.55, $21
02/12/2021, $21.3, 30956, $21.46, $21.59, $21.02
02/11/2021, $21.34, 21163, $21.18, $21.34, $20.86
02/10/2021, $21.24, 16003, $21.35, $21.425, $21
02/09/2021, $21.34, 31729, $21.46, $21.61, $20.7259
02/08/2021, $21.5, 28889, $20.73, $21.5, $20.27
02/05/2021, $20.74, 22302, $20.76, $21.06, $20.39
02/04/2021, $20.82, 16718, $20.85, $21, $20.685
02/03/2021, $20.95, 14427, $21.1, $21.16, $20.6
02/02/2021, $21.26, 16683, $21, $21.39, $20.5225
02/01/2021, $21.12, 21791, $21.29, $22.1497, $20.66
01/29/2021, $21.39, 12419, $21.25, $21.7246, $21.01
01/28/2021, $21.4, 9604, $21.03, $21.4, $20.97
01/27/2021, $20.76, 31776, $21.22, $21.5, $20.46
01/26/2021, $21.59, 48855, $20.47, $22.2864, $20.27
01/25/2021, $20.85, 22972, $20.59, $21.42, $20.12
01/22/2021, $20.8, 22315, $20.3, $20.8, $20
01/21/2021, $20.65, 26721, $20.94, $20.94, $20.17
01/20/2021, $21.07, 18764, $21.82, $22, $20.83
01/19/2021, $21.72, 17464, $21.94, $22.15, $21.6
01/15/2021, $21.96, 15032, $22.03, $22.5066, $21.46
01/14/2021, $22.33, 46458, $22.26, $22.485, $21.7
01/13/2021, $22.03, 67743, $22.46, $22.7, $21.95
01/12/2021, $22.25, 19117, $22.47, $22.7, $22.17
01/11/2021, $22.4, 65431, $22.43, $22.91, $22.25
01/08/2021, $22.25, 16330, $22.21, $22.31, $22.19
01/07/2021, $22.25, 47748, $21.93, $22.36, $21.9
01/06/2021, $21.93, 44988, $21.17, $22.31, $21.17
01/05/2021, $20.97, 6027, $20.98, $21.57, $20.835
01/04/2021, $20.81, 12449, $21.68, $21.68, $20.78
12/31/2020, $21.22, 12985, $21.86, $22, $21.2
12/30/2020, $22, 41727, $21.45, $22.49, $21.03
12/29/2020, $21.03, 12862, $21.53, $21.53, $20.715
12/28/2020, $21.53, 33311, $21.78, $22.475, $21.53
12/24/2020, $21.845, 4990, $22, $22, $21.555
12/23/2020, $21.88, 15572, $21.61, $22.08, $20.26
12/22/2020, $21.75, 8505, $21.619, $21.89, $21.525
12/21/2020, $21.51, 22255, $21.9, $22.27, $21.02
12/18/2020, $22.19, 105310, $21.74, $22.45, $21.62
12/17/2020, $21.64, 10320, $21.73, $21.73, $21.47
12/16/2020, $21.65, 30786, $20.25, $21.7196, $20.25
12/15/2020, $20.16, 48391, $19.9, $20.25, $19.87
12/14/2020, $19.9, 30256, $20.39, $21, $19.82
12/11/2020, $20.39, 51387, $20.18, $20.52, $19.9
12/10/2020, $20.55, 46423, $22, $22, $20.365
12/09/2020, $22, 15583, $22.25, $22.325, $21.82
12/08/2020, $22.38, 16200, $22, $22.38, $21.95
12/07/2020, $22.045, 15223, $21.85, $22.23, $21.82
12/04/2020, $21.805, 25275, $21.5, $21.98, $21.46
12/03/2020, $21.21, 15345, $21.046, $21.5, $20.77
12/02/2020, $21.1, 42581, $21, $21.35, $21
12/01/2020, $20.77, 11850, $20.8, $21.245, $20.55
11/30/2020, $20.61, 6021, $20.79, $20.84, $20.43
11/27/2020, $20.65, 7643, $21.235, $21.24, $20.55
11/25/2020, $21.06, 40505, $20.93, $21.24, $20.457
11/24/2020, $20.95, 18712, $20.7, $20.95, $20.7
11/23/2020, $20.54, 5829, $20.66, $20.7, $20.54
11/20/2020, $20.55, 4374, $20.29, $20.6, $20.29
11/19/2020, $20.46, 6255, $20.57, $20.57, $20.27
11/18/2020, $20.7, 21436, $20.62, $20.71, $20.4
11/17/2020, $20.43, 9076, $20.21, $20.74, $19.94
11/16/2020, $20.5, 29204, $20, $20.61, $20
11/13/2020, $19.75, 4233, $19.39, $19.9, $19.38
11/12/2020, $19.23, 7834, $19.7, $19.85, $19.06
11/11/2020, $19.99, 10941, $19.86, $20.03, $19.86
11/10/2020, $20.07, 22060, $19.62, $20.49, $19.62
11/09/2020, $19.44, 18021, $19.14, $20.23, $19.14
11/06/2020, $18.74, 5265, $19.14, $19.14, $18.74
11/05/2020, $19.42, 6524, $19.55, $19.55, $19.33
11/04/2020, $19.52, 7672, $19.54, $19.54, $19.09
11/03/2020, $19.74, 17347, $19.85, $20.04, $19.28
11/02/2020, $19.75, 7169, $19.63, $19.76, $18.94
10/30/2020, $19.26, 7915, $19.16, $19.66, $19.16
10/29/2020, $19.49, 6740, $18.59, $19.49, $18.3
10/28/2020, $18.93, 36079, $19.01, $19.9399, $18.25
10/27/2020, $19.24, 21194, $19.55, $20, $19.08
10/26/2020, $19.76, 11398, $20, $20, $19.415
10/23/2020, $20.25, 23158, $19.95, $20.38, $19.92
10/22/2020, $19.75, 9486, $19.56, $19.875, $19.49
10/21/2020, $19.7, 9414, $19.7, $19.825, $19.4
10/20/2020, $19.69, 11805, $19.75, $20, $19.49
10/19/2020, $19.7, 4832, $19.89, $19.89, $19.57
10/16/2020, $19.89, 7601, $19.65, $19.925, $19.02
10/15/2020, $19.84, 5944, $19.25, $19.935, $19.25
10/14/2020, $19.8, 15414, $19.41, $19.8598, $19.41
10/13/2020, $19.57, 7718, $19.13, $19.57, $18.98
10/12/2020, $19.23, 8374, $19.1123, $19.23, $19.1123
10/09/2020, $19.1, 11921, $18.92, $19.1382, $18.82
10/08/2020, $18.91, 14443, $18.72, $18.99, $18.6201
10/07/2020, $18.82, 9110, $18.64, $18.82, $18.52
10/06/2020, $18.6, 26233, $18.56, $18.92, $18.41
10/05/2020, $18.58, 13101, $18.49, $18.72, $18.1519
10/02/2020, $18.27, 18801, $17.43, $18.5, $17.43
10/01/2020, $17.58, 14146, $17.6, $17.8, $17.58
09/30/2020, $17.62, 4173, $17.68, $17.75, $17.62
09/29/2020, $17.66, 4588, $17.45, $17.66, $17.2758
09/28/2020, $17.46, 17407, $17.02, $17.48, $17
09/25/2020, $16.98, 27054, $16.71, $17.57, $16.71
09/24/2020, $16.85, 20292, $16.86, $17.15, $16.55
09/23/2020, $16.8, 16778, $16.96, $17.62, $16.8
09/22/2020, $17.05, 10955, $17.36, $17.36, $16.8
09/21/2020, $17.5, 34452, $17.73, $17.98, $17
