Date, Close/Last, Volume, Open, High, Low
01/20/2021, $14.68, 113730, $14.43, $14.98, $14.4
01/19/2021, $14.24, 118360, $14.36, $14.45, $14
01/15/2021, $14.12, 30729, $14.21, $14.3, $14.03
01/14/2021, $14.13, 45440, $14.13, $14.27, $14.03
01/13/2021, $14, 40904, $13.98, $14.45, $13.9652
01/12/2021, $13.91, 69347, $13.78, $14.01, $13.77
01/11/2021, $13.78, 102843, $14.35, $14.42, $13.75
01/08/2021, $14.28, 28085, $14.29, $14.335, $14.13
01/07/2021, $14.13, 38420, $13.92, $14.16, $13.75
01/06/2021, $13.85, 48349, $13.97, $14.15, $13.825
01/05/2021, $13.83, 27204, $13.68, $13.92, $13.68
01/04/2021, $13.66, 43836, $13.9, $13.9061, $13.62
12/31/2020, $13.87, 38476, $13.9, $14.0634, $13.77
12/30/2020, $13.9, 34061, $13.91, $13.9124, $13.63
12/29/2020, $13.67, 95564, $14.36, $14.45, $13.63
12/28/2020, $14.09, 41702, $14.48, $14.48, $14.01
12/24/2020, $14.33, 29012, $14.21, $14.4699, $14.17
12/23/2020, $14.14, 43685, $14.09, $14.42, $14
12/22/2020, $13.95, 32154, $13.91, $14.14, $13.8565
12/21/2020, $13.84, 46740, $13.82, $13.846, $13.65
12/18/2020, $13.81, 40490, $13.74, $13.83, $13.6702
12/17/2020, $13.61, 62397, $13.75, $13.87, $13.61
12/16/2020, $13.64, 50029, $13.72, $13.9, $13.6205
12/15/2020, $13.7, 41348, $13.65, $13.77, $13.545
12/14/2020, $13.5, 49360, $13.55, $13.67, $13.5
12/11/2020, $13.5, 39937, $13.34, $13.5, $13.19
12/10/2020, $13.33, 44530, $13.08, $13.35, $13.0306
12/09/2020, $13.16, 65943, $13.43, $13.5, $13.11
12/08/2020, $13.2, 48296, $13.04, $13.24, $13.04
12/07/2020, $12.93, 107696, $12.67, $13.25, $12.67
12/04/2020, $12.8, 21054, $12.74, $12.8277, $12.699
12/03/2020, $12.66, 28088, $12.4, $12.68, $12.4
12/02/2020, $12.43, 45548, $12.48, $12.545, $12.32
12/01/2020, $12.4, 35338, $12.44, $12.5035, $12.4
11/30/2020, $12.33, 41423, $12.55, $12.55, $12.33
11/27/2020, $12.51, 31483, $12.55, $12.55, $12.45
11/25/2020, $12.51, 58093, $12.71, $12.72, $12.34
11/24/2020, $12.71, 149654, $13.13, $13.29, $12.6
11/23/2020, $13.53, 258496, $13.34, $13.6093, $13.16
11/20/2020, $13.07, 79789, $12.98, $13.09, $12.97
11/19/2020, $12.92, 73101, $12.84, $12.94, $12.76
11/18/2020, $12.84, 64179, $12.91, $12.92, $12.67
11/17/2020, $12.83, 88986, $12.78, $13.16, $12.65
11/16/2020, $12.7, 90973, $13.3, $13.3, $12.5555
11/13/2020, $12.44, 49507, $12.17, $12.47, $12.17
11/12/2020, $12.13, 28455, $12.22, $12.25, $12.06
11/11/2020, $12.16, 19610, $11.94, $12.26, $11.94
11/10/2020, $11.88, 38457, $12.02, $12.02, $11.78
11/09/2020, $12.08, 35807, $12.49, $12.51, $12.08
11/06/2020, $12.145, 39283, $12.27, $12.27, $12.05
11/05/2020, $12.1, 33473, $11.97, $12.12, $11.97
11/04/2020, $11.8, 84899, $11.58, $12.02, $11.58
11/03/2020, $11.45, 33074, $11.29, $11.49, $11.29
11/02/2020, $11.28, 39629, $11.25, $11.33, $11.25
10/30/2020, $11.23, 27464, $11.43, $11.52, $11.18
10/29/2020, $11.41, 40469, $11.24, $11.45, $11.24
10/28/2020, $11.29, 38895, $11.56, $11.56, $11.25
10/27/2020, $11.6, 40430, $11.63, $11.69, $11.59
10/26/2020, $11.67, 58719, $11.66, $11.81, $11.44
10/23/2020, $11.85, 50747, $11.98, $12, $11.77
10/22/2020, $11.925, 43438, $11.78, $11.95, $11.78
10/21/2020, $11.97, 19966, $12.03, $12.0965, $11.92
10/20/2020, $12.09, 28129, $12.1, $12.15, $12.09
10/19/2020, $12.09, 33523, $12.3, $12.3, $12.06
10/16/2020, $12.255, 22332, $12.24, $12.28, $12.2
10/15/2020, $12.2, 14869, $12.14, $12.21, $12.0965
10/14/2020, $12.26, 31101, $12.25, $12.29, $12.23
10/13/2020, $12.25, 19482, $12.26, $12.27, $12.23
10/12/2020, $12.26, 28522, $12.22, $12.28, $12.2
10/09/2020, $12.17, 22067, $12.15, $12.24, $12.15
10/08/2020, $12.141, 49525, $12.18, $12.27, $11.9375
10/07/2020, $12.06, 25066, $11.81, $12.07, $11.79
10/06/2020, $11.79, 35059, $11.86, $11.96, $11.7602
10/05/2020, $11.78, 36261, $11.62, $11.81, $11.62
10/02/2020, $11.62, 36739, $11.7, $11.78, $11.55
10/01/2020, $11.75, 30883, $11.58, $11.75, $11.58
09/30/2020, $11.55, 50223, $11.53, $11.65, $11.53
09/29/2020, $11.59, 30754, $11.65, $11.69, $11.53
09/28/2020, $11.68, 33060, $11.67, $11.72, $11.61
09/25/2020, $11.5, 34534, $11.37, $11.5, $11.37
09/24/2020, $11.44, 45912, $11.36, $11.49, $11.3
09/23/2020, $11.36, 110700, $12.12, $12.12, $11.26
09/22/2020, $11.95, 37784, $11.7, $11.95, $11.7
09/21/2020, $11.71, 48815, $11.77, $11.96, $11.63
09/18/2020, $12.005, 13487, $12.07, $12.12, $11.99
09/17/2020, $12.16, 71301, $11.84, $12.16, $11.74
09/16/2020, $12.01, 70583, $11.81, $12.03, $11.6563
09/15/2020, $11.69, 18665, $11.83, $11.83, $11.69
09/14/2020, $11.84, 51958, $11.54, $11.91, $11.54
09/11/2020, $11.53, 34216, $11.53, $11.59, $11.4
09/10/2020, $11.49, 21296, $11.59, $11.66, $11.455
09/09/2020, $11.5001, 42752, $11.34, $11.53, $11.34
09/08/2020, $11.25, 103800, $11.53, $11.53, $11.23
09/04/2020, $11.68, 80028, $11.86, $12.12, $11.525
09/03/2020, $11.99, 41050, $12.37, $12.37, $11.95
09/02/2020, $12.43, 34835, $12.51, $12.51, $12.29
09/01/2020, $12.44, 64570, $12.28, $12.44, $12.28
08/31/2020, $12.38, 42905, $12.33, $12.39, $12.25
08/28/2020, $12.36, 47032, $12.44, $12.4485, $12.295
08/27/2020, $12.5, 73609, $12.66, $12.82, $12.31
08/26/2020, $12.57, 38833, $12.73, $12.73, $12.56
08/25/2020, $12.65, 12024, $12.64, $12.665, $12.61
08/24/2020, $12.7, 27737, $12.7, $12.7, $12.59
08/21/2020, $12.63, 33594, $12.715, $12.715, $12.56
08/20/2020, $12.66, 8939, $12.66, $12.67, $12.56
08/19/2020, $12.69, 58723, $12.54, $12.76, $12.34
08/18/2020, $12.77, 23496, $12.3, $12.77, $12.3
08/17/2020, $12.26, 24326, $12.4, $12.4, $12.205
08/14/2020, $12.34, 13677, $12.46, $12.46, $12.32
08/13/2020, $12.37, 13612, $12.38, $12.4, $12.28
08/12/2020, $12.28, 23873, $12.19, $12.34, $12.1613
08/11/2020, $12.155, 27540, $12.27, $12.305, $12.15
08/10/2020, $12.34, 43326, $12.38, $12.39, $12.23
08/07/2020, $12.28, 31050, $12.12, $12.35, $12.09
08/06/2020, $12.2, 33204, $12.3, $12.3, $12.07
08/05/2020, $12.22, 52632, $12.01, $12.22, $12.01
08/04/2020, $12.01, 28195, $12, $12.0199, $11.93
08/03/2020, $11.97, 17719, $11.82, $11.97, $11.81
07/31/2020, $11.82, 28830, $11.82, $11.87, $11.7
07/30/2020, $11.87, 33265, $11.86, $11.88, $11.62
07/29/2020, $11.87, 37628, $11.8, $11.87, $11.7
07/28/2020, $11.76, 48481, $11.75, $11.86, $11.58
07/27/2020, $11.74, 43100, $11.6, $11.86, $11.56
07/24/2020, $11.67, 20950, $11.6, $11.67, $11.5
07/23/2020, $11.65, 66771, $11.75, $11.8, $11.6
07/22/2020, $11.8, 40109, $11.84, $11.9, $11.74
07/21/2020, $11.91, 35036, $11.98, $12.09, $11.9
07/20/2020, $11.87, 13642, $11.61, $11.92, $11.61
07/17/2020, $11.65, 14877, $11.65, $11.72, $11.4875
07/16/2020, $11.68, 34463, $11.76, $11.76, $11.46
07/15/2020, $11.68, 35673, $11.64, $11.8127, $11.63
07/14/2020, $11.6899, 39254, $11.62, $11.7, $11.515
07/13/2020, $11.76, 44028, $11.87, $12.03, $11.76
07/10/2020, $11.78, 32678, $11.57, $11.79, $11.56
07/09/2020, $11.72, 50103, $11.8, $11.9363, $11.649
07/08/2020, $11.69, 28670, $11.67, $11.76, $11.65
07/07/2020, $11.62, 37809, $11.57, $11.785, $11.52
07/06/2020, $11.63, 35955, $11.75, $11.8753, $11.5758
07/02/2020, $11.66, 19674, $11.7, $11.89, $11.61
07/01/2020, $11.53, 23378, $11.5, $11.61, $11.48
06/30/2020, $11.49, 34345, $11.67, $11.67, $11.28
06/29/2020, $11.36, 36863, $11.44, $11.72, $11.34
