Date, Close/Last, Volume, Open, High, Low
03/24/2021, $40.42, 115859, $40.22, $41.41, $40.16
03/23/2021, $40.08, 112741, $42.58, $43.06, $39.9
03/22/2021, $43.04, 241454, $44.24, $44.59, $42.94
03/19/2021, $43.84, 430337, $43.46, $44.04, $42.4
03/18/2021, $43.75, 113717, $44.14, $44.71, $43.38
03/17/2021, $44.24, 92470, $44.26, $44.69, $43.86
03/16/2021, $44.44, 180596, $45.06, $45.53, $44.11
03/15/2021, $45.14, 222518, $45, $45.72, $44.43
03/12/2021, $44.95, 252318, $43.75, $45.14, $43.57
03/11/2021, $43.59, 316946, $43.18, $43.6, $42.58
03/10/2021, $43.02, 258610, $43.37, $43.615, $42.16
03/09/2021, $42.03, 170740, $42.64, $43.38, $41.97
03/08/2021, $42.42, 171417, $41, $42.83, $40.66
03/05/2021, $40.94, 173726, $39.56, $40.97, $39.23
03/04/2021, $38.95, 272271, $39.7, $40.98, $38.56
03/03/2021, $39.34, 145273, $38.96, $39.95, $38.63
03/02/2021, $38.66, 127000, $39.24, $39.24, $38.335
03/01/2021, $38.95, 197772, $39, $39.705, $37.75
02/26/2021, $38.21, 270706, $38.36, $38.72, $36.77
02/25/2021, $39.3, 135952, $41.16, $41.16, $39.3
02/24/2021, $40.96, 144487, $39.87, $41.08, $39.53
02/23/2021, $39.58, 175470, $39.05, $39.9, $38.485
02/22/2021, $39.14, 113146, $37.55, $39.22, $37.39
02/19/2021, $37.55, 192749, $37.89, $37.89, $36.26
02/18/2021, $37.75, 171621, $38.17, $38.52, $37.62
02/17/2021, $38.33, 234018, $37.25, $39.05, $36.95
02/16/2021, $37.56, 206194, $37.73, $38.03, $37.14
02/12/2021, $37.5, 95311, $37.37, $38.22, $36.99
02/11/2021, $37.57, 174482, $37.85, $37.96, $36.49
02/10/2021, $37.65, 190362, $38.21, $38.41, $37.28
02/09/2021, $37.96, 123120, $37.82, $38.195, $37.52
02/08/2021, $37.72, 179390, $36.53, $37.91, $36.53
02/05/2021, $36.23, 143262, $35.95, $36.28, $35.41
02/04/2021, $35.51, 154927, $36.095, $36.095, $35.15
02/03/2021, $35.38, 133235, $34.62, $35.45, $34.39
02/02/2021, $34.68, 122735, $34.28, $35.05, $33.96
02/01/2021, $33.95, 167769, $33.11, $34.14, $32.53
01/29/2021, $33, 120498, $34.6, $34.62, $32.86
01/28/2021, $34.61, 159611, $35.97, $36.13, $34.52
01/27/2021, $35.82, 144819, $35.04, $36, $34.49
01/26/2021, $35.6, 85362, $37.13, $37.13, $35.55
01/25/2021, $36.63, 95166, $36.41, $37.29, $35.86
01/22/2021, $36.65, 118501, $35.94, $36.71, $35.72
01/21/2021, $36.15, 126842, $36.03, $36.535, $35.25
01/20/2021, $35.93, 101643, $36.3, $36.83, $35.54
01/19/2021, $36.23, 139424, $36.95, $36.95, $36.155
01/15/2021, $36.45, 148400, $37.69, $38.005, $36.33
01/14/2021, $37.98, 180266, $38.01, $38.53, $37.77
01/13/2021, $37.55, 156041, $38.84, $38.84, $37.005
01/12/2021, $38.82, 159411, $38.58, $38.99, $37.94
01/11/2021, $38.38, 148145, $38.22, $39.04, $37.9
01/08/2021, $38.55, 186957, $38.09, $38.61, $37.4865
01/07/2021, $37.68, 183351, $37.45, $37.79, $37.07
01/06/2021, $37.42, 373409, $35.46, $37.48, $35.46
01/05/2021, $34.93, 180139, $36.28, $36.28, $34.81
01/04/2021, $35.3, 167430, $36.39, $36.549, $34.63
12/31/2020, $36.33, 234941, $36.38, $36.79, $35.73
12/30/2020, $36.34, 190036, $36.55, $36.575, $35.81
12/29/2020, $36.31, 122408, $37, $37, $35.93
12/28/2020, $36.79, 112530, $36.46, $36.99, $35.99
12/24/2020, $36.12, 39826, $36.24, $36.42, $35.99
12/23/2020, $36.15, 188988, $37.285, $37.285, $35.58
12/22/2020, $35.9, 126930, $35.96, $36.08, $35.43
12/21/2020, $35.93, 303795, $35.82, $36.11, $35.43
12/18/2020, $36.42, 684921, $35.77, $36.78, $35.725
12/17/2020, $35.44, 139462, $35.87, $36.19, $35.06
12/16/2020, $35.64, 96065, $36.65, $36.77, $35.56
12/15/2020, $36.5, 203081, $37, $37, $36.03
12/14/2020, $36.63, 265908, $36.23, $36.96, $36.215
12/11/2020, $36.2, 158110, $35.79, $36.575, $35.46
12/10/2020, $36.18, 113385, $35.39, $36.25, $35.24
12/09/2020, $35.55, 124898, $35.26, $35.72, $34.91
12/08/2020, $34.9, 94484, $34.43, $35.39, $34.38
12/07/2020, $34.78, 63017, $35.06, $35.06, $34.59
