Date, Close/Last, Volume, Open, High, Low
03/24/2021, $7.51, 156226, $7.93, $8.005, $7.51
03/23/2021, $7.82, 138298, $8.1, $8.4699, $7.55
03/22/2021, $8.1, 93405, $8.25, $8.46, $8.0393
03/19/2021, $8.23, 69898, $8.1, $8.28, $8.09
03/18/2021, $8.08, 249062, $8.52, $9, $8
03/17/2021, $8.79, 160294, $8.75, $9.14, $8.58
03/16/2021, $8.71, 212268, $8.4, $8.82, $8.39
03/15/2021, $8.34, 90532, $8.15, $8.39, $8.15
03/12/2021, $8.11, 33102, $8.1, $8.26, $8.02
03/11/2021, $8.21, 86557, $8.07, $8.2315, $7.8
03/10/2021, $7.89, 118280, $7.49, $7.95, $7.49
03/09/2021, $7.69, 115186, $7.67, $7.89, $7.21
03/08/2021, $7.27, 136907, $7.42, $7.68, $7.12
03/05/2021, $7.41, 239349, $7.26, $7.5, $6.86
03/04/2021, $7.32, 528801, $8.01, $8.07, $7.1305
03/03/2021, $8.04, 240027, $8.68, $8.725, $8.03
03/02/2021, $8.67, 315284, $8.75, $8.89, $8.3
03/01/2021, $8.81, 232467, $9.37, $9.59, $8.8
02/26/2021, $9.1, 416073, $9.25, $9.4977, $8.83
02/25/2021, $9.54, 269335, $10.09, $10.09, $9.4
02/24/2021, $9.95, 156585, $9.55, $9.99, $9.49
02/23/2021, $9.51, 586488, $10, $10.31, $9.12
02/22/2021, $10.32, 762191, $9.93, $10.5981, $9.8
02/19/2021, $9.88, 272049, $9.35, $10.14, $9.2
02/18/2021, $9.35, 281637, $8.83, $9.7199, $8.71
02/17/2021, $9.52, 259324, $9.5, $9.6, $9.08
02/16/2021, $9.51, 265663, $10.14, $10.3, $9.51
02/12/2021, $10.15, 253843, $10.15, $10.2506, $9.9
02/11/2021, $10.06, 383172, $10.52, $10.65, $9.61
02/10/2021, $10.6, 689766, $10, $10.68, $9.82
02/09/2021, $9.67, 487687, $9.29, $9.72, $8.9
02/08/2021, $9, 334124, $8.64, $9.15, $8.64
02/05/2021, $8.52, 313959, $8.19, $8.7, $8.18
02/04/2021, $8.15, 126749, $7.94, $8.29, $7.87
02/03/2021, $7.95, 115208, $7.71, $8.17, $7.7054
02/02/2021, $7.83, 129694, $7.89, $8.1572, $7.5
02/01/2021, $7.73, 62485, $7.71, $7.92, $7.55
01/29/2021, $7.71, 147519, $7.8, $8, $7.5501
01/28/2021, $7.74, 133952, $7.85, $7.99, $7.55
01/27/2021, $7.81, 205128, $8.15, $8.38, $7.81
01/26/2021, $8.44, 206106, $8.62, $8.6242, $8.1
01/25/2021, $8.61, 480544, $8, $8.66, $7.96
01/22/2021, $8.03, 159925, $8, $8.2, $7.83
01/21/2021, $8.11, 298588, $8.23, $8.45, $7.73
01/20/2021, $8.25, 784021, $7.2, $8.38, $7.2
01/19/2021, $6.83, 128636, $6.69, $6.9, $6.6
01/15/2021, $6.69, 169327, $6.96, $7.04, $6.5
01/14/2021, $6.9, 454340, $6.38, $7, $6.38
01/13/2021, $6.42, 161690, $6.43, $6.6099, $6.31
01/12/2021, $6.43, 439695, $6.36, $6.59, $6.1
01/11/2021, $6.04, 176216, $5.91, $6.16, $5.7701
01/08/2021, $6, 218835, $5.64, $6, $5.6
01/07/2021, $5.66, 189976, $5.55, $5.72, $5.4
01/06/2021, $5.64, 426684, $5.48, $5.67, $5.34
01/05/2021, $5.25, 119392, $5.15, $5.25, $5.1
01/04/2021, $5.12, 118345, $5.17, $5.17, $5.1001
12/31/2020, $5.17, 135883, $5.2, $5.22, $5.01
12/30/2020, $5.25, 241671, $4.92, $5.28, $4.92
12/29/2020, $4.95, 114594, $5.02, $5.02, $4.78
12/28/2020, $5.02, 69149, $5.07, $5.14, $4.92
12/24/2020, $5.08, 75844, $5.2, $5.2344, $4.965
12/23/2020, $5.13, 297670, $5.08, $5.28, $4.98
12/22/2020, $5.05, 178705, $4.82, $5.09, $4.82
