Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.21, 47870, $10.22, $10.27, $10.19
01/19/2021, $10.2, 17862, $10.29, $10.29, $10.1797
01/15/2021, $10.23, 51531, $10.27, $10.33, $10.23
01/14/2021, $10.26, 50318, $10.17, $10.27, $10.164
01/13/2021, $10.16, 36043, $10.12, $10.17, $10.09
01/12/2021, $10.07, 76113, $9.98, $10.08, $9.98
01/11/2021, $10.01, 59886, $10.04, $10.04, $9.96
01/08/2021, $10.05, 29657, $10.01, $10.05, $10.01
01/07/2021, $10.01, 148206, $9.94, $10.02, $9.91
01/06/2021, $9.94, 57040, $9.94, $9.96, $9.93
01/05/2021, $9.96, 56947, $9.93, $9.99, $9.93
01/04/2021, $9.96, 101026, $10.03, $10.04, $9.93
12/31/2020, $10, 323760, $10.17, $10.17, $9.99
12/30/2020, $10.1, 58981, $10.08, $10.11, $10.03
12/29/2020, $10.02, 48568, $10.05, $10.14, $10.01
12/28/2020, $10.06, 64413, $10.12, $10.15, $10.06
12/24/2020, $10.1, 54646, $10.18, $10.23, $10.1
12/23/2020, $10.19, 40973, $10.2, $10.2301, $10.19
12/22/2020, $10.2, 40472, $10.16, $10.22, $10.16
12/21/2020, $10.29, 33517, $10.28, $10.31, $10.265
12/18/2020, $10.29, 21441, $10.22, $10.34, $10.21
12/17/2020, $10.23, 37503, $10.25, $10.25, $10.2
12/16/2020, $10.23, 33312, $10.19, $10.235, $10.1827
12/15/2020, $10.21, 42928, $10.2, $10.23, $10.195
12/14/2020, $10.21, 34606, $10.17, $10.32, $10.17
12/11/2020, $10.17, 27695, $10.22, $10.226, $10.15
12/10/2020, $10.25, 79397, $10.27, $10.29, $10.2
12/09/2020, $10.39, 27983, $10.46, $10.48, $10.34
12/08/2020, $10.41, 36670, $10.27, $10.43, $10.2611
12/07/2020, $10.28, 36478, $10.28, $10.3007, $10.24
12/04/2020, $10.28, 21442, $10.26, $10.3, $10.25
12/03/2020, $10.26, 26192, $10.25, $10.32, $10.25
12/02/2020, $10.23, 74593, $10.21, $10.32, $10.2
12/01/2020, $10.23, 67275, $10.19, $10.3, $10.1422
11/30/2020, $10.09, 29936, $10.11, $10.15, $10.09
11/27/2020, $10.1, 31363, $10.17, $10.1705, $10.1
11/25/2020, $10.15, 84862, $10.36, $10.3689, $10.08
11/24/2020, $10.35, 94369, $10.71, $10.75, $10.35
11/23/2020, $10.73, 131794, $10.73, $10.75, $10.6502
11/20/2020, $10.73, 214267, $10.34, $10.8799, $10.34
11/19/2020, $10.36, 134245, $10.23, $10.42, $10.23
11/18/2020, $10.29, 65651, $10.08, $10.36, $10.08
11/17/2020, $10.1, 184823, $9.96, $10.12, $9.93
11/16/2020, $10.12, 118439, $9.9, $10.12, $9.9
11/13/2020, $9.89, 197209, $10.05, $10.065, $9.86
11/12/2020, $10.2, 239319, $9.97, $10.2, $9.96
11/11/2020, $10.01, 1290505, $9.97, $10.05, $9.97
11/10/2020, $9.99, 49512, $9.99, $10, $9.94
11/09/2020, $9.98, 92290, $9.99, $10.03, $9.93
11/06/2020, $9.88, 51860, $9.9, $9.92, $9.85
11/05/2020, $9.88, 114394, $9.87, $9.95, $9.85
11/04/2020, $9.84, 112526, $9.76, $9.89, $9.75
11/03/2020, $9.79, 39761, $9.72, $9.8, $9.72
11/02/2020, $9.72, 62506, $9.74, $9.7495, $9.67
10/30/2020, $9.66, 69785, $9.65, $9.7, $9.62
10/29/2020, $9.66, 47022, $9.65, $9.7, $9.635
10/28/2020, $9.63, 226134, $9.71, $9.71, $9.63
10/27/2020, $9.71, 240420, $9.77, $9.77, $9.71
10/26/2020, $9.72, 305229, $9.72, $9.7799, $9.72
10/23/2020, $9.78, 191201, $9.85, $9.85, $9.75
10/22/2020, $9.81, 231238, $9.84, $9.84, $9.77
10/21/2020, $9.89, 70107, $9.87, $9.9, $9.841
10/20/2020, $9.9, 60475, $9.85, $9.9, $9.85
10/19/2020, $9.85, 54812, $9.84, $9.86, $9.81
10/16/2020, $9.84, 37049, $9.88, $9.89, $9.84
10/15/2020, $9.89, 69056, $9.85, $9.895, $9.8128
10/14/2020, $9.86, 39662, $9.83, $9.88, $9.83
10/13/2020, $9.85, 51121, $9.8, $9.8501, $9.8
10/12/2020, $9.82, 38769, $9.73, $9.86, $9.73
10/09/2020, $9.73, 53806, $9.72, $9.76, $9.72
10/08/2020, $9.73, 48140, $9.71, $9.7898, $9.71
