Date, Close/Last, Volume, Open, High, Low
03/24/2021, $24.55, 25528, $25.87, $26.19, $24.5
03/23/2021, $25.46, 20333, $26, $26.745, $25.4
03/22/2021, $26.02, 11527, $26.895, $26.905, $26.02
03/19/2021, $27.42, 39264, $27.68, $27.68, $26.8
03/18/2021, $27.49, 21260, $27.13, $27.67, $26.85
03/17/2021, $27.36, 14398, $26.8, $27.805, $26.7527
03/16/2021, $27.7, 26235, $27.8, $27.97, $26.38
03/15/2021, $26.49, 11172, $26.56, $26.56, $26.13
03/12/2021, $26.75, 11119, $26.95, $27.05, $26.425
03/11/2021, $26.92, 7969, $27.701, $27.701, $26.58
03/10/2021, $27.1, 28343, $27, $27.1, $26.41
03/09/2021, $26.92, 10404, $26.54, $27, $25.9057
03/08/2021, $26.42, 7179, $26.96, $26.97, $26.11
03/05/2021, $26.98, 15999, $26.95, $27, $26.35
03/04/2021, $26.62, 26591, $26.2, $26.79, $25.6
03/03/2021, $26, 15913, $26.05, $26.24, $25.56
03/02/2021, $25.75, 19033, $26, $26.2, $25.315
03/01/2021, $26.19, 14288, $25.6, $26.19, $24.5
02/26/2021, $25.5, 4574, $25.99, $26.03, $25.5
02/25/2021, $25.92, 10408, $26.04, $26.39, $25.57
02/24/2021, $25.95, 5908, $25.25, $26.23, $25.25
02/23/2021, $25.54, 7982, $25.6, $25.64, $25.465
02/22/2021, $25.52, 6446, $26.0879, $26.0879, $25.52
02/19/2021, $25.9, 7029, $25.6, $26, $25.6
02/18/2021, $25.6, 11330, $25.55, $25.9786, $25.5
02/17/2021, $25.79, 7840, $26.5852, $26.5852, $25.5
02/16/2021, $25.91, 6672, $26.23, $26.67, $25.91
02/12/2021, $26.3, 8290, $26.93, $27.12, $26.19
02/11/2021, $27, 9028, $27.24, $27.77, $26.76
02/10/2021, $27.33, 18237, $26.75, $27.5999, $26.5101
02/09/2021, $26.43, 6345, $26.95, $26.95, $26.43
02/08/2021, $26.96, 45035, $24.75, $26.98, $24.75
02/05/2021, $24.43, 12042, $25.28, $25.28, $24.38
02/04/2021, $25.25, 14159, $24.53, $25.44, $24.36
02/03/2021, $24.28, 9169, $24, $24.5, $23.96
02/02/2021, $23.95, 9488, $24.52, $24.8859, $23.95
02/01/2021, $23.6, 21226, $23.19, $23.905, $22.7297
01/29/2021, $23.54, 11296, $23.69, $23.72, $22.74
01/28/2021, $23.61, 7559, $23.91, $24.085, $23.61
01/27/2021, $23.52, 19125, $24.03, $24.23, $23.06
01/26/2021, $24.03, 9191, $24.71, $25.06, $24.03
01/25/2021, $24.6, 14996, $25.13, $25.13, $24.2601
01/22/2021, $25.5, 18371, $24.07, $25.5, $24.03
01/21/2021, $24.55, 22075, $24.99, $25.6544, $24.525
01/20/2021, $25.02, 12376, $25.01, $25.6, $24.775
01/19/2021, $24.91, 11130, $25.08, $25.64, $24.91
01/15/2021, $25.05, 7380, $25.35, $25.62, $25
01/14/2021, $25.63, 11512, $25.61, $26.1131, $24.97
01/13/2021, $24.97, 21043, $24.03, $26.3254, $24.03
01/12/2021, $24.01, 13007, $23.51, $24.24, $23.34
01/11/2021, $23.61, 9836, $23.62, $23.87, $23.1251
01/08/2021, $23.87, 21864, $24.11, $24.365, $23.1
01/07/2021, $24, 17674, $24.177, $24.58, $23.63
01/06/2021, $24.15, 14779, $23.97, $24.69, $23.255
01/05/2021, $23.34, 12495, $22.8, $23.7, $22.8
01/04/2021, $22.91, 12795, $24.1, $24.1, $22.23
12/31/2020, $24.1, 30592, $25.1, $25.52, $23.83
12/30/2020, $25, 4564, $24.5996, $25, $24.5996
12/29/2020, $24.73, 8407, $24.8, $24.8, $24.1
12/28/2020, $24.55, 5754, $24.56, $24.985, $24.55
12/24/2020, $24.55, 1397, $24.55, $24.7126, $24.55
12/23/2020, $24.79, 4666, $24.59, $24.83, $24.4701
12/22/2020, $24.35, 7305, $24.385, $24.7365, $24.155
12/21/2020, $24.87, 11661, $25, $25.44, $24.695
12/18/2020, $25.16, 43016, $25.7, $25.9, $25
12/17/2020, $25.47, 7298, $25.12, $25.5, $25.04
12/16/2020, $25.07, 12756, $25.15, $25.71, $24.93
12/15/2020, $25.19, 14357, $24.78, $25.9138, $24.78
12/14/2020, $24.48, 12123, $23.99, $24.9999, $23.99
12/11/2020, $23.95, 7343, $23.07, $23.98, $23.07
12/10/2020, $23.11, 7733, $22.67, $23.36, $22.67
12/09/2020, $23.04, 19987, $23.22, $23.75, $22.805
12/08/2020, $23.3, 13132, $23.32, $23.42, $22.309
12/07/2020, $23.03, 24925, $22.45, $24.29, $21.86
12/04/2020, $22.32, 14908, $21.68, $22.75, $21.68
12/03/2020, $21.39, 15349, $21.38, $21.63, $21.1943
12/02/2020, $21.25, 13032, $21.11, $22.0669, $21.11
12/01/2020, $21.26, 18544, $22.51, $22.51, $21.26
11/30/2020, $22.1, 13713, $22.4, $22.874, $22.1
11/27/2020, $22.5, 4560, $22.39, $22.56, $22.26
11/25/2020, $22.47, 8372, $22.5, $22.6, $22.35
11/24/2020, $22.55, 19076, $22.62, $22.8827, $21.76
11/23/2020, $22.28, 11545, $22.09, $22.68, $21.6
11/20/2020, $21.54, 13233, $22.23, $22.35, $21.54
11/19/2020, $22.68, 10470, $22.51, $22.68, $21.755
11/18/2020, $22.25, 6260, $22.67, $22.7119, $22.25
11/17/2020, $22.25, 12051, $22.58, $23.11, $22.25
11/16/2020, $22.69, 9773, $22.165, $22.9437, $22.05
11/13/2020, $21.75, 2856, $21.36, $21.75, $21.36
11/12/2020, $21.01, 11129, $22.11, $22.11, $21
11/11/2020, $22.21, 7920, $23.11, $23.11, $22.1
11/10/2020, $23.6, 9827, $23.07, $24.2, $22.85
11/09/2020, $22.59, 22255, $22.99, $24.6, $22.26
11/06/2020, $21.61, 8617, $22, $22.5, $21.53
11/05/2020, $21.99, 6469, $22.19, $22.81, $21.71
11/04/2020, $21.83, 3325, $22, $22.24, $21.585
11/03/2020, $22.48, 7065, $21.43, $22.5, $21.35
11/02/2020, $21.25, 7119, $21.24, $21.25, $20.69
10/30/2020, $20.47, 6368, $21.36, $21.72, $20.47
10/29/2020, $21.78, 8152, $20.91, $22.21, $20.37
10/28/2020, $20.91, 4423, $21.18, $21.42, $20.25
10/27/2020, $21.35, 4077, $21.55, $21.585, $21.35
10/26/2020, $21.85, 3075, $22, $22.27, $21.75
10/23/2020, $22.13, 6168, $22.6, $22.945, $22.13
10/22/2020, $22.35, 8187, $22, $22.96, $22
10/21/2020, $22.24, 4219, $21.78, $22.24, $21.5
10/20/2020, $21.795, 1680, $21.5, $21.795, $21.32
10/19/2020, $21.2, 6878, $22.2, $22.203, $21.2
10/16/2020, $22.14, 8768, $21.73, $23.54, $21.73
10/15/2020, $21.95, 3157, $21.3, $21.9965, $21.3
10/14/2020, $21.16, 2016, $21.55, $21.65, $21.16
10/13/2020, $21.21, 1450, $21.575, $21.58, $21.21
10/12/2020, $21.67, 8179, $21.43, $22.135, $21.09
10/09/2020, $21.56, 1956, $21.675, $21.95, $21.56
10/08/2020, $21.42, 2932, $21.89, $21.89, $21.42
10/07/2020, $21.85, 4061, $22.085, $22.085, $21.135
10/06/2020, $21.17, 4656, $21.12, $21.2, $20.8875
10/05/2020, $21.1, 4523, $20.3, $21.1, $20.3
10/02/2020, $19.86, 4145, $19.44, $20.79, $19.44
10/01/2020, $19.36, 8834, $19.341, $19.67, $19.26
09/30/2020, $19.52, 1590, $19.95, $19.95, $19.52
09/29/2020, $19.87, 3194, $20, $20, $19.51
09/28/2020, $19.6, 3622, $19.78, $19.99, $19.5801
09/25/2020, $19.51, 5108, $20.452, $20.452, $19.4956
09/24/2020, $20.2, 2191, $20.67, $20.67, $20.2
09/23/2020, $20.77, 9890, $20.7, $21, $20.685
09/22/2020, $20.89, 8041, $20.795, $20.89, $20.5
09/21/2020, $20.5, 11704, $20.52, $20.52, $19.834
09/18/2020, $20.71, 23264, $22.35, $22.35, $20.62
09/17/2020, $21.99, 1691, $21.84, $22.25, $21.84
09/16/2020, $21.61, 7371, $22.307, $22.83, $21.61
09/15/2020, $22.33, 6309, $21.71, $22.5, $21.71
09/14/2020, $21.6, 6211, $21.38, $21.96, $20.5538
09/11/2020, $21.35, 6320, $20.87, $21.5684, $20.5
09/10/2020, $20.58, 6124, $21.24, $22.04, $20.3
09/09/2020, $21.24, 11721, $21.49, $21.855, $20.98
09/08/2020, $21, 10727, $21.08, $21.74, $21
09/04/2020, $21.8, 7352, $21.79, $21.8, $21.2
09/03/2020, $21.66, 11703, $22.26, $22.435, $21.135
09/02/2020, $22.26, 9584, $22.51, $22.74, $22
09/01/2020, $22.58, 9404, $22, $23.69, $22
08/31/2020, $21.9, 7721, $22.5, $22.5, $21.9
08/28/2020, $22.35, 14107, $21.41, $22.35, $21.2
