Date, Close/Last, Volume, Open, High, Low
03/24/2021, $3.37, 700358, $3.52, $3.69, $3.36
03/23/2021, $3.5, 543236, $3.68, $3.7, $3.48
03/22/2021, $3.77, 350056, $3.8, $3.82, $3.7
03/19/2021, $3.74, 776959, $3.67, $3.84, $3.51
03/18/2021, $3.67, 1042854, $3.96, $4, $3.63
03/17/2021, $4.01, 2203224, $3.86, $4.04, $3.77
03/16/2021, $4.08, 49350370, $3.91, $4.85, $3.65
03/15/2021, $2.96, 7326079, $2.85, $3.0387, $2.8
03/12/2021, $2.86, 422588, $2.97, $2.97, $2.8
03/11/2021, $2.93, 228689, $2.83, $2.95, $2.8
03/10/2021, $2.78, 175171, $2.82, $2.83, $2.755
03/09/2021, $2.77, 144126, $2.77, $2.86, $2.75
03/08/2021, $2.76, 190177, $2.83, $2.83, $2.73
03/05/2021, $2.8, 310482, $2.78, $2.83, $2.61
03/04/2021, $2.75, 502829, $2.83, $2.88, $2.63
03/03/2021, $2.87, 341175, $2.97, $2.99, $2.829
03/02/2021, $2.96, 169770, $3.08, $3.08, $2.92
03/01/2021, $2.95, 200199, $2.94, $3.04, $2.94
02/26/2021, $2.92, 240741, $2.95, $3.21, $2.8551
02/25/2021, $2.95, 197985, $3.01, $3.1, $2.92
02/24/2021, $3.07, 364851, $3.03, $3.16, $2.9601
02/23/2021, $3.01, 424112, $3.15, $3.1882, $2.88
02/22/2021, $3.21, 156572, $3.45, $3.45, $3.2
02/19/2021, $3.42, 153478, $3.29, $3.43, $3.22
02/18/2021, $3.29, 230614, $3.37, $3.39, $3.15
02/17/2021, $3.35, 202740, $3.44, $3.44, $3.3
02/16/2021, $3.46, 587194, $3.25, $3.59, $3.22
02/12/2021, $3.27, 245160, $3.27, $3.35, $3.21
02/11/2021, $3.27, 217037, $3.38, $3.4, $3.25
02/10/2021, $3.31, 350461, $3.45, $3.47, $3.18
02/09/2021, $3.41, 450328, $3.46, $3.55, $3.39
02/08/2021, $3.44, 424415, $3.38, $3.44, $3.23
02/05/2021, $3.27, 322487, $3.33, $3.3836, $3.18
02/04/2021, $3.25, 875588, $3.04, $3.36, $2.94
02/03/2021, $2.98, 365443, $3.12, $3.13, $2.9501
02/02/2021, $3.01, 170412, $2.92, $3.02, $2.82
02/01/2021, $2.91, 154117, $2.84, $2.95, $2.81
01/29/2021, $2.82, 205701, $2.75, $2.95, $2.74
01/28/2021, $2.77, 226313, $2.91, $2.928, $2.7301
01/27/2021, $2.92, 277539, $3, $3, $2.9
01/26/2021, $3.06, 580457, $3.11, $3.17, $2.96
01/25/2021, $3.08, 342265, $3.15, $3.16, $2.985
01/22/2021, $3.06, 290549, $2.98, $3.06, $2.9366
01/21/2021, $2.99, 247407, $2.99, $3.01, $2.92
01/20/2021, $2.97, 601922, $3.19, $3.2, $2.88
01/19/2021, $3.2, 560742, $3.01, $3.23, $2.92
01/15/2021, $3.04, 598513, $2.96, $3.13, $2.8
01/14/2021, $2.99, 505283, $2.89, $3.02, $2.851
01/13/2021, $2.87, 456103, $2.65, $2.94, $2.59
01/12/2021, $2.66, 198603, $2.62, $2.69, $2.575
01/11/2021, $2.63, 133352, $2.59, $2.65, $2.54
01/08/2021, $2.61, 248453, $2.69, $2.74, $2.58
01/07/2021, $2.69, 167400, $2.77, $2.8, $2.65
01/06/2021, $2.72, 295552, $2.72, $2.82, $2.6701
01/05/2021, $2.73, 342917, $2.66, $2.83, $2.65
01/04/2021, $2.66, 853200, $2.63, $2.85, $2.58
12/31/2020, $2.52, 216039, $2.56, $2.61, $2.48
12/30/2020, $2.61, 559496, $2.4, $2.67, $2.38
12/29/2020, $2.38, 255564, $2.32, $2.4, $2.31
12/28/2020, $2.32, 512075, $2.33, $2.37, $2.22
12/24/2020, $2.3, 131800, $2.31, $2.34, $2.26
12/23/2020, $2.33, 146892, $2.34, $2.37, $2.3
12/22/2020, $2.34, 133694, $2.33, $2.4, $2.32
12/21/2020, $2.31, 230094, $2.35, $2.38, $2.25
12/18/2020, $2.33, 394045, $2.45, $2.47, $2.33
12/17/2020, $2.44, 167030, $2.42, $2.48, $2.41
