Date, Close/Last, Volume, Open, High, Low
03/24/2021, $1.93, 35509, $2.02, $2.02, $1.9
03/23/2021, $2.01, 314354, $2.01, $2.15, $1.88
03/22/2021, $1.97, 266833, $2.06, $2.16, $1.89
03/19/2021, $2.05, 21952, $1.93, $2.05, $1.86
03/18/2021, $2, 28099, $1.9, $2, $1.85
03/17/2021, $1.96, 39542, $2.09, $2.09, $1.91
03/16/2021, $2, 231485, $1.92, $2.15, $1.846
03/15/2021, $1.9, 11211, $1.82, $1.92, $1.7848
03/12/2021, $1.85, 11040, $1.85, $1.85, $1.7501
03/11/2021, $1.8301, 6329, $1.85, $1.85, $1.74
03/10/2021, $1.8247, 7832, $1.83, $1.85, $1.81
03/09/2021, $1.82, 2702, $1.85, $1.85, $1.76
03/08/2021, $1.79, 35057, $1.75, $1.895, $1.71
03/05/2021, $1.79, 10416, $1.73, $1.84, $1.7101
03/04/2021, $1.77, 23364, $1.79, $1.87, $1.741
03/03/2021, $1.79, 13903, $1.8, $1.89, $1.73
03/02/2021, $1.86, 36132, $1.88, $1.88, $1.7
03/01/2021, $1.8, 38020, $1.8, $2, $1.76
02/26/2021, $1.84, 84128, $1.75, $1.9, $1.75
02/25/2021, $1.84, 283868, $2.03, $2.09, $1.6
02/24/2021, $2.08, 31598, $1.99, $2.12, $1.99
02/23/2021, $2.05, 55252, $2.09, $2.15, $1.9538
02/22/2021, $2.09, 41384, $2.06, $2.14, $2.03
02/19/2021, $2.07, 45309, $2.15, $2.15, $2.0205
02/18/2021, $2.05, 87158, $2.19, $2.2, $2.02
02/17/2021, $2.23, 188527, $2.1, $2.24, $2.03
02/16/2021, $2.14, 423858, $1.98, $2.3, $1.92
02/12/2021, $1.94, 3535, $1.8301, $1.94, $1.8301
02/11/2021, $1.86, 13360, $1.82, $1.9, $1.82
02/10/2021, $1.89, 6427, $1.98, $1.98, $1.87
02/09/2021, $1.96, 14430, $1.98, $1.98, $1.82
02/08/2021, $1.95, 25184, $1.97, $1.98, $1.88
02/05/2021, $1.895, 9591, $1.88, $1.91, $1.88
02/04/2021, $1.88, 11686, $1.91, $1.93, $1.8124
02/03/2021, $1.9, 21376, $1.98, $1.98, $1.85
02/02/2021, $1.88, 36466, $1.86, $1.98, $1.83
02/01/2021, $1.77, 111905, $1.72, $1.84, $1.72
01/29/2021, $1.75, 58517, $1.93, $1.93, $1.75
01/28/2021, $1.88, 80872, $1.73, $1.95, $1.73
01/27/2021, $1.77, 174209, $1.8, $1.86, $1.7
01/26/2021, $1.82, 74820, $1.91, $1.91, $1.77
01/25/2021, $1.82, 132826, $1.8, $1.845, $1.63
01/22/2021, $1.76, 53265, $1.65, $1.85, $1.63
01/21/2021, $1.71, 58110, $1.77, $1.85, $1.61
01/20/2021, $1.76, 462259, $1.64, $1.77, $1.56
01/19/2021, $1.61, 94704, $1.61, $1.65, $1.6
01/15/2021, $1.65, 5892, $1.71, $1.71, $1.65
01/14/2021, $1.6689, 90533, $1.67, $1.77, $1.6501
01/13/2021, $1.72, 19898, $1.77, $1.77, $1.66
01/12/2021, $1.72, 9507, $1.73, $1.77, $1.65
01/11/2021, $1.72, 8070, $1.73, $1.73, $1.67
01/08/2021, $1.69, 29355, $1.77, $1.77, $1.65
01/07/2021, $1.76, 14839, $1.77, $1.77, $1.6898
01/06/2021, $1.72, 56084, $1.79, $1.83, $1.67
01/05/2021, $1.78, 301679, $2.14, $2.14, $1.7491
01/04/2021, $2.14, 46790, $2.11, $2.2, $2.03
12/31/2020, $2.16, 129405, $2.13, $2.32, $2.13
12/30/2020, $2.17, 23875, $2.2, $2.24, $2.09
12/29/2020, $2.23, 23335, $2.3, $2.3, $2.18
12/28/2020, $2.3, 147974, $2.16, $2.3, $2.0401
12/24/2020, $2.18, 144537, $2.13, $2.25, $2.0206
12/23/2020, $2.11, 176996, $2, $2.13, $1.95
12/22/2020, $2, 158026, $1.8, $2, $1.8
12/21/2020, $1.83, 32020, $1.74, $1.89, $1.71
12/18/2020, $1.82, 222501, $1.7, $1.92, $1.7
12/17/2020, $1.69, 75337, $1.81, $1.81, $1.66
12/16/2020, $1.82, 90912, $1.8, $1.82, $1.71
12/15/2020, $1.7653, 65218, $1.71, $1.86, $1.69
12/14/2020, $1.68, 247358, $1.85, $1.88, $1.67
12/11/2020, $1.66, 1276810, $1.66, $1.9095, $1.37
12/10/2020, $1.13, 112022, $1.13, $1.13, $1.08
12/09/2020, $1.11, 4920, $1.1, $1.14, $1.06
12/08/2020, $1.13, 24581, $1.1, $1.13, $1.06
12/07/2020, $1.13, 27514, $1.17, $1.17, $1.07
12/04/2020, $1.13, 338055, $1.19, $1.22, $1.01
12/03/2020, $1.21, 29066, $1.18, $1.22, $1.17
12/02/2020, $1.18, 10736, $1.2, $1.2, $1.168
12/01/2020, $1.19, 79568, $1.14, $1.2, $1.14
11/30/2020, $1.14, 22350, $1.18, $1.18, $1.12
11/27/2020, $1.16, 15713, $1.12, $1.17, $1.1173
11/25/2020, $1.12, 7171, $1.13, $1.18, $1.12
11/24/2020, $1.15, 1596, $1.15, $1.16, $1.117
11/23/2020, $1.15, 6403, $1.15, $1.19, $1.0901
11/20/2020, $1.12, 2394, $1.0451, $1.13, $1.0451
11/19/2020, $1.14, 534, $1.125, $1.14, $1.125
11/18/2020, $1.12, 15184, $1.095, $1.15, $1.095
11/17/2020, $1.1199, 33328, $1.14, $1.2, $1.03
11/16/2020, $1.13, 9171, $1.08, $1.15, $1.08
11/13/2020, $1.11, 6897, $1.1, $1.13, $1.0854
11/12/2020, $1.13, 18668, $1.08, $1.14, $1.0795
11/11/2020, $1.1, 48339, $1.15, $1.16, $1.04
11/10/2020, $1.15, 93072, $1.26, $1.26, $1.119
11/09/2020, $1.24, 930751, $1.19, $1.68, $1.1859
11/06/2020, $1.18, 6707, $1.16, $1.19, $1.14
11/05/2020, $1.18, 9834, $1.172, $1.22, $1.16
11/04/2020, $1.23, 1102, $1.2, $1.23, $1.13
11/03/2020, $1.18, 27274, $1.21, $1.21, $1.03
11/02/2020, $1.2, 50634, $1.22, $1.24, $1.1
10/30/2020, $1.17, 2743, $1.2, $1.23, $1.1418
10/29/2020, $1.19, 1011, $1.21, $1.21, $1.15
10/28/2020, $1.19, 6780, $1.15, $1.19, $1.1301
10/27/2020, $1.19, 5320, $1.19, $1.2, $1.14
10/26/2020, $1.2, 40211, $1.13, $1.2094, $1.12
10/23/2020, $1.19, 33612, $1.208, $1.25, $1.155
10/22/2020, $1.19, 16907, $1.165, $1.22, $1.162
10/21/2020, $1.2, 206, $1.2, $1.2, $1.2
10/20/2020, $1.18, 4302, $1.13, $1.18, $1.13
10/19/2020, $1.2, 1607, $1.14, $1.2, $1.13
10/16/2020, $1.2, 785, $1.16, $1.22, $1.16
10/15/2020, $1.19, N/A, $1.19, $1.19, $1.19
10/14/2020, $1.19, 12208, $1.22, $1.22, $1.11
10/13/2020, $1.21, N/A, $1.21, $1.21, $1.21
10/12/2020, $1.21, 6517, $1.2, $1.22, $1.16
10/09/2020, $1.17, 4048, $1.141, $1.17, $1.135
10/08/2020, $1.17, 2915, $1.15, $1.21, $1.149
10/07/2020, $1.15, 7956, $1.125, $1.15, $1.125
10/06/2020, $1.2499, 227, $1.2499, $1.2499, $1.2499
10/05/2020, $1.24, 1475, $1.1708, $1.24, $1.1708
10/02/2020, $1.23, 5409, $1.196, $1.25, $1.14
10/01/2020, $1.24, 1182, $1.1188, $1.24, $1.1188
09/30/2020, $1.21, 3134, $1.2, $1.22, $1.17
09/29/2020, $1.18, 16720, $1.159, $1.18, $1.15
09/28/2020, $1.19, 8647, $1.16, $1.2452, $1.16
09/25/2020, $1.17, 7896, $1.12, $1.17, $1.1
09/24/2020, $1.16, 19449, $1.17, $1.17, $1.09
09/23/2020, $1.15, 2722, $1.29, $1.3, $1.15
09/22/2020, $1.25, 4585, $1.25, $1.33, $1.24
09/21/2020, $1.2273, 2644, $1.1701, $1.2273, $1.17
09/18/2020, $1.18, 16805, $1.226, $1.28, $1.17
09/17/2020, $1.3, 444, $1.3, $1.3, $1.3
09/16/2020, $1.3, 13563, $1.32, $1.33, $1.25
09/15/2020, $1.3, 3832, $1.35, $1.35, $1.3
09/14/2020, $1.35, 2546, $1.33, $1.41, $1.33
09/11/2020, $1.4267, 155, $1.4267, $1.4267, $1.4267
09/10/2020, $1.44, 1013, $1.43, $1.44, $1.38
09/09/2020, $1.41, 201, $1.32, $1.41, $1.32
09/08/2020, $1.39, 550, $1.405, $1.405, $1.39
09/04/2020, $1.37, 624, $1.3447, $1.37, $1.3447
09/03/2020, $1.36, 1804, $1.376, $1.39, $1.33
09/02/2020, $1.4, 382, $1.32, $1.4, $1.32
09/01/2020, $1.4, 5097, $1.49, $1.49, $1.32
08/31/2020, $1.42, 116, $1.42, $1.42, $1.42
08/28/2020, $1.42, 1459, $1.31, $1.44, $1.31
08/27/2020, $1.48, 670, $1.405, $1.48, $1.405
08/26/2020, $1.43, 3438, $1.32, $1.43, $1.32
08/25/2020, $1.42, 26107, $1.41, $1.52, $1.34
08/24/2020, $1.5, 1103, $1.5, $1.5, $1.45
08/21/2020, $1.5, 874, $1.43, $1.55, $1.43
08/20/2020, $1.48, 7028, $1.56, $1.56, $1.41
08/19/2020, $1.45, 10512, $1.5, $1.58, $1.45
08/18/2020, $1.5, 1234, $1.53, $1.56, $1.5
08/17/2020, $1.51, 31526, $1.45, $1.53, $1.4
08/14/2020, $1.42, 298, $1.375, $1.42, $1.375
08/13/2020, $1.43, 18766, $1.36, $1.44, $1.305
08/12/2020, $1.42, 5141, $1.36, $1.45, $1.36
08/11/2020, $1.43, 14589, $1.38, $1.43, $1.34
08/10/2020, $1.38, 2136, $1.38, $1.38, $1.29
08/07/2020, $1.37, 198, $1.37, $1.37, $1.37
08/06/2020, $1.37, 2496, $1.27, $1.37, $1.25
08/05/2020, $1.38, 276, $1.26, $1.38, $1.26
08/04/2020, $1.36, 17874, $1.38, $1.38, $1.32
08/03/2020, $1.38, N/A, $1.38, $1.38, $1.38
07/31/2020, $1.38, 6427, $1.42, $1.42, $1.33
07/30/2020, $1.38, 2486, $1.33, $1.38, $1.33
07/29/2020, $1.39, 2548, $1.33, $1.4, $1.33
07/28/2020, $1.4, 2173, $1.3301, $1.4, $1.3301
07/27/2020, $1.42, 773, $1.37, $1.42, $1.37
07/24/2020, $1.31, 13580, $1.32, $1.36, $1.25
07/23/2020, $1.4, 18132, $1.44, $1.45, $1.25
07/22/2020, $1.44, 15844, $1.36, $1.44, $1.36
07/21/2020, $1.35, 46818, $1.34, $1.6135, $1.32
07/20/2020, $1.41, 82075, $1.35, $1.6092, $1.2
07/17/2020, $1.2, 414, $1.2, $1.2, $1.2
07/16/2020, $1.14, 1576, $1.26, $1.26, $1.14
07/15/2020, $1.17, 4130, $1.35, $1.35, $1.164
07/14/2020, $1.17, 688, $1.18, $1.25, $1.17
