Date, Close/Last, Volume, Open, High, Low
03/24/2021, $0.9999, 17811, $1, $1, $0.92
03/23/2021, $1.02, 19167, $1.14, $1.27, $1.02
03/22/2021, $1.29, N/A, $1.29, $1.29, $1.29
03/19/2021, $1.29, 3715, $1.25, $1.29, $1.16
03/18/2021, $1.28, N/A, $1.28, $1.28, $1.28
03/17/2021, $1.28, N/A, $1.28, $1.28, $1.28
03/16/2021, $1.28, 2932, $1.35, $1.36, $1.25
03/15/2021, $1.36, 1278, $1.3599, $1.36, $1.3599
03/12/2021, $1.29, N/A, $1.29, $1.29, $1.29
03/11/2021, $1.29, 726, $1.29, $1.29, $1.29
03/10/2021, $1.11, 512, $1.35, $1.35, $1.11
03/09/2021, $1.29, N/A, $1.29, $1.29, $1.29
03/08/2021, $1.29, 763, $1.3, $1.3, $1.22
03/05/2021, $1.3, 9615, $1.0999, $1.3, $1.098
03/04/2021, $1.2817, 35628, $1.54, $1.54, $1
03/03/2021, $1.67, 765, $1.66, $1.68, $1.65
03/02/2021, $1.705, 2211, $1.8394, $1.8394, $1.7
03/01/2021, $1.76, 7233, $1.95, $1.95, $1.7244
02/26/2021, $1.96, 14631, $2.06, $2.07, $1.84
02/25/2021, $2, 6765, $2.35, $2.36, $2
02/24/2021, $2.35, 12931, $2.418, $2.42, $2.35
02/23/2021, $2.31, 29202, $2.33, $2.7999, $1.91
02/22/2021, $2.33, 8100, $2.4, $2.5101, $2.33
02/19/2021, $2.35, 6871, $2.6, $2.6, $2.29
02/18/2021, $2.25, 2607, $2.19, $2.25, $2.19
02/17/2021, $2.09, 7598, $2.08, $2.1, $2.04
02/16/2021, $1.9, 9665, $1.97, $1.99, $1.9
02/12/2021, $1.81, 7716, $1.95, $2, $1.8
02/11/2021, $1.945, 5210, $1.93, $1.945, $1.86
02/10/2021, $1.83, 7938, $1.81, $1.95, $1.7499
02/09/2021, $1.75, 4000, $1.77, $1.95, $1.7
02/08/2021, $1.75, 10488, $1.65, $1.75, $1.6367
02/05/2021, $1.876, 10773, $1.805, $1.94, $1.805
02/04/2021, $1.88, 749, $1.9297, $1.9297, $1.88
02/03/2021, $1.89, 2850, $1.62, $1.94, $1.62
02/02/2021, $1.89, 26209, $1.53, $1.95, $1.4
02/01/2021, $1.5, 13882, $1.31, $1.54, $1.2999
01/29/2021, $1.33, 11657, $1.42, $1.4981, $1.23
01/28/2021, $1.53, 11597, $1.55, $1.56, $1.45
01/27/2021, $1.6, 10106, $1.51, $1.6, $1.44
01/26/2021, $1.6245, 47350, $1.6, $1.74, $1.54
01/25/2021, $1.6, 74953, $1.66, $1.735, $1.54
01/22/2021, $1.6, 12637, $1.62, $2.3, $1.55
01/21/2021, $1.58, 8438, $1.69, $1.69, $1.58
01/20/2021, $1.65, 10718, $1.65, $1.65, $1.6
01/19/2021, $1.55, 20601, $1.63, $1.63, $1.55
01/15/2021, $1.61, 19649, $1.61, $1.72, $1.61
01/14/2021, $1.51, 32000, $1.58, $1.65, $1.51
01/13/2021, $1.63, 9948, $1.77, $1.8, $1.63
01/12/2021, $1.58, 26349, $1.61, $1.72, $1.47
01/11/2021, $1.6, 634, $1.6, $1.6, $1.6
01/08/2021, $1.41, 13304, $1.9361, $1.9361, $1.41
01/07/2021, $1.4999, 313, $1.5, $1.5, $1.4999
01/06/2021, $2.205, N/A, $2.205, $2.205, $2.205
01/05/2021, $2.205, N/A, $2.205, $2.205, $2.205
01/04/2021, $2.205, N/A, $2.205, $2.205, $2.205
12/31/2020, $2.205, N/A, $2.205, $2.205, $2.205
12/30/2020, $2.205, N/A, $2.205, $2.205, $2.205
12/29/2020, $2.205, N/A, $2.205, $3, $1.41
