Date, Close/Last, Volume, Open, High, Low
03/24/2021, $36.4, 261506, $36.82, $37.28, $36.4
03/23/2021, $36.69, 349414, $37.26, $37.65, $36.58
03/22/2021, $37.66, 300829, $38.22, $38.2445, $37.5
03/19/2021, $38.19, 982000, $38.3, $38.46, $37.63
03/18/2021, $38.24, 633317, $38.97, $39.64, $38.2
03/17/2021, $39.05, 540442, $37.87, $39.09, $37.5152
03/16/2021, $37.97, 427725, $38.04, $38.24, $37.58
03/15/2021, $38.05, 419490, $37.74, $38.32, $37.53
03/12/2021, $37.71, 373959, $36.91, $37.75, $36.81
03/11/2021, $37.42, 428503, $37.16, $37.6, $36.89
03/10/2021, $36.76, 557519, $36.29, $36.86, $36.12
03/09/2021, $36.1, 704772, $36.9, $37.18, $36.01
03/08/2021, $37.6, 535339, $37.07, $37.88, $36.52
03/05/2021, $36.97, 596722, $37.09, $37.09, $35.93
03/04/2021, $36.5, 788894, $36.81, $36.85, $36.24
03/03/2021, $36.64, 795547, $35.93, $37.09, $35.82
03/02/2021, $36.03, 872145, $36.64, $37, $35.51
03/01/2021, $36.76, 1098745, $39.05, $39.05, $35.67
02/26/2021, $38.9, 664502, $37.8, $39.15, $37.0298
02/25/2021, $37.73, 390081, $38.37, $38.5, $37.45
02/24/2021, $38.49, 346929, $37.3, $38.65, $37.2
02/23/2021, $37.3, 436727, $36.75, $37.46, $36.24
02/22/2021, $36.91, 269705, $36.77, $37.08, $36.36
02/19/2021, $37.06, 351394, $37.35, $37.51, $36.89
02/18/2021, $37.24, 267118, $37.5, $37.7, $37
02/17/2021, $37.62, 249724, $37.56, $38.18, $37.56
02/16/2021, $37.96, 298643, $38.36, $38.41, $37.66
02/12/2021, $38.29, 327330, $38.69, $38.89, $37.86
02/11/2021, $38.76, 390722, $38.39, $38.78, $37.95
02/10/2021, $38.22, 425563, $37.97, $38.27, $37.43
02/09/2021, $37.9, 311705, $38.08, $38.32, $37.73
02/08/2021, $38, 270569, $37.72, $38.05, $37.4
02/05/2021, $37.58, 266036, $37.89, $37.985, $37.03
02/04/2021, $37.56, 335247, $36.9, $37.64, $36.55
02/03/2021, $36.5, 301184, $36.47, $36.6444, $36.02
02/02/2021, $36.72, 189245, $36.06, $36.97, $35.87
02/01/2021, $35.55, 278153, $34.92, $35.68, $34.07
01/29/2021, $34.7, 303219, $35.89, $35.89, $34.64
01/28/2021, $36, 754061, $35.3, $36.29, $34.93
01/27/2021, $34.8, 489713, $35.21, $35.51, $33.85
01/26/2021, $35.99, 289871, $37, $37.3205, $35.94
01/25/2021, $36.65, 492786, $37.21, $37.37, $35.95
01/22/2021, $37.43, 309453, $37.81, $38.06, $37.04
01/21/2021, $38.17, 304271, $38.82, $38.82, $37.83
01/20/2021, $38.68, 233577, $38.8, $38.97, $38.31
01/19/2021, $38.62, 359756, $38.6, $38.69, $38.06
01/15/2021, $38.38, 838023, $39.06, $39.38, $38.17
01/14/2021, $39.41, 647587, $39.8, $40.08, $38.89
01/13/2021, $39.58, 356823, $40.12, $40.85, $39.49
01/12/2021, $39.79, 197609, $40.02, $40.09, $39.28
01/11/2021, $39.85, 215175, $39.9, $39.91, $39.41
01/08/2021, $39.85, 326427, $39.96, $40.27, $39.275
01/07/2021, $39.61, 209951, $39.4, $39.69, $39.09
01/06/2021, $39.49, 444246, $38.45, $39.99, $38.45
01/05/2021, $38.33, 351585, $38.34, $38.78, $38.08
01/04/2021, $38.33, 499994, $39.7, $39.7, $37.49
12/31/2020, $39.32, 379064, $39.2, $39.76, $39
12/30/2020, $39.33, 288807, $39.43, $39.71, $39.15
12/29/2020, $39.43, 249752, $40, $40, $39.11
12/28/2020, $39.85, 312820, $40.28, $40.38, $39.61
12/24/2020, $40.03, 109487, $39.57, $40.1, $39.39
12/23/2020, $39.4, 244111, $39.6, $39.9432, $38.97
12/22/2020, $39.65, 330056, $40.62, $40.62, $39.44
12/21/2020, $40.69, 316666, $41.44, $41.69, $40.19
12/18/2020, $42.04, 1070363, $41.29, $42.35, $40.63
12/17/2020, $41.17, 444088, $40.21, $41.24, $39.8505
12/16/2020, $39.97, 462640, $41.05, $41.45, $39.91
12/15/2020, $41.01, 365581, $40.7, $41.09, $40.6223
12/14/2020, $40.59, 476310, $40.86, $41.45, $40.59
12/11/2020, $40.3, 642645, $39.74, $40.41, $39.595
12/10/2020, $39.87, 376706, $39.31, $39.97, $39.25
12/09/2020, $39.66, 437537, $39.71, $39.85, $39.26
12/08/2020, $39.49, 233744, $39.03, $39.56, $39.03
12/07/2020, $39.23, 287202, $39.12, $39.47, $38.94
12/04/2020, $39.22, 240203, $38.42, $39.24, $38
12/03/2020, $38.28, 368302, $38.64, $39.17, $38.21
12/02/2020, $38.78, 738579, $37.79, $38.97, $37.66
12/01/2020, $37.82, 321348, $37.48, $37.9284, $37.22
11/30/2020, $37.17, 393932, $37.34, $37.37, $36.645
11/27/2020, $37.56, 92119, $37.97, $38.09, $37.38
11/25/2020, $37.85, 330257, $38.27, $38.395, $37.66
11/24/2020, $38.4, 418954, $38.04, $38.59, $37.67
11/23/2020, $37.5, 476864, $36.95, $37.54, $36.7
11/20/2020, $36.57, 379695, $36.33, $36.76, $36.06
11/19/2020, $36.4, 240367, $36.36, $36.85, $36.06
11/18/2020, $36.4, 561554, $37.14, $37.54, $36.3
11/17/2020, $37, 760305, $35.91, $37.33, $35.45
11/16/2020, $36.21, 488504, $36.74, $36.74, $35.88
11/13/2020, $36.09, 225348, $35.83, $36.23, $35.47
11/12/2020, $35.49, 268640, $35.92, $35.92, $34.97
11/11/2020, $36.04, 303091, $35.71, $36.05, $35.14
11/10/2020, $35.58, 380779, $35.5, $35.8985, $35.11
11/09/2020, $35.23, 564831, $36.8, $36.8, $35.16
11/06/2020, $35.33, 217871, $35.59, $35.63, $34.82
11/05/2020, $35.37, 339022, $34.64, $35.555, $34.64
11/04/2020, $34.18, 358584, $33.96, $34.64, $33.8
11/03/2020, $34.01, 549200, $34.18, $34.64, $33.735
11/02/2020, $33.65, 401866, $33.72, $33.91, $33.32
10/30/2020, $33.28, 721025, $35.22, $35.53, $32.79
10/29/2020, $34.48, 516019, $33.85, $34.78, $33.36
10/28/2020, $34, 500771, $34.05, $34.37, $33.61
10/27/2020, $34.61, 240635, $35.38, $35.61, $34.6
10/26/2020, $35.36, 265369, $35.76, $35.76, $35.17
10/23/2020, $36.14, 177856, $36.07, $36.25, $35.66
10/22/2020, $35.82, 220219, $35.66, $35.95, $35.19
10/21/2020, $35.48, 199331, $35.91, $36.06, $35.28
10/20/2020, $35.78, 203517, $35.65, $36.025, $35.46
10/19/2020, $35.5, 291933, $36.13, $36.28, $35.42
10/16/2020, $36.12, 207445, $36.22, $36.49, $36.055
10/15/2020, $36.19, 311066, $35.62, $36.34, $35.47
10/14/2020, $36.08, 389978, $35.86, $36.9, $35.86
10/13/2020, $35.83, 321279, $35.92, $36.47, $35.65
10/12/2020, $36.1, 293916, $36.99, $37.14, $35.99
10/09/2020, $36.69, 252338, $36.21, $36.85, $36.11
10/08/2020, $35.88, 457688, $35.69, $36.1, $35.42
10/07/2020, $35.36, 412908, $35.59, $35.63, $35.09
10/06/2020, $35.36, 496329, $36.3, $36.66, $35.26
10/05/2020, $36, 382237, $35.75, $36.01, $35.41
10/02/2020, $35.26, 556581, $34.55, $35.42, $34.36
10/01/2020, $35.08, 359339, $34.73, $35.2, $34.73
09/30/2020, $34.71, 414904, $35.03, $35.3, $34.415
09/29/2020, $34.87, 211704, $34.87, $35.075, $34.67
09/28/2020, $34.84, 275090, $34.82, $35.31, $34.73
09/25/2020, $34.36, 296663, $33.65, $34.51, $33.47
09/24/2020, $33.61, 273235, $33.44, $33.91, $33.21
09/23/2020, $33.59, 430511, $34.23, $34.43, $33.46
09/22/2020, $34.26, 489379, $34.04, $34.28, $33.54
09/21/2020, $33.81, 597178, $34.19, $34.19, $33.32
09/18/2020, $34.81, 1221615, $34.77, $35.02, $34.37
09/17/2020, $34.57, 414479, $34.01, $34.655, $33.54
09/16/2020, $34.17, 349941, $34.13, $34.71, $34.09
09/15/2020, $33.87, 755034, $33.83, $34.24, $33.51
09/14/2020, $33.7, 486166, $34.04, $34.45, $33.69
09/11/2020, $33.71, 600268, $34.61, $35.12, $33.51
