Date, Close/Last, Volume, Open, High, Low
03/24/2021, $4.07, 8074735, $4.16, $4.58, $4.06
03/23/2021, $4.16, 7125099, $4.66, $4.69, $4.16
03/22/2021, $4.64, 12777470, $5.41, $5.49, $4.56
03/19/2021, $5.33, 21582530, $5.09, $5.85, $5.04
03/18/2021, $5.05, 45945240, $4.8, $6.34, $4.77
03/17/2021, $4.81, 7562074, $4.5, $5, $4.46
03/16/2021, $4.58, 13060270, $4.7, $4.89, $4.41
03/15/2021, $5.1, 24759250, $4.44, $5.27, $4.35
03/12/2021, $4.44, 24883640, $3.84, $4.6, $3.79
03/11/2021, $3.8, 16355550, $3.8, $4.09, $3.72
03/10/2021, $4.25, 108828700, $4.09, $5.44, $3.8
03/09/2021, $3.38, 30453470, $3.71, $3.92, $3.24
03/08/2021, $4.03, 110756800, $2.52, $4.35, $2.46
03/05/2021, $2.46, 5890117, $2.48, $2.51, $2.3019
03/04/2021, $2.51, 6272525, $2.45, $2.57, $2.31
03/03/2021, $2.55, 6816984, $2.67, $2.73, $2.38
03/02/2021, $2.65, 8124644, $2.8, $2.8977, $2.62
03/01/2021, $2.82, 12074240, $2.82, $2.98, $2.6819
02/26/2021, $2.69, 13268520, $2.92, $3.165, $2.61
02/25/2021, $2.99, 65011320, $3.67, $3.97, $2.91
02/24/2021, $3.25, 37326270, $2.32, $3.45, $2.32
02/23/2021, $2.31, 8924051, $2.4, $2.52, $2.17
02/22/2021, $2.47, 13881140, $2.42, $2.5981, $2.35
02/19/2021, $2.37, 6350563, $2.5, $2.59, $2.35
02/18/2021, $2.47, 16698260, $2.42, $2.82, $2.3
02/17/2021, $2.43, 4344503, $2.62, $2.62, $2.4
02/16/2021, $2.62, 5378881, $2.82, $2.83, $2.62
02/12/2021, $2.8, 4936855, $2.76, $2.89, $2.71
02/11/2021, $2.82, 6556444, $2.97, $3.05, $2.68
02/10/2021, $2.96, 19053150, $2.83, $3.34, $2.77
02/09/2021, $2.85, 9423805, $2.97, $2.97, $2.73
02/08/2021, $3.01, 11028350, $3.1, $3.11, $2.9
02/05/2021, $3.14, 11982840, $3.27, $3.48, $3.07
02/04/2021, $3.28, 12004420, $3.53, $3.54, $3.15
02/03/2021, $3.56, 16822140, $3.84, $3.84, $3.38
02/02/2021, $3.38, 35425010, $3.99, $4.06, $2.87
02/01/2021, $5, 28988920, $5.75, $5.76, $4.49
01/29/2021, $6, 57441770, $7.48, $7.53, $5.11
01/28/2021, $4.7, 89189410, $7.11, $9.05, $3.4
01/27/2021, $9.55, 287577200, $7.93, $13.97, $5.32
01/26/2021, $3.04, 73344310, $3.33, $3.42, $2.83
01/25/2021, $4.15, 358630200, $3.89, $4.44, $2.97
01/22/2021, $1.79, 77272990, $1.19, $2.04, $1.15
01/21/2021, $1.17, 5279111, $1.16, $1.26, $1.15
01/20/2021, $1.16, 3213601, $1.19, $1.2, $1.12
01/19/2021, $1.21, 3768030, $1.23, $1.24, $1.15
01/15/2021, $1.26, 8498349, $1.26, $1.27, $1.15
01/14/2021, $1.28, 50952900, $1.51, $1.51, $1.23
01/13/2021, $1.03, 2056567, $1.06, $1.08, $1.01
01/12/2021, $1.05, 3438177, $1, $1.075, $0.9843
01/11/2021, $0.9972, 3595967, $1.01, $1.04, $0.97
01/08/2021, $1.04, 2587059, $1.01, $1.04, $0.9601
01/07/2021, $1.02, 2548946, $1.07, $1.13, $1.01
01/06/2021, $1, 2407674, $0.97, $1.06, $0.95
01/05/2021, $0.9629, 2300439, $0.931, $0.9792, $0.9251
01/04/2021, $0.9346, 3238164, $0.9293, $0.95, $0.86
12/31/2020, $0.91, 1959384, $0.9579, $0.9666, $0.91
12/30/2020, $0.9458, 2531066, $0.93, $0.977, $0.91
12/29/2020, $0.9106, 7277164, $1.02, $1.02, $0.8901
12/28/2020, $1, 2850054, $1.06, $1.061, $1
12/24/2020, $1.04, 1222832, $1.07, $1.08, $1.03
12/23/2020, $1.05, 1579261, $1.07, $1.11, $1.03
12/22/2020, $1.08, 2589982, $1.1, $1.12, $1.05
