Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.59, 32200, $10.61, $10.72, $10.56
01/19/2021, $10.57, 53746, $10.56, $10.89, $10.55
01/15/2021, $10.56, 28149, $10.6, $10.67, $10.56
01/14/2021, $10.57, 41918, $10.62, $10.62, $10.57
01/13/2021, $10.6, 10480, $10.57, $10.64, $10.57
01/12/2021, $10.52, 33948, $10.55, $10.55, $10.51
01/11/2021, $10.55, 24563, $10.58, $10.5896, $10.55
01/08/2021, $10.62, 48691, $10.74, $10.74, $10.61
01/07/2021, $10.74, 85744, $10.61, $10.77, $10.59
01/06/2021, $10.55, 73413, $10.54, $10.57, $10.5
01/05/2021, $10.53, 86501, $10.54, $10.571, $10.51
01/04/2021, $10.54, 90354, $10.6, $10.6, $10.49
12/31/2020, $10.55, 232850, $10.57, $10.58, $10.5
12/30/2020, $10.54, 173565, $10.52, $10.57, $10.5
12/29/2020, $10.55, 48521, $10.55, $10.56, $10.51
12/28/2020, $10.52, 78291, $10.45, $10.52, $10.45
12/24/2020, $10.47, 39195, $10.43, $10.49, $10.43
12/23/2020, $10.46, 137130, $10.43, $10.5, $10.3206
12/22/2020, $10.49, 54628, $10.46, $10.51, $10.46
12/21/2020, $10.48, 50200, $10.46, $10.5, $10.46
12/18/2020, $10.56, 48608, $10.59, $10.6, $10.5431
12/17/2020, $10.58, 31738, $10.62, $10.62, $10.55
12/16/2020, $10.57, 34108, $10.5, $10.59, $10.5
12/15/2020, $10.55, 47819, $10.52, $10.59, $10.51
12/14/2020, $10.48, 45484, $10.59, $10.61, $10.46
12/11/2020, $10.57, 35662, $10.51, $10.63, $10.5008
12/10/2020, $10.48, 30048, $10.52, $10.52, $10.43
12/09/2020, $10.51, 16568, $10.51, $10.51, $10.5
12/08/2020, $10.4821, 33189, $10.49, $10.49, $10.46
12/07/2020, $10.49, 67989, $10.42, $10.49, $10.42
12/04/2020, $10.43, 78236, $10.48, $10.48, $10.4
12/03/2020, $10.425, 53809, $10.4, $10.49, $10.37
12/02/2020, $10.29, 20499, $10.29, $10.295, $10.26
12/01/2020, $10.28, 36693, $10.34, $10.39, $10.27
11/30/2020, $10.35, 39269, $10.53, $10.53, $10.34
11/27/2020, $10.46, 19559, $10.49, $10.49, $10.426
11/25/2020, $10.44, 16713, $10.42, $10.44, $10.39
11/24/2020, $10.4, 24805, $10.25, $10.4, $10.2388
11/23/2020, $10.25, 18719, $10.22, $10.25, $10.22
11/20/2020, $10.22, 23908, $10.25, $10.25, $10.21
11/19/2020, $10.22, 71544, $10.2, $10.225, $10.17
11/18/2020, $10.22, 16451, $10.15, $10.23, $10.07
11/17/2020, $10.17, 15448, $9.93, $10.17, $9.93
11/16/2020, $9.9875, 27186, $9.95, $10, $9.9038
11/13/2020, $9.9, 14499, $9.9, $9.91, $9.8998
11/12/2020, $9.88, 19652, $9.85, $9.91, $9.8256
11/11/2020, $9.9, 14018, $9.82, $9.93, $9.82
11/10/2020, $9.85, 15892, $9.78, $9.8646, $9.77
11/09/2020, $9.78, 19658, $9.81, $9.86, $9.78
11/06/2020, $9.69, 60325, $9.72, $9.72, $9.62
11/05/2020, $9.68, 21472, $9.64, $9.7063, $9.64
11/04/2020, $9.65, 12421, $9.53, $9.65, $9.53
11/03/2020, $9.49, 54293, $9.45, $9.49, $9.4301
11/02/2020, $9.45, 60025, $9.44, $9.4605, $9.44
10/30/2020, $9.45, 17693, $9.48, $9.48, $9.45
10/29/2020, $9.45, 11217, $9.52, $9.52, $9.45
10/28/2020, $9.45, 23287, $9.54, $9.55, $9.45
10/27/2020, $9.5799, 22412, $9.56, $9.5879, $9.54
10/26/2020, $9.57, 19512, $9.59, $9.59, $9.54
10/23/2020, $9.59, 146605, $9.58, $9.64, $9.58
10/22/2020, $9.565, 7005, $9.565, $9.575, $9.55
10/21/2020, $9.58, 14338, $9.57, $9.59, $9.56
10/20/2020, $9.59, 66909, $9.53, $9.6, $9.53
10/19/2020, $9.5, 22094, $9.57, $9.59, $9.5
10/16/2020, $9.52, 34039, $9.58, $9.61, $9.52
10/15/2020, $9.6, 21070, $9.62, $9.62, $9.59
10/14/2020, $9.63, 22884, $9.65, $9.67, $9.6232
10/13/2020, $9.66, 29413, $9.72, $9.72, $9.6362
10/12/2020, $9.7, 18148, $9.71, $9.7764, $9.7
10/09/2020, $9.71, 17377, $9.69, $9.755, $9.69
10/08/2020, $9.71, 35388, $9.67, $9.73, $9.63
10/07/2020, $9.66, 15623, $9.72, $9.72, $9.631
10/06/2020, $9.6, 17717, $9.56, $9.6999, $9.55
