Date, Close/Last, Volume, Open, High, Low
03/24/2021, $48.23, 2651492, $47.6988, $48.63, $47.6988
03/23/2021, $47.7, 2921015, $47.9, $48.37, $47.535
03/22/2021, $47.98, 2940221, $47.52, $48.095, $47.23
03/19/2021, $47.63, 15683360, $47.52, $47.95, $46.93
03/18/2021, $47.5, 3073714, $48.02, $48.35, $47.4
03/17/2021, $48.41, 2895667, $47.8, $48.55, $47.61
03/16/2021, $47.72, 3649034, $48.03, $48.535, $47.71
03/15/2021, $48.13, 4133295, $47.575, $48.34, $47.44
03/12/2021, $47.15, 3242198, $46.56, $47.22, $46.32
03/11/2021, $46.37, 2353694, $46.3, $46.79, $46.05
03/10/2021, $46.15, 2624646, $45.82, $46.475, $45.65
03/09/2021, $45.69, 3573236, $45.38, $45.98, $45.225
03/08/2021, $44.66, 3292102, $45.07, $45.54, $44.59
03/05/2021, $45.18, 4177489, $44.53, $45.33, $43.61
03/04/2021, $44.17, 6061323, $46.145, $46.21, $43.37
03/03/2021, $46.45, 3751543, $47.21, $47.65, $46.44
03/02/2021, $47.48, 3750863, $48.485, $48.485, $47.27
03/01/2021, $48.47, 5229576, $46.4416, $48.79, $46.4416
02/26/2021, $46.37, 4489916, $46.39, $46.92, $46.01
02/25/2021, $46.28, 2667527, $46.8, $47.29, $46.14
02/24/2021, $46.9, 3372679, $46.46, $47.095, $45.96
02/23/2021, $46.8, 3204379, $46.29, $46.915, $45.72
02/22/2021, $46.32, 2838802, $47.04, $47.15, $46.27
02/19/2021, $47.23, 2146503, $47.24, $47.95, $47.13
02/18/2021, $47.29, 2485115, $46.59, $47.61, $46.4
02/17/2021, $46.95, 1868059, $46.48, $47.04, $46.34
02/16/2021, $46.63, 2472853, $47.5, $47.63, $46.565
02/12/2021, $47.39, 2485884, $47.07, $47.43, $46.945
02/11/2021, $47.07, 1531645, $47.83, $47.95, $46.75
02/10/2021, $47.66, 2180846, $47.65, $47.85, $47.07
02/09/2021, $47.31, 2422286, $47.41, $47.435, $46.61
02/08/2021, $47.47, 2350156, $47.51, $47.99, $47.31
02/05/2021, $47.3, 2463932, $47.39, $47.62, $46.94
02/04/2021, $47.12, 4222691, $46.62, $47.17, $45.88
02/03/2021, $47, 3352878, $46.35, $47.23, $46.1
02/02/2021, $46.47, 3601356, $46.58, $46.92, $45.84
02/01/2021, $46.42, 2814970, $46.22, $46.78, $46.01
01/29/2021, $45.59, 3769449, $46.41, $46.99, $45.53
01/28/2021, $46.65, 3445135, $47.745, $48.5, $46.64
01/27/2021, $47.82, 4461574, $47.08, $47.95, $46.45
01/26/2021, $47.605, 2362420, $48.43, $48.5619, $47.36
01/25/2021, $48.13, 3231881, $47.61, $48.245, $46.9
01/22/2021, $47.72, 3916771, $48.17, $48.25, $47.55
01/21/2021, $48.165, 4075285, $48.8, $49.12, $47.84
01/20/2021, $48.7, 6640951, $50, $50.49, $47.72
01/19/2021, $50.42, 4419041, $50.8, $51.15, $49.9
01/15/2021, $50.48, 2645295, $50.25, $50.6, $49.53
01/14/2021, $50.32, 2209767, $50.98, $51.03, $49.94
01/13/2021, $50.7, 3316683, $51.53, $51.62, $50.67
01/12/2021, $51.62, 3374222, $50.4, $51.89, $50.31
01/11/2021, $50.48, 2259019, $50.31, $50.89, $50.25
01/08/2021, $50.75, 3777281, $49.58, $50.91, $49.58
01/07/2021, $49.71, 2954061, $49.26, $49.8, $48.36
01/06/2021, $49.1, 3709428, $48.04, $49.39, $47.94
01/05/2021, $48.28, 2665989, $47.59, $48.38, $47.34
01/04/2021, $47.65, 3576070, $49.03, $49.36, $47.19
12/31/2020, $48.83, 2379493, $48.89, $49.1, $48.33
12/30/2020, $49.07, 1460150, $49.99, $49.99, $48.71
12/29/2020, $49.72, 2864664, $50.15, $50.47, $49.29
12/28/2020, $50.05, 4165169, $49.88, $50.13, $49.55
12/24/2020, $49.52, 704477, $49.37, $49.52, $49.15
12/23/2020, $49.09, 1935027, $49.78, $49.7887, $48.9
12/22/2020, $49.47, 2331463, $49.7, $49.75, $49.18
12/21/2020, $49.61, 3342195, $48.8, $49.71, $48.34
12/18/2020, $49.34, 5756989, $49.69, $49.82, $48.82
12/17/2020, $49.57, 2752570, $49.65, $49.74, $49.3
12/16/2020, $49.47, 2859693, $48.91, $49.64, $48.73
12/15/2020, $49.83, 2608323, $49.42, $50.18, $49.28
12/14/2020, $49.22, 2502177, $49.35, $49.86, $49.19
12/11/2020, $49.21, 2813478, $48.3, $49.58, $47.6
12/10/2020, $48.39, 2537998, $49.27, $49.54, $48.33
12/09/2020, $49.63, 3189128, $49.03, $49.845, $49.02
12/08/2020, $49.095, 2884833, $48.37, $49.3484, $48.16
12/07/2020, $48.68, 3332553, $48, $48.995, $47.72
12/04/2020, $48.05, 3388551, $47.58, $48.46, $47.53
12/03/2020, $47.37, 3001976, $47.47, $48.01, $47.23
12/02/2020, $47.58, 2338891, $48.311, $48.675, $47.405
12/01/2020, $48.52, 3425810, $49.51, $49.6, $48.42
11/30/2020, $49.45, 6174054, $48.53, $49.53, $48.31
11/27/2020, $48.58, 1655295, $48.25, $48.8, $48.13
11/25/2020, $48.19, 2172679, $48.78, $48.95, $47.84
11/24/2020, $48.94, 3758575, $48.13, $49.14, $47.63
11/23/2020, $47.91, 4708572, $47.38, $47.97, $47.06
11/20/2020, $47.3, 5157452, $47.83, $48.11, $47.2
11/19/2020, $47.98, 1846977, $47.5, $48.08, $46.93
11/18/2020, $47.61, 2655750, $47.71, $48.15, $47.43
11/17/2020, $47.655, 2356708, $48.06, $48.29, $47.46
11/16/2020, $48.61, 2254601, $47.75, $48.61, $47.36
11/13/2020, $47.53, 2156144, $46.79, $47.67, $46.67
11/12/2020, $46.33, 2589095, $47.02, $47.12, $46.01
11/11/2020, $47.24, 2089477, $47.12, $47.36, $46.42
11/10/2020, $46.76, 3750982, $45.55, $47.17, $45.47
11/09/2020, $45.99, 3904932, $48.66, $49.36, $45.91
11/06/2020, $46.98, 2136603, $46.41, $47.13, $46.04
11/05/2020, $46.34, 3267509, $47.41, $47.65, $46.29
11/04/2020, $46.6, 4040682, $46.71, $47.75, $46.39
11/03/2020, $46.22, 3124214, $45.06, $46.43, $45.06
11/02/2020, $44.52, 2695600, $43.67, $44.55, $43.67
10/30/2020, $43.23, 3018333, $42.88, $43.495, $42.63
10/29/2020, $43.12, 2291171, $42.96, $43.65, $42.57
10/28/2020, $42.94, 3218821, $42.79, $43.38, $42.66
10/27/2020, $43.58, 2332847, $44.42, $44.57, $43.53
10/26/2020, $44.3, 3012568, $43.92, $44.34, $43.74
10/23/2020, $45, 2533107, $44.34, $45.1, $44.035
10/22/2020, $44.09, 2587351, $44.05, $44.205, $43.5
10/21/2020, $43.94, 3432859, $45.07, $45.37, $43.92
