Date, Close/Last, Volume, Open, High, Low
01/20/2021, $19.22, 215048, $19.25, $19.25, $19.22
01/19/2021, $19.23, 532559, $19.25, $19.25, $19.21
01/15/2021, $19.21, 268936, $19.22, $19.24, $19.205
01/14/2021, $19.22, 115907, $19.24, $19.25, $19.21
01/13/2021, $19.22, 122410, $19.25, $19.25, $19.22
01/12/2021, $19.25, 159811, $19.24, $19.25, $19.21
01/11/2021, $19.25, 203923, $19.21, $19.26, $19.21
01/08/2021, $19.26, 173471, $19.2, $19.26, $19.2
01/07/2021, $19.2, 415467, $19.22, $19.24, $19.2
01/06/2021, $19.21, 269020, $19.26, $19.42, $19.21
01/05/2021, $19.23, 288856, $19.21, $19.24, $19.21
01/04/2021, $19.21, 224752, $19.23, $19.24, $19.21
12/31/2020, $19.21, 213102, $19.21, $19.23, $19.21
12/30/2020, $19.21, 91884, $19.23, $19.24, $19.21
12/29/2020, $19.22, 283927, $19.24, $19.24, $19.21
12/28/2020, $19.22, 114689, $19.25, $19.25, $19.22
12/24/2020, $19.22, 82696, $19.23, $19.24, $19.22
12/23/2020, $19.22, 189669, $19.2, $19.24, $19.2
12/22/2020, $19.23, 124060, $19.21, $19.24, $19.2
12/21/2020, $19.21, 269256, $19.21, $19.23, $19.19
12/18/2020, $19.2, 848994, $19.25, $19.25, $19.2
12/17/2020, $19.24, 248042, $19.22, $19.25, $19.21
12/16/2020, $19.21, 346815, $19.23, $19.25, $19.21
12/15/2020, $19.21, 309466, $19.23, $19.25, $19.21
12/14/2020, $19.22, 403971, $19.24, $19.25, $19.21
12/11/2020, $19.22, 349849, $19.22, $19.24, $19.21
12/10/2020, $19.22, 158993, $19.22, $19.24, $19.215
12/09/2020, $19.22, 240732, $19.23, $19.26, $19.21
12/08/2020, $19.22, 275676, $19.23, $19.24, $19.21
12/07/2020, $19.22, 182911, $19.23, $19.26, $19.22
12/04/2020, $19.25, 251798, $19.23, $19.27, $19.21
12/03/2020, $19.21, 275448, $19.23, $19.25, $19.205
12/02/2020, $19.2, 360833, $19.21, $19.23, $19.2
12/01/2020, $19.19, 529966, $19.24, $19.28, $19.19
11/30/2020, $19.24, 551280, $19.25, $19.26, $19.21
11/27/2020, $19.25, 269140, $19.21, $19.3, $19.21
11/25/2020, $19.22, 713321, $19.21, $19.23, $19.2
11/24/2020, $19.23, 903544, $19.23, $19.25, $19.19
11/23/2020, $19.28, 694825, $19.21, $19.28, $19.19
11/20/2020, $19.19, 541158, $19.19, $19.22, $19.19
11/19/2020, $19.22, 1326699, $19.2, $19.25, $19.17
11/18/2020, $19.19, 1064451, $19.22, $19.23, $19.17
11/17/2020, $19.26, 2726209, $19.18, $19.26, $19.12
11/16/2020, $19.26, 5442719, $19.23, $19.35, $19.07
11/13/2020, $15.16, 88170, $14.97, $15.34, $14.82
11/12/2020, $14.91, 172615, $14.84, $15.19, $14.5
11/11/2020, $14.89, 290446, $14.8, $14.91, $14.23
11/10/2020, $14.7, 144812, $14.51, $15.05, $14.35
11/09/2020, $14.29, 164335, $15.76, $16.145, $14.21
11/06/2020, $14.45, 174159, $15.28, $15.28, $14.41
11/05/2020, $15.27, 153744, $15.23, $15.62, $14.98
11/04/2020, $15.04, 156364, $14.71, $15.21, $14.39
11/03/2020, $15.15, 196221, $15.62, $15.86, $14.16
11/02/2020, $15.89, 139895, $14.68, $15.93, $14.68
10/30/2020, $14.56, 184734, $14.36, $14.66, $14.36
