Date, Close/Last, Volume, Open, High, Low
01/20/2021, $15.49, 9373, $15.52, $15.59, $15.33
01/19/2021, $15.55, 12614, $15.79, $15.79, $15.29
01/15/2021, $15.75, 7282, $15.87, $16, $15.75
01/14/2021, $16.07, 10574, $16.31, $16.31, $15.505
01/13/2021, $16.3, 15203, $16.72, $16.72, $16.1
01/12/2021, $17.05, 9851, $16.59, $17.05, $16.44
01/11/2021, $16.82, 6626, $16.51, $17.17, $16.2
01/08/2021, $17.13, 6782, $17.35, $17.35, $16.95
01/07/2021, $17.31, 13014, $17.62, $17.62, $16.77
01/06/2021, $17.58, 29689, $15.96, $17.75, $15.7043
01/05/2021, $15.85, 18514, $15.5, $16.0044, $15.5
01/04/2021, $15.56, 23718, $15.93, $15.93, $15.02
12/31/2020, $15.87, 11519, $16.04, $16.17, $15.87
12/30/2020, $16.14, 9745, $16.38, $16.38, $16
12/29/2020, $16.46, 8375, $16.65, $16.65, $16.27
12/28/2020, $16.69, 4408, $17.03, $17.03, $16.67
12/24/2020, $16.94, 6800, $17.04, $17.04, $16.91
12/23/2020, $17.065, 11630, $17.26, $17.27, $16.84
12/22/2020, $17.29, 16513, $17.56, $17.56, $17.19
12/21/2020, $17.58, 4670, $17.88, $18, $17.125
12/18/2020, $18.03, 50381, $18.34, $18.4, $17.76
12/17/2020, $18.22, 7759, $18.17, $18.23, $17.83
12/16/2020, $18.27, 8937, $18.25, $18.58, $18.2
12/15/2020, $18.23, 10484, $17.25, $18.4, $17.22
12/14/2020, $17.06, 8780, $18.03, $18.03, $17.06
12/11/2020, $17.9, 1732, $17.74, $17.9, $17.74
12/10/2020, $18.31, 10153, $18.1, $18.36, $17.9
12/09/2020, $18.05, 18497, $18.02, $18.58, $18
12/08/2020, $18.02, 13487, $17.29, $18.06, $17.29
12/07/2020, $17.1, 11015, $17.05, $17.585, $16.89
12/04/2020, $17.01, 7592, $16.44, $17.23, $16.44
12/03/2020, $16.21, 4121, $16.388, $16.59, $16.21
12/02/2020, $16.34, 6031, $16.11, $16.495, $16.11
12/01/2020, $16.21, 6610, $16.52, $16.65, $16
11/30/2020, $16.34, 15630, $16.3, $16.46, $16
11/27/2020, $16.5, 6708, $16.95, $16.95, $16.39
11/25/2020, $16.75, 12347, $17.34, $17.41, $16.63
11/24/2020, $17.23, 22796, $16.05, $17.45, $16.02
11/23/2020, $15.81, 19650, $15.72, $16, $15.72
11/20/2020, $15.7, 13895, $15.27, $15.7, $15.27
11/19/2020, $15.49, 4301, $15.5, $15.5, $15.14
11/18/2020, $15.48, 7199, $15.43, $15.5456, $15.39
11/17/2020, $15.39, 6201, $15.48, $15.5, $15.39
11/16/2020, $15.69, 14312, $15.28, $15.69, $15.28
11/13/2020, $14.96, 13035, $14.9, $15.345, $14.6601
11/12/2020, $14.63, 6523, $15.1, $15.475, $14.63
11/11/2020, $15.28, 10345, $15.8, $15.82, $15.2
11/10/2020, $15.69, 38920, $15.55, $16.25, $15.37
11/09/2020, $15.43, 52895, $13.51, $16.25, $13.51
11/06/2020, $12.92, 6547, $13.1463, $13.1463, $12.92
11/05/2020, $13.13, 10144, $13.22, $13.37, $13.0801
11/04/2020, $13.13, 6503, $13.68, $13.77, $12.96
11/03/2020, $13.89, 19615, $13.2, $13.89, $13.05
11/02/2020, $13.05, 6061, $13.12, $13.19, $12.75
10/30/2020, $13.04, 9359, $13.15, $13.2, $13.01
10/29/2020, $13.37, 9053, $12.91, $13.37, $12.54
10/28/2020, $12.99, 6628, $12.83, $13.2, $12.805
10/27/2020, $13.05, 8042, $13, $13.22, $12.82
10/26/2020, $13, 18655, $13.21, $13.21, $12.85
10/23/2020, $13.41, 26913, $12.5, $13.51, $12.5
10/22/2020, $12.36, 28518, $12.26, $12.48, $12.26
10/21/2020, $12.5, 6615, $12.48, $12.5, $12.39
10/20/2020, $12.35, 17125, $12.37, $12.415, $12.18
10/19/2020, $12.25, 33533, $12.4, $12.4562, $12.15
10/16/2020, $12.43, 12252, $12.29, $12.65, $12.1469
10/15/2020, $12.44, 17749, $11.94, $12.46, $11.94
10/14/2020, $12.01, 7266, $12.21, $12.402, $12.01
10/13/2020, $12.12, 4817, $12.24, $12.4739, $11.94
10/12/2020, $12.28, 15380, $12.73, $12.73, $12.2
10/09/2020, $12.65, 12199, $12.44, $12.65, $12.16
10/08/2020, $12.4, 11756, $12, $12.4, $11.9001
10/07/2020, $11.95, 13647, $12.0975, $12.1817, $11.9
10/06/2020, $12.22, 5578, $12.09, $12.44, $12.09
10/05/2020, $12, 5855, $12.175, $12.175, $11.91
10/02/2020, $11.79, 6268, $11.66, $12.065, $11.62
10/01/2020, $11.83, 4790, $11.93, $12.37, $11.83
09/30/2020, $11.9, 1947, $11.9, $11.9, $11.9
09/29/2020, $11.95, 1170, $11.68, $12.45, $11.68
09/28/2020, $11.72, 6691, $11.35, $11.9, $11.35
09/25/2020, $11.23, 8344, $11.06, $11.48, $11.06
09/24/2020, $11.15, 8354, $11.27, $11.27, $11.12
09/23/2020, $11.27, 10866, $11.77, $11.9, $11.16
09/22/2020, $11.74, 7175, $11.9, $11.9, $11.605
09/21/2020, $11.88, 17055, $12.11, $12.11, $11.66
09/18/2020, $12.4, 45609, $12.23, $12.4, $11.97
09/17/2020, $12.09, 9242, $12, $12.2599, $11.81
09/16/2020, $12.07, 13883, $11.99, $12.25, $11.88
09/15/2020, $12.03, 3554, $12.06, $12.175, $11.75
09/14/2020, $12.14, 62449, $11.745, $12.14, $11.745
09/11/2020, $11.9, 13298, $11.81, $12.0651, $11.5
09/10/2020, $11.88, 4192, $12.412, $12.412, $11.8614
09/09/2020, $11.86, 8925, $11.94, $12.105, $11.75
09/08/2020, $11.85, 8176, $11.94, $11.96, $11.81
09/04/2020, $12, 9300, $12.13, $12.13, $11.86
09/03/2020, $11.99, 71915, $12.07, $12.5, $11.8539
09/02/2020, $12.08, 29845, $12.15, $12.25, $12.02
09/01/2020, $12.15, 6288, $12.17, $12.62, $12.09
08/31/2020, $12.17, 14953, $12.45, $12.57, $12.17
