Date, Close/Last, Volume, Open, High, Low
03/24/2021, $137.97, 484480, $138.24, $138.905, $136.53
03/23/2021, $138.25, 940633, $137.56, $139.135, $136.63
03/22/2021, $137.15, 985939, $135.4, $137.22, $134.49
03/19/2021, $135.01, 1027205, $131.51, $135.06, $131.02
03/18/2021, $131.51, 330383, $128.66, $131.6, $127.82
03/17/2021, $128.69, 528180, $129.66, $129.66, $127.38
03/16/2021, $129.16, 426273, $126.42, $129.17, $125.8299
03/15/2021, $126.62, 256002, $124.87, $126.72, $123.97
03/12/2021, $125.78, 381242, $126.16, $127.61, $125.17
03/11/2021, $126.12, 519846, $126.5, $127, $125.43
03/10/2021, $125.75, 506892, $124.45, $126.49, $123.17
03/09/2021, $124, 934452, $123.13, $125.44, $122.57
03/08/2021, $123.37, 568689, $121.71, $124.71, $120.62
03/05/2021, $121.36, 344566, $119.42, $122.13, $118.91
03/04/2021, $119.18, 463362, $119.56, $121.49, $118.16
03/03/2021, $119.94, 410416, $116.8, $120.47, $116.23
03/02/2021, $116.39, 596544, $115.37, $117.72, $115.16
03/01/2021, $115.3, 543446, $116.05, $116.05, $114.02
02/26/2021, $114.55, 509893, $116.49, $117.89, $114.54
02/25/2021, $116.58, 873633, $110.12, $118.4, $110.12
02/24/2021, $109.95, 525539, $110.8, $110.8, $109.37
02/23/2021, $110.36, 629410, $109.53, $110.765, $108.95
02/22/2021, $109.1, 344828, $108.78, $109.42, $107.17
02/19/2021, $109.15, 412159, $109.88, $109.97, $108.52
02/18/2021, $109.36, 780157, $107.62, $109.625, $107.555
02/17/2021, $107.57, 798473, $106.7, $108.26, $106.28
02/16/2021, $107.02, 803327, $106.95, $107.24, $105.6
02/12/2021, $106.49, 518763, $105.66, $106.51, $105.4
02/11/2021, $105.38, 351510, $107.01, $107.84, $105.07
02/10/2021, $106.91, 624793, $106.64, $107.49, $105.45
02/09/2021, $106.15, 522360, $106.02, $106.37, $105.1
02/08/2021, $105.74, 570328, $108.67, $109.02, $105.58
02/05/2021, $108.44, 633529, $111.8, $112.01, $107.89
02/04/2021, $111.28, 300050, $110.11, $111.36, $109.9
02/03/2021, $110.41, 269835, $110.03, $110.805, $109.72
02/02/2021, $110.1, 422368, $111.5, $112.775, $109.275
02/01/2021, $110.86, 423083, $109.73, $111.26, $109.11
01/29/2021, $109.97, 633947, $113.97, $115.26, $109.8
01/28/2021, $114.38, 412061, $112.96, $117.2, $112.22
01/27/2021, $113.01, 499085, $119.1, $119.93, $111.54
01/26/2021, $119.92, 186355, $118.87, $120.02, $118.075
01/25/2021, $118.66, 253824, $116.92, $118.84, $116.14
01/22/2021, $116.42, 306299, $115.57, $116.85, $115.57
01/21/2021, $115.74, 216723, $116.73, $116.74, $115.73
01/20/2021, $116.69, 342082, $115.69, $117.16, $115.63
