Date, Close/Last, Volume, Open, High, Low
01/20/2021, $26.3, 33104, $26.52, $26.52, $26.21
01/19/2021, $26.47, 7509, $26.55, $26.55, $26.36
01/15/2021, $26.5, 17264, $26.85, $26.95, $26.5
01/14/2021, $26.865, 7076, $26.63, $27.06, $26.63
01/13/2021, $26.51, 6558, $26.14, $26.52, $26.051
01/12/2021, $26.03, 22446, $26.46, $26.46, $25.67
01/11/2021, $26.46, 19053, $26.5, $26.5713, $26.35
01/08/2021, $26.64, 5374, $26.47, $26.77, $26.47
01/07/2021, $26.51, 23648, $26.97, $26.97, $26.5
01/06/2021, $26.88, 15426, $27.09, $27.09, $26.54
01/05/2021, $27.14, 19280, $27.06, $27.14, $27.02
01/04/2021, $27.02, 12041, $27.13, $27.14, $26.87
12/31/2020, $27.04, 22414, $27.13, $27.15, $27.03
12/30/2020, $27.13, 11689, $27.17, $27.17, $27.0943
12/29/2020, $27.08, 311534, $27.1, $27.16, $27.08
12/28/2020, $27.01, 12371, $27.0799, $27.16, $27.01
12/24/2020, $26.9278, 28943, $27.1, $27.1, $26.9278
12/23/2020, $26.97, 5572, $27.14, $27.14, $26.85
12/22/2020, $27.11, 22996, $27.14, $27.14, $26.95
12/21/2020, $27.1, 31800, $27.04, $27.48, $27.04
12/18/2020, $27.12, 32312, $27.12, $27.19, $27.015
12/17/2020, $26.99, 24714, $26.79, $27.01, $26.5731
12/16/2020, $26.77, 266928, $26.58, $26.77, $26.52
12/15/2020, $26.58, 30642, $26.46, $26.58, $26.3484
12/14/2020, $26.46, 30001, $26.37, $26.46, $26.3205
12/11/2020, $26.38, 18262, $26.36, $26.38, $26.24
12/10/2020, $26.32, 48397, $26.44, $26.52, $26.16
12/09/2020, $26.44, 20309, $26.46, $26.47, $26.395
12/08/2020, $26.39, 87581, $26.37, $26.4, $26.28
12/07/2020, $26.33, 22988, $26.37, $26.39, $26.17
12/04/2020, $26.36, 61283, $26.45, $26.45, $26.3204
12/03/2020, $26.37, 59901, $26.4, $26.53, $26.34
12/02/2020, $26.35, 15131, $26.23, $26.45, $26.23
12/01/2020, $26.36, 56353, $26.2, $26.36, $26.2
11/30/2020, $26.18, 58642, $26.34, $26.475, $26.11
11/27/2020, $26.48, 16656, $26.51, $26.56, $26.32
11/25/2020, $26.81, 20553, $26.95, $26.95, $26.71
11/24/2020, $26.88, 41204, $26.93, $27.08, $26.78
11/23/2020, $26.91, 32673, $26.86, $26.91, $26.8
11/20/2020, $26.89, 15396, $26.86, $26.9, $26.7842
11/19/2020, $26.82, 35358, $26.88, $26.88, $26.78
11/18/2020, $26.78, 13495, $26.89, $26.985, $26.78
11/17/2020, $26.79, 37332, $26.8, $26.8, $26.75
11/16/2020, $26.77, 102971, $26.805, $26.8567, $26.77
11/13/2020, $26.77, 36343, $26.82, $26.82, $26.75
11/12/2020, $26.8, 41914, $26.8, $26.81, $26.7999
11/11/2020, $26.82, 12091, $26.88, $26.88, $26.72
11/10/2020, $26.89, 37152, $26.72, $27.13, $26.7
11/09/2020, $26.71, 39981, $26.8, $26.8, $26.51
11/06/2020, $26.56, 3064, $26.646, $26.77, $26.52
11/05/2020, $26.71, 23308, $26.93, $26.93, $26.61
11/04/2020, $26.8, 41322, $27.21, $27.21, $26.64
11/03/2020, $26.73, 84367, $26.92, $27.345, $26.64
11/02/2020, $26.78, 30472, $26.74, $26.97, $26.51
10/30/2020, $26.83, 22555, $26.51, $26.83, $26.51
10/29/2020, $26.55, 8863, $26.88, $26.88, $26.48
10/28/2020, $26.59, 7831, $26.37, $26.67, $26.32
10/27/2020, $26.69, 32963, $26.79, $26.79, $26.65
10/26/2020, $26.77, 5773, $26.67, $26.77, $26.65
10/23/2020, $26.74, 16658, $26.3601, $26.78, $26.3601
10/22/2020, $26.78, 8749, $26.84, $26.84, $26.5916
10/21/2020, $26.53, 3889, $26.52, $26.697, $26.51
10/20/2020, $26.75, 5352, $27.1935, $27.1935, $26.62
10/19/2020, $26.65, 46079, $27.01, $27.04, $26.48
10/16/2020, $27, 56543, $27.37, $27.46, $27
10/15/2020, $27.78, 22270, $27.58, $27.78, $27.58
10/14/2020, $27.58, 3279, $27.65, $27.65, $27.3
10/13/2020, $27.7, 42714, $27.66, $27.77, $27.65
10/12/2020, $27.79, 12786, $27.6192, $27.79, $27.6188
10/09/2020, $27.73, 10965, $27.66, $27.73, $27.5
10/08/2020, $27.75, 9425, $27.68, $27.75, $27.6
10/07/2020, $27.6, 12075, $27.49, $27.6, $27.47
10/06/2020, $27.44, 19709, $27.05, $27.54, $27.05
10/05/2020, $27, 12109, $27.03, $27.05, $26.9
10/02/2020, $27.03, 17590, $27.09, $27.15, $26.905
10/01/2020, $27.02, 10710, $26.83, $27.1, $26.72
09/30/2020, $26.7, 36207, $26.67, $27.11, $26.67
09/29/2020, $26.705, 24423, $26.69, $26.96, $26.61
09/28/2020, $26.69, 34557, $26.6, $26.89, $26.6
09/25/2020, $26.6, 22382, $26.5, $26.81, $26.5
09/24/2020, $26.5, 39291, $26.5, $26.6695, $26.45
09/23/2020, $26.57, 83483, $26.62, $26.78, $26.4
09/22/2020, $26.65, 40378, $26.49, $26.65, $26.45
09/21/2020, $26.45, 15697, $26.35, $26.52, $26.3106
09/18/2020, $26.49, 20655, $26.5, $26.6491, $26.4
09/17/2020, $26.5, 208483, $26, $26.68, $26
09/16/2020, $26.25, 76448, $26.23, $26.43, $26.23
