Date, Close/Last, Volume, Open, High, Low
03/24/2021, $76.47, 217735, $77.6, $79.07, $76.47
03/23/2021, $76.7, 263533, $76.68, $77.56, $76.33
03/22/2021, $77.63, 142257, $79.5, $79.51, $76.45
03/19/2021, $78.91, 750966, $79.35, $79.36, $77.6
03/18/2021, $79.73, 191450, $80.02, $82.14, $79.25
03/17/2021, $80.49, 212211, $79.26, $81.24, $78.96
03/16/2021, $79.07, 173977, $78.49, $79.39, $76.95
03/15/2021, $79.1, 148650, $79.41, $79.41, $77.96
03/12/2021, $79.7, 144029, $79.52, $79.98, $78.45
03/11/2021, $79.12, 293882, $79.2, $79.575, $78.27
03/10/2021, $79.02, 160364, $77.81, $79.08, $77.14
03/09/2021, $77.43, 124343, $79.47, $79.47, $77.06
03/08/2021, $78.42, 156032, $77.48, $79.35, $77.22
03/05/2021, $77.16, 296646, $74.79, $77.675, $73.91
03/04/2021, $73.72, 203055, $75.26, $76.03, $73.07
03/03/2021, $75.34, 115014, $75.52, $76.3, $74.7
03/02/2021, $75.11, 95207, $76.22, $76.22, $74.44
03/01/2021, $76.26, 147581, $76.26, $76.85, $75.085
02/26/2021, $75.06, 203066, $75.49, $76.13, $73.88
02/25/2021, $75.4, 104926, $77.23, $77.81, $75.33
02/24/2021, $77.93, 181912, $74.56, $78.22, $74.56
02/23/2021, $75.06, 194018, $75.28, $76.66, $71.4
02/22/2021, $75.62, 213062, $73.16, $76.17, $72.54
02/19/2021, $73.62, 321217, $73.53, $74.4462, $73.5
02/18/2021, $73.14, 157963, $74.08, $74.35, $72.95
02/17/2021, $74.49, 126273, $74.66, $75.87, $74.25
02/16/2021, $75.36, 128633, $75.04, $77.9, $74.77
02/12/2021, $74.81, 107209, $75.41, $75.95, $73.87
02/11/2021, $75.86, 157199, $75.54, $76.37, $74.74
02/10/2021, $75.06, 94038, $76.06, $76.06, $74.62
02/09/2021, $75.52, 107608, $75.6, $76, $74.24
02/08/2021, $75.59, 116528, $73.88, $75.62, $73.65
02/05/2021, $73.1, 89218, $72.83, $73.13, $71.894
02/04/2021, $72.05, 78367, $71.41, $72.35, $70.8177
02/03/2021, $71.56, 128286, $71.03, $71.75, $70.31
02/02/2021, $71.42, 137125, $71.55, $72.61, $70.8941
02/01/2021, $70.95, 126325, $70.28, $71.27, $68.66
01/29/2021, $69.42, 284036, $69.91, $70.11, $68.96
01/28/2021, $70.01, 160461, $71.17, $71.68, $69.85
01/27/2021, $70.12, 168019, $71.03, $71.03, $69.05
01/26/2021, $72.6, 94639, $73.53, $73.755, $72.155
01/25/2021, $73.04, 131194, $72.76, $73.76, $72.11
01/22/2021, $73.25, 137662, $71.67, $73.47, $71.54
01/21/2021, $72.36, 109619, $72.71, $72.74, $71.5
01/20/2021, $72.46, 116609, $72.45, $72.96, $71.67
01/19/2021, $72.37, 163289, $72.31, $72.91, $71.45
01/15/2021, $71.61, 191113, $72.43, $72.535, $70.84
01/14/2021, $73.46, 124306, $73.33, $74.29, $72.94
01/13/2021, $72.91, 116379, $73.78, $74.08, $72.56
01/12/2021, $74.08, 122854, $73.08, $74.23, $72.48
01/11/2021, $72.72, 91293, $71.8, $72.79, $71.41
01/08/2021, $72.68, 180903, $74.53, $75.33, $72.01
01/07/2021, $74.4, 334954, $73.33, $74.71, $72.095
01/06/2021, $73.14, 339845, $70.49, $74.42, $70.49
01/05/2021, $69.3, 178953, $68.13, $70.36, $68.13
01/04/2021, $68.29, 129613, $69.51, $70.01, $67.68
12/31/2020, $69.21, 78409, $68.9, $69.52, $68.6
12/30/2020, $69.08, 50585, $69.13, $69.8, $68.89
12/29/2020, $68.69, 91064, $70.05, $70.275, $68.27
12/28/2020, $70.05, 102790, $70.65, $71.08, $69.57
12/24/2020, $69.97, 55817, $69.68, $70.7508, $68.7
12/23/2020, $69.14, 104335, $68.67, $69.52, $67.925
12/22/2020, $68.19, 123388, $69.39, $69.67, $68.11
12/21/2020, $69.17, 174220, $67.91, $69.17, $67.02
12/18/2020, $69.18, 532422, $70.88, $71.5, $68.755
12/17/2020, $71.1, 270795, $70.72, $71.73, $70.01
12/16/2020, $70.4, 181889, $72.31, $72.31, $70.4
12/15/2020, $72.33, 105712, $71.16, $72.64, $70.75
12/14/2020, $70.52, 131613, $71.91, $71.96, $70.33
12/11/2020, $71.26, 86460, $69.41, $71.32, $69.41
12/10/2020, $70.13, 77761, $70.82, $71, $69.56
12/09/2020, $71.51, 127395, $71.33, $71.76, $70.67
12/08/2020, $70.87, 116671, $69.65, $71, $69.53
12/07/2020, $69.94, 123413, $69.96, $70.16, $68.7
12/04/2020, $70.23, 89918, $69.545, $70.44, $69
12/03/2020, $68.55, 80620, $68.27, $69.2, $68.27
12/02/2020, $68.15, 108437, $68.11, $68.77, $67.56
12/01/2020, $68.37, 150506, $68.81, $69.44, $67.745
11/30/2020, $67.59, 178852, $67.65, $68.05, $66.97
