Date, Close/Last, Volume, Open, High, Low
03/24/2021, $25.6, 6930, $25.5, $25.6, $25.155
03/23/2021, $25.59, 1412, $25.584, $25.59, $25.25
03/22/2021, $25.46, N/A, $25.46, $25.46, $25.46
03/19/2021, $25.46, 1106, $25.53, $25.57, $25.46
03/18/2021, $25.325, N/A, $25.325, $25.325, $25.325
03/17/2021, $25.325, 2922, $25.285, $25.52, $25
03/16/2021, $25.3643, 6844, $24.96, $25.37, $24.64
03/15/2021, $24.9501, 4958, $24.62, $24.99, $24.62
03/12/2021, $24.9851, 1365, $24.74, $24.9851, $24.74
03/11/2021, $24.6122, 8065, $24.66, $24.75, $24.1
03/10/2021, $25.02, 201, $25.02, $25.02, $25.02
03/09/2021, $25.0456, 1000, $24.6045, $25.0456, $24.6045
03/08/2021, $24.63, 2683, $25, $25.05, $24.62
03/05/2021, $24.8999, 801, $24.7946, $24.9, $24.7946
03/04/2021, $24.75, 774, $24.52, $24.75, $24.52
03/03/2021, $25.11, N/A, $25.11, $25.11, $25.11
03/02/2021, $25.11, 228, $25.11, $25.11, $25.11
03/01/2021, $24.85, 1319, $25, $25.13, $24.85
02/26/2021, $25.125, 1014, $24.6, $25.125, $24.275
02/25/2021, $25.15, 1085, $25.1499, $25.15, $25.1499
02/24/2021, $25, 658, $25.7, $25.7, $25
02/23/2021, $25.09, 230, $25.09, $25.09, $25.09
02/22/2021, $24.95, 625, $24.95, $24.95, $24.95
02/19/2021, $24.96, N/A, $24.96, $24.96, $24.96
02/18/2021, $24.96, 416, $24.95, $25, $24.95
02/17/2021, $24.35, 3778, $25, $25.1, $24.35
02/16/2021, $24.9, 2214, $24.91, $24.91, $24.8
02/12/2021, $24.9, 2104, $24.89, $24.9, $24.89
02/11/2021, $24.88, 492, $24.76, $24.88, $24.4733
02/10/2021, $24.2, 1488, $24.75, $24.9, $24.2
02/09/2021, $24.75, 869, $24.94, $24.94, $24.75
02/08/2021, $24.825, 687, $24.9, $24.9, $24.825
02/05/2021, $24.9, N/A, $24.9, $24.9, $24.9
02/04/2021, $24.9, 2020, $24, $24.9399, $24
02/03/2021, $24.8207, 907, $24.595, $24.8207, $24.595
02/02/2021, $24.5775, 7147, $24.92, $24.94, $24.25
02/01/2021, $24.595, 268, $24.595, $24.595, $24.595
01/29/2021, $24.2, N/A, $24.2, $24.2, $24.2
01/28/2021, $24.2, 1467, $24.238, $24.238, $24.19
01/27/2021, $24.36, N/A, $24.36, $24.36, $24.36
01/26/2021, $24.36, N/A, $24.36, $24.36, $24.36
01/25/2021, $24.36, 493, $24.36, $24.36, $24.36
01/22/2021, $24.05, 200, $24.05, $24.05, $24.05
01/21/2021, $24.2699, 1104, $24.2699, $24.27, $24.2699
01/20/2021, $24.23, 609, $24.27, $24.27, $24.23
01/19/2021, $24.27, 1454, $24.26, $24.27, $24
01/15/2021, $23.76, 310, $23.92, $23.92, $23.76
01/14/2021, $23.99, 397, $23.995, $23.995, $23.99
01/13/2021, $23.8724, 1912, $23.9899, $23.99, $23.8724
01/12/2021, $24.15, N/A, $24.15, $24.15, $24.15
01/11/2021, $24.15, 1571, $24.05, $24.25, $23.895
01/08/2021, $23.49, 1896, $23.6, $23.62, $23.49
01/07/2021, $23.5, 6740, $23.5, $24, $23.491
01/06/2021, $23.76, 502, $23.77, $23.77, $23.604
01/05/2021, $23.5, N/A, $23.5, $23.5, $23.5
01/04/2021, $23.5, 1353, $23.75, $23.75, $23.5
12/31/2020, $23.77, 421, $24, $24, $23.77
12/30/2020, $23.76, 3368, $23.52, $23.76, $23.5
12/29/2020, $23.74, 2429, $23.62, $23.74, $23.5
12/28/2020, $24.3937, N/A, $24.3937, $24.3937, $24.3937
12/24/2020, $24.3937, 668, $23.5, $24.3937, $23.5
12/23/2020, $24.22, 3950, $23.75, $24.22, $23.75
12/22/2020, $23.4565, 4460, $23.5, $23.68, $23.4565
12/21/2020, $23.46, 344, $23.46, $23.46, $23.46
12/18/2020, $23.35, 3922, $23.2157, $23.36, $22.18
12/17/2020, $23.1249, 6925, $24, $24, $23.1249
12/16/2020, $24.72, 1563, $24.55, $24.72, $24.55
12/15/2020, $24.49, 4278, $24.25, $24.49, $24.2
12/14/2020, $24.17, 607, $24.24, $24.24, $24.17
12/11/2020, $23.76, 2653, $24.18, $24.18, $23.75
12/10/2020, $24.18, 1896, $24.25, $24.25, $24.18
12/09/2020, $24.1807, 3300, $24.2, $24.3, $24.08
12/08/2020, $24.083, 1158, $24, $24.2, $24
12/07/2020, $24.135, 912, $23.99, $24.135, $23.72
12/04/2020, $23.59, 8141, $24.5, $24.5, $23.55
12/03/2020, $24.2502, 404, $24.3, $24.3, $24.2502
12/02/2020, $24.6881, 3468, $24.7699, $24.77, $24.6
12/01/2020, $24.77, 2723, $24.5, $24.99, $24.5
11/30/2020, $24.96, 1602, $24.9601, $24.9601, $24.96
11/27/2020, $24.965, 3621, $25, $25.11, $24.85
11/25/2020, $24.7, 872, $24.9999, $24.9999, $24.43
11/24/2020, $24.43, 5542, $24.62, $25, $24.43
11/23/2020, $24.4784, 544, $24.63, $24.63, $24.4784
11/20/2020, $24.64, 4130, $23.7436, $24.64, $23.7436
11/19/2020, $23.322, 404, $23.97, $23.97, $23.322
11/18/2020, $23.9887, 1867, $24, $24, $23.5537
11/17/2020, $24, 569, $24.24, $24.24, $23.9
11/16/2020, $23.71, 3757, $23.6, $23.71, $23.6
11/13/2020, $23.54, N/A, $23.54, $23.54, $23.54
11/12/2020, $23.54, 1659, $23.3, $23.5599, $23.25
11/11/2020, $23.25, 373, $23.25, $23.29, $23.25
11/10/2020, $23.24, 516, $23.42, $23.42, $23.24
11/09/2020, $23.36, N/A, $23.36, $23.36, $23.36
11/06/2020, $23.36, 1709, $23.12, $23.4, $23.12
11/05/2020, $23.06, 1479, $23.07, $23.07, $23.04
11/04/2020, $23.5, 865, $23.47, $23.5, $23.47
11/03/2020, $23.46, 9087, $23.99, $24.02, $23.46
11/02/2020, $23.76, 2902, $23.99, $23.99, $23.75
10/30/2020, $23.5, 359, $23.5, $23.5, $23.5
10/29/2020, $23.59, 340, $23.44, $23.59, $23.44
10/28/2020, $23.4065, N/A, $23.4065, $23.4065, $23.4065
