Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.85, 642490, $9.91, $9.9242, $9.85
03/23/2021, $9.88, 206182, $9.98, $9.98, $9.88
03/22/2021, $9.97, 433215, $10.02, $10.02, $9.95
03/19/2021, $10, 82608, $10.03, $10.03, $9.96
03/18/2021, $10.03, 23385, $10.01, $10.03, $10.01
03/17/2021, $10.01, 528022, $10, $10.04, $9.98
03/16/2021, $10.01, 16874, $10.077, $10.08, $10
03/15/2021, $10.08, 131199, $10.08, $10.1, $9.97
03/12/2021, $10.1, 44300, $10.15, $10.15, $10.06
03/11/2021, $10.14, 408280, $10.04, $10.14, $10
03/10/2021, $10.04, 502104, $10.12, $10.14, $10.0301
03/09/2021, $10.11, 154396, $10.23, $10.23, $10.11
03/08/2021, $10.27, 40768, $10.31, $10.35, $10.2
03/05/2021, $10.25, 140523, $10.1, $10.35, $10.03
03/04/2021, $10.07, 160470, $10.15, $10.2, $10.04
03/03/2021, $10.1, 180030, $10.19, $10.2, $10.1
03/02/2021, $10.22, 225691, $10.32, $10.38, $10
03/01/2021, $10.35, 102210, $10.4, $10.4, $10.32
02/26/2021, $10.4, 98781, $10.45, $10.48, $10.36
02/25/2021, $10.45, 280001, $10.5, $10.53, $10.4
02/24/2021, $10.5, 161342, $10.5, $10.55, $10.41
02/23/2021, $10.5, 333121, $10.59, $10.64, $10.45
02/22/2021, $10.64, 25756, $10.68, $10.75, $10.59
02/19/2021, $10.51, 28915, $10.51, $10.61, $10.5
02/18/2021, $10.48, 515810, $10.625, $10.66, $10.48
02/17/2021, $10.6, 97192, $10.51, $10.68, $10.51
02/16/2021, $10.52, 76638, $10.55, $10.65, $10.52
02/12/2021, $10.54, 35966, $10.647, $10.65, $10.54
02/11/2021, $10.66, 66672, $10.85, $10.94, $10.6
02/10/2021, $10.71, 29822, $10.68, $10.77, $10.68
02/09/2021, $10.68, 102664, $10.9, $10.9, $10.68
02/08/2021, $10.82, 47787, $10.85, $10.9, $10.81
02/05/2021, $10.835, 323144, $11, $11.08, $10.8
02/04/2021, $11.08, 638757, $11, $11.1, $10.81
02/03/2021, $11.16, 216416, $10.6, $11.18, $10.58
02/02/2021, $10.6, 127722, $10.65, $10.7, $10.53
02/01/2021, $10.6, 226910, $10.45, $10.6, $10.45
01/29/2021, $10.41, 158405, $10.515, $10.61, $10.4
01/28/2021, $10.5, 373793, $10.6, $10.6, $10.43
01/27/2021, $10.6, 1503439, $10.62, $10.67, $10.3
01/26/2021, $10.69, 463833, $10.65, $10.7, $10.63
01/25/2021, $10.67, 1048252, $10.6, $10.74, $10.6
01/22/2021, $10.65, 664844, $10.64, $10.65, $10.51
01/21/2021, $10.55, 254233, $10.49, $10.63, $10.49
01/20/2021, $10.5, 152076, $10.56, $10.56, $10.45
01/19/2021, $10.485, 113120, $10.5, $10.5599, $10.45
01/15/2021, $10.5, 643606, $10.42, $10.59, $10.4
01/14/2021, $10.42, 643029, $10.42, $10.74, $10.414
01/13/2021, $10.4, 10948650, $10.5, $10.5, $10.31
