Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.67, 12853, $14.77, $14.813, $14.67
03/23/2021, $14.71, 15368, $14.83, $14.84, $14.69
03/22/2021, $14.8, 25959, $14.77, $14.914, $14.77
03/19/2021, $14.83, 16639, $14.55, $15.065, $14.55
03/18/2021, $14.55, 21491, $14.53, $14.6294, $14.41
03/17/2021, $14.49, 33640, $14.44, $14.5099, $14.38
03/16/2021, $14.48, 24940, $14.37, $14.51, $14.365
03/15/2021, $14.39, 8011, $14.34, $14.42, $14.31
03/12/2021, $14.32, 26948, $14.32, $14.36, $14.31
03/11/2021, $14.36, 21860, $14.32, $14.42, $14.28
03/10/2021, $14.32, 33461, $14.22, $14.39, $14.22
03/09/2021, $14.2, 15074, $14.18, $14.245, $14.18
03/08/2021, $14.15, 10951, $14.19, $14.19, $14.15
03/05/2021, $14.15, 10752, $14.16, $14.2, $14.14
03/04/2021, $14.15, 11527, $14.21, $14.2899, $14.13
03/03/2021, $14.23, 20430, $14.23, $14.2616, $14.17
03/02/2021, $14.23, 12039, $14.23, $14.3467, $14.22
03/01/2021, $14.22, 34776, $14.22, $14.37, $14.22
02/26/2021, $14.27, 15962, $14.2, $14.27, $14.2
02/25/2021, $14.22, 32860, $14.2, $14.22, $14.1
02/24/2021, $14.26, 31101, $14.01, $14.28, $14
02/23/2021, $14.08, 61577, $14.26, $14.26, $14.01
02/22/2021, $14.27, 24951, $14.4, $14.4, $14.25
02/19/2021, $14.46, 14827, $14.43, $14.53, $14.43
02/18/2021, $14.5, 27925, $14.66, $14.79, $14.4
02/17/2021, $14.66, 13799, $14.84, $14.84, $14.65
02/16/2021, $14.73, 13376, $14.82, $14.82, $14.73
02/12/2021, $14.8, 8496, $14.94, $14.94, $14.77
02/11/2021, $14.94, 20726, $14.92, $15, $14.9
02/10/2021, $14.91, 17937, $14.9, $14.93, $14.7942
02/09/2021, $14.88, 22688, $14.9, $14.9, $14.8
02/08/2021, $14.84, 23177, $14.83, $14.87, $14.7742
02/05/2021, $14.76, 27356, $14.65, $14.8, $14.605
02/04/2021, $14.61, 21078, $14.64, $14.64, $14.59
02/03/2021, $14.6, 14358, $14.67, $14.67, $14.58
02/02/2021, $14.67, 22747, $14.59, $14.68, $14.57
02/01/2021, $14.58, 19573, $14.66, $14.6984, $14.57
01/29/2021, $14.6, 20005, $14.7, $14.7, $14.54
01/28/2021, $14.63, 14881, $14.6, $14.64, $14.53
01/27/2021, $14.58, 21014, $14.6, $14.6, $14.48
01/26/2021, $14.57, 24105, $14.59, $14.67, $14.49
01/25/2021, $14.56, 15081, $14.58, $14.588, $14.5
01/22/2021, $14.54, 21065, $14.59, $14.59, $14.49
01/21/2021, $14.59, 24430, $14.64, $14.64, $14.52
01/20/2021, $14.54, 17114, $14.54, $14.55, $14.5199
01/19/2021, $14.48, 9006, $14.42, $14.5, $14.42
01/15/2021, $14.42, 12163, $14.43, $14.52, $14.42
01/14/2021, $14.43, 8579, $14.47, $14.48, $14.4
01/13/2021, $14.45, 21964, $14.4, $14.45, $14.35
01/12/2021, $14.38, 9639, $14.35, $14.44, $14.34
01/11/2021, $14.35, 116277, $14.75, $14.75, $14.3
01/08/2021, $14.65, 9241, $14.75, $14.91, $14.56
01/07/2021, $14.82, 22718, $15.17, $15.17, $14.69
01/06/2021, $14.82, 16188, $14.97, $14.97, $14.58
01/05/2021, $14.86, 12810, $14.89, $14.9305, $14.85
01/04/2021, $14.89, 16049, $15.15, $15.18, $14.85
12/31/2020, $14.8, 26775, $14.76, $14.92, $14.68
12/30/2020, $14.75, 37418, $14.48, $14.97, $14.46
12/29/2020, $14.54, 15648, $14.35, $14.54, $14.3
12/28/2020, $14.31, 27158, $14.34, $14.45, $14.29
12/24/2020, $14.38, 10665, $14.37, $14.38, $14.31
12/23/2020, $14.3, 16283, $14.51, $14.51, $14.24
12/22/2020, $14.36, 16747, $14.38, $14.38, $14.32
12/21/2020, $14.43, 15603, $14.32, $14.43, $14.32
12/18/2020, $14.47, 22398, $14.47, $14.47, $14.3694
12/17/2020, $14.36, 48693, $14.39, $14.49, $14.33
12/16/2020, $14.41, 45596, $14.42, $14.47, $14.37
12/15/2020, $14.45, 18913, $14.41, $14.46, $14.4
12/14/2020, $14.41, 18945, $14.5, $14.52, $14.41
12/11/2020, $14.49, 8873, $14.49, $14.555, $14.49
12/10/2020, $14.52, 10569, $14.52, $14.58, $14.52
12/09/2020, $14.56, 15419, $14.47, $14.57, $14.4619
12/08/2020, $14.47, 14087, $14.39, $14.47, $14.39
12/07/2020, $14.37, 19177, $14.45, $14.49, $14.37
12/04/2020, $14.46, 29726, $14.5, $14.5, $14.42
12/03/2020, $14.4, 17429, $14.5, $14.5, $14.38
12/02/2020, $14.48, 15557, $14.51, $14.51, $14.42
12/01/2020, $14.49, 25399, $14.56, $14.56, $14.42
11/30/2020, $14.45, 11479, $14.47, $14.5, $14.41
11/27/2020, $14.49, 12363, $14.49, $14.53, $14.45
11/25/2020, $14.43, 21993, $14.59, $14.59, $14.39
11/24/2020, $14.53, 17507, $14.7, $14.7909, $14.44
11/23/2020, $14.68, 6530, $14.75, $14.78, $14.68
11/20/2020, $14.68, 12520, $14.7, $14.75, $14.6
11/19/2020, $14.74, 7485, $14.74, $14.78, $14.7236
11/18/2020, $14.68, 8017, $14.54, $14.72, $14.54
11/17/2020, $14.54, 15055, $14.8, $14.8, $14.52
11/16/2020, $14.51, 22269, $14.4, $14.5299, $14.4
11/13/2020, $14.4, 12491, $14.48, $14.51, $14.34
11/12/2020, $14.45, 14842, $14.42, $14.81, $14.36
11/11/2020, $14.42, 5382, $14.47, $14.47, $14.33
11/10/2020, $14.4, 12153, $14.26, $14.47, $14.26
11/09/2020, $14.23, 6969, $14.25, $14.25, $14.15
11/06/2020, $14.16, 10633, $14.1, $14.23, $14.0552
11/05/2020, $14.07, 6660, $14.05, $14.17, $14.05
11/04/2020, $14.02, 14554, $13.91, $14.07, $13.91
11/03/2020, $13.86, 7577, $13.82, $13.86, $13.78
11/02/2020, $13.8, 2942, $13.86, $13.86, $13.8
10/30/2020, $13.83, 7798, $13.85, $13.85, $13.74
