Date, Close/Last, Volume, Open, High, Low
03/24/2021, $85.53, 256100, $86.23, $87.69, $85.51
03/23/2021, $85.3, 126899, $86.93, $87.76, $84.69
03/22/2021, $87.8, 152862, $89.41, $89.665, $87.64
03/19/2021, $89.46, 549932, $91.17, $91.48, $89.37
03/18/2021, $90.83, 202289, $91.4, $93.42, $90.42
03/17/2021, $92.5, 132508, $93.23, $93.23, $91.55
03/16/2021, $93.48, 106920, $93.29, $94.25, $92.63
03/15/2021, $93.12, 122217, $92.43, $93.33, $91.58
03/12/2021, $92.93, 115596, $91.97, $93.25, $91.41
03/11/2021, $92.05, 162278, $89.81, $92.23, $89.39
03/10/2021, $88.32, 105717, $88.08, $88.71, $87.42
03/09/2021, $86.85, 129089, $87.45, $87.99, $86.6
03/08/2021, $85.92, 118537, $87.22, $87.95, $85.83
03/05/2021, $86.95, 244322, $86.26, $87.22, $84.72
03/04/2021, $85.13, 182330, $87.01, $87.83, $84.4
03/03/2021, $87.39, 138156, $89.08, $89.4, $87.01
03/02/2021, $89.38, 274215, $91.61, $91.95, $89.0809
03/01/2021, $91.66, 182418, $90.1, $91.68, $89.22
02/26/2021, $88.33, 188448, $88.21, $89.17, $86.725
02/25/2021, $87.89, 224511, $89.31, $90.04, $87.66
02/24/2021, $90.16, 114869, $88.23, $90.33, $88.23
02/23/2021, $88.12, 194971, $87.64, $88.69, $86.5
02/22/2021, $88.72, 142711, $87.21, $89.81, $86.7675
02/19/2021, $88.14, 150745, $86.94, $88.7, $86.53
02/18/2021, $86.63, 179497, $85.85, $87.01, $85.065
02/17/2021, $86.16, 136313, $86.54, $88.21, $86.01
02/16/2021, $87.4, 122045, $88.5, $88.74, $87
02/12/2021, $87.8, 84885, $88.13, $89, $87.39
02/11/2021, $88.4, 153152, $87.33, $88.78, $87.21
02/10/2021, $87.08, 126070, $88.44, $89.35, $86.66
02/09/2021, $88.24, 120267, $89.8, $89.8, $88.13
02/08/2021, $89.89, 178631, $89.26, $90.61, $88.9
02/05/2021, $89.26, 200600, $87.61, $89.46, $86.83
02/04/2021, $87.47, 222563, $84, $87.61, $83.39
02/03/2021, $84.1, 245550, $83.33, $84.33, $81.3
02/02/2021, $83.77, 436035, $87.95, $90, $82.46
02/01/2021, $80.78, 153407, $79.59, $80.9218, $78.83
01/29/2021, $78.94, 195338, $79.98, $80.78, $78.44
01/28/2021, $80.28, 150309, $81.63, $81.82, $80
01/27/2021, $80.72, 173313, $81.6, $82.7498, $79.59
01/26/2021, $83.04, 130501, $85.5, $87.02, $82.56
01/25/2021, $85.53, 170484, $85.77, $87.235, $84.79
01/22/2021, $85.82, 134155, $84.19, $86.2, $83.98
01/21/2021, $85.09, 139847, $85.39, $86.55, $84.11
01/20/2021, $84.56, 140585, $85.78, $86.99, $84.02
01/19/2021, $85.33, 244651, $84.29, $86.57, $84.29
01/15/2021, $82.57, 238999, $84.24, $84.685, $82.47
01/14/2021, $85.53, 185979, $83.25, $87.28, $82.92
01/13/2021, $83.05, 104957, $84.04, $84.315, $82.8
01/12/2021, $84.05, 167620, $85.7, $87.06, $83.55
01/11/2021, $84.58, 106184, $82.38, $84.66, $82.38
01/08/2021, $83.65, 97949, $83.79, $84.07, $82.57
01/07/2021, $83, 122069, $81.82, $83.14, $80.78
01/06/2021, $81.82, 234158, $81.19, $82.3, $80.66
01/05/2021, $80.45, 168561, $77.22, $80.95, $77.22
01/04/2021, $77.52, 140525, $78.12, $78.45, $75.7242
12/31/2020, $77.59, 128682, $76.79, $77.96, $76.19
12/30/2020, $76.49, 66852, $75.65, $77.13, $75.65
12/29/2020, $75.55, 99347, $78.26, $78.26, $75
12/28/2020, $77.86, 119630, $76.88, $78.32, $76.655
12/24/2020, $76.05, 121244, $76.93, $77.36, $75.31
12/23/2020, $76.76, 95153, $76.29, $77.05, $76.05
12/22/2020, $75.99, 142274, $74.61, $76.94, $74.49
12/21/2020, $74.43, 167391, $75.15, $75.55, $72.98
12/18/2020, $76.46, 808726, $76.75, $78.47, $76.21
12/17/2020, $76.44, 239219, $73.37, $76.56, $73.035
12/16/2020, $72.69, 212900, $72, $72.935, $71.515
12/15/2020, $71.77, 226018, $70.57, $71.99, $69.6
12/14/2020, $69.77, 273277, $69.19, $70.29, $69.19
12/11/2020, $68.39, 176984, $68.81, $68.9783, $67.737
12/10/2020, $69.2, 130665, $69.01, $69.7, $68.65
12/09/2020, $69.32, 163449, $71.81, $71.9479, $69.03
12/08/2020, $71.81, 145794, $71.07, $72.29, $71.07
12/07/2020, $71.49, 128351, $69.8, $71.56, $69.59
12/04/2020, $69.76, 135531, $69.06, $69.88, $68.835
12/03/2020, $68.57, 108060, $69.5, $69.82, $68.45
12/02/2020, $69.3, 148587, $68.99, $69.46, $68.25
12/01/2020, $68.97, 186734, $68.99, $69.33, $68.26
11/30/2020, $68.31, 181458, $68.95, $69.135, $67.77
11/27/2020, $69, 91488, $68.81, $69.335, $68.18
11/25/2020, $68.86, 174717, $69.74, $70.06, $68.83
11/24/2020, $69.99, 260083, $71, $71, $69.94
11/23/2020, $70.53, 156192, $71.09, $71.36, $70.09
11/20/2020, $70.33, 141720, $69.43, $70.77, $69.43
