Date, Close/Last, Volume, Open, High, Low
03/24/2021, $40.12, 4052008, $41.8, $42.1, $40.08
03/23/2021, $41.81, 3568356, $43.34, $43.44, $41.64
03/22/2021, $43.65, 3800925, $42.87, $43.71, $42.44
03/19/2021, $42.925, 6423375, $43, $43.31, $42.57
03/18/2021, $42.88, 3689730, $42.49, $43.66, $42.47
03/17/2021, $42.92, 4359025, $43.56, $44.1, $41.48
03/16/2021, $44.18, 5094517, $43.11, $44.8, $43.03
03/15/2021, $42.7, 3771706, $43, $43.72, $42.29
03/12/2021, $42.78, 3818790, $41.74, $43.01, $41.73
03/11/2021, $41.845, 2913457, $41.2, $42.39, $40.86
03/10/2021, $41.46, 2707804, $40.6, $41.6, $39.94
03/09/2021, $40.32, 5377651, $42.15, $42.275, $40.04
03/08/2021, $42.33, 5776628, $40.88, $42.6247, $40.14
03/05/2021, $41.29, 6794718, $39.62, $41.44, $39.11
03/04/2021, $39.09, 6178574, $39.66, $40.33, $37.96
03/03/2021, $39.33, 13436960, $38.16, $40.55, $37.51
03/02/2021, $37.95, 12604230, $34.65, $38.81, $34.52
03/01/2021, $34.79, 5913898, $34.06, $35, $33.535
02/26/2021, $33.31, 5149031, $33.15, $33.85, $32.8
02/25/2021, $33.04, 3655017, $34.3, $34.67, $32.86
02/24/2021, $34.04, 3447234, $33.84, $34.23, $33.4107
02/23/2021, $34.12, 4107082, $34.79, $35.38, $33.65
02/22/2021, $34.69, 6842497, $33.76, $35.33, $33.7
02/19/2021, $33.78, 4866160, $32.34, $33.99, $32.18
02/18/2021, $32.175, 4618256, $31.8, $32.41, $31.67
02/17/2021, $31.75, 2764068, $31.85, $32.11, $31.5012
02/16/2021, $31.73, 5015191, $32.54, $32.73, $31.57
02/12/2021, $32.59, 3323365, $31.94, $32.825, $31.9
02/11/2021, $32, 4041024, $31.58, $32.22, $31.36
02/10/2021, $31.78, 7360331, $30.91, $31.99, $30.48
02/09/2021, $30.73, 6589229, $32.749, $32.9, $30.53
02/08/2021, $32.69, 7333654, $31.66, $32.77, $31.43
02/05/2021, $31.42, 4650789, $30.39, $31.72, $30.09
02/04/2021, $30.42, 4102483, $30.32, $30.92, $30.03
02/03/2021, $30.28, 3568512, $30.59, $30.745, $30.215
02/02/2021, $30.51, 4280091, $31.95, $32.06, $30.295
02/01/2021, $31.88, 3775712, $31.25, $32.06, $30.93
01/29/2021, $31.18, 5336758, $31.79, $32.69, $30.96
01/28/2021, $31.9, 8424115, $34.38, $35.14, $31.82
01/27/2021, $34.38, 23919960, $35.34, $40.73, $34.13
01/26/2021, $34.93, 15512340, $32.19, $35.18, $32.19
01/25/2021, $32.09, 9137110, $30.2, $32.22, $30.095
01/22/2021, $30.16, 6472874, $30.85, $30.86, $29.84
01/21/2021, $31.04, 4676731, $30.73, $31.32, $30.63
01/20/2021, $31.02, 8677222, $30.03, $31.27, $30.03
01/19/2021, $30.01, 5599893, $31.66, $31.66, $29.85
01/15/2021, $31.49, 9718544, $31.13, $31.74, $30.73
01/14/2021, $31.27, 10724940, $30.18, $31.46, $29.665
01/13/2021, $29.96, 6523965, $29.59, $30.03, $29.33
01/12/2021, $29.77, 4787250, $30.42, $30.57, $29.7
01/11/2021, $30.33, 5215884, $29.97, $30.59, $29.79
01/08/2021, $30.09, 5907869, $30.83, $31.04, $29.73
01/07/2021, $30.94, 5905197, $31.99, $31.99, $30.92
01/06/2021, $32.01, 7887604, $30.1, $32.18, $29.86
01/05/2021, $29.445, 3063181, $28.83, $29.605, $28.76
01/04/2021, $28.81, 4234196, $29.24, $29.71, $28.46
12/31/2020, $29.12, 2676310, $29.13, $29.375, $28.99
12/30/2020, $29.09, 1951598, $29.14, $29.55, $29.04
12/29/2020, $29.02, 1569855, $29.19, $29.295, $28.84
12/28/2020, $29.14, 3661326, $28.46, $29.315, $28.3
12/24/2020, $28.31, 1363508, $28.05, $28.53, $28.05
12/23/2020, $28.11, 3292816, $27.35, $28.22, $27.2901
12/22/2020, $27.27, 3071160, $27.51, $27.72, $27.12
12/21/2020, $27.72, 2718870, $27.78, $27.93, $27.315
12/18/2020, $28.16, 6018042, $28.54, $28.82, $27.92
12/17/2020, $28.54, 3799814, $28.57, $28.7, $27.85
12/16/2020, $28.45, 3169470, $28.64, $28.88, $28.35
12/15/2020, $28.58, 4705494, $28.88, $28.94, $27.985
12/14/2020, $28.78, 4596287, $29.74, $29.77, $28.76
12/11/2020, $29.32, 3492147, $28.91, $29.37, $28.5101
12/10/2020, $29.11, 3678535, $29.08, $29.23, $28.88
12/09/2020, $29.24, 7025431, $29.33, $29.68, $29.05
12/08/2020, $29.255, 4432752, $29.58, $29.79, $29.105
12/07/2020, $29.68, 5121561, $29.62, $30.03, $29.5013
12/04/2020, $29.84, 5831382, $30.47, $30.52, $29.74
12/03/2020, $30.32, 4730938, $30.68, $31.01, $30.235
12/02/2020, $30.6, 10815600, $30.22, $30.655, $29.77
12/01/2020, $30.14, 8830091, $29.12, $30.58, $28.97
11/30/2020, $28.84, 4109824, $29.06, $29.21, $28.71
11/27/2020, $29.16, 1551712, $29.07, $29.42, $29.07
11/25/2020, $29.3, 2204060, $29.45, $29.45, $28.87
11/24/2020, $29.48, 4009861, $28.85, $29.75, $28.61
11/23/2020, $28.53, 3551259, $28, $28.76, $27.75
11/20/2020, $27.83, 2846552, $27.73, $27.9382, $27.54
11/19/2020, $27.71, 4010242, $27.61, $27.975, $27.38
11/18/2020, $27.66, 4151498, $28.1, $28.19, $27.64
11/17/2020, $28.16, 5242826, $27.07, $28.215, $26.665
11/16/2020, $27.18, 8104995, $26.83, $27.63, $26.7
11/13/2020, $26.635, 6483189, $25.95, $26.76, $25.6069
11/12/2020, $25.64, 14392490, $27.12, $27.225, $25.33
11/11/2020, $27.46, 6876670, $26.95, $27.6, $26.575
11/10/2020, $26.85, 4604839, $26.01, $27.135, $25.88
11/09/2020, $26.25, 8566618, $26.97, $27.61, $25.97
11/06/2020, $25.95, 7824090, $26.43, $26.615, $25.645
11/05/2020, $26.61, 6588934, $26.07, $26.665, $25.44
11/04/2020, $25.63, 15753240, $26.93, $27.1, $24.98
11/03/2020, $27.04, 8345158, $28.81, $29.28, $26.36
11/02/2020, $27.4, 7284235, $26.66, $27.46, $26.29
10/30/2020, $26.52, 5643769, $25.56, $26.52, $25.51
