Date, Close/Last, Volume, Open, High, Low
01/20/2021, $128.55, 222266, $125.8, $130.86, $125.665
01/19/2021, $124.04, 243226, $126.94, $127.27, $123.015
01/15/2021, $124.55, 255284, $125.77, $126.87, $120.37
01/14/2021, $127.37, 265704, $127.09, $128.5, $125.14
01/13/2021, $125.83, 221419, $126.45, $128.02, $125.41
01/12/2021, $127.25, 208670, $123.83, $128.9, $122.755
01/11/2021, $123.6, 235861, $118.29, $124.15, $109
01/08/2021, $119.04, 238736, $119.43, $120, $117.47
01/07/2021, $118.2, 205572, $114.75, $118.45, $114.75
01/06/2021, $113.45, 323957, $108.94, $114.57, $108.94
01/05/2021, $108.16, 242317, $103.62, $108.63, $103.56
01/04/2021, $103.41, 185388, $106.36, $107.5, $101.8154
12/31/2020, $105.71, 218030, $107.78, $108.11, $104.81
12/30/2020, $107.25, 160567, $105.5, $107.59, $104.9902
12/29/2020, $105.45, 153482, $106.61, $106.61, $104.09
12/28/2020, $106.86, 205787, $108.19, $108.89, $106.77
12/24/2020, $106.59, 85706, $105.85, $107.09, $103.86
12/23/2020, $105.88, 143941, $105.03, $107.01, $104.51
12/22/2020, $104.68, 227258, $104.67, $106.45, $102.39
12/21/2020, $103.91, 346519, $104.83, $107.84, $102.25
12/18/2020, $102.14, 552580, $103.73, $105.22, $102.05
12/17/2020, $101.59, 315293, $100.09, $103.26, $97.89
12/16/2020, $99.83, 215219, $98.75, $100.25, $97.1
12/15/2020, $98.68, 272932, $98.58, $98.93, $95.63
12/14/2020, $97.13, 209177, $97.06, $98.65, $96.86
12/11/2020, $96.7, 220101, $97.71, $99.24, $94.55
12/10/2020, $98.49, 149340, $97.47, $99.57, $96.8475
12/09/2020, $99.02, 249601, $99.05, $101.02, $98.725
12/08/2020, $98.19, 247211, $94.96, $98.5, $94.15
12/07/2020, $95.44, 191219, $94.24, $95.86, $93.25
12/04/2020, $94.46, 222719, $89.87, $94.59, $89.87
12/03/2020, $90.09, 192585, $90.38, $91.86, $89.52
12/02/2020, $89.88, 175655, $88.62, $90.46, $87.15
12/01/2020, $89.89, 400232, $88, $91.13, $87.23
11/30/2020, $87.27, 340120, $89.76, $91.27, $85.29
11/27/2020, $90.3, 124806, $88.85, $90.45, $87.77
11/25/2020, $88.96, 230976, $87.83, $89.15, $87.0025
11/24/2020, $88.26, 262630, $87.46, $88.47, $84.58
11/23/2020, $86.53, 259906, $82.22, $87.69, $81.85
11/20/2020, $81.23, 635604, $80.66, $82.98, $78.2034
11/19/2020, $80.05, 605869, $85.32, $85.7527, $79.11
11/18/2020, $85.55, 405868, $84.02, $87.13, $83.68
11/17/2020, $83.59, 466220, $82.725, $83.83, $81.11
11/16/2020, $81.97, 433084, $86.17, $86.17, $81.9
11/13/2020, $85.25, 254026, $87.5, $89.01, $84
11/12/2020, $87, 254986, $95.49, $95.49, $86.25
11/11/2020, $93.64, 529758, $85.3601, $94.72, $85.3601
11/10/2020, $85.36, 659339, $85.14, $87.97, $80.05
11/09/2020, $83.48, 663051, $104.23, $105.25, $83.43
11/06/2020, $97.32, 244999, $96.11, $98.01, $93.19
11/05/2020, $96.09, 279887, $92.59, $96.38, $90.6925
11/04/2020, $91.16, 230841, $89.82, $91.39, $88.46
11/03/2020, $90.84, 260100, $88.54, $91.43, $87.19
11/02/2020, $87.45, 273657, $85.42, $88.81, $83.345
10/30/2020, $84.08, 450408, $86.66, $87.4, $82.74
10/29/2020, $87.4, 385575, $85.21, $88.56, $84.28
10/28/2020, $85.22, 365012, $83.53, $85.57, $82.48
10/27/2020, $85.66, 118864, $85.61, $86.5031, $84.66
10/26/2020, $85.89, 238921, $84.96, $85.94, $82.54
10/23/2020, $86.3, 142675, $85.89, $87.29, $84.15
10/22/2020, $84.79, 251987, $83.09, $85.25, $82.78
10/21/2020, $82.68, 237112, $85.025, $85.635, $82.65
10/20/2020, $84.08, 249604, $87.02, $87.65, $83.5
10/19/2020, $85.73, 221123, $87.71, $89.2, $85.49
10/16/2020, $87.21, 159923, $88.68, $89.203, $86.535
10/15/2020, $88.82, 133010, $86.83, $88.96, $85.61
10/14/2020, $87.34, 123421, $89.19, $89.77, $87.08
10/13/2020, $88.5, 272003, $86.08, $89.47, $86.08
10/12/2020, $87.02, 205525, $87.74, $88.48, $85.58
10/09/2020, $87.7, 422301, $85.9, $88.4875, $83.69
10/08/2020, $85.06, 348555, $87.08, $87.42, $84.03
10/07/2020, $85.46, 326703, $82.01, $85.55, $82.01
10/06/2020, $80.99, 242586, $81.95, $83.36, $80.35
10/05/2020, $81.47, 381013, $79.44, $82.47, $79.435
10/02/2020, $78.28, 288942, $74.33, $78.72, $74.01
10/01/2020, $76.43, 490487, $74.47, $76.54, $73.525
09/30/2020, $74.33, 761031, $74.36, $76.74, $73.14
09/29/2020, $74.09, 295998, $75.77, $77.02, $73.82
09/28/2020, $75.8, 337900, $74.89, $76.02, $73.475
09/25/2020, $73.06, 320311, $72.59, $74.19, $71.91
09/24/2020, $72.74, 401615, $71.29, $74.11, $69.95
09/23/2020, $72.1, 672329, $75.46, $76.86, $71.82
09/22/2020, $76.04, 722154, $75.09, $76.36, $72.28
09/21/2020, $73.12, 557603, $72.23, $73.93, $70.58
09/18/2020, $73.62, 8461809, $78.94, $82.68, $72.39
09/17/2020, $75.59, 534533, $71.4, $76.24, $71.32
09/16/2020, $73.21, 550266, $74.3, $74.35, $72.6
09/15/2020, $74.32, 419565, $76.62, $78, $73.545
09/14/2020, $76.17, 386407, $77.42, $77.42, $74.34
09/11/2020, $76.8, 403600, $79.86, $80.11, $75.47
09/10/2020, $79.3, 473194, $82.6, $83.01, $78.92
09/09/2020, $81.99, 579844, $82.43, $83.973, $78.56
09/08/2020, $80.94, 1017044, $82.52, $84.605, $79.6
