Date, Close/Last, Volume, Open, High, Low
01/20/2021, $37.78, 208897, $39.31, $39.31, $36.91
01/19/2021, $38.39, 194368, $36.57, $39.36, $36.11
01/15/2021, $35.85, 184789, $36.65, $37.8128, $35.5
01/14/2021, $36.76, 353928, $35.17, $38.385, $35.08
01/13/2021, $34.52, 166224, $36.11, $36.32, $34.0616
01/12/2021, $35.72, 98626, $35.01, $35.91, $34.6589
01/11/2021, $34.76, 94642, $35.77, $36.81, $34.58
01/08/2021, $36.05, 208027, $36.32, $37.12, $34.57
01/07/2021, $36.57, 232740, $38.22, $39.43, $35.35
01/06/2021, $38.48, 445684, $33.73, $40.12, $33.73
01/05/2021, $33.43, 137701, $33.93, $34.61, $32.43
01/04/2021, $33.55, 255915, $36, $36, $32.25
12/31/2020, $35.26, 126652, $37.43, $37.43, $34.7401
12/30/2020, $37.29, 158363, $35.55, $38.04, $35.55
12/29/2020, $35.38, 171292, $33.97, $35.72, $33.7536
12/28/2020, $33.72, 283911, $34.01, $35.85, $33.27
12/24/2020, $33.72, 72158, $33.17, $34.11, $32.51
12/23/2020, $32.83, 272833, $34.04, $36.59, $32.49
12/22/2020, $32.63, 347771, $32.6, $35.14, $31.8
12/21/2020, $31.66, 557380, $30.53, $31.86, $29.56
12/18/2020, $32.14, 1851216, $41.19, $41.69, $30.35
12/17/2020, $39.7, 366306, $40, $42.891, $38.26
12/16/2020, $40, 415100, $37.87, $40.68, $37.3133
12/15/2020, $37.99, 281279, $36.62, $39.6048, $36.16
12/14/2020, $36.69, 248587, $34.67, $37.3512, $34.14
12/11/2020, $34.09, 182924, $31.79, $34.61, $31.79
12/10/2020, $32.26, 261095, $33.07, $33.79, $29.01
12/09/2020, $33.05, 173626, $31.69, $33.49, $31.19
12/08/2020, $31.3, 139837, $29.64, $31.595, $29.21
12/07/2020, $29.87, 157045, $28.99, $30.27, $28.33
12/04/2020, $28.85, 131923, $27.4, $28.9, $26.89
12/03/2020, $27.42, 66543, $27.55, $28.24, $26.97
12/02/2020, $27.3, 88699, $28.19, $28.35, $26.51
12/01/2020, $28.13, 120100, $28.98, $29.1111, $27.51
11/30/2020, $28.7, 468287, $29.08, $29.29, $27.185
11/27/2020, $28.72, 116012, $26.42, $28.74, $26.42
11/25/2020, $26.05, 223492, $25.72, $28.24, $25.5701
11/24/2020, $25.97, 358948, $27.48, $29.71, $25.83
11/23/2020, $27.26, 438100, $26.46, $29.19, $25.89
11/20/2020, $26.2, 171509, $23.78, $26.713, $23.78
11/19/2020, $24.15, 126477, $24.15, $25.4, $23.2067
11/18/2020, $24.27, 226282, $22.82, $24.99, $22.8
11/17/2020, $22.78, 254053, $23.74, $24.17, $22.22
11/16/2020, $23.45, 242216, $25.23, $25.5, $22.82
11/13/2020, $25.05, 246362, $25, $25.6, $24.74
11/12/2020, $24.89, 186192, $24.76, $25.01, $24.38
11/11/2020, $24.78, 245090, $24, $25, $23.795
11/10/2020, $23.93, 162511, $23.92, $24.27, $23.38
11/09/2020, $23.7, 239752, $24, $24.25, $23
11/06/2020, $23.29, 138925, $22.88, $23.7, $22.2
11/05/2020, $23, 151837, $22.45, $23.1, $22.2
11/04/2020, $22.45, 114950, $21.87, $22.85, $21.87
11/03/2020, $22, 157239, $21.36, $22.19, $21.14
11/02/2020, $21.11, 136131, $22.1, $22.1, $20
10/30/2020, $21.88, 114186, $21.07, $22.09, $20.74
10/29/2020, $21.46, 123277, $21.74, $22.21, $20.01
10/28/2020, $21.92, 115109, $22, $22.24, $21.1122
10/27/2020, $22.47, 131467, $22.44, $22.77, $21.92
10/26/2020, $22.32, 145524, $21.64, $22.53, $21.13
10/23/2020, $21.97, 66741, $22, $22.41, $21.57
10/22/2020, $21.9, 182776, $21.42, $22.11, $21.03
10/21/2020, $21.07, 100261, $20.75, $21.345, $20.42
10/20/2020, $20.66, 72184, $21.4, $21.59, $20.19
10/19/2020, $21.22, 73246, $22.09, $22.25, $21.04
10/16/2020, $22.09, 216625, $20.34, $22.49, $20
10/15/2020, $20.25, 142042, $20.49, $20.49, $19.34
10/14/2020, $20.82, 99777, $22, $22, $20.65
10/13/2020, $21.77, 178035, $21.64, $22.22, $21.085
10/12/2020, $21.78, 125649, $21.34, $21.95, $20.77
10/09/2020, $21.26, 54547, $21.52, $21.52, $20.77
10/08/2020, $21.46, 104458, $21.12, $21.815, $20.878
10/07/2020, $21.54, 128466, $20, $21.94, $19.785
10/06/2020, $19.97, 160803, $19.46, $20.6, $19.46
10/05/2020, $20.27, 115911, $18.35, $20.48, $18.35
