Date, Close/Last, Volume, Open, High, Low
01/20/2021, $14.88, 61974, $14.88, $14.95, $14.8
01/19/2021, $14.87, 131720, $14.87, $14.94, $14.79
01/15/2021, $14.87, 66686, $14.95, $14.98, $14.83
01/14/2021, $14.93, 128358, $14.86, $14.94, $14.83
01/13/2021, $14.83, 99209, $14.7, $14.88, $14.6703
01/12/2021, $14.71, 58834, $14.71, $14.77, $14.66
01/11/2021, $14.69, 83187, $14.65, $14.75, $14.61
01/08/2021, $14.76, 45975, $14.71, $14.81, $14.708
01/07/2021, $14.7, 115688, $14.69, $14.817, $14.68
01/06/2021, $14.6, 142808, $14.6, $14.71, $14.551
01/05/2021, $14.61, 149233, $14.54, $14.64, $14.51
01/04/2021, $14.57, 186341, $14.66, $14.66, $14.54
12/31/2020, $14.77, 165468, $14.71, $14.7899, $14.61
12/30/2020, $14.75, 87301, $14.67, $14.8, $14.67
12/29/2020, $14.7, 98183, $14.62, $14.77, $14.6
12/28/2020, $14.58, 86479, $14.68, $14.69, $14.57
12/24/2020, $14.63, 25377, $14.57, $14.69, $14.57
12/23/2020, $14.53, 47266, $14.5, $14.64, $14.49
12/22/2020, $14.53, 95598, $14.56, $14.6, $14.51
12/21/2020, $14.54, 121170, $14.57, $14.65, $14.5
12/18/2020, $14.63, 75604, $14.55, $14.66, $14.5268
12/17/2020, $14.54, 127745, $14.62, $14.67, $14.51
12/16/2020, $14.62, 114564, $14.55, $14.659, $14.55
12/15/2020, $14.55, 91457, $14.64, $14.65, $14.53
12/14/2020, $14.58, 68419, $14.6, $14.6837, $14.58
12/11/2020, $14.59, 103779, $14.6, $14.7, $14.56
12/10/2020, $14.65, 71607, $14.61, $14.7, $14.58
12/09/2020, $14.65, 97773, $14.59, $14.69, $14.59
12/08/2020, $14.58, 97310, $14.55, $14.69, $14.55
12/07/2020, $14.58, 104280, $14.58, $14.63, $14.55
12/04/2020, $14.63, 36389, $14.6, $14.66, $14.6
12/03/2020, $14.61, 92994, $14.6, $14.6599, $14.59
12/02/2020, $14.62, 83793, $14.52, $14.65, $14.464
12/01/2020, $14.55, 71180, $14.46, $14.57, $14.4385
11/30/2020, $14.57, 110493, $14.5, $14.57, $14.49
11/27/2020, $14.49, 33335, $14.45, $14.5099, $14.43
11/25/2020, $14.46, 62783, $14.4, $14.47, $14.3731
11/24/2020, $14.37, 107420, $14.26, $14.38, $14.26
