Date, Close/Last, Volume, Open, High, Low
01/20/2021, $13.77, 19087000, $10.55, $13.83, $10.48
01/19/2021, $10.52, 948413, $10.77, $10.77, $10.4911
01/15/2021, $10.57, 1255533, $10.76, $10.763, $10.5
01/14/2021, $10.68, 1348059, $10.61, $10.82, $10.57
01/13/2021, $10.54, 1377080, $10.704, $10.81, $10.51
01/12/2021, $10.69, 895408, $10.44, $10.83, $10.43
01/11/2021, $10.44, 622314, $10.37, $10.44, $10.31
01/08/2021, $10.35, 417013, $10.34, $10.5, $10.33
01/07/2021, $10.5, 463120, $10.33, $10.5, $10.25
01/06/2021, $10.31, 266117, $10.32, $10.45, $10.31
01/05/2021, $10.4, 203041, $10.46, $10.47, $10.35
01/04/2021, $10.46, 912944, $10.52, $10.52, $10.38
12/31/2020, $10.3, 693735, $10.44, $10.44, $10.27
12/30/2020, $10.35, 226345, $10.43, $10.43, $10.3
12/29/2020, $10.35, 777478, $10.44, $10.5, $10.29
12/28/2020, $10.4, 1127686, $10.39, $10.45, $10.25
12/24/2020, $10.27, 661694, $10.49, $10.6532, $10.2
12/23/2020, $10.27, 595017, $10.26, $10.34, $10.14
12/22/2020, $10.19, 323697, $10.25, $10.6, $10.15
12/21/2020, $10.16, 184356, $10.15, $10.2, $10.13
12/18/2020, $10.15, 132147, $10.12, $10.2, $10.1
12/17/2020, $10.1, 208796, $10.09, $10.12, $10.04
12/16/2020, $10.06, 124054, $10.08, $10.09, $9.98
12/15/2020, $10.03, 220025, $10.05, $10.09, $10.01
12/14/2020, $10.03, 395182, $10.16, $10.17, $10
12/11/2020, $10.03, 996284, $10.01, $10.19, $9.96
12/10/2020, $9.9, 1174576, $9.97, $9.985, $9.86
12/09/2020, $9.93, 240499, $10.05, $10.1, $9.9
12/08/2020, $10.02, 240659, $10.08, $10.08, $9.92
12/07/2020, $10.03, 93141, $9.9999, $10.0831, $9.92
12/04/2020, $9.91, 195834, $9.85, $9.99, $9.82
12/03/2020, $9.91, 50026, $9.85, $9.94, $9.81
12/02/2020, $9.9, 75612, $9.83, $9.9, $9.81
12/01/2020, $9.86, 2463509, $9.83, $9.86, $9.76
11/30/2020, $9.82, 44573, $9.82, $9.87, $9.76
11/27/2020, $9.8, 115716, $9.73, $9.83, $9.73
11/25/2020, $9.74, 53228, $9.7, $9.76, $9.7
11/24/2020, $9.74, 314884, $9.71, $9.74, $9.68
11/23/2020, $9.7, 152187, $9.68, $9.75, $9.68
11/20/2020, $9.7, 102361, $9.75, $9.75, $9.65
11/19/2020, $9.7, 66266, $9.688, $9.73, $9.65
11/18/2020, $9.7, 1130204, $9.694, $9.7, $9.65
11/17/2020, $9.69, 8627, $9.69, $9.7, $9.69
11/16/2020, $9.71, 333024, $9.65, $9.71, $9.64
11/13/2020, $9.68, 954, $9.67, $9.68, $9.67
11/12/2020, $9.69, 14699, $9.65, $9.69, $9.65
11/11/2020, $9.665, 127052, $9.68, $9.68, $9.665
11/10/2020, $9.69, 338924, $9.72, $9.72, $9.68
11/09/2020, $9.67, 15162, $9.74, $9.74, $9.67
11/06/2020, $9.6501, 6127, $9.7, $9.7, $9.6501
11/05/2020, $9.66, 26364, $9.65, $9.675, $9.65
11/04/2020, $9.65, 31139, $9.64, $9.65, $9.63
11/03/2020, $9.63, 129679, $9.65, $9.66, $9.63
11/02/2020, $9.635, 266250, $9.62, $9.6874, $9.62
10/30/2020, $9.6, 310811, $9.62, $9.64, $9.6
10/29/2020, $9.62, 542407, $9.62, $9.65, $9.615
10/28/2020, $9.6, 9110, $9.65, $9.68, $9.6
10/27/2020, $9.65, 12108, $9.68, $9.6975, $9.65
10/26/2020, $9.65, 8974, $9.725, $9.7733, $9.65
10/23/2020, $9.65, 14771, $9.677, $9.7, $9.65
10/22/2020, $9.64, 78464, $9.65, $9.65, $9.63
10/21/2020, $9.65, 86114, $9.68, $9.7, $9.65
10/20/2020, $9.8, 2324, $9.69, $10.17, $9.67
10/19/2020, $9.69, 2889, $9.7, $10.5469, $9.69
10/16/2020, $9.68, 1151432, $9.7, $9.7, $9.635
