Date, Close/Last, Volume, Open, High, Low
01/20/2021, $17.3, 11422, $17.15, $17.5058, $17.05
01/19/2021, $17, 19995, $17.22, $17.59, $17
01/15/2021, $17.07, 11646, $17, $17.41, $17
01/14/2021, $17, 12603, $17.6, $17.6, $17
01/13/2021, $17.04, 30136, $17.68, $17.745, $17.04
01/12/2021, $17.92, 12713, $17.91, $18.1798, $17.84
01/11/2021, $17.8, 32234, $18.5, $18.5651, $17.7638
01/08/2021, $18.55, 25840, $17.92, $18.58, $17.815
01/07/2021, $17.88, 27028, $18.95, $18.9699, $17.88
01/06/2021, $18.87, 42942, $18.41, $19.4303, $18.41
01/05/2021, $18.14, 24206, $18.07, $18.6126, $17.88
01/04/2021, $18.09, 71222, $18, $18.99, $17.91
12/31/2020, $17.74, 34967, $18.1, $18.41, $17.69
12/30/2020, $18.1, 38318, $19, $19.19, $18.01
12/29/2020, $18.77, 43763, $18.3, $18.79, $18.08
12/28/2020, $18.18, 29255, $18.31, $18.4, $17.95
12/24/2020, $17.99, 6189, $18.65, $18.69, $17.93
12/23/2020, $18.52, 68432, $17.87, $18.95, $17.7411
12/22/2020, $17.46, 113349, $16.82, $17.67, $16.3708
12/21/2020, $16.96, 67060, $17.08, $17.08, $16.23
12/18/2020, $17.25, 110225, $16.52, $17.25, $16.38
12/17/2020, $16.44, 61309, $15.77, $16.67, $15.77
12/16/2020, $15.8, 53502, $15.72, $15.88, $15.62
12/15/2020, $15.65, 38298, $15.2, $15.73, $14.77
12/14/2020, $15, 20462, $15.25, $15.25, $14.64
12/11/2020, $15.26, 26766, $15.21, $15.4, $15.0301
12/10/2020, $15.24, 24804, $15.13, $15.33, $14.8
12/09/2020, $15.2, 28892, $15.09, $15.33, $14.62
12/08/2020, $15.1, 30869, $14.58, $15.11, $14.36
12/07/2020, $14.74, 46495, $14.9, $14.99, $14.295
12/04/2020, $14.93, 21238, $15.01, $15.01, $14.49
12/03/2020, $15.01, 67891, $14.7, $15.42, $14.7
12/02/2020, $15.6, 76282, $14.71, $15.73, $14.71
12/01/2020, $14.85, 37468, $14.5, $15.01, $14.03
11/30/2020, $14.28, 46358, $14.14, $14.4571, $14.14
11/27/2020, $14.21, 28936, $14, $14.48, $13.87
11/25/2020, $13.92, 36210, $14.3, $14.34, $13.77
11/24/2020, $13.71, 42948, $13.55, $14.92, $13.55
11/23/2020, $13.14, 7690, $13.44, $13.5, $13.12
11/20/2020, $13.23, 7175, $13.35, $13.87, $13.19
11/19/2020, $13.66, 8499, $12.93, $13.66, $12.88
11/18/2020, $12.9, 11908, $13.42, $13.46, $12.89
11/17/2020, $13.25, 9730, $13.19, $13.68, $13.19
11/16/2020, $13.3, 12954, $13.67, $13.7, $13.09
11/13/2020, $13.32, 7410, $13.17, $13.7, $13.14
11/12/2020, $12.86, 10031, $13.58, $13.635, $12.74
11/11/2020, $13.7, 8203, $13.4, $13.75, $13.3
11/10/2020, $13.39, 15455, $13.7, $13.7, $12.88
11/09/2020, $12.8, 17551, $13.27, $13.33, $12.8
11/06/2020, $12.44, 11011, $12.8, $12.8775, $12.37
11/05/2020, $12.8, 13752, $12.79, $13.1124, $12.71
11/04/2020, $12.79, 20892, $12.55, $13.14, $11.84
11/03/2020, $12.73, 16290, $12.89, $14.22, $12.73
11/02/2020, $12.7, 8940, $12.53, $12.72, $12.53
10/30/2020, $12.3, 11381, $12.55, $13.03, $12.28
10/29/2020, $12.41, 11743, $12.35, $12.96, $12.35
10/28/2020, $12.32, 29982, $12.24, $12.505, $11.77
10/27/2020, $12.44, 8015, $12.45, $12.88, $12.44
10/26/2020, $12.46, 10441, $12.62, $12.95, $12.4
10/23/2020, $12.63, 14635, $13.02, $13.15, $12.63
10/22/2020, $12.79, 11028, $12.8, $13.14, $12.79
10/21/2020, $12.63, 8238, $12.65, $13.1, $12.63
10/20/2020, $12.56, 23064, $12.38, $12.89, $12.38
10/19/2020, $12.17, 4799, $12.45, $12.6, $12.17
10/16/2020, $12.49, 41053, $12.18, $12.75, $12.18
