Date, Close/Last, Volume, Open, High, Low
01/20/2021, $154.03, 1068737, $153.24, $154.4, $152.41
01/19/2021, $153.13, 1438998, $154.38, $155.36, $153.06
01/15/2021, $153.17, 1822126, $153.57, $154.21, $151.88
01/14/2021, $154.09, 1557031, $152.5, $155.38, $151.91
01/13/2021, $152.63, 1186793, $152.89, $153.4377, $151.33
01/12/2021, $153.5, 1531603, $151.78, $154.94, $151.75
01/11/2021, $151.78, 1431331, $150.25, $152.24, $149.41
01/08/2021, $150.77, 2245984, $150.42, $152.62, $148.605
01/07/2021, $151.72, 1340491, $150.02, $152.24, $148.76
01/06/2021, $149.74, 1845285, $145.25, $150.64, $145.25
01/05/2021, $146.01, 1184444, $146.2, $146.71, $144.5
01/04/2021, $145.94, 1426585, $149.26, $149.26, $144.81
12/31/2020, $148.82, 1753145, $148.13, $148.91, $147.35
12/30/2020, $148.3, 995857, $147.49, $149.41, $147.475
12/29/2020, $147.55, 1105515, $149.78, $149.78, $146.39
12/28/2020, $148.72, 777878, $149.2, $150.49, $148.36
12/24/2020, $149.01, 447419, $148.34, $149.15, $147.6
12/23/2020, $148.15, 1114087, $147.36, $149.4, $147
12/22/2020, $146.5, 1605386, $149.62, $149.67, $146.29
12/21/2020, $149.67, 1980367, $150.01, $150.91, $147.32
12/18/2020, $152.67, 2447559, $151.28, $153.77, $151.018
12/17/2020, $151.59, 951251, $153.85, $154.12, $151.53
12/16/2020, $153.4, 1373400, $154.9, $155.3, $152.63
12/15/2020, $154.6, 1258364, $153.64, $155.39, $152.06
12/14/2020, $153.34, 1757728, $152.86, $155.09, $152.73
12/11/2020, $151.33, 2444661, $149.8, $151.92, $148.78
12/10/2020, $150.37, 2042456, $152.57, $153.59, $150.08
12/09/2020, $154.14, 1204031, $153.7, $154.79, $152.92
12/08/2020, $153.57, 958668, $152.3, $154.3, $152.12
12/07/2020, $153, 1032966, $154.95, $155.63, $152.5
12/04/2020, $156.04, 1065033, $153.92, $156.1399, $153.92
12/03/2020, $153.88, 1081817, $153.35, $155.22, $152.94
12/02/2020, $153.35, 1123049, $150.87, $153.62, $150.121
12/01/2020, $151.76, 1302686, $151.04, $154.29, $150.7
11/30/2020, $149.35, 1572287, $151.01, $152.1693, $148.65
11/27/2020, $152.06, 628950, $151.62, $153.03, $151.2737
11/25/2020, $152.04, 845003, $153.85, $153.85, $151.545
