Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.9, 95284, $14.98, $15.01, $14.89
03/23/2021, $14.93, 80406, $14.97, $14.9899, $14.92
03/22/2021, $14.97, 70748, $14.93, $14.9996, $14.93
03/19/2021, $14.93, 258639, $14.87, $14.94, $14.86
03/18/2021, $14.83, 183311, $14.86, $14.96, $14.79
03/17/2021, $14.9, 129247, $14.86, $14.9, $14.81
03/16/2021, $14.89, 99310, $14.91, $14.945, $14.8899
03/15/2021, $14.9, 75416, $14.9, $14.9, $14.86
03/12/2021, $14.89, 87928, $14.86, $14.92, $14.83
03/11/2021, $14.92, 275490, $14.86, $15.02, $14.86
03/10/2021, $14.93, 93116, $14.92, $14.95, $14.85
03/09/2021, $14.85, 102478, $14.88, $14.9, $14.85
03/08/2021, $14.81, 129182, $14.92, $14.95, $14.81
03/05/2021, $14.9, 131464, $14.88, $14.92, $14.68
03/04/2021, $14.82, 112957, $14.86, $14.94, $14.76
03/03/2021, $14.86, 207760, $14.95, $14.95, $14.85
03/02/2021, $14.94, 90295, $14.93, $14.96, $14.9
03/01/2021, $14.96, 102589, $14.78, $14.96, $14.78
02/26/2021, $14.76, 130149, $14.7, $14.82, $14.69
02/25/2021, $14.63, 126211, $14.91, $14.95, $14.6
02/24/2021, $14.9, 129709, $14.8, $14.91, $14.73
02/23/2021, $14.8, 106456, $14.83, $14.86, $14.69
02/22/2021, $14.83, 81014, $14.75, $14.845, $14.75
02/19/2021, $14.82, 72705, $14.86, $14.92, $14.81
02/18/2021, $14.82, 56480, $14.79, $14.84, $14.76
02/17/2021, $14.8, 122129, $14.83, $14.83, $14.5
02/16/2021, $14.83, 100907, $14.88, $14.89, $14.7985
02/12/2021, $14.87, 83743, $14.85, $14.9, $14.81
02/11/2021, $14.85, 101317, $14.88, $14.92, $14.8
02/10/2021, $14.93, 97678, $14.9, $14.97, $14.8999
02/09/2021, $14.9, 89934, $14.81, $14.9, $14.79
02/08/2021, $14.81, 96892, $14.74, $14.82, $14.73
02/05/2021, $14.73, 182861, $14.7, $14.73, $14.7
02/04/2021, $14.67, 123288, $14.62, $14.69, $14.615
02/03/2021, $14.62, 69942, $14.59, $14.62, $14.58
02/02/2021, $14.57, 74874, $14.53, $14.59, $14.53
02/01/2021, $14.47, 103973, $14.53, $14.5499, $14.46
01/29/2021, $14.47, 184495, $14.45, $14.505, $14.43
01/28/2021, $14.55, 102603, $14.52, $14.5889, $14.5
01/27/2021, $14.5, 150316, $14.53, $14.57, $14.47
01/26/2021, $14.53, 71155, $14.55, $14.57, $14.53
01/25/2021, $14.52, 115873, $14.58, $14.59, $14.475
01/22/2021, $14.56, 75603, $14.57, $14.6, $14.53
01/21/2021, $14.56, 85341, $14.59, $14.62, $14.55
01/20/2021, $14.54, 83843, $14.5, $14.61, $14.5
01/19/2021, $14.47, 89367, $14.46, $14.4999, $14.44
01/15/2021, $14.41, 84161, $14.53, $14.57, $14.4
01/14/2021, $14.49, 216382, $14.51, $14.6, $14.47
01/13/2021, $14.51, 112630, $14.45, $14.51, $14.4
01/12/2021, $14.44, 97281, $14.33, $14.45, $14.26
