Date, Close/Last, Volume, Open, High, Low
03/24/2021, $96.65, 391629, $96.95, $98.25, $96.61
03/23/2021, $96.25, 494968, $97.27, $98.32, $95.77
03/22/2021, $98.17, 392180, $98.21, $98.845, $97.435
03/19/2021, $98.96, 985340, $99.19, $100.02, $97.88
03/18/2021, $100.04, 443188, $101.75, $102.245, $99.89
03/17/2021, $100.51, 317384, $100.55, $101.39, $99.49
03/16/2021, $99.63, 264622, $100.29, $100.89, $98.9
03/15/2021, $101.18, 254914, $101.15, $101.19, $99.635
03/12/2021, $101.39, 414457, $101.31, $101.53, $100.07
03/11/2021, $99.85, 340545, $99.15, $101.02, $99.15
03/10/2021, $101.14, 418592, $98.9, $101.8, $98.9
03/09/2021, $99.05, 507890, $98.66, $100.795, $97.565
03/08/2021, $99.47, 491816, $98.43, $101.5799, $98.2594
03/05/2021, $97.32, 423496, $95.44, $97.84, $94.17
03/04/2021, $94.51, 410173, $96, $96.43, $93.55
03/03/2021, $96.32, 358814, $96.22, $97.75, $96.05
03/02/2021, $96.06, 392423, $95.04, $96.73, $94.93
03/01/2021, $95.12, 501257, $95.07, $96.595, $94.93
02/26/2021, $93.4, 700814, $95.82, $96, $93.3
02/25/2021, $96.23, 400715, $99.1, $99.2606, $95.43
02/24/2021, $98.32, 372411, $96.14, $98.99, $96.14
02/23/2021, $96.17, 666735, $97.26, $97.44, $95.37
02/22/2021, $96.54, 531802, $94.97, $97.22, $94.97
02/19/2021, $95.3, 603845, $94.05, $95.71, $93.275
02/18/2021, $93.58, 762723, $94.12, $94.435, $93.03
02/17/2021, $94.68, 481144, $93.57, $94.85, $93.085
02/16/2021, $93.78, 693846, $94.1, $94.905, $93.7
02/12/2021, $94.02, 306455, $92.85, $94.055, $92.85
02/11/2021, $92.71, 377839, $92.26, $93.23, $92.0415
02/10/2021, $92.36, 464341, $93.14, $93.19, $91.82
02/09/2021, $92.75, 414994, $93.59, $93.79, $92.66
02/08/2021, $94.1, 461264, $93.53, $94.46, $93.4
02/05/2021, $93.66, 379246, $93.4, $93.81, $91.95
02/04/2021, $93.03, 407500, $90.93, $94.045, $90.93
02/03/2021, $90.84, 648958, $92.4, $94.33, $89.77
02/02/2021, $92.58, 501900, $92.5, $93.5, $91.27
02/01/2021, $91.33, 632102, $91.1, $91.59, $89.58
01/29/2021, $90.39, 547181, $92.01, $92.21, $89.84
01/28/2021, $92.76, 475474, $91.33, $94.335, $90.95
01/27/2021, $90.2, 489546, $91.56, $92.36, $90.07
01/26/2021, $93.11, 382869, $93.85, $94.16, $93.09
01/25/2021, $93.5, 455429, $93.32, $94.45, $92.35
01/22/2021, $94.34, 592073, $94.48, $95.03, $94.01
01/21/2021, $95.71, 375125, $96.23, $96.605, $95.56
01/20/2021, $96.52, 351959, $96.74, $96.98, $95.96
01/19/2021, $96.88, 409008, $96.42, $97.74, $96.14
01/15/2021, $96.08, 365688, $95.57, $96.4, $95.0924
01/14/2021, $96.58, 357525, $96.48, $97.23, $96
01/13/2021, $95.91, 389536, $95.44, $96.24, $95.11
01/12/2021, $95.65, 392255, $95.42, $96.58, $95.12
01/11/2021, $95.36, 341606, $95.27, $96.38, $94.85
01/08/2021, $96.44, 297267, $97.14, $97.38, $95.38
01/07/2021, $96.97, 457138, $98.07, $98.82, $96.92
01/06/2021, $97.47, 624690, $94.36, $97.79, $93.85
01/05/2021, $92.33, 289094, $92.12, $93.22, $91.88
01/04/2021, $92.4, 390696, $95.36, $95.6, $92.04
12/31/2020, $94.96, 250848, $93.08, $95.12, $92.695
12/30/2020, $93.21, 399992, $92.65, $93.84, $92.65
12/29/2020, $92.16, 514751, $93.72, $93.77, $92.08
12/28/2020, $93.29, 345523, $93.44, $94.66, $92.93
12/24/2020, $92.87, 76085, $93.3, $93.56, $91.88
12/23/2020, $92.9, 554256, $92.11, $93.63, $92.11
12/22/2020, $91.75, 477805, $92.23, $92.93, $91.59
12/21/2020, $92.25, 471704, $93.31, $93.31, $89.92
12/18/2020, $92.81, 1211647, $93.37, $94.06, $92.08
12/17/2020, $93.43, 337911, $93.56, $93.64, $92.64
12/16/2020, $93.53, 315612, $94.13, $94.53, $92.95
12/15/2020, $93.71, 411822, $92.84, $93.88, $92.1
12/14/2020, $91.77, 426554, $95.07, $95.07, $91.77
12/11/2020, $93.7, 332176, $93.77, $95.16, $93.49
12/10/2020, $94.88, 395074, $93.58, $95.15, $93.58
12/09/2020, $94.36, 340974, $95.17, $95.25, $93.82
12/08/2020, $94.55, 426363, $93.71, $94.75, $93.71
12/07/2020, $94.88, 294777, $95.77, $96.02, $94.56
12/04/2020, $96.46, 370396, $95.73, $97.17, $95.66
12/03/2020, $94.95, 323238, $94.7, $95.73, $94.57
12/02/2020, $95.13, 267992, $94.25, $95.339, $94.105
12/01/2020, $94.44, 477779, $94.93, $95.545, $93.8554
11/30/2020, $93.1, 1550246, $95.25, $95.78, $92.93
11/27/2020, $96.02, 194139, $96.17, $97.45, $95.84
11/25/2020, $96.65, 308926, $96.6, $96.945, $95.34
11/24/2020, $97.52, 504204, $96.31, $97.6, $95.385
11/23/2020, $94.63, 412975, $94.48, $95.06, $93.71
11/20/2020, $93.29, 373757, $92.98, $93.73, $92.54
11/19/2020, $93.35, 399408, $91.75, $93.61, $91.2025
11/18/2020, $92.46, 381893, $93.89, $95.21, $92.38
11/17/2020, $93.79, 334517, $92.99, $94.22, $92.245
11/16/2020, $94.26, 369573, $94.57, $94.97, $92.93
11/13/2020, $92.04, 331044, $90.44, $92.57, $90.36
11/12/2020, $89.35, 342579, $91.03, $91.395, $88.57
11/11/2020, $91.99, 340135, $93.18, $93.18, $90.77
11/10/2020, $92.77, 388510, $91.83, $93.4, $91.44
11/09/2020, $91.47, 744886, $93.01, $93.59, $90.0307
11/06/2020, $84.7, 283386, $86.72, $87.35, $84.23
11/05/2020, $86.3, 326894, $84.27, $86.75, $84.27
11/04/2020, $83.75, 361947, $83.01, $86.36, $82.25
11/03/2020, $85.15, 478698, $84.86, $86.335, $84.27
11/02/2020, $83.25, 379683, $82.53, $83.74, $81.655
10/30/2020, $81.09, 731635, $79.58, $81.63, $79.35
10/29/2020, $79.77, 484095, $78.48, $80.47, $77.71
10/28/2020, $78.79, 513120, $79.81, $80.62, $78.62
10/27/2020, $81.35, 414926, $83.36, $83.94, $81.26
10/26/2020, $83.83, 471957, $85, $85, $83.475
