Date, Close/Last, Volume, Open, High, Low
03/24/2021, $5.8, 1018782, $5.79, $5.8, $5.78
03/23/2021, $5.8, 926460, $5.77, $5.8, $5.77
03/22/2021, $5.8, 740455, $5.78, $5.8, $5.77
03/19/2021, $5.8, 1177486, $5.77, $5.8, $5.77
03/18/2021, $5.77, 1289667, $5.78, $5.8, $5.77
03/17/2021, $5.79, 1104937, $5.77, $5.8, $5.77
03/16/2021, $5.76, 1263152, $5.77, $5.8, $5.75
03/15/2021, $5.78, 967872, $5.77, $5.8, $5.7601
03/12/2021, $5.77, 943605, $5.75, $5.79, $5.74
03/11/2021, $5.75, 2371695, $5.75, $5.77, $5.735
03/10/2021, $5.75, 2852086, $5.74, $5.76, $5.73
03/09/2021, $5.73, 3298498, $5.76, $5.765, $5.72
03/08/2021, $5.75, 2560751, $5.8, $5.81, $5.75
03/05/2021, $5.84, 4030127, $5.75, $5.845, $5.7413
03/04/2021, $5.78, 3404432, $5.76, $5.79, $5.7301
03/03/2021, $5.76, 2144740, $5.8, $5.82, $5.75
03/02/2021, $5.81, 1722420, $5.82, $5.85, $5.81
03/01/2021, $5.81, 2499397, $5.81, $5.89, $5.8
02/26/2021, $5.89, 4238056, $5.79, $5.89, $5.79
02/25/2021, $5.81, 3946605, $5.82, $5.85, $5.79
02/24/2021, $5.84, 4581858, $5.83, $5.86, $5.79
02/23/2021, $5.84, 8209244, $5.81, $5.925, $5.77
02/22/2021, $5.9, 19785440, $5.82, $5.97, $5.76
02/19/2021, $4.95, 1097440, $4.9, $5.1689, $4.9
02/18/2021, $4.8, 1202432, $5.04, $5.1, $4.76
02/17/2021, $5.15, 1180676, $5.18, $5.18, $4.855
02/16/2021, $5.06, 1860322, $5.15, $5.445, $4.93
02/12/2021, $4.93, 1624971, $4.58, $4.99, $4.49
02/11/2021, $4.6, 982458, $4.6, $4.62, $4.38
02/10/2021, $4.6, 1282557, $4.8, $4.83, $4.5
02/09/2021, $4.75, 2159711, $4.77, $4.78, $4.25
02/08/2021, $4.77, 749725, $4.62, $4.89, $4.62
02/05/2021, $4.54, 635446, $4.5, $4.68, $4.5
02/04/2021, $4.5, 928009, $4.55, $4.63, $4.28
02/03/2021, $4.54, 916270, $4.5, $4.6, $4.39
02/02/2021, $4.44, 1892787, $4.38, $4.69, $4.06
02/01/2021, $4.29, 1260598, $4.21, $4.35, $4.05
01/29/2021, $4.1, 2199254, $3.92, $4.365, $3.88
01/28/2021, $3.89, 1464374, $3.8, $3.98, $3.7501
01/27/2021, $3.78, 4576843, $4.03, $4.235, $3.6606
01/26/2021, $4.18, 1768444, $4.51, $4.53, $4.16
01/25/2021, $4.55, 1931282, $4.65, $4.7, $4.23
01/22/2021, $4.7, 1517635, $4.4, $4.78, $4.33
01/21/2021, $4.55, 1948986, $4.81, $4.92, $4.46
01/20/2021, $4.75, 4109252, $5.71, $5.79, $4.5945
01/19/2021, $5.67, 1359800, $6, $6.01, $5.43
01/15/2021, $5.87, 1858116, $6.07, $6.5, $5.81
01/14/2021, $5.9, 2670891, $5.14, $5.98, $5.1
01/13/2021, $5.1, 2436550, $5.61, $5.87, $5.05
01/12/2021, $5.41, 2231608, $5.16, $5.6, $5.05
