Date, Close/Last, Volume, Open, High, Low
03/24/2021, $31.7, 895751, $32.05, $35.9, $30.74
03/23/2021, $30.74, 441135, $30.83, $32.4499, $29.71
03/22/2021, $30.74, 259998, $30.06, $30.9, $29.3501
03/19/2021, $30, 242290, $28.55, $30, $28.1
03/18/2021, $29.1, 296947, $29, $30.18, $28.27
03/17/2021, $29.4, 262013, $28.06, $29.41, $27.72
03/16/2021, $28.7, 303320, $29.05, $30.2, $28.0303
03/15/2021, $28.6, 205742, $28.46, $29.685, $27.8717
03/12/2021, $29.12, 611022, $27.5, $30.95, $27.4
03/11/2021, $27.3, 831494, $28.5, $30.29, $27.2
03/10/2021, $29.77, 554818, $31.82, $32.44, $28.6
03/09/2021, $32.69, 2104243, $41.6, $41.7999, $29.35
03/08/2021, $37.2, 7232325, $23.01, $52.98, $22.6
03/05/2021, $23, 241536, $23.07, $23.4, $19.5201
03/04/2021, $22.37, 321511, $26.83, $26.995, $21.47
03/03/2021, $27.01, 204178, $30.71, $31.5748, $27.01
03/02/2021, $30.81, 131043, $33.88, $33.94, $30.51
03/01/2021, $33.68, 86136, $32.1, $33.68, $31.62
02/26/2021, $31.33, 178712, $32.42, $32.88, $30.11
02/25/2021, $32.63, 194704, $34.5, $35.81, $32.14
02/24/2021, $33.68, 103679, $33.11, $33.9527, $32.25
02/23/2021, $33.06, 238823, $34.6, $34.6, $31.291
02/22/2021, $35.33, 159899, $37.27, $37.5762, $35.31
02/19/2021, $36, 198995, $37.91, $38.49, $35.77
02/18/2021, $37.9, 118364, $38.02, $38.81, $37.06
02/17/2021, $38.68, 106778, $37.79, $38.87, $37.25
02/16/2021, $37.66, 162341, $39.1, $39.93, $37.62
02/12/2021, $39.04, 311701, $39.93, $41.5, $38.5
02/11/2021, $39.98, 404761, $37, $39.99, $36.29
02/10/2021, $36.72, 213536, $38.4, $38.74, $36.4
02/09/2021, $38.82, 298545, $38.46, $39.68, $37.286
02/08/2021, $37.8, 323244, $37.98, $38.2997, $36.75
02/05/2021, $37.99, 191431, $38.68, $39.45, $37.5201
02/04/2021, $38.07, 298145, $41.4, $41.9662, $37.1
02/03/2021, $39.63, 806993, $37.69, $43.7013, $37.2378
02/02/2021, $36.44, 304444, $36.54, $39.5, $35.5
02/01/2021, $35.92, 201249, $37.48, $38.28, $35.6
01/29/2021, $37.5, 421787, $34.54, $38.9599, $34.2
01/28/2021, $34.2, 228354, $34.25, $35.55, $33.5
01/27/2021, $34.19, 343061, $36.6488, $36.95, $33.3946
01/26/2021, $36.54, 470399, $36.25, $41.77, $35.6805
01/25/2021, $36.16, 151795, $36.41, $36.55, $35
01/22/2021, $36.5, 175027, $36.69, $37.55, $35.54
01/21/2021, $36.7, 98489, $37.66, $37.66, $36
01/20/2021, $37.3, 172932, $37.55, $38.39, $36.36
01/19/2021, $37.27, 259257, $37.93, $40.1, $37.02
01/15/2021, $37.45, 694863, $35.93, $43, $35.5113
01/14/2021, $35.9, 156538, $35.75, $36.7, $35.2515
01/13/2021, $35.75, 121371, $36.35, $36.4, $35.11
01/12/2021, $36.13, 175829, $36, $36.7325, $35.1
01/11/2021, $35.71, 186803, $36.6, $36.9399, $35.14
01/08/2021, $37, 227331, $38.24, $38.9976, $36.19
01/07/2021, $38.09, 1144733, $34.8, $45.45, $34.1
01/06/2021, $34.45, 205185, $35, $35.5, $33.8
01/05/2021, $35, 132944, $34.65, $35.4496, $33.95
01/04/2021, $34.93, 167595, $36.23, $36.885, $34.33
12/31/2020, $36.47, 389105, $35.35, $38.5, $33.22
12/30/2020, $35.1, 381401, $35.09, $39.48, $35
12/29/2020, $35, 272830, $36.69, $37.0923, $35
12/28/2020, $37.4, 365812, $40, $40, $36.78
12/24/2020, $39.28, 263518, $41.95, $41.9955, $39.05
12/23/2020, $40.07, 1256304, $38.07, $44.98, $37.1015
12/22/2020, $37.85, 895409, $38.55, $41.19, $36.21
12/21/2020, $36.75, 1324556, $36.6, $41.5, $34.4
12/18/2020, $38.22, 1625280, $40, $41.7699, $37.02
12/17/2020, $44.52, 774483, $46.68, $49.04, $43.37
12/16/2020, $48.69, 715702, $46.27, $52.6609, $45.33
