Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.75, 3085, $11.57, $11.75, $10.75
03/23/2021, $11.91, 3653, $13.95, $13.95, $11.91
03/22/2021, $13.97, 4335, $13.7, $13.97, $12.3
03/19/2021, $12.75, 4485, $12.61, $13.488, $12.54
03/18/2021, $12.03, 5827, $12.52, $14.55, $11.99
03/17/2021, $13.22, 3273, $11.58, $13.22, $11.57
03/16/2021, $12.26, 1602, $12.75, $12.9188, $12.26
03/15/2021, $12.3701, 12394, $11.51, $13.44, $11.01
03/12/2021, $11.19, 8462, $11.14, $11.47, $11.1
03/11/2021, $11.35, 4246, $12.1, $12.1, $10.93
03/10/2021, $11.08, 6394, $12.22, $12.52, $10.67
03/09/2021, $12.0499, 6253, $10.28, $13.5, $10.28
03/08/2021, $10.55, 10263, $12, $12.49, $10.22
03/05/2021, $11.35, 30847, $13.59, $13.66, $9
03/04/2021, $13.5867, 11541, $14.95, $15.71, $12.36
03/03/2021, $14.955, 3667, $17.085, $17.085, $14.835
03/02/2021, $16.22, 20986, $14.55, $17.18, $14.55
03/01/2021, $13.08, 8947, $12.54, $13.61, $12.25
02/26/2021, $12.63, 26933, $13.8, $15.55, $11.938
02/25/2021, $14.5, 38635, $13.65, $19.7599, $13.65
02/24/2021, $13.02, 18765, $13.1, $14.54, $13
02/23/2021, $12.67, 15673, $13.22, $13.22, $10
02/22/2021, $13.285, 35207, $12.25, $15.41, $12.21
02/19/2021, $12.25, 17592, $11.83, $13.5, $11.27
02/18/2021, $12.05, 9818, $12.35, $12.5, $10.9701
02/17/2021, $12.49, 12168, $10.6, $12.62, $10.01
02/16/2021, $11, 16217, $10.84, $11.1, $9.05
02/12/2021, $10.85, 23306, $11.6, $11.6, $8.07
02/11/2021, $11.7, 37932, $13.65, $13.79, $10.8
02/10/2021, $12.6, 118636, $9.95, $15, $9.91
02/09/2021, $9.06, 194718, $8.25, $12.66, $6.405
02/08/2021, $7.82, 130992, $4.75, $8.49, $4.7
02/05/2021, $4.65, 3156, $4.95, $5, $4.65
02/04/2021, $4.95, 46292, $4.76, $5.23, $4.5
02/03/2021, $4.96, 2448, $4.78, $4.99, $4.78
02/02/2021, $4.8, 7709, $4.825, $5, $4.6
02/01/2021, $4.65, 6783, $5.0331, $5.0331, $4.3502
01/29/2021, $4.61, 16174, $4.91, $4.91, $4.425
01/28/2021, $4.9101, 19524, $4.77, $5, $4.71
01/27/2021, $4.97, 13496, $5.4, $5.51, $4.51
01/26/2021, $5.15, 57469, $4.4, $5.55, $4.3037
01/25/2021, $4.445, 22994, $4.44, $4.66, $4.25
01/22/2021, $4.33, 14082, $4.37, $4.37, $4.04
01/21/2021, $4.25, 28478, $4.25, $4.43, $4
01/20/2021, $4.3501, 21405, $4, $4.5098, $4
01/19/2021, $4.184, 56319, $3.45, $4.2, $3.35
01/15/2021, $3.34, 7125, $3.48, $3.64, $3.3
01/14/2021, $3.46, 24705, $3.32, $3.5, $3.32
01/13/2021, $3.31, 9980, $3.68, $3.68, $3.31
01/12/2021, $3.45, 11933, $3.51, $3.69, $3.25
01/11/2021, $3.6301, 24989, $3.6899, $3.6899, $3.5001
01/08/2021, $3.39, 3148, $3.75, $3.75, $3.37
01/07/2021, $3.72, 55863, $3.6, $3.72, $3.42
01/06/2021, $3.35, 11880, $3.36, $3.5, $3.302
01/05/2021, $3.26, 5239, $3.4999, $3.4999, $3.2
01/04/2021, $3.48, 16267, $3.14, $3.5, $3.12
12/31/2020, $3.05, 16603, $3.3001, $3.35, $3.05
12/30/2020, $3.3725, 16304, $3.45, $3.5, $3.35
12/29/2020, $3.48, 13365, $3.7, $3.7007, $3.4
12/28/2020, $3.75, 33674, $3.75, $3.75, $3.55
12/24/2020, $3.54, 3369, $3.36, $3.6, $3.36
12/23/2020, $3.73, 14213, $3.525, $3.75, $3.49
12/22/2020, $3.39, 3880, $3.5, $3.5, $3.3
12/21/2020, $3.5, 27444, $3.44, $3.8, $3.1
12/18/2020, $3.3, 21647, $3.19, $3.48, $3.1502
12/17/2020, $3.09, 8763, $3.25, $3.25, $3.07
12/16/2020, $3.25, 43886, $3.74, $3.75, $3.15
12/15/2020, $3.55, 35429, $3.3, $3.95, $3.1601
12/14/2020, $3.14, 8556, $3.48, $3.48, $3.07
12/11/2020, $3.34, 15996, $3.6, $3.6, $3.25
12/10/2020, $3.5775, 17536, $3.63, $3.7, $3.5
12/09/2020, $3.63, 3801, $3.3, $3.635, $3.11
12/08/2020, $3.0701, 8250, $3.16, $3.2476, $3.07
12/07/2020, $3.0701, 18795, $3.8, $3.8, $3.0701
12/04/2020, $3.55, 13810, $3.31, $3.66, $3.22
12/03/2020, $3.3, 7784, $3.16, $3.3036, $3.15
12/02/2020, $3.1486, 10197, $3.115, $3.19, $3.0801
12/01/2020, $3.1, 2883, $3.1, $3.1, $3.05
