Date, Close/Last, Volume, Open, High, Low
03/24/2021, $25.93, 7242, $25.914, $25.98, $25.9016
03/23/2021, $25.87, 3925, $25.78, $25.87, $25.73
03/22/2021, $25.78, 9759, $25.92, $25.92, $25.5637
03/19/2021, $25.72, 5817, $25.4, $25.72, $25.3
03/18/2021, $25.29, 5564, $25.77, $25.77, $25.29
03/17/2021, $25.664, 7502, $25.73, $25.77, $25.6
03/16/2021, $25.77, 3098, $25.76, $25.7721, $25.7359
03/15/2021, $25.72, 6693, $25.82, $25.82, $25.5358
03/12/2021, $25.51, 2064, $25.75, $25.75, $25.51
03/11/2021, $25.7, 6777, $25.81, $25.81, $25.7
03/10/2021, $25.79, 3106, $25.82, $25.82, $25.765
03/09/2021, $25.79, 2510, $25.45, $25.79, $25.3984
03/08/2021, $25.55, 3573, $25.468, $25.55, $25.35
03/05/2021, $25.54, 4030, $25.26, $25.54, $25.25
03/04/2021, $25.19, 6296, $25.42, $25.45, $25.1885
03/03/2021, $25.5345, 4752, $25.32, $25.5345, $25.32
03/02/2021, $25.39, 4041, $25.475, $25.495, $25.37
03/01/2021, $25.525, 9881, $25.33, $25.525, $25.305
02/26/2021, $25.42, 8056, $25.67, $25.69, $25.3
02/25/2021, $25.51, 9827, $25.57, $25.57, $25.34
02/24/2021, $25.56, 16108, $25.28, $25.61, $25.28
02/23/2021, $25.313, 6620, $25.45, $25.46, $25.3
02/22/2021, $25.35, 10814, $25.34, $25.45, $25.3
02/19/2021, $25.35, 4721, $25.32, $25.3544, $25.32
02/18/2021, $25.33, 5859, $25.54, $25.54, $25.3
02/17/2021, $25.4, 8879, $25.38, $25.5531, $25.38
02/16/2021, $25.45, 18632, $25.37, $25.58, $25.3
02/12/2021, $25.23, 10576, $25.36, $25.36, $25.2
02/11/2021, $25.36, 13681, $25.41, $25.495, $25.36
02/10/2021, $25.685, 11111, $25.85, $25.85, $25.61
02/09/2021, $25.73, 4919, $25.74, $25.84, $25.71
02/08/2021, $25.69, 22199, $26.13, $26.16, $25.68
02/05/2021, $25.94, 26664, $25.65, $26.18, $25.61
02/04/2021, $25.65, 9488, $25.58, $25.81, $25.56
02/03/2021, $25.63, 7589, $25.69, $25.84, $25.63
02/02/2021, $25.74, 5180, $25.75, $26.0264, $25.69
02/01/2021, $25.64, 10139, $25.71, $25.94, $25.59
01/29/2021, $25.71, 24509, $25.79, $25.85, $25.51
01/28/2021, $25.69, 5123, $25.65, $25.69, $25.57
01/27/2021, $25.65, 18169, $25.63, $25.73, $25.56
01/26/2021, $25.71, 2816, $25.79, $25.85, $25.68
01/25/2021, $25.67, 7695, $25.95, $25.99, $25.6
01/22/2021, $25.95, 3880, $25.74, $25.95, $25.74
01/21/2021, $25.7752, 4940, $25.89, $25.9, $25.7752
01/20/2021, $25.88, 13685, $25.98, $26.15, $25.88
01/19/2021, $25.79, 4483, $25.787, $25.89, $25.61
01/15/2021, $25.65, 14070, $25.8, $26.292, $25.4801
01/14/2021, $26.01, 6821, $25.99, $26.44, $25.78
01/13/2021, $25.94, 4732, $25.62, $25.95, $25.62
01/12/2021, $25.61, 12505, $25.63, $25.7, $25.41
01/11/2021, $25.71, 10767, $25.88, $25.88, $25.68
01/08/2021, $26, 1593, $25.83, $26, $25.83
01/07/2021, $25.94, 5292, $25.98, $26.02, $25.7723
01/06/2021, $26.08, 12757, $26.2, $26.2, $25.7
01/05/2021, $26.1, 11782, $26.06, $26.16, $25.99
01/04/2021, $26.12, 6448, $26.44, $26.44, $25.98
12/31/2020, $26.52, 37148, $26.1, $26.52, $26.065
12/30/2020, $26.14, 5319, $26.06, $26.14, $25.97
12/29/2020, $26.14, 4431, $26.14, $26.14, $25.98
12/28/2020, $26.11, 3970, $26.14, $26.14, $25.88
12/24/2020, $26.08, 3902, $26.04, $26.12, $25.9141
12/23/2020, $25.94, 3304, $25.9708, $26.05, $25.9009
12/22/2020, $26.03, 4938, $26.04, $26.04, $25.83
12/21/2020, $26.01, 6089, $26.04, $26.04, $25.99
12/18/2020, $26.06, 2792, $26.03, $26.06, $26.03
12/17/2020, $26, 6168, $26.01, $26.01, $25.845
12/16/2020, $25.93, 10000, $26.01, $26.01, $25.83
12/15/2020, $26.01, 10561, $26.01, $26.01, $25.74
12/14/2020, $25.93, 6014, $25.876, $25.97, $25.85
12/11/2020, $25.72, 2953, $25.79, $25.79, $25.715
12/10/2020, $25.6515, 9901, $25.94, $25.95, $25.6515
12/09/2020, $25.95, 6021, $25.82, $25.96, $25.82
12/08/2020, $25.89, 5432, $25.85, $25.94, $25.7802
12/07/2020, $25.92, 3232, $25.795, $25.9588, $25.795
12/04/2020, $25.91, 4750, $25.95, $25.95, $25.81
12/03/2020, $25.87, 4408, $25.881, $25.97, $25.87
12/02/2020, $25.92, 44168, $25.7, $25.97, $25.66
12/01/2020, $25.69, 8186, $25.7, $25.7, $25.67
11/30/2020, $25.7, 9785, $25.72, $25.73, $25.61
11/27/2020, $25.73, 4665, $25.6002, $25.73, $25.6002
11/25/2020, $25.65, 7248, $25.64, $25.66, $25.58
11/24/2020, $25.615, 6936, $25.6, $25.63, $25.57
11/23/2020, $25.63, 9929, $25.64, $25.685, $25.62
11/20/2020, $25.62, 3844, $25.69, $25.69, $25.6
11/19/2020, $25.71, 7940, $25.73, $25.7692, $25.6729
11/18/2020, $25.75, 14206, $25.85, $25.85, $25.6
11/17/2020, $25.84, 26077, $25.82, $26.05, $25.77
11/16/2020, $25.82, 7998, $25.84, $25.84, $25.6301
11/13/2020, $25.76, 3579, $25.82, $25.82, $25.63
11/12/2020, $25.75, 7130, $25.77, $25.795, $25.68
11/11/2020, $26.05, 13112, $25.88, $26.09, $25.85
11/10/2020, $25.85, 9513, $25.88, $25.9487, $25.83
11/09/2020, $25.85, 12439, $25.96, $25.96, $25.8
11/06/2020, $25.74, 6102, $25.88, $25.88, $25.72
11/05/2020, $25.87, 12514, $25.83, $26.0246, $25.82
11/04/2020, $25.78, 7148, $25.835, $25.835, $25.7
11/03/2020, $25.6, 11671, $25.78, $25.84, $25.58
11/02/2020, $25.69, 42351, $26.11, $26.11, $25.61
10/30/2020, $26.15, 19395, $25.7105, $26.15, $25.5364
10/29/2020, $25.62, 15000, $26.05, $26.05, $25.55
10/28/2020, $25.545, 5067, $25.95, $26.1, $25.545
10/27/2020, $26.0875, 5755, $26.15, $26.15, $26.05
10/26/2020, $26.075, 3330, $26.0269, $26.13, $25.9924
10/23/2020, $26.22, 7404, $26.2, $26.3, $26.15
10/22/2020, $26.23, 6423, $25.82, $26.23, $25.58
10/21/2020, $25.83, 6389, $26.1, $26.1, $25.82
10/20/2020, $26.2, 3455, $26.3033, $26.3033, $26.1137
10/19/2020, $26.15, 5602, $26.6, $26.6, $26.14
10/16/2020, $26.68, 1968, $26.524, $26.68, $26.4867
10/15/2020, $26.5, 5639, $26.181, $26.54, $26.12
10/14/2020, $26.29, 11700, $26.88, $26.88, $26.28
10/13/2020, $26.8, 7210, $27.05, $27.1588, $26.8
10/12/2020, $27.01, 4191, $27.034, $27.05, $26.86
10/09/2020, $27.03, 2646, $26.965, $27.03, $26.965
10/08/2020, $26.98, 5491, $26.89, $26.98, $26.81
10/07/2020, $26.96, 5476, $27.062, $27.062, $26.715
10/06/2020, $26.66, 10477, $26.6, $26.91, $26.34
10/05/2020, $26.86, 4631, $26.88, $26.9175, $26.66
10/02/2020, $26.63, 7018, $26.47, $26.7397, $26.47
10/01/2020, $26.68, 13562, $26.53, $26.9018, $26.53
09/30/2020, $26.46, 34169, $26.951, $27.091, $26.46
09/29/2020, $27.18, 3693, $26.875, $27.18, $26.79
09/28/2020, $26.9, 9139, $26.84, $27, $26.8
09/25/2020, $26.73, 6132, $26.4, $26.9223, $26.4
09/24/2020, $26.4756, 12637, $26.2, $26.805, $25.26
09/23/2020, $26.75, 7320, $26.975, $27, $26.5
09/22/2020, $26.96, 12147, $27, $27.05, $26.96
09/21/2020, $27.0503, 9850, $26.99, $27.315, $26.77
09/18/2020, $27.07, 13034, $27.397, $27.6, $27.04
09/17/2020, $27.585, 10505, $27.265, $27.69, $27.265
09/16/2020, $27.33, 4710, $27.415, $27.52, $27.31
09/15/2020, $27.46, 6434, $27.46, $27.56, $27.28
09/14/2020, $27.44, 6246, $27.385, $27.53, $27.385
09/11/2020, $27.31, 3477, $27.29, $27.349, $27.16
09/10/2020, $27.345, 2912, $27.2758, $27.35, $27.2758
09/09/2020, $27.35, 9567, $27.35, $27.37, $27.22
09/08/2020, $27.27, 5508, $27.32, $27.38, $27.18
09/04/2020, $27.39, 13306, $27.35, $27.5, $27.05
09/03/2020, $27.32, 8236, $27.2098, $27.32, $27.0164
09/02/2020, $27.36, 9518, $27.21, $27.36, $26.98
09/01/2020, $27.22, 11551, $27.27, $27.39, $27.006
08/31/2020, $27.37, 12741, $27.29, $27.39, $26.86
08/28/2020, $27.34, 10064, $27.036, $27.35, $26.74
08/27/2020, $27.08, 3698, $27.09, $27.09, $26.8813
08/26/2020, $26.8, 7100, $26.33, $26.8, $26.2
08/25/2020, $26.6, 5771, $26.71, $26.71, $26.28
08/24/2020, $26.69, 6265, $26.53, $26.72, $26.53
08/21/2020, $26.48, 5111, $26.627, $26.66, $26.25
08/20/2020, $26.43, 24794, $26.8, $27.1452, $26.25
08/19/2020, $26.83, 10078, $27.3, $27.4, $26.75
08/18/2020, $27.25, 16538, $26.56, $27.25, $26.56
08/17/2020, $26.6629, 12793, $26.8, $26.9814, $26.63
08/14/2020, $26.73, 3939, $26.77, $26.77, $26.6027
08/13/2020, $26.76, 6222, $26.72, $26.96, $26.7
08/12/2020, $26.95, 15706, $27.4, $27.41, $26.61
08/11/2020, $27.42, 3361, $27.252, $27.42, $27.06
08/10/2020, $27.21, 8499, $27.465, $27.465, $26.878
08/07/2020, $27.44, 4926, $27.25, $27.45, $27.25
08/06/2020, $27.2407, 2618, $27.2, $27.25, $27.1586
08/05/2020, $27.2, 10970, $26.69, $27.214, $26.68
08/04/2020, $26.66, 9653, $26.65, $26.69, $26.31
08/03/2020, $26.59, 10097, $26.29, $26.68, $26.26
07/31/2020, $26.25, 32205, $26.4, $26.42, $26.13
07/30/2020, $26.77, 4349, $26.48, $26.77, $26.48
07/29/2020, $26.6, 11491, $26.767, $26.767, $26.21
07/28/2020, $26.68, 3604, $26.808, $26.99, $26.68
07/27/2020, $26.66, 12732, $27.15, $27.35, $26.66
07/24/2020, $27.35, 4650, $27.04, $27.35, $27.04
07/23/2020, $27.4, 8494, $27.04, $27.45, $27.04
07/22/2020, $27.27, 7743, $26.68, $27.3, $26.68
07/21/2020, $26.91, 20069, $27.32, $27.38, $26.6686
07/20/2020, $27, 3929, $26.401, $27, $26.401
07/17/2020, $26.3, 3170, $26.5, $26.5, $26.256
07/16/2020, $26.22, 4907, $26.08, $26.22, $26.08
07/15/2020, $26.09, 8582, $26.05, $26.09, $25.8875
07/14/2020, $25.8444, 6311, $25.82, $25.98, $25.8
