Date, Close/Last, Volume, Open, High, Low
01/20/2021, $14.9, 1148608, $14.9, $15.18, $14.66
01/19/2021, $14.87, 1002539, $15.15, $15.15, $14.61
01/15/2021, $15, 1169727, $14.83, $15.11, $14.2
01/14/2021, $14.82, 1135096, $15.35, $15.56, $14.77
01/13/2021, $15.22, 1028159, $14.81, $15.23, $14.81
01/12/2021, $14.81, 1464271, $15.16, $15.28, $14.7
01/11/2021, $14.81, 3086767, $15.89, $15.9997, $14.4
01/08/2021, $16, 2580710, $15.2, $16.3669, $15.0378
01/07/2021, $14.44, 701088, $14.4, $14.68, $14.19
01/06/2021, $14.19, 1106607, $14.63, $14.7485, $13.81
01/05/2021, $14.54, 917214, $14.75, $14.95, $14.26
01/04/2021, $14.69, 1987852, $14.25, $15.38, $14.13
12/31/2020, $13.66, 646145, $13.41, $13.72, $13.25
12/30/2020, $13.46, 650328, $13.32, $13.57, $12.91
12/29/2020, $13.31, 590540, $13.42, $13.7, $13.3
12/28/2020, $13.37, 1014376, $14.2769, $14.2769, $13.2
12/24/2020, $14.1, 256679, $13.87, $14.16, $13.6445
12/23/2020, $13.92, 540753, $13.66, $14.04, $13.406
12/22/2020, $13.41, 928299, $14.29, $14.36, $13.37
12/21/2020, $14.08, 713023, $14, $14.285, $13.76
12/18/2020, $14.52, 961222, $14.25, $14.58, $14.0591
12/17/2020, $14.24, 722069, $13.89, $14.38, $13.68
12/16/2020, $13.63, 829152, $14.05, $14.28, $13.39
12/15/2020, $13.79, 984366, $14.58, $14.84, $13.76
12/14/2020, $14.09, 2361594, $13.9, $15.16, $13.88
12/11/2020, $13.29, 1028728, $13.68, $13.94, $13.02
12/10/2020, $13.72, 1261610, $11.98, $13.805, $11.84
12/09/2020, $12.25, 1680783, $12.69, $12.95, $11.81
12/08/2020, $12.5, 872040, $12.07, $12.64, $11.9
12/07/2020, $12.04, 896703, $11.79, $12.42, $11.65
12/04/2020, $11.87, 1375052, $11.21, $11.89, $11.21
12/03/2020, $11.16, 1500946, $10.8, $11.23, $10.62
12/02/2020, $10.75, 1990940, $10.11, $10.77, $10.01
12/01/2020, $10.05, 1904401, $10.65, $10.73, $10.05
11/30/2020, $10.54, 1696914, $11.13, $11.1906, $10.51
11/27/2020, $11.13, 383001, $11.25, $11.29, $11.05
11/25/2020, $11.03, 558642, $11, $11.165, $10.95
11/24/2020, $10.95, 1289126, $11.2, $11.37, $10.91
11/23/2020, $11.02, 1297583, $11.65, $11.7, $11.01
11/20/2020, $11.63, 465788, $12.02, $12.16, $11.58
11/19/2020, $12.02, 465110, $11.64, $12.13, $11.56
11/18/2020, $11.78, 880098, $11.61, $11.8, $11.07
11/17/2020, $11.35, 936904, $11.09, $11.52, $10.79
11/16/2020, $11.08, 1142527, $11.95, $11.95, $10.9
11/13/2020, $11.48, 2149435, $11.18, $11.58, $10.85
11/12/2020, $11.11, 4556924, $11.85, $12.033, $10.78
11/11/2020, $13.33, 1469483, $13.1, $13.67, $13.05
11/10/2020, $13.05, 681222, $12.81, $13.07, $12.3181
11/09/2020, $12.85, 1076858, $12.59, $13.12, $12.24
11/06/2020, $12.15, 582321, $11.68, $12.44, $11.595
11/05/2020, $11.68, 404582, $11.65, $11.84, $11.38
11/04/2020, $11.59, 831453, $11.64, $12.06, $11.51
11/03/2020, $11.5, 877041, $10.52, $11.51, $10.52
11/02/2020, $10.47, 575105, $10.55, $10.68, $10.13
10/30/2020, $10.36, 981652, $10.41, $10.53, $10.02
10/29/2020, $10.43, 1472722, $10.74, $10.87, $10.11
10/28/2020, $10.67, 811111, $11.03, $11.1, $10.62
10/27/2020, $11.18, 372075, $11.49, $11.49, $11.135
10/26/2020, $11.26, 642011, $11.9, $12, $11.08
10/23/2020, $11.98, 1456588, $11.44, $12.04, $11.07
10/22/2020, $11.59, 926320, $11.32, $11.7, $11.2
10/21/2020, $11.33, 1994636, $11.75, $11.7587, $11.25
10/20/2020, $11.78, 942548, $12.13, $12.36, $11.61
10/19/2020, $12.06, 2015100, $12.09, $12.56, $11.55
10/16/2020, $12.06, 1000811, $12.35, $12.465, $12.02
10/15/2020, $12.25, 796599, $12.56, $12.56, $12.05
10/14/2020, $12.46, 592565, $12.76, $12.8, $12.46
10/13/2020, $12.66, 851649, $12.94, $13.1316, $12.5
10/12/2020, $13.01, 684749, $13.51, $13.7, $12.92
10/09/2020, $13.34, 478855, $13.85, $13.9956, $13.13
10/08/2020, $13.59, 570500, $14.11, $14.2699, $13.48
10/07/2020, $14.06, 544017, $14.15, $14.29, $13.7
10/06/2020, $14, 1262789, $15, $15.1773, $13.91
10/05/2020, $15.01, 1300810, $14.92, $15.3, $14.78
10/02/2020, $14.64, 1184810, $13.71, $14.99, $13.61
10/01/2020, $13.72, 1172304, $13.26, $13.91, $13.21
09/30/2020, $13.025, 546411, $13.37, $13.5, $12.8853
09/29/2020, $13.29, 916887, $13.48, $13.59, $13.1104
09/28/2020, $13.48, 316239, $13.93, $14.06, $13.38
09/25/2020, $13.79, 357868, $13.57, $13.97, $13.4501
09/24/2020, $13.43, 590695, $13.61, $13.99, $13.11
09/23/2020, $14.08, 885069, $14, $14.64, $13.81
09/22/2020, $13.95, 832676, $13.36, $14.06, $13.055
