Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.27, 8835, $10.31, $10.3885, $10.15
01/19/2021, $10.35, 35869, $10.45, $10.5, $10.31
01/15/2021, $10.46, 31419, $10.4, $10.46, $10.19
01/14/2021, $10.29, 17650, $10.22, $10.36, $10.209
01/13/2021, $10.47, 2566, $10.5, $10.5, $10.46
01/12/2021, $10.34, 47529, $10.5, $10.5, $10.34
01/11/2021, $10.43, 35527, $10.1298, $10.43, $10.1298
01/08/2021, $10.24, 9626, $11.0155, $11.0155, $10.23
01/07/2021, $10.28, 249, $10.28, $10.28, $10.28
01/06/2021, $10.09, 1342, $10.25, $10.27, $10.09
01/05/2021, $10.22, 5834, $10.33, $10.33, $10.21
01/04/2021, $10.08, 9611, $10.11, $10.11, $10.08
12/31/2020, $10.08, 3443, $10.09, $10.13, $10.08
12/30/2020, $10.1981, 139, $10.1981, $10.1981, $10.1981
12/29/2020, $10.275, 109, $10.275, $10.275, $10.275
12/28/2020, $10.35, 6155, $10.16, $10.675, $10.15
12/24/2020, $10.11, 2702, $10.07, $10.11, $10.05
12/23/2020, $10.19, 1036, $10.19, $10.2, $10.19
12/22/2020, $10.29, 8473, $10.15, $10.29, $10.09
12/21/2020, $10.15, 25249, $10.07, $10.15, $10.07
12/18/2020, $10.16, 501, $10.16, $10.16, $10.16
12/17/2020, $10.13, 11292, $10.13, $10.15, $10.13
12/16/2020, $10.08, N/A, $10.08, $10.08, $10.08
12/15/2020, $10.08, 54365, $10.02, $10.08, $10
12/14/2020, $10.06, 11946, $10.2899, $10.2899, $10.01
12/11/2020, $10.1416, 400, $10.2, $10.2, $10.1416
12/10/2020, $10.18, 9160, $10.05, $10.18, $10.05
12/09/2020, $10.05, 3769, $10.02, $10.07, $10.01
12/08/2020, $10.04, 2765, $10.08, $10.11, $10.01
12/07/2020, $10.16, 10920, $10.12, $10.21, $10.12
12/04/2020, $10.1, 15564, $10.03, $10.1, $9.96
12/03/2020, $9.9836, 600, $9.93, $9.9836, $9.93
12/02/2020, $10.03, 1586, $9.9703, $10.03, $9.9703
12/01/2020, $10, 1003, $9.8801, $10, $9.8801
11/30/2020, $10.02, 30618, $9.94, $10.03, $9.94
11/27/2020, $9.91, 5601, $9.88, $9.92, $9.87
11/25/2020, $9.92, 10066, $9.92, $9.93, $9.92
11/24/2020, $9.91, 504, $9.9, $9.91, $9.9
11/23/2020, $9.95, N/A, $9.95, $9.95, $9.95
11/20/2020, $9.95, 5000, $9.95, $9.95, $9.95
11/19/2020, $9.91, 710, $9.91, $9.91, $9.91
11/18/2020, $9.91, 2302, $9.92, $9.92, $9.91
11/17/2020, $9.9, N/A, $9.9, $9.9, $9.9
11/16/2020, $9.9, 1594, $9.91, $9.91, $9.9
11/13/2020, $9.91, 3001, $9.905, $9.91, $9.9
11/12/2020, $9.9, 6108, $9.87, $9.9, $9.87
11/11/2020, $9.86, 9423, $9.86, $9.86, $9.85
11/10/2020, $9.82, 5105, $9.87, $9.87, $9.7908
11/09/2020, $9.835, N/A, $9.835, $9.835, $9.835
11/06/2020, $9.835, 401, $9.835, $9.835, $9.835
11/05/2020, $9.77, 5812, $9.8, $9.82, $9.76
11/04/2020, $9.82, 13401, $9.83, $9.835, $9.82
11/03/2020, $9.83, N/A, $9.83, $9.83, $9.83
11/02/2020, $9.83, 2702, $9.84, $9.84, $9.83
10/30/2020, $9.79, 22650, $9.82, $9.82, $9.79
10/29/2020, $9.84, N/A, $9.84, $9.84, $9.84
10/28/2020, $9.84, N/A, $9.84, $9.84, $9.84
