Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.3, 36621, $11.39, $11.4124, $11.16
01/19/2021, $11.39, 124405, $11.35, $11.4619, $11.255
01/15/2021, $11.36, 19885, $11.5, $11.5, $11.29
01/14/2021, $11.46, 54196, $11.39, $11.54, $11.33
01/13/2021, $11.37, 223764, $11.3, $11.46, $11.2
01/12/2021, $11.18, 95329, $11.2, $11.2738, $11.13
01/11/2021, $11.17, 33294, $11.14, $11.2, $11.03
01/08/2021, $11.25, 210556, $12.15, $12.15, $10.98
01/07/2021, $10.98, 29025, $10.893, $11, $10.75
01/06/2021, $10.8, 14635, $10.87, $10.9842, $10.78
01/05/2021, $10.87, 133079, $10.85, $10.94, $10.8
01/04/2021, $10.82, 174680, $10.8, $10.94, $10.8
12/31/2020, $10.77, 314958, $10.85, $10.9399, $10.72
12/30/2020, $10.8, 116523, $10.9, $10.9399, $10.77
12/29/2020, $10.84, 22952, $10.9, $10.98, $10.78
12/28/2020, $10.9, 166702, $10.74, $10.96, $10.74
12/24/2020, $10.68, 186286, $10.99, $10.99, $10.37
12/23/2020, $10.79, 58008, $10.87, $10.98, $10.76
12/22/2020, $10.66, 46441, $10.96, $10.96, $10.61
12/21/2020, $10.61, 43642, $10.68, $10.71, $10.61
12/18/2020, $10.62, 7265, $10.6491, $10.6491, $10.6
12/17/2020, $10.655, 31083, $10.72, $10.72, $10.63
12/16/2020, $10.7001, 6165, $10.6814, $10.7001, $10.6814
12/15/2020, $10.66, 31016, $10.66, $10.8, $10.66
12/14/2020, $10.66, 67022, $10.99, $11, $10.66
12/11/2020, $10.63, 155600, $10.73, $10.9999, $10.6
12/10/2020, $10.49, 69069, $10.5, $10.59, $10.47
12/09/2020, $10.505, 25650, $10.5428, $10.5494, $10.48
12/08/2020, $10.49, 104598, $10.45, $10.72, $10.418
12/07/2020, $10.34, 116038, $10.5, $10.5, $10.3
12/04/2020, $10.28, 67837, $10.26, $10.39, $10.26
12/03/2020, $10.22, 52905, $10.23, $10.27, $10.22
12/02/2020, $10.23, 6606, $10.24, $10.25, $10.23
12/01/2020, $10.24, 12616, $10.25, $10.25, $10.2
11/30/2020, $10.24, 14872, $10.3, $10.3, $10.2
11/27/2020, $10.16, 33037, $10.18, $10.18, $10.15
11/25/2020, $10.1, 415605, $10.18, $10.18, $10.09
11/24/2020, $10.1, 36843, $10.18, $10.18, $10.08
11/23/2020, $10.03, 46605, $10.07, $10.1899, $10.02
11/20/2020, $10.07, 21774, $10.085, $10.09, $10.05
11/19/2020, $10.095, 10450, $10.05, $10.18, $10.035
11/18/2020, $10.03, 26270, $10.03, $10.05, $10
11/17/2020, $10, N/A, $10, $10, $10
11/16/2020, $10, 2113, $10, $10.08, $10
11/13/2020, $9.97, 254254, $10.01, $10.0213, $9.97
11/12/2020, $10.0425, 507, $10.1, $10.1, $10.01
11/11/2020, $10.05, N/A, $10.05, $10.05, $10.05
11/10/2020, $10.05, 198130, $10.145, $10.145, $10
11/09/2020, $10, 20773, $10, $10.05, $9.995
11/06/2020, $10, 1320, $9.97, $10, $9.97
11/05/2020, $10, 19875, $10, $10.02, $9.97
11/04/2020, $9.97, 17491, $10, $10, $9.97
11/03/2020, $10.02, 27718, $9.99, $10.03, $9.99
11/02/2020, $9.97, 68230, $10.08, $10.08, $9.97
10/30/2020, $10.04, 822, $10.01, $10.04, $10
10/29/2020, $10.06, 2512, $10, $10.06, $10
10/28/2020, $10.04, 4200, $10.04, $10.06, $10.01
10/27/2020, $10.05, 48000, $10.05, $10.09, $10
10/26/2020, $10.1, 13153, $10.135, $10.135, $10.04
10/23/2020, $10.1, N/A, $10.1, $10.1, $10.1
10/22/2020, $10.1, 254046, $10.1, $10.1591, $10.09
10/21/2020, $10.08, 36839, $10.08, $10.1138, $10.08
10/20/2020, $10.15, 135819, $10.125, $10.15, $10.1
10/19/2020, $10.133, 1154, $10.1463, $10.1463, $10.133
10/16/2020, $10.15, 18911, $10.11, $10.2, $10.11
10/15/2020, $10.16, 3975, $10.1, $10.25, $10.1
10/14/2020, $10.16, 301242, $10.16, $10.19, $10.15
10/13/2020, $10.19, 1982, $10.15, $10.28, $10.15
10/12/2020, $10.1426, 15415, $10.1, $10.1426, $10.09
10/09/2020, $10.146, 252109, $10.16, $10.18, $10.145
10/08/2020, $10.1685, 45825, $10.24, $10.24, $10.1685
10/07/2020, $10.16, 4420, $10.15, $10.2441, $10.15
10/06/2020, $10.15, 22622, $10.15, $10.2, $10.1
10/05/2020, $10.17, 7988, $10.25, $10.25, $10.17
10/02/2020, $10.3, 261364, $10.289, $10.33, $10.2
10/01/2020, $10.3, 127017, $10.35, $10.4, $10.25
09/30/2020, $10.35, 188087, $10.35, $10.5, $10.25
09/29/2020, $10.3, 149813, $10.23, $10.33, $10.23
09/28/2020, $10.25, 473152, $10.33, $10.33, $10.25
09/25/2020, $10.25, 26069, $10.29, $10.29, $10.25
09/24/2020, $10.285, 4860, $10.2368, $10.35, $10.2368
09/23/2020, $10.3, 592763, $10.28, $10.4, $10.275
09/22/2020, $10.2, 200612, $10.2, $10.25, $10.2
09/21/2020, $10.2, 134496, $10.28, $10.37, $10.2
09/18/2020, $10.3098, 62304, $10.24, $10.31, $10.24
09/17/2020, $10.3, 72729, $10.3, $10.31, $10.27
09/16/2020, $10.38, 52574, $10.29, $10.38, $10.21
09/15/2020, $10.25, 86385, $10.23, $10.25, $10.23
09/14/2020, $10.21, 8025, $10.2, $10.21, $10.2
09/11/2020, $10.21, 113680, $10.21, $10.21, $10.17
09/10/2020, $10.2, 255185, $10.25, $10.25, $10.1801
09/09/2020, $10.215, 233432, $10.25, $10.25, $10.2
09/08/2020, $10.25, 226555, $10.286, $10.2999, $10.185
09/04/2020, $10.159, 703, $10.2154, $10.2154, $10.159
09/03/2020, $10.2, 68005, $10.19, $10.2, $10.1
09/02/2020, $10.149, 56906, $10.09, $10.2, $10.09
09/01/2020, $10.1, 74275, $10.1989, $10.1989, $10.09
08/31/2020, $10.1619, 17007, $10.1183, $10.2, $10.09
08/28/2020, $10.19, 1206, $10.09, $10.19, $10.09
08/27/2020, $10.1501, 32487, $10.134, $10.19, $10.134
08/26/2020, $10.155, 160, $10.155, $10.155, $10.155
08/25/2020, $10.12, 150005, $10.13, $10.13, $10.1
08/24/2020, $10.1, 87705, $10.14, $10.14, $10.08
08/21/2020, $10.08, 40113, $10.08, $10.08, $10.07
08/20/2020, $10.08, 2661, $10.08, $10.105, $10.07
08/19/2020, $10.08, 104147, $10.1, $10.11, $9.99
08/18/2020, $10.15, 146806, $10.2, $10.2, $10.08
08/17/2020, $10.2, 392327, $10.2, $10.25, $10.2
08/14/2020, $10.22, 121755, $10.2, $10.25, $10.2
08/13/2020, $10.21, 185896, $10.165, $10.22, $10.11
08/12/2020, $10.25, 61683, $10.25, $10.25, $10.2238
08/11/2020, $10.22, 205254, $10.3, $10.3, $10.21
08/10/2020, $10.3, 90098, $10.2, $10.3, $10.15
08/07/2020, $10.24, 539585, $10.1, $10.25, $10.07
08/06/2020, $10.08, 4639492, $10.06, $10.1, $10.05
