Date, Close/Last, Volume, Open, High, Low
03/24/2021, $15.7, 1226914, $15.76, $16.11, $15.53
03/23/2021, $15.58, 821251, $16.3, $16.41, $15.43
03/22/2021, $16.49, 534980, $16.61, $16.69, $16.12
03/19/2021, $16.79, 1588174, $16.69, $17.03, $16.245
03/18/2021, $16.75, 973765, $17.15, $17.8, $16.68
03/17/2021, $17.09, 985348, $16.73, $17.1, $16.43
03/16/2021, $16.59, 700326, $16.8, $16.8, $16.26
03/15/2021, $16.78, 520897, $16.61, $16.8, $16.18
03/12/2021, $16.56, 683202, $16.48, $16.62, $16.29
03/11/2021, $16.5, 883106, $16.15, $16.63, $15.8817
03/10/2021, $16.15, 1271279, $15.34, $16.25, $15.34
03/09/2021, $15.35, 986946, $16.02, $16.04, $15.32
03/08/2021, $15.83, 1183657, $16.12, $16.49, $15.8
03/05/2021, $16.07, 1085379, $15.4, $16.25, $15.055
03/04/2021, $15.21, 1106658, $15.93, $16.04, $15.0501
03/03/2021, $15.81, 2529387, $15.53, $16.38, $15.47
03/02/2021, $15.49, 3304533, $15.54, $15.91, $15.32
03/01/2021, $15.47, 4112532, $15.25, $15.81, $15.24
02/26/2021, $15, 7049826, $16, $16.25, $14.99
02/25/2021, $15.64, 1579708, $16.42, $16.42, $15.02
02/24/2021, $16.44, 1235182, $16.67, $17.54, $16.21
02/23/2021, $17.87, 912416, $17.86, $18.22, $17.3001
02/22/2021, $17.18, 639045, $17, $17.79, $16.85
02/19/2021, $16.99, 317043, $16.41, $17.09, $16.39
02/18/2021, $16.35, 447554, $16.5, $16.76, $16.29
02/17/2021, $16.66, 235800, $16.5, $16.77, $16.46
02/16/2021, $16.6, 353571, $16.42, $16.61, $16.3
02/12/2021, $16.3, 231842, $16.18, $16.41, $15.83
02/11/2021, $16.17, 259718, $16.18, $16.53, $16.0738
02/10/2021, $16.11, 307358, $16.15, $16.47, $15.87
02/09/2021, $15.93, 332452, $15.8, $16.125, $15.31
02/08/2021, $15.38, 544534, $16.05, $16.1, $14.72
02/05/2021, $15.37, 356738, $15.34, $15.69, $15
02/04/2021, $15.12, 245878, $14.77, $15.2, $14.49
02/03/2021, $14.81, 264579, $14.59, $14.915, $14.44
02/02/2021, $14.58, 209486, $14.6, $14.7599, $14.32
02/01/2021, $14.41, 185509, $14.23, $14.55, $14.08
01/29/2021, $14.12, 289459, $14.62, $14.6799, $14.06
01/28/2021, $14.73, 300889, $15.23, $15.3799, $14.72
01/27/2021, $15.15, 318147, $15.54, $15.88, $14.9811
01/26/2021, $15.86, 1243796, $15.1, $16.55, $14.92
01/25/2021, $14.81, 240690, $14.9, $15.28, $14.7
01/22/2021, $14.81, 219674, $14.33, $14.96, $14.283
01/21/2021, $14.5, 245724, $14.65, $15, $14.33
01/20/2021, $14.65, 256302, $14.81, $15.1, $14.38
01/19/2021, $14.65, 164796, $14.76, $14.84, $14.53
01/15/2021, $14.5, 393233, $14.16, $14.57, $13.71
01/14/2021, $14.21, 460038, $13.94, $14.57, $13.81
01/13/2021, $13.84, 500238, $13.83, $13.99, $13.53
01/12/2021, $13.92, 1281258, $13.1, $13.985, $13.1
01/11/2021, $13.8, 114737, $13.55, $13.88, $13.535
01/08/2021, $13.78, 185149, $13.9, $13.99, $13.71
01/07/2021, $13.77, 201652, $13.69, $13.89, $13.49
01/06/2021, $13.59, 169113, $13.12, $13.8099, $13.062
01/05/2021, $12.91, 206492, $12.48, $13.02, $12.42
01/04/2021, $12.5, 135708, $12.86, $12.865, $12.34
12/31/2020, $12.76, 106993, $12.77, $12.87, $12.64
12/30/2020, $12.84, 85097, $12.8, $13.0115, $12.8
12/29/2020, $12.81, 113038, $13.03, $13.03, $12.63
12/28/2020, $12.95, 70209, $13.23, $13.2579, $12.91
12/24/2020, $13.09, 69324, $13.11, $13.1721, $12.92
12/23/2020, $13.07, 169146, $12.93, $13.23, $12.82
12/22/2020, $12.85, 122260, $13.09, $13.09, $12.83
12/21/2020, $13.08, 108853, $13.1, $13.13, $12.8602
12/18/2020, $13.25, 248641, $13.3, $13.64, $13.18
12/17/2020, $13.26, 102038, $13.39, $13.39, $13.19
12/16/2020, $13.3, 118071, $13.59, $13.59, $13.25
12/15/2020, $13.48, 134353, $13.22, $13.525, $13.18
12/14/2020, $13.12, 110004, $13.46, $13.465, $13.095
12/11/2020, $13.27, 130620, $13.17, $13.45, $13.04
12/10/2020, $13.34, 99415, $13.44, $13.54, $13.18
12/09/2020, $13.58, 168841, $13.26, $13.92, $13.26
12/08/2020, $13.26, 125898, $13.15, $13.38, $13.04
12/07/2020, $13.14, 146412, $13.07, $13.26, $12.96
12/04/2020, $13.1, 88962, $12.86, $13.25, $12.86
12/03/2020, $12.79, 54997, $13.08, $13.11, $12.73
12/02/2020, $13.09, 81815, $13.12, $13.4399, $12.99
12/01/2020, $13.19, 212178, $13.03, $13.36, $13.02
11/30/2020, $12.88, 148155, $13.42, $13.46, $12.88
11/27/2020, $13.36, 60380, $13.39, $13.7199, $13.21
11/25/2020, $13.41, 130633, $13.25, $13.48, $13.06
11/24/2020, $13.4, 203928, $13.29, $13.5, $13.108
11/23/2020, $13.04, 121166, $12.99, $13.18, $12.97
11/20/2020, $12.89, 122552, $12.93, $12.985, $12.6
11/19/2020, $12.91, 144252, $13.16, $13.24, $12.87
11/18/2020, $13.22, 199658, $13.17, $13.42, $12.93
11/17/2020, $12.89, 293387, $13.09, $13.09, $12.59
11/16/2020, $13.02, 328502, $13, $13.25, $12.82
11/13/2020, $12.75, 87057, $12.7, $12.93, $12.41
11/12/2020, $12.57, 185137, $12.71, $12.75, $12.41
11/11/2020, $12.85, 206783, $13.05, $13.05, $12.7
11/10/2020, $12.87, 245426, $12.59, $12.95, $12.41
11/09/2020, $12.58, 149382, $12.8, $13.41, $12.41
11/06/2020, $12.04, 97433, $12.27, $12.44, $12
11/05/2020, $12.24, 160192, $12.02, $12.37, $12.02
11/04/2020, $11.88, 163432, $12.02, $12.1403, $11.711
11/03/2020, $12.07, 159362, $11.95, $12.53, $11.88
11/02/2020, $11.8, 180320, $11.23, $11.9, $11.23
10/30/2020, $11.1, 167511, $11.17, $11.39, $10.98
10/29/2020, $11.24, 97993, $11.11, $11.43, $10.985
10/28/2020, $11.2, 177726, $11.25, $11.34, $11.02
10/27/2020, $11.51, 160868, $11.49, $11.67, $11.39
10/26/2020, $11.56, 100642, $11.7, $11.74, $11.415
10/23/2020, $11.93, 95106, $11.98, $12.24, $11.85
10/22/2020, $11.87, 125411, $11.81, $12, $11.69
10/21/2020, $11.78, 99333, $12.04, $12.11, $11.75
10/20/2020, $12.06, 100903, $11.85, $12.19, $11.85
10/19/2020, $11.8, 170433, $12.13, $12.19, $11.73
10/16/2020, $12.13, 83720, $12.09, $12.41, $12.09
10/15/2020, $12.06, 102128, $11.81, $12.2076, $11.69
10/14/2020, $11.99, 159825, $12.18, $12.38, $11.97
10/13/2020, $12.21, 420958, $12.87, $12.87, $12.21
10/12/2020, $11.97, 117679, $11.86, $12.19, $11.84
10/09/2020, $11.81, 109992, $12.1, $12.29, $11.8
10/08/2020, $12.05, 221927, $12.06, $12.36, $11.85
10/07/2020, $11.94, 302227, $11.69, $12.09, $11.48
10/06/2020, $11.53, 189576, $11.74, $11.88, $11.5
10/05/2020, $11.71, 197836, $11.34, $11.95, $11.34
10/02/2020, $11.22, 109284, $10.66, $11.34, $10.66
10/01/2020, $10.98, 128103, $11.17, $11.3, $10.86
09/30/2020, $11.12, 213368, $11.08, $11.52, $10.99
09/29/2020, $11.13, 163422, $10.98, $11.2, $10.92
09/28/2020, $11.08, 122980, $10.98, $11.25, $10.98
09/25/2020, $10.82, 125337, $10.61, $10.88, $10.58
09/24/2020, $10.72, 183985, $10.79, $11.03, $10.68
09/23/2020, $10.86, 141954, $11.04, $11.2, $10.85
09/22/2020, $11.05, 188290, $10.91, $11.15, $10.87
09/21/2020, $10.97, 180889, $11.6, $11.69, $10.93
09/18/2020, $11.83, 573994, $11.93, $12.15, $11.76
09/17/2020, $11.91, 310143, $11.78, $12.23, $11.71
09/16/2020, $11.96, 252877, $12.07, $12.2, $11.92
09/15/2020, $12.08, 397361, $12.15, $12.64, $11.87
09/14/2020, $11.4, 165028, $11.31, $11.46, $11.21
09/11/2020, $11.23, 131960, $11.19, $11.42, $11.08
09/10/2020, $11.01, 273333, $11.44, $11.44, $10.99
09/09/2020, $11.37, 249846, $11.22, $11.45, $11.14
09/08/2020, $11.12, 224767, $11.36, $11.54, $11.1
09/04/2020, $11.46, 119384, $11.45, $11.74, $11.34
09/03/2020, $11.31, 133557, $11.96, $11.97, $11.26
09/02/2020, $11.97, 137848, $11.75, $11.98, $11.64
09/01/2020, $11.72, 109824, $11.19, $11.73, $11.19
08/31/2020, $11.29, 161888, $11.7, $11.79, $11.28
08/28/2020, $11.78, 98982, $11.81, $11.91, $11.64
08/27/2020, $11.62, 69614, $11.72, $11.99, $11.57
08/26/2020, $11.76, 362958, $11.9, $11.98, $11.71
08/25/2020, $11.91, 241507, $11.74, $11.92, $11.535
08/24/2020, $11.72, 264034, $11.52, $11.96, $11.46
08/21/2020, $11.47, 209125, $11.44, $11.66, $11.4
08/20/2020, $11.49, 128018, $11.45, $11.59, $11.26
08/19/2020, $11.59, 194340, $11.51, $11.75, $11.25
08/18/2020, $11.56, 187487, $11.75, $11.79, $11.5
08/17/2020, $11.76, 152584, $12.26, $12.26, $11.75
08/14/2020, $12.19, 192269, $12.08, $12.26, $12
08/13/2020, $12.23, 482910, $12.31, $12.47, $12.15
08/12/2020, $12.38, 445841, $12.22, $12.47, $12.115
08/11/2020, $12.16, 283178, $12.37, $12.575, $12.12
08/10/2020, $12.13, 559391, $12.21, $12.5699, $12.03
08/07/2020, $11.75, 206068, $11.43, $11.75, $11.43
08/06/2020, $11.5, 285400, $12, $12.1506, $11.1
08/05/2020, $11.8, 359732, $11.79, $12.36, $11.22
08/04/2020, $11.14, 386511, $10.72, $11.31, $10.61
08/03/2020, $10.87, 249660, $10.56, $10.88, $10.43
07/31/2020, $10.54, 152627, $10.78, $10.81, $10.42
07/30/2020, $10.84, 199973, $10.92, $11.09, $10.66
07/29/2020, $11.12, 200433, $10.83, $11.17, $10.82
07/28/2020, $10.81, 137325, $11.08, $11.2, $10.81
07/27/2020, $11.1, 177077, $10.83, $11.2, $10.83
07/24/2020, $10.85, 266827, $11.11, $11.31, $10.785
07/23/2020, $11.22, 198250, $10.88, $11.4, $10.88
07/22/2020, $10.9, 119294, $10.75, $11.17, $10.75
07/21/2020, $10.85, 174082, $10.75, $11.13, $10.6893
07/20/2020, $10.65, 203124, $10.62, $10.73, $10.505
07/17/2020, $10.68, 190646, $10.63, $10.95, $10.57
07/16/2020, $10.59, 214100, $10.56, $10.76, $10.5
07/15/2020, $10.6, 423493, $10.52, $10.79, $10.48
07/14/2020, $10.24, 354555, $9.97, $10.37, $9.9
07/13/2020, $9.87, 299560, $9.98, $10.07, $9.815
07/10/2020, $9.94, 126275, $9.7, $10.02, $9.6
07/09/2020, $9.73, 157103, $9.91, $9.93, $9.65
07/08/2020, $9.94, 262650, $10.05, $10.15, $9.81
07/07/2020, $9.9, 211268, $10.08, $10.19, $9.8
07/06/2020, $9.98, 223618, $10.13, $10.13, $9.71
07/02/2020, $9.87, 165412, $10.06, $10.27, $9.72
07/01/2020, $9.87, 237383, $10.28, $10.44, $9.81
06/30/2020, $10.28, 352594, $10.21, $10.395, $10.1
06/29/2020, $10.14, 369912, $10.02, $10.22, $9.96
06/26/2020, $9.86, 386930, $9.88, $9.98, $9.76
06/25/2020, $10, 190982, $9.97, $10.01, $9.79
06/24/2020, $9.93, 223074, $10.21, $10.31, $9.925
06/23/2020, $10.35, 180453, $10.62, $10.67, $10.28
06/22/2020, $10.45, 310804, $10.54, $10.61, $10.251
06/19/2020, $10.66, 333935, $10.88, $11.05, $10.59
06/18/2020, $10.67, 185504, $10.53, $10.86, $10.528
06/17/2020, $10.71, 189131, $10.9, $11.08, $10.61
06/16/2020, $10.98, 339670, $11.14, $11.3, $10.76
06/15/2020, $10.62, 226393, $10.05, $10.75, $9.8101
06/12/2020, $10.5, 332546, $10.76, $10.77, $10.22
06/11/2020, $10.28, 310319, $10.45, $10.61, $10.255
06/10/2020, $11, 326763, $11.28, $11.41, $10.87
06/09/2020, $11.41, 163783, $11.7, $11.7, $11.22
06/08/2020, $11.86, 282314, $11.6, $11.9, $11.565
06/05/2020, $11.37, 321248, $11.04, $11.6, $10.94
06/04/2020, $10.84, 378880, $10.68, $10.88, $10.51
06/03/2020, $10.62, 261012, $10.42, $10.91, $10.42
06/02/2020, $10.22, 160311, $10.31, $10.53, $10.135
06/01/2020, $10.14, 183237, $10.05, $10.46, $10.05
05/29/2020, $10.05, 320267, $10, $10.25, $9.88
05/28/2020, $10.06, 437364, $10.62, $10.62, $10.04
05/27/2020, $10.49, 230458, $10.32, $10.67, $10.3
05/26/2020, $10.12, 335791, $9.74, $10.25, $9.74
05/22/2020, $9.54, 198606, $9.8, $9.81, $9.45
05/21/2020, $9.75, 235719, $9.75, $9.9809, $9.63
05/20/2020, $9.56, 242123, $9.41, $9.945, $9.39
05/19/2020, $9.14, 283232, $9.46, $9.7, $9.13
05/18/2020, $9.67, 635576, $9.04, $9.68, $9.01
05/15/2020, $8.59, 1046263, $8.44, $8.96, $8.425
05/14/2020, $8.54, 612657, $8.52, $9.08, $8.15
05/13/2020, $8.71, 496823, $9.12, $9.13, $8.6
05/12/2020, $8.69, 402068, $8.96, $9.2, $8.69
05/11/2020, $8.93, 491739, $8.81, $9.14, $8.48
05/08/2020, $8.93, 553876, $8.41, $8.965, $8.3
05/07/2020, $8.15, 261954, $8.33, $8.51, $8.08
05/06/2020, $8.23, 568746, $8.5, $8.5, $8.06
05/05/2020, $8.08, 458452, $8.2, $8.41, $7.98
05/04/2020, $8.08, 597184, $8.19, $8.27, $7.95
05/01/2020, $8.33, 151513, $8.35, $8.49, $8.2107
04/30/2020, $8.59, 283724, $9.27, $9.27, $8.58
04/29/2020, $9.23, 388614, $8.48, $9.26, $8.385
04/28/2020, $8.26, 254710, $8.09, $8.425, $7.9
04/27/2020, $7.94, 235760, $7.62, $7.98, $7.62
04/24/2020, $7.6, 180490, $7.4, $7.66, $7.22
04/23/2020, $7.37, 267817, $6.96, $7.43, $6.95
04/22/2020, $6.94, 287636, $7.19, $7.485, $6.85
04/21/2020, $7.21, 177490, $7.01, $7.29, $6.8235
04/20/2020, $7.18, 314397, $7.65, $7.73, $7.14
04/17/2020, $7.85, 436731, $7.07, $7.9, $7.0101
04/16/2020, $6.8, 325150, $6.95, $6.95, $6.4101
04/15/2020, $6.92, 257021, $7.56, $7.56, $6.84
04/14/2020, $7.68, 260909, $7.96, $8.07, $7.455
04/13/2020, $7.8, 264517, $7.99, $7.99, $7.43
04/09/2020, $7.95, 342479, $7.99, $8.0872, $7.64
04/08/2020, $7.79, 195088, $7.34, $7.88, $7.28
04/07/2020, $7.2, 260086, $7.23, $7.6074, $7.07
04/06/2020, $6.94, 431827, $6.4, $7.08, $6.33
04/03/2020, $6.16, 234399, $6.45, $6.56, $6.05
04/02/2020, $6.55, 292075, $6.93, $7.15, $6.45
04/01/2020, $7, 368140, $7.06, $7.17, $6.79
03/31/2020, $7.38, 425331, $7.42, $7.74, $7.24
03/30/2020, $7.5, 206207, $7.38, $7.55, $7.025
03/27/2020, $7.45, 319557, $7.44, $7.71, $7.09
03/26/2020, $7.69, 410750, $7.22, $7.71, $7.12
03/25/2020, $7.22, 413606, $6.85, $7.585, $6.56
03/24/2020, $6.71, 268089, $6.46, $6.8, $6.34
03/23/2020, $6.13, 442729, $6.78, $6.78, $5.9
03/20/2020, $6.76, 870549, $7.16, $7.275, $6.47
03/19/2020, $7.12, 554156, $6.34, $7.15, $5.96
