Date, Close/Last, Volume, Open, High, Low
01/20/2021, $94.74, 664921, $95.91, $96.67, $94.12
01/19/2021, $96.29, 769292, $97.58, $97.675, $94.7575
01/15/2021, $97.2, 1018105, $98.42, $98.557, $96.18
01/14/2021, $99.21, 1059032, $99.54, $101.24, $98.99
01/13/2021, $99.25, 641051, $98.72, $99.6, $98.23
01/12/2021, $99.12, 843629, $97, $99.63, $96.525
01/11/2021, $96.85, 578099, $96.5, $97.9299, $96.13
01/08/2021, $97.26, 909050, $95.26, $97.53, $95.0107
01/07/2021, $94.79, 646860, $95.43, $95.59, $94.25
01/06/2021, $94.49, 693673, $93, $95.48, $93
01/05/2021, $93.18, 537713, $92.21, $94.27, $92
01/04/2021, $91.96, 989975, $93.74, $93.74, $90.39
12/31/2020, $93.54, 559168, $93.75, $94.19, $92.8
12/30/2020, $94, 507406, $93.31, $94.84, $93.005
12/29/2020, $93.38, 459575, $93.78, $93.8, $92.21
12/28/2020, $93.34, 476050, $93.51, $94.15, $92.83
12/24/2020, $93.15, 201042, $93.22, $93.34, $92.01
12/23/2020, $92.75, 671640, $92.99, $93.445, $91.84
12/22/2020, $92.38, 583536, $93.69, $94.24, $92.25
12/21/2020, $93.6, 1095548, $92.65, $94.8, $91.33
12/18/2020, $93.81, 1873729, $93.75, $94.3, $92
12/17/2020, $93.21, 934541, $94.76, $96.07, $93.03
12/16/2020, $94.76, 1485691, $92.2, $95.56, $92
12/15/2020, $92.25, 1015900, $90.88, $92.76, $89.14
12/14/2020, $90.11, 682729, $90.17, $91.32, $89.49
12/11/2020, $89, 889462, $88.18, $89.5, $87.52
12/10/2020, $88.68, 783709, $88.18, $89.28, $87.7
12/09/2020, $88.76, 1367049, $91.05, $91.54, $88.43
12/08/2020, $89.72, 701951, $89.02, $91.11, $88.84
12/07/2020, $89.57, 1079277, $90.67, $90.99, $89.4
12/04/2020, $91.07, 1477757, $92.9, $93.71, $90.915
12/03/2020, $92.66, 907267, $93.9, $95.22, $92.36
12/02/2020, $93.93, 1192135, $94.77, $94.97, $91.3
12/01/2020, $96.19, 1913996, $94.34, $97.13, $93.798
11/30/2020, $93.03, 1223378, $92.01, $93.25, $90.69
11/27/2020, $92.32, 227885, $91.89, $93.2, $91.4872
11/25/2020, $92.14, 587620, $91.55, $92.3404, $90.9
11/24/2020, $92.1, 1144678, $93.44, $94, $91.81
11/23/2020, $92.62, 679451, $93.22, $93.74, $91.875
11/20/2020, $93.02, 832960, $91.47, $93.4, $90.74
11/19/2020, $91.75, 628290, $91.67, $92.56, $90.24
11/18/2020, $92.08, 1032309, $91.94, $94.3, $90.99
11/17/2020, $91.89, 641809, $90.48, $92.47, $89.27
11/16/2020, $90.89, 891913, $89.86, $90.94, $87.776
11/13/2020, $87.72, 1152514, $84.83, $88.667, $84.815
11/12/2020, $84.22, 701143, $86.38, $86.38, $83.34
11/11/2020, $86.53, 981927, $86.33, $87.43, $85.65
11/10/2020, $85.65, 947819, $85.72, $87.22, $84.75
