Date, Close/Last, Volume, Open, High, Low
01/20/2021, $4.28, 83375, $4.33, $4.335, $4.1
01/19/2021, $4.27, 143698, $4.38, $4.49, $4.25
01/15/2021, $4.34, 283316, $4.16, $4.65, $4.051
01/14/2021, $4.15, 131446, $4.13, $4.34, $4.13
01/13/2021, $4.12, 113366, $4.23, $4.26, $4.1
01/12/2021, $4.1, 102548, $4.16, $4.24, $4.05
01/11/2021, $4.17, 92922, $4.21, $4.24, $4.14
01/08/2021, $4.22, 63399, $4.38, $4.42, $4.2
01/07/2021, $4.38, 216652, $4.4, $4.5, $4.36
01/06/2021, $4.34, 239409, $4.3, $4.43, $4.25
01/05/2021, $4.27, 58620, $4.24, $4.36, $4.24
01/04/2021, $4.22, 119018, $4.29, $4.32, $4.15
12/31/2020, $4.29, 111834, $4.3, $4.33, $4.215
12/30/2020, $4.27, 103782, $4.28, $4.37, $4.18
12/29/2020, $4.19, 39690, $4.36, $4.36, $4.16
12/28/2020, $4.32, 74512, $4.07, $4.37, $4.07
12/24/2020, $4.08, 46733, $4.5, $4.5, $4.05
12/23/2020, $4.32, 119503, $4.41, $4.52, $4.3
12/22/2020, $4.32, 57023, $4.38, $4.41, $4.26
12/21/2020, $4.37, 106278, $4.4, $4.45, $4.2295
12/18/2020, $4.5, 413408, $4.24, $4.58, $4.1
12/17/2020, $4.2, 69022, $4.1, $4.21, $4.0335
12/16/2020, $4.07, 85811, $4.32, $4.32, $4.05
12/15/2020, $4.29, 149275, $4.28, $4.39, $4.1901
12/14/2020, $4.24, 93651, $4.15, $4.3, $4.11
12/11/2020, $4.15, 92752, $4.17, $4.25, $4.1
12/10/2020, $4.18, 76619, $4.11, $4.2, $4.079
12/09/2020, $4.1, 191497, $4.4, $4.45, $4
12/08/2020, $4.24, 170059, $3.97, $4.25, $3.97
12/07/2020, $3.96, 128348, $3.89, $4, $3.83
12/04/2020, $3.92, 28048, $3.89, $3.95, $3.855
12/03/2020, $3.89, 25551, $3.92, $3.95, $3.87
12/02/2020, $3.94, 63361, $3.93, $3.96, $3.9
12/01/2020, $3.92, 62600, $3.96, $3.99, $3.9
11/30/2020, $3.92, 68204, $3.87, $3.97, $3.74
11/27/2020, $3.87, 49943, $3.81, $3.89, $3.67
11/25/2020, $3.78, 50173, $3.64, $3.85, $3.5901
11/24/2020, $3.68, 189837, $3.75, $3.9, $3.57
11/23/2020, $3.74, 160105, $3.77, $3.91, $3.72
11/20/2020, $3.77, 188500, $3.87, $3.93, $3.72
11/19/2020, $3.91, 96501, $3.99, $4.05, $3.8
11/18/2020, $4, 85051, $4, $4.09, $3.94
11/17/2020, $4, 113195, $4.01, $4.101, $3.96
11/16/2020, $4.06, 236142, $4.12, $4.4, $4.01
11/13/2020, $4.05, 104216, $3.95, $4.13, $3.92
11/12/2020, $3.91, 223777, $3.9, $3.975, $3.8301
11/11/2020, $3.92, 271255, $3.88, $3.93, $3.88
11/10/2020, $3.9, 157770, $3.52, $3.995, $3.52
11/09/2020, $3.77, 274022, $3.75, $4.05, $3.625
11/06/2020, $3.67, 177878, $3.82, $3.82, $3.59
11/05/2020, $3.74, 180116, $3.67, $3.95, $3.6111
11/04/2020, $3.7, 86265, $3.68, $3.75, $3.67
11/03/2020, $3.73, 224910, $3.5, $3.74, $3.4701
11/02/2020, $3.46, 223422, $3.44, $3.5, $3.36
10/30/2020, $3.38, 155921, $3.3, $3.4, $3.2
10/29/2020, $3.3, 116417, $3.19, $3.3, $3.15
10/28/2020, $3.21, 119391, $3.08, $3.21, $3.07
10/27/2020, $3.13, 38063, $3.14, $3.15, $3.1
10/26/2020, $3.16, 105639, $3.09, $3.17, $3.05
10/23/2020, $3.1, 89254, $3.02, $3.19, $3.02
10/22/2020, $3, 92905, $3.04, $3.04, $2.96
10/21/2020, $3.03, 31349, $3.13, $3.14, $3.01
10/20/2020, $3.14, 45938, $3.26, $3.26, $3.1
10/19/2020, $3.22, 33628, $3.28, $3.48, $3.22
10/16/2020, $3.29, 41956, $3.2, $3.37, $3.2
10/15/2020, $3.22, 164667, $3.19, $3.26, $3.11
10/14/2020, $3.26, 21621, $3.36, $3.37, $3.26
10/13/2020, $3.36, 55882, $3.34, $3.5, $3.27
10/12/2020, $3.38, 151822, $3.37, $3.41, $3.35
10/09/2020, $3.34, 129334, $3.36, $3.375, $3.27
10/08/2020, $3.3, 55646, $3.25, $3.33, $3.18
10/07/2020, $3.24, 56185, $3.25, $3.26, $3.18
10/06/2020, $3.21, 61902, $3.23, $3.31, $3.2
10/05/2020, $3.19, 64618, $3.06, $3.2, $3.0458
10/02/2020, $3.05, 64168, $2.95, $3.0887, $2.93
10/01/2020, $3.02, 59465, $3.03, $3.09, $2.98
09/30/2020, $3.01, 138749, $3.03, $3.07, $2.87
09/29/2020, $3.03, 113417, $2.98, $3.03, $2.98
09/28/2020, $2.99, 167409, $2.99, $3.01, $2.92
09/25/2020, $2.99, 359241, $2.75, $3.05, $2.75
09/24/2020, $2.75, 141290, $2.82, $2.865, $2.74
09/23/2020, $2.845, 122658, $3, $3, $2.82
09/22/2020, $2.99, 95375, $3.09, $3.09, $2.98
09/21/2020, $3.1, 114369, $3.19, $3.22, $3.03
09/18/2020, $3.25, 329225, $3.16, $3.26, $3.09
09/17/2020, $3.14, 74283, $3.13, $3.16, $3.11
09/16/2020, $3.16, 92723, $3.21, $3.24, $3.14
09/15/2020, $3.21, 58344, $3.2969, $3.2969, $3.19
09/14/2020, $3.27, 92024, $3.17, $3.27, $3.17
09/11/2020, $3.16, 91238, $3.23, $3.24, $3.15
09/10/2020, $3.22, 68852, $3.15, $3.3, $3.1464
09/09/2020, $3.12, 62182, $3.12, $3.1999, $3.09
09/08/2020, $3.08, 52956, $3.18, $3.19, $3.07
09/04/2020, $3.19, 69869, $3.3, $3.3, $3.13
09/03/2020, $3.26, 93831, $3.34, $3.37, $3.245
09/02/2020, $3.33, 108165, $3.41, $3.45, $3.3134
09/01/2020, $3.35, 79419, $3.29, $3.39, $3.29
08/31/2020, $3.35, 103750, $3.35, $3.4, $3.29
08/28/2020, $3.37, 89786, $3.44, $3.4542, $3.37
08/27/2020, $3.39, 179467, $3.54, $3.55, $3.39
08/26/2020, $3.49, 110988, $3.54, $3.54, $3.47
08/25/2020, $3.53, 126902, $3.56, $3.59, $3.48
08/24/2020, $3.53, 83161, $3.5, $3.63, $3.48
08/21/2020, $3.49, 124520, $3.6, $3.6, $3.49
08/20/2020, $3.6, 93374, $3.59, $3.68, $3.54
08/19/2020, $3.65, 64797, $3.66, $3.71, $3.64
08/18/2020, $3.69, 64037, $3.7, $3.77, $3.659
08/17/2020, $3.67, 80882, $3.64, $3.7, $3.58
08/14/2020, $3.66, 81618, $3.59, $3.7346, $3.48
08/13/2020, $3.62, 103539, $3.77, $3.77, $3.56
08/12/2020, $3.75, 130831, $3.81, $3.85, $3.7
08/11/2020, $3.81, 170792, $4.26, $4.26, $3.78
08/10/2020, $4.2, 267285, $4.24, $4.405, $4.19
08/07/2020, $4.19, 317132, $4.03, $4.25, $3.911
08/06/2020, $4, 319011, $3.57, $4.19, $3.51
08/05/2020, $3.58, 274454, $3.66, $3.66, $3.32
08/04/2020, $3.31, 154684, $3.21, $3.38, $3.2
08/03/2020, $3.21, 125061, $3.11, $3.21, $3.04
07/31/2020, $3.11, 97099, $3.14, $3.19, $3.03
07/30/2020, $3.18, 89847, $3.16, $3.2299, $3.085
07/29/2020, $3.16, 138294, $3.01, $3.19, $2.9365
07/28/2020, $3, 93377, $3.1, $3.1, $2.99
07/27/2020, $3.12, 135613, $3.16, $3.19, $3.09
07/24/2020, $3.18, 76114, $3.19, $3.21, $3.15
07/23/2020, $3.22, 92377, $3.18, $3.25, $3.17
07/22/2020, $3.21, 129966, $3.25, $3.36, $3.18
07/21/2020, $3.36, 135859, $3.46, $3.52, $3.27
07/20/2020, $3.42, 135788, $3.3, $3.49, $3.3
07/17/2020, $3.36, 191192, $3.41, $3.5, $3.28
07/16/2020, $3.43, 169185, $3.5, $3.505, $3.4
07/15/2020, $3.51, 250511, $3.45, $3.6, $3.38
07/14/2020, $3.37, 122965, $3.33, $3.405, $3.28
07/13/2020, $3.34, 331646, $3.51, $3.53, $3.34
07/10/2020, $3.48, 97511, $3.47, $3.5, $3.42
07/09/2020, $3.47, 592159, $3.5, $3.61, $3.3701
07/08/2020, $3.49, 224443, $3.51, $3.625, $3.33
07/07/2020, $3.51, 425612, $3.7, $3.71, $3.5073
07/06/2020, $3.72, 573772, $3.77, $3.77, $3.6399
07/02/2020, $3.63, 338028, $3.51, $3.6542, $3.5
07/01/2020, $3.43, 435827, $3.11, $3.46, $3.11
06/30/2020, $3.1, 1122364, $3.09, $3.13, $3
06/29/2020, $3.12, 704300, $2.96, $3.16, $2.89
06/26/2020, $2.87, 4615037, $2.98, $3.04, $2.69
06/25/2020, $3, 321347, $3.1, $3.13, $2.94
06/24/2020, $3.1, 397363, $3.13, $3.18, $3.03
06/23/2020, $3.14, 901817, $3.15, $3.26, $3.11
06/22/2020, $3.1, 295401, $3.06, $3.16, $2.9901
06/19/2020, $3.08, 940574, $2.85, $3.14, $2.842
06/18/2020, $2.87, 272805, $3.12, $3.14, $2.84
06/17/2020, $3.08, 290613, $2.99, $3.1758, $2.96
06/16/2020, $2.94, 254581, $2.74, $2.97, $2.7036
06/15/2020, $2.72, 174883, $2.56, $2.74, $2.56
06/12/2020, $2.6, 190537, $2.72, $2.83, $2.57
06/11/2020, $2.63, 219495, $2.7, $2.74, $2.58
06/10/2020, $2.8, 524811, $2.83, $2.85, $2.77
06/09/2020, $2.84, 194181, $2.92, $2.93, $2.81
06/08/2020, $2.93, 331163, $2.88, $2.99, $2.84
06/05/2020, $2.85, 132190, $2.8, $2.85, $2.79
06/04/2020, $2.76, 110363, $2.74, $2.82, $2.73
06/03/2020, $2.74, 177204, $2.68, $2.8001, $2.66
06/02/2020, $2.66, 376512, $2.63, $2.67, $2.59
06/01/2020, $2.62, 48301, $2.63, $2.6866, $2.58
05/29/2020, $2.64, 72612, $2.67, $2.68, $2.58
05/28/2020, $2.67, 153671, $2.66, $2.7, $2.63
05/27/2020, $2.64, 127835, $2.67, $2.72, $2.56
05/26/2020, $2.65, 119990, $2.69, $2.69, $2.65
05/22/2020, $2.66, 94643, $2.7, $2.7, $2.59
05/21/2020, $2.69, 195843, $2.67, $2.77, $2.6379
05/20/2020, $2.68, 154441, $2.61, $2.72, $2.61
05/19/2020, $2.72, 231136, $2.7, $2.75, $2.68
05/18/2020, $2.71, 168995, $2.61, $2.8, $2.61
05/15/2020, $2.58, 97331, $2.58, $2.69, $2.53
05/14/2020, $2.6, 81100, $2.62, $2.65, $2.5
05/13/2020, $2.68, 92701, $2.62, $2.73, $2.53
05/12/2020, $2.63, 431952, $2.9, $2.9, $2.61
05/11/2020, $2.89, 311416, $2.8, $2.9, $2.77
05/08/2020, $2.77, 350721, $2.56, $2.82, $2.5
05/07/2020, $2.53, 144841, $2.5, $2.55, $2.48
05/06/2020, $2.51, 301730, $2.4, $2.6, $2.34
05/05/2020, $2.38, 804237, $2.21, $2.4, $2.06
05/04/2020, $2.45, 153699, $2.57, $2.6, $2.43
05/01/2020, $2.61, 114276, $2.74, $2.75, $2.59
04/30/2020, $2.75, 130568, $2.75, $2.76, $2.58
04/29/2020, $2.76, 377089, $2.71, $2.785, $2.64
04/28/2020, $2.66, 184588, $2.7, $2.7, $2.66
04/27/2020, $2.69, 118371, $2.74, $2.75, $2.68
04/24/2020, $2.68, 140051, $2.9, $2.91, $2.66
04/23/2020, $2.89, 273238, $2.81, $2.928, $2.81
04/22/2020, $2.8, 106367, $2.81, $2.835, $2.79
04/21/2020, $2.78, 163799, $2.8, $2.89, $2.75
04/20/2020, $2.82, 152282, $2.78, $2.84, $2.7535
04/17/2020, $2.77, 376977, $2.62, $2.85, $2.555
04/16/2020, $2.53, 88808, $2.54, $2.59, $2.46
04/15/2020, $2.55, 75871, $2.65, $2.676, $2.47
04/14/2020, $2.68, 1040532, $2.52, $2.69, $2.46
04/13/2020, $2.48, 44626, $2.52, $2.52, $2.35
04/09/2020, $2.48, 163462, $2.33, $2.49, $2.32
04/08/2020, $2.33, 51817, $2.22, $2.33, $2.17
04/07/2020, $2.22, 32888, $2.3, $2.3, $2.2
04/06/2020, $2.22, 41896, $2.19, $2.27, $2.1301
04/03/2020, $2.14, 26677, $2.15, $2.17, $2.08
04/02/2020, $2.14, 37159, $2.14, $2.26, $2.09
04/01/2020, $2.12, 67852, $2.19, $2.2, $2.06
03/31/2020, $2.21, 81407, $2.1, $2.26, $2.1
03/30/2020, $2.13, 76245, $2.28, $2.28, $2.11
03/27/2020, $2.25, 524228, $2.21, $2.42, $2.11
03/26/2020, $2.3, 362816, $2.07, $2.36, $2.0301
03/25/2020, $2.1, 119387, $1.96, $2.19, $1.96
03/24/2020, $1.96, 259357, $1.75, $1.99, $1.75
03/23/2020, $1.71, 252280, $1.72, $1.83, $1.55
03/20/2020, $1.5, 206865, $1.47, $1.54, $1.42
03/19/2020, $1.42, 448777, $1.44, $1.54, $1.4
03/18/2020, $1.5, 181950, $1.69, $1.75, $1.39
03/17/2020, $1.79, 168751, $1.98, $1.98, $1.75
03/16/2020, $1.94, 108617, $2.16, $2.16, $1.91
03/13/2020, $2.23, 215999, $2.17, $2.3, $2.05
03/12/2020, $2.21, 254161, $2.36, $2.37, $2.05
03/11/2020, $2.47, 598619, $2.69, $2.8, $2.4
03/10/2020, $2.65, 51138, $2.6, $2.76, $2.56
03/09/2020, $2.63, 99380, $2.65, $2.7, $2.55
03/06/2020, $2.77, 128960, $2.82, $2.9015, $2.7
03/05/2020, $2.89, 145838, $3.02, $3.06, $2.8
03/04/2020, $2.99, 92672, $3, $3.12, $2.99
03/03/2020, $2.98, 316210, $3.15, $3.15, $2.92
03/02/2020, $3.12, 202175, $3.24, $3.24, $3.02
02/28/2020, $3.24, 493450, $3.29, $3.45, $2.95
02/27/2020, $3.29, 433741, $3.05, $3.3, $2.81
02/26/2020, $2.96, 426771, $2.6, $3.14, $2.575
02/25/2020, $2.58, 121294, $2.58, $2.75, $2.46
02/24/2020, $2.55, 65149, $2.59, $2.59, $2.51
02/21/2020, $2.62, 42145, $2.61, $2.6769, $2.59
02/20/2020, $2.64, 42500, $2.61, $2.68, $2.56
02/19/2020, $2.65, 44821, $2.572, $2.69, $2.55
02/18/2020, $2.6, 71439, $2.56, $2.66, $2.51
02/14/2020, $2.6, 100651, $2.76, $2.8, $2.59
02/13/2020, $2.77, 40803, $2.77, $2.84, $2.7145
02/12/2020, $2.76, 65960, $2.79, $2.95, $2.7
02/11/2020, $2.76, 85985, $2.82, $2.87, $2.63
02/10/2020, $2.82, 25416, $2.82, $2.8949, $2.82
02/07/2020, $2.81, 77727, $2.97, $2.98, $2.81
02/06/2020, $2.97, 106240, $2.99, $3.04, $2.95
02/05/2020, $2.96, 75213, $2.94, $3.04, $2.9201
02/04/2020, $2.96, 91708, $2.97, $3.0576, $2.9004
02/03/2020, $3, 77188, $2.98, $3.0399, $2.88
01/31/2020, $2.97, 46155, $3.02, $3.1, $2.93
01/30/2020, $2.99, 170777, $2.94, $3.14, $2.93
01/29/2020, $3, 74346, $3, $3.0967, $2.97
01/28/2020, $3.04, 173185, $3.22, $3.24, $2.99
01/27/2020, $3.09, 364156, $2.9591, $3.2675, $2.91
01/24/2020, $3, 86422, $3.1, $3.11, $2.9
01/23/2020, $2.98, 92571, $3.01, $3.05, $2.94
01/22/2020, $3, 20114, $3.16, $3.16, $3
01/21/2020, $3.11, 35354, $3.12, $3.18, $3.03
01/17/2020, $3.16, 34476, $3.21, $3.23, $3.05
01/16/2020, $3.23, 43907, $3.213, $3.23, $3.11
01/15/2020, $3.14, 49273, $3.2, $3.27, $3.1
01/14/2020, $3.17, 34436, $3.15, $3.23, $3.0591
01/13/2020, $3.14, 24617, $3.12, $3.19, $3.12
01/10/2020, $3.14, 24085, $3.11, $3.16, $2.97
01/09/2020, $3.14, 93196, $3.21, $3.21, $3.05
01/08/2020, $3.2, 156796, $3.04, $3.22, $3.04
01/07/2020, $3.04, 18107, $3.04, $3.09, $3
01/06/2020, $3.04, 34697, $3, $3.07, $2.85
01/03/2020, $3.05, 41322, $3.05, $3.1, $3.0155
01/02/2020, $3.05, 37000, $3.0998, $3.0998, $2.99
12/31/2019, $3.05, 60788, $2.996, $3.1, $2.97
12/30/2019, $2.97, 194868, $2.91, $3.04, $2.91
12/27/2019, $2.94, 50604, $2.98, $2.98, $2.81
12/26/2019, $3.02, 69407, $3, $3.0398, $2.91
12/24/2019, $3.05, 56654, $2.95, $3.0839, $2.945
12/23/2019, $2.86, 39691, $2.86, $2.89, $2.8261
12/20/2019, $2.86, 209594, $2.9, $2.95, $2.82
12/19/2019, $2.93, 31853, $2.93, $3.01, $2.78
12/18/2019, $2.96, 55345, $3.01, $3.02, $2.88
12/17/2019, $3, 104019, $2.89, $3.01, $2.75
12/16/2019, $2.87, 28175, $2.81, $2.89, $2.7811
12/13/2019, $2.81, 38953, $2.86, $2.9057, $2.76
12/12/2019, $2.86, 101564, $2.93, $2.93, $2.81
12/11/2019, $2.91, 24845, $2.9, $2.9951, $2.83
